sentence_id,source_doc,page_num,raw_text,predicted_type,signals,confidence_score,is_constraint,constraint_type,entities,threshold,exception,notes
SEIU_119_1335,SEIU_1199_Ohio_2022,243,An individual who fails to notify OOD of the loss of licensure within 14 days after it is lost may be responsible for repayment of any salary improperly received and may be subject to discipline.,SOFT,deontic:permission|threshold|exception,4,Yes,SOFT,"individual, OOD",14 days,,"auto-openai:The sentence outlines a discretionary consequence for failing to notify OOD within a specified timeframe, indicating a soft constraint."
SEIU_119_0218,SEIU_1199_Ohio_2022,43,"ARTICLE 10 - VACATION ALLOWANCE 10.01 Rate of Accrual Permanent full-time employees shall be granted vacation leave with pay at regular rate as follows, except that those employees who have less than eighty (80) hours in an active pay status in a pay period shall be credited with a prorated amount of leave according to the following schedule: Length of State Accrual Rate: Hours Earned Service Per 80 Hours in Active Pay Status Per Pay Period Less than 4 years 3.1 hours 4 years or more 4.6 hours 9 years or more 6.2 hours 14 years or more 6.9 hours 19 years or more 7.7 hours 24 years or more 9.2 hours Employees who provide valid documentation to their Agency’s Human Resources department shall receive credit for prior service with the State, the Ohio National Guard, or any political subdivision of the State for purposes of computing vacation leave in accordance with ORC 9.44.",HARD,deontic:obligation|threshold|exception,4,Yes,HARD,"employees, agency, human resources",max_hours=9.2,employees who provide valid documentation for prior service,"auto-openai:The sentence outlines mandatory vacation leave accrual rates for permanent full-time employees, specifying conditions under which they earn vacation leave, thus constituting a hard constraint."
SEIU_119_1035,SEIU_1199_Ohio_2022,188,"The employee may be eligible for salary continuation during the appeal process, which may not exceed 480 hours.",SOFT,deontic:restriction|deontic:permission|threshold,3,Yes,SOFT,"employee, union",max_hours=480,,"auto-openai:The sentence indicates a discretionary eligibility for salary continuation during the appeal process, which is capped at a maximum of 480 hours."
SEIU_119_0325,SEIU_1199_Ohio_2022,61,"Said denial shall not prevent the submission of a new application, subject to the above same requirements.",HARD,deontic:prohibition|deontic:obligation|exception,3,Yes,SOFT,"operator, authority, union",,subject to the above same requirements,"auto-openai:The sentence indicates that a new application can be submitted, but it is subject to the same requirements, making it a discretionary constraint."
SEIU_119_1170,SEIU_1199_Ohio_2022,211,Hours of Work and Overtime Article 24 (Hours of Work and Overtime) shall be followed except for the following modification: 14.,HARD,deontic:obligation|exception,3,Yes,HARD,"operator, union",,14,"auto-openai:The sentence specifies that a particular article regarding hours of work and overtime must be followed, indicating a mandatory requirement with a specified modification."
SEIU_119_0455,SEIU_1199_Ohio_2022,83,"(8) hours in between shifts, unless there are extenuating circumstances. 24.04 Overtime and Compensatory Time Overtime work shall be compensated as follows: A.",HARD,deontic:obligation|exception,3,Yes,HARD,"operator, union",min_break=8hours,unless there are extenuating circumstances,"auto-openai:The sentence specifies a mandatory break period between shifts, indicating a hard constraint with an exception for extenuating circumstances."
SEIU_119_0270,SEIU_1199_Ohio_2022,52,Sick leave used for these supplements shall be paid at a rate of 100% notwithstanding the schedule previously specified. 13.05 Notification for Use of Sick Leave and Notification for Extended Sick Leave A.,HARD,deontic:obligation|exception,3,Yes,HARD,"operator, union",100%,,"auto-openai:The sentence specifies a mandatory payment rate for sick leave, indicating a hard constraint with no discretion allowed."
SEIU_119_0871,SEIU_1199_Ohio_2022,142,"Notwithstanding any other provision of this Agreement, if these definitions lead to any reduction in pay, the previous application shall apply. 43.02 Schedule of Wage Increases Effective with the pay period which includes July 1, 129",HARD,deontic:obligation|exception,3,Yes,HARD,"operator, union",,,"auto-openai:The sentence establishes a mandatory application of previous pay provisions if definitions lead to a pay reduction, indicating a hard constraint."
SEIU_119_0104,SEIU_1199_Ohio_2022,29,No mediator/arbitrator shall hear a case at both mediation and arbitration unless mutually agreed otherwise.,HARD,deontic:obligation|exception,3,Yes,HARD,"mediator, arbitrator",,unless mutually agreed otherwise,"auto-openai:The sentence establishes a mandatory rule regarding the roles of mediators and arbitrators, indicating that they cannot serve in both capacities unless there is mutual agreement, which qualifies it as a hard constraint."
SEIU_119_1166,SEIU_1199_Ohio_2022,211,This one commute trip shall be considered paid work time (less 20 minutes each way) and mileage shall be reimbursed consistent with this MOU.,HARD,deontic:obligation|threshold,3,Yes,HARD,"operator, union",20 minutes each way,,"auto-openai:The sentence establishes a mandatory condition for paid work time and reimbursement, indicating a clear obligation without discretion."
