sentence_id,source_doc,page_num,raw_text,predicted_type,signals,confidence_score,is_constraint,constraint_type,entities,threshold,exception,notes
UNITE_HE_0182,UNITE_HERE_Local17_Ramada_Plaza,18,"During a leave of absence, the employee shall not engage in gainful employment unless the leave is the result of the employee being hired for a position of full-time service with the Union.",HARD,deontic:prohibition|deontic:obligation|exception,3,,,,,,
UNITE_HE_0037,UNITE_HERE_Local17_Ramada_Plaza,8,"In the event any violation of the previous paragraph occurs which is unauthorized by the Union, the Employer agrees that there shall be no liability on the part of the International or Local Union or any of their officers or agents, provided that in the event of such unauthorized action the Union first meets the following conditions:",HARD,deontic:obligation|exception,3,,,,,,
UNITE_HE_0078,UNITE_HERE_Local17_Ramada_Plaza,11,Such schedules may be changed in cases of emergencies or business needs.,SOFT,deontic:permission|exception,3,,,,,,
UNITE_HE_0202,UNITE_HERE_Local17_Ramada_Plaza,19,"Provided, however, such jury duty pay shall be subject to the following conditions:",HARD,deontic:obligation|exception,3,,,,,,
UNITE_HE_0243,UNITE_HERE_Local17_Ramada_Plaza,24,"Once a request has been approved by the Employer, the vacation dates shall not be changed unless by mutual consent of the Employer and the Employee. 15.5 Terminated Employees.",HARD,deontic:prohibition|deontic:obligation|exception,3,,,,,,
UNITE_HE_0153,UNITE_HERE_Local17_Ramada_Plaza,16,"The Arbitrator shall render no award which shall be retroactive beyond the date the grievance was originally filed with the Employer (except in cases of improper wage rate), or impose any liability not explicitly expressed herein.",HARD,deontic:obligation|exception,3,,,,,,
UNITE_HE_0119,UNITE_HERE_Local17_Ramada_Plaza,14,"Employees may exercise their seniority to not work a named holiday as listed in Article 13 if business permits, with the junior employee(s) in the classification being required to work as needed, subject to adequate staffing based on employee qualifications and abilities.",SOFT,deontic:permission|exception,3,,,,,,
UNITE_HE_0210,UNITE_HERE_Local17_Ramada_Plaza,20,"An employee returning from a leave shall be entitled to return to his or her previously held job classification and schedule (hours, days and room), subject to the following conditions:",HARD,deontic:obligation|exception,3,,,,,,
UNITE_HE_0036,UNITE_HERE_Local17_Ramada_Plaza,8,"Participation by any employee in any such practices prohibited by this Section shall be considered just and reasonable cause for discharge or other disciplinary action by the Employer, and subject to the Grievance and Arbitration Procedure in Article 10. 5.2 Unauthorized Action.",HARD,deontic:obligation|exception,3,,,,,,
UNITE_HE_0070,UNITE_HERE_Local17_Ramada_Plaza,11,"Employees shall not be required to work overtime or premium time unless, in the Employer’s opinion it is a business necessity, in which case such overtime shall be offered pursuant to Section 9.6. 8.5 Overtime Pay.",HARD,deontic:prohibition|deontic:obligation|exception,3,,,,,,
UNITE_HE_0332,UNITE_HERE_Local17_Ramada_Plaza,35,HOUSEKEEPING Room Attendant* 1% 2% 3% 3.50% 4% Start $11.26 $11.37 $11.60 $11.95 $12.37 $12.86 12 Months $11.93 $12.05 $12.29 $12.66 $13.10 $13.63 24 Months $12.55 $12.68 $12.93 $13.32 $13.78 $14.33 36 Months $13.54 $13.68 $13.95 $14.37 $14.87 $15.47 Houseperson 1% 2% 3% 3.50% 4% Start $11.26 $11.37 $11.60 $11.95 $12.37 $12.86 12 Months $11.93 $12.05 $12.29 $12.66 $13.10 $13.63 24 Months $12.55 $12.68 $12.93 $13.32 $13.78 $14.33 36 Months $13.54 $13.68 $13.95 $14.37 $14.87 $15.47 LAUNDRY Laundry 1% 2% 3% 3.50% 4% Start $11.26 $11.37 $11.60 $11.95 $12.37 $12.86 12 Months $11.93 $12.05 $12.29 $12.66 $13.10 $13.63 24 Months $12.55 $12.68 $12.93 $13.32 $13.78 $14.33 36 Months $13.54 $13.68 $13.95 $14.37 $14.87 $15.47 *Room Attendants who are trained and qualified for self-inspecting of guest rooms shall be paid an additional one dollar ($1.00) per hour over their rate of pay.,HARD,deontic:obligation|threshold,3,,,,,,
UNITE_HE_0039,UNITE_HERE_Local17_Ramada_Plaza,8,"(b) The Union shall promptly order its members to return to work, notwithstanding the existence of a picket line upon notification by the Employer to the Union business office.",HARD,deontic:obligation|exception,3,,,,,,
UNITE_HE_0042,UNITE_HERE_Local17_Ramada_Plaza,8,"However, an issue of fact as to whether or not any particular employee has engaged in, participated in, or encouraged any such violation may be subject to arbitration. 5.3.",SOFT,deontic:permission|exception,3,,,,,,
UNITE_HE_0145,UNITE_HERE_Local17_Ramada_Plaza,16,Any grievance not submitted to arbitration (by proposing an arbitrator to the Employer) within fourteen (14) calendar days from the date of the Employer’s step two grievance response shall be considered closed unless an extension of time is mutually agreed upon in writing. 10.5 Selection of Arbitrator.,HARD,deontic:obligation|exception,3,,,,,,
