sentence_id,source_doc,page_num,raw_text,predicted_type,signals,confidence_score,is_constraint,constraint_type,entities,threshold,exception,notes
CTU_CHIA_0329,CTU_ChiArts_2022_2024,41,"Bargaining unit members will receive an additional 30 days of continuous insurance benefits after their last pay period. 12-month payroll calendar: Bargaining unit members subject to layoff before May 1st shall be given forty-five (45) calendar days’ notice or forty-five (45) calendar days’ pay, benefits, and insurance in lieu of notice by the Employer prior to the effective date of the layoff.",HARD,deontic:obligation|deontic:permission|threshold|exception,4,,,,,,
CTU_CHIA_0115,CTU_ChiArts_2022_2024,17,"Administration of the Agreement: The Employer shall make available for inspection to the Union any information that is available, relevant, and necessary for the administration of this Agreement, within a reasonable period of time (not to exceed 10 days, unless request is expansive and an extension of said period is requested and mutually agreed to).",HARD,deontic:obligation|threshold|exception,4,,,,,,
CTU_CHIA_0393,CTU_ChiArts_2022_2024,52,"Emergency Unpaid Leave: A Bargaining Unit Member who has exhausted all benefit days and has no available benefit days may request an unpaid emergency leave for up to 30 days due to an unusual and unforeseeable event that legitimately requires the Bargaining Unit Member to miss work, provided that the decision on whether to grant any additional paid or unpaid time off shall be in the sole discretion of the Director of Human Resources, or anyone else designated by the network as the designee for this role.",HARD,deontic:obligation|deontic:permission|threshold|exception,4,,,,,,
CTU_CHIA_0722,CTU_ChiArts_2022_2024,95,"If office staff members are required to work irregular hours, which include Board meetings scheduled outside of their normal work hours, they shall be allowed to modify their regular schedule for that week such that the average day worked per week remains 8 hours, except where the bargaining unit member is paid to attend the Board meeting.",HARD,deontic:obligation|deontic:obligation|threshold|exception,4,,,,,,
CTU_CHIA_0479,CTU_ChiArts_2022_2024,63,Course load: Special education teachers shall teach and co-teach no more than two academic contents unless they consent to.,HARD,deontic:obligation|exception,3,,,,,,
CTU_CHIA_0375,CTU_ChiArts_2022_2024,49,"Academic freedom shall also mean that Instructional Staff shall be entitled to freedom of discussion within the classroom on all matters which are relevant to the subject matter under study and within their areas of professional competence, assuming that all facts concerning controversial issues shall be presented in a scholarly and objective manner, and assuming that all discussion shall be maintained within the outlines of appropriate course content, be pedagogically justifiable, and be subject to the standards of good taste.",HARD,deontic:obligation|exception,3,,,,,,
CTU_CHIA_0422,CTU_ChiArts_2022_2024,54,"A bargaining unit member returning from any type of unpaid leave shall be entitled to return to the same position and assignment s/he had prior to the leave unless that position was filled in her/his absence with another employee, and in such case the returning employee shall be entitled to an available equivalent position for which the employee is qualified.",HARD,deontic:obligation|exception,3,,,,,,
CTU_CHIA_0431,CTU_ChiArts_2022_2024,56,"(3) non-attendance days with full pay in a school year for the observance of religious holidays, which shall not be considered an absence and shall not be counted against the member’s benefit days, provided that the employee provides written notice to their direct supervisor or the Principal at least two",HARD,deontic:prohibition|deontic:obligation|exception,3,,,,,,
CTU_CHIA_0439,CTU_ChiArts_2022_2024,58,The minimum stipend pay for any newly created stipend positions must be the equivalent of $50/hour or $1000 per semester unless mutually agreed between the Union and the Employer. 3.,HARD,deontic:obligation|exception,3,,,,,,
CTU_CHIA_0456,CTU_ChiArts_2022_2024,61,"For eligible Bargaining Unit Members who elect to participate in the Employer’s benefits plan, which plan is subject to all the terms and conditions of the plan documents, the Employer shall pay the following amounts: 1. 100% of the employee premium for vision and dental insurance; 2. 100% of the individual Bargaining Unit Member’s premium for life insurance, short term disability, AD&D insurance, and long-term disability insurance.",HARD,deontic:obligation|exception,3,,,,,,
