sentence_id,source_doc,page_num,raw_text,predicted_type,signals,confidence_score,is_constraint,constraint_type,entities,threshold,exception,notes
UAW_FORD_0389,UAW_Ford_Salaried_2023,183,"In order to minimize the impact of these changes to the workforce, the Company agrees that in the event it determines changes to the operating pattern, or employee start and quit times are required, it shall provide 2 weeks advance notification to the bargaining unit Chairperson unless conditions beyond Company’s control occur.",HARD,deontic:obligation|threshold|exception,4,Yes,HARD,"Company, bargaining unit Chairperson",notification_period=2_weeks,conditions beyond Company’s control,"auto-openai:The sentence imposes a mandatory requirement for the Company to provide advance notification, qualifying it as a hard constraint."
UAW_FORD_0193,UAW_Ford_Salaried_2023,46,ARTICLE XI MISCELLANEOUS this Agreement shall continue in effect subject to the terms thereof for the duration of this Agreement.,HARD,deontic:obligation|exception,3,No,NOT_CONSTRAINT,,,,auto-openai:The sentence serves as an administrative statement regarding the duration of the agreement and does not impose any specific obligations or restrictions.
UAW_FORD_0157,UAW_Ford_Salaried_2023,38,"The Company may terminate or transfer any probationary employee at any time without restriction, except that there shall be no discrimination because of legitimate activity for or against, or membership or non-membership in, the Union.",HARD,deontic:obligation|deontic:permission|exception,3,Yes,SOFT,"Company, probationary employee, Union",,"except that there shall be no discrimination because of legitimate activity for or against, or membership or non-membership in, the Union","auto-openai:The sentence allows the Company discretion to terminate or transfer probationary employees but includes a condition against discrimination, classifying it as a soft constraint."
UAW_FORD_0218,UAW_Ford_Salaried_2023,57,"Day March 29, 2024 Good Friday April 1, 2024 Day after Easter May 27, 2024 Memorial Day June 19, 2024 Juneteenth Day July 4, 2024 Independence Day September 2, 2024 Labor Day 2nd Year November 5, 2024 Federal Election Day November 11, 2024 Veterans Day November 28, 2024 Thanksgiving Day November 29, 2024 Day after Thanksgiving December 23, 2024 Christmas Holiday Period December 24, 2024 Christmas Holiday Period December 25, 2024 Christmas Holiday Period December 26, 2024 Christmas Holiday Period December 27, 2024 Christmas Holiday Period December 30, 2024 Christmas Holiday Period December 31, 2024 Christmas Holiday Period January 1, 2025 Christmas Holiday Period January 20, 2025 Martin Luther King, Jr.",SOFT,deontic:permission|threshold,3,Yes,NOT_CONSTRAINT,"operator, authority, union",,,auto-openai:The sentence lists holidays and does not impose any mandatory or discretionary rules regarding labor conditions.
UAW_FORD_0220,UAW_Ford_Salaried_2023,58,"APPENDIX C HOLIDAY SCHEDULE May 26, 2025 Memorial Day June 19, 2025 Juneteenth Day July 4, 2025 Independence Day September 1, 2025 Labor Day 3rd Year November 11, 2025 Veterans Day November 27, 2025 Thanksgiving Day November 28, 2025 Day after Thanksgiving December 24, 2025 Christmas Holiday Period December 25, 2025 Christmas Holiday Period December 26, 2025 Christmas Holiday Period December 29, 2025 Christmas Holiday Period December 30, 2025 Christmas Holiday Period December 31, 2025 Christmas Holiday Period January 1, 2026 Christmas Holiday Period January 2, 2026 Christmas Holiday Period January 19, 2026 Martin Luther King, Jr.",SOFT,deontic:permission|threshold,3,Yes,NOT_CONSTRAINT,"operator, union",,,"auto-openai:The sentence lists holidays without imposing any mandatory requirements or conditions, making it administrative in nature."
UAW_FORD_0221,UAW_Ford_Salaried_2023,58,"Day April 3, 2026 Good Friday April 6, 2026 Day after Easter May 25, 2026 Memorial Day June 19, 2026 Juneteenth Day July 3, 2026 Independence Day Observed September 7, 2026 Labor Day 4th Year November 3, 2026 Federal Election Day November 11, 2026 Veterans Day November 26, 2026 Thanksgiving Day November 27, 2026 Day after Thanksgiving December 24, 2026 Christmas Holiday Period December 25, 2026 Christmas Holiday Period December 28, 2026 Christmas Holiday Period December 29, 2026 Christmas Holiday Period December 30, 2026 Christmas Holiday Period December 31, 2026 Christmas Holiday Period 56",SOFT,deontic:permission|threshold,3,Yes,HARD,"operator, union",,,"auto-openai:The sentence lists specific holidays that are recognized and observed, indicating a mandatory requirement for scheduling."
UAW_FORD_0222,UAW_Ford_Salaried_2023,59,"Day March 26, 2027 Good Friday March 29, 2027 Day after Easter May 31, 2027 Memorial Day June 18, 2027 Juneteenth Observed July 5, 2027 Independence Day Observed September 6, 2027 Labor Day 5th Year November 11, 2027 Veterans Day November 25, 2027 Thanksgiving Day November 26, 2027 Day after Thanksgiving December 24, 2027 Christmas Holiday Period December 27, 2027 Christmas Holiday Period December 28, 2027 Christmas Holiday Period December 29, 2027 Christmas Holiday Period December 30, 2027 Christmas Holiday Period December 31, 2027 Christmas Holiday Period January 17, 2028 Martin Luther King, Jr.",SOFT,deontic:permission|threshold,3,No,NOT_CONSTRAINT,"operator, authority, union",,,auto-openai:The sentence lists holiday dates without imposing any mandatory or discretionary obligations.
UAW_FORD_0225,UAW_Ford_Salaried_2023,64,"It is further understood that the full time Chairpersons for the Local 600 Nursing Units and Local 1970 Unit 1 shall be entitled to function as such on Company time for up to 10 hours daily, Monday through Sunday, as long as employees in their units are scheduled to work on the Chairperson's shift for such hours on such days.",HARD,deontic:obligation|threshold,3,Yes,HARD,"Company, Local 600, Local 1970",max_hours=10,as long as employees in their units are scheduled to work on the Chairperson's shift for such hours on such days,"auto-openai:The sentence establishes a mandatory condition for Chairpersons to function on Company time with a specific maximum hour limit, contingent on employee scheduling."
UAW_FORD_0038,UAW_Ford_Salaried_2023,21,Represented employees may apply for non-represented positions subject to the job posting procedures and guidelines of their respective Company organization.,SOFT,deontic:permission|exception,3,Yes,SOFT,"employees, Company organization",,subject to the job posting procedures and guidelines,"auto-openai:The sentence indicates that represented employees have the option to apply for non-represented positions, but this is contingent upon existing job posting procedures, making it a soft constraint."
UAW_FORD_0353,UAW_Ford_Salaried_2023,159,NURSING CONTINUING EDUCATION UNITS of requests for CEU training may be subject to the grievance procedure.,SOFT,deontic:permission|exception,3,Yes,SOFT,union,,,"auto-openai:The sentence indicates that requests for CEU training may be subject to the grievance procedure, which implies discretion and negotiation rather than a mandatory requirement."
UAW_FORD_0041,UAW_Ford_Salaried_2023,22,Any employee found guilty of violating this section may be subject to discharge.,SOFT,deontic:permission|exception,3,Yes,SOFT,"employee, authority",,,"auto-openai:The sentence indicates that an employee may face discharge for violations, which implies discretion in enforcement and is not legally mandatory."
UAW_FORD_0299,UAW_Ford_Salaried_2023,120,"In accordance with the Company’s Vacation policy as of the date of this letter, employees subject to this agreement whose Benefit Service Date is on or after January 1, 2004, shall be encouraged to submit to their Human Resources representative and their supervisor, resumes or curriculum vitae describing their employment experience prior to working at the Company, for review for a possible grant of additional vacation eligibility (a “VED” date), as described in the Company’s vacation policy.",HARD,deontic:obligation|exception,3,Yes,SOFT,"Company, employees, Human Resources, supervisor",,,"auto-openai:The sentence encourages employees to submit resumes for additional vacation eligibility, indicating a discretionary process rather than a mandatory requirement."
