sentence_id,source_doc,page_num,raw_text,predicted_type,signals,confidence_score,is_constraint,constraint_type,entities,threshold,exception,notes
CARPENTE_0327,Carpenters_Interior_Exterior_2022,48,"(a) When so elected by the Contractor, multiple shifts may be worked for five or more consecutive days, provided that the Union is notified 48 hours in advance of the effective date of the starting of such multiple-shift operations.",SOFT,deontic:permission|threshold|exception,4,,,,,,
CARPENTE_0438,Carpenters_Interior_Exterior_2022,66,"Any diluted or delayed test shall be a presumed positive result, unless reviewed and overturned by the Medical Review Officer.",HARD,deontic:obligation|exception,3,,,,,,
CARPENTE_0069,Carpenters_Interior_Exterior_2022,15,"(a) During the term of this Agreement the Union may withdraw employees, or refuse to furnish or refer persons for any and all violations of this Agreement, except for grievances arising over an alleged violation of Article II.",SOFT,deontic:permission|exception,3,,,,,,
CARPENTE_0216,Carpenters_Interior_Exterior_2022,31,"In the event of any change of ownership or in the form of the signatory contractor’s business organization, the terms and obligations of this Agreement shall continue in full force and effect as to the employing organization.",HARD,deontic:obligation|exception,3,,,,,,
CARPENTE_0217,Carpenters_Interior_Exterior_2022,31,Disputes over the application or interpretation of this Article shall be subject to the grievance procedures contained in Article VIII of this Agreement.,HARD,deontic:obligation|exception,3,,,,,,
CARPENTE_0218,Carpenters_Interior_Exterior_2022,32,shall be recognized unless and until all financial obligations of the signatory contractor due under this agreement are paid in full.,HARD,deontic:obligation|exception,3,,,,,,
CARPENTE_0220,Carpenters_Interior_Exterior_2022,32,The Union shall not be required to recognize any new or changed entity unless and until the above obligations are met.,HARD,deontic:prohibition|deontic:obligation|exception,3,,,,,,
CARPENTE_0334,Carpenters_Interior_Exterior_2022,49,"(f) Any time worked from Saturday 8:00 a.m. to Monday 7:00 a.m. or on Holidays or in excess of the regular shift hours shall be paid for at the applicable overtime rate, except as provided above.",HARD,deontic:obligation|exception,3,,,,,,
CARPENTE_0060,Carpenters_Interior_Exterior_2022,14,"(a) Selection of applications for referral to jobs pursuant to this Agreement shall be on a non-discriminatory basis and shall not be based on, or in any way affected by Union membership, bylaws, rules, regulations, constitutional provisions or any other aspect or obligation of Union membership, policies or requirements, provided that the provisions hereof shall not modify or qualify the requirements of Article IV of this Agreement. 11",HARD,deontic:prohibition|deontic:obligation|exception,3,,,,,,
CARPENTE_0059,Carpenters_Interior_Exterior_2022,14,No representative of the Union shall interfere with the employment relationship between the Contractor and the employees unless specifically permitted by this Agreement and shall not encourage employees to leave one contractor to be employed by another contractor.,HARD,deontic:prohibition|deontic:obligation|exception,3,,,,,,
