sentence_id,source_doc,page_num,raw_text,predicted_type,signals,confidence_score,is_constraint,constraint_type,entities,threshold,exception,notes
SEIU_119_1335,SEIU_1199_Ohio_2022,243,An individual who fails to notify OOD of the loss of licensure within 14 days after it is lost may be responsible for repayment of any salary improperly received and may be subject to discipline.,SOFT,deontic:permission|threshold|exception,4,,,,,,
SEIU_119_0218,SEIU_1199_Ohio_2022,43,"ARTICLE 10 - VACATION ALLOWANCE 10.01 Rate of Accrual Permanent full-time employees shall be granted vacation leave with pay at regular rate as follows, except that those employees who have less than eighty (80) hours in an active pay status in a pay period shall be credited with a prorated amount of leave according to the following schedule: Length of State Accrual Rate: Hours Earned Service Per 80 Hours in Active Pay Status Per Pay Period Less than 4 years 3.1 hours 4 years or more 4.6 hours 9 years or more 6.2 hours 14 years or more 6.9 hours 19 years or more 7.7 hours 24 years or more 9.2 hours Employees who provide valid documentation to their Agency’s Human Resources department shall receive credit for prior service with the State, the Ohio National Guard, or any political subdivision of the State for purposes of computing vacation leave in accordance with ORC 9.44.",HARD,deontic:obligation|threshold|exception,4,,,,,,
SEIU_119_1035,SEIU_1199_Ohio_2022,188,"The employee may be eligible for salary continuation during the appeal process, which may not exceed 480 hours.",SOFT,deontic:restriction|deontic:permission|threshold,3,,,,,,
SEIU_119_0325,SEIU_1199_Ohio_2022,61,"Said denial shall not prevent the submission of a new application, subject to the above same requirements.",HARD,deontic:prohibition|deontic:obligation|exception,3,,,,,,
SEIU_119_1170,SEIU_1199_Ohio_2022,211,Hours of Work and Overtime Article 24 (Hours of Work and Overtime) shall be followed except for the following modification: 14.,HARD,deontic:obligation|exception,3,,,,,,
SEIU_119_0455,SEIU_1199_Ohio_2022,83,"(8) hours in between shifts, unless there are extenuating circumstances. 24.04 Overtime and Compensatory Time Overtime work shall be compensated as follows: A.",HARD,deontic:obligation|exception,3,,,,,,
SEIU_119_0270,SEIU_1199_Ohio_2022,52,Sick leave used for these supplements shall be paid at a rate of 100% notwithstanding the schedule previously specified. 13.05 Notification for Use of Sick Leave and Notification for Extended Sick Leave A.,HARD,deontic:obligation|exception,3,,,,,,
SEIU_119_0871,SEIU_1199_Ohio_2022,142,"Notwithstanding any other provision of this Agreement, if these definitions lead to any reduction in pay, the previous application shall apply. 43.02 Schedule of Wage Increases Effective with the pay period which includes July 1, 129",HARD,deontic:obligation|exception,3,,,,,,
SEIU_119_0104,SEIU_1199_Ohio_2022,29,No mediator/arbitrator shall hear a case at both mediation and arbitration unless mutually agreed otherwise.,HARD,deontic:obligation|exception,3,,,,,,
SEIU_119_1166,SEIU_1199_Ohio_2022,211,This one commute trip shall be considered paid work time (less 20 minutes each way) and mileage shall be reimbursed consistent with this MOU.,HARD,deontic:obligation|threshold,3,,,,,,
SEIU_119_0095,SEIU_1199_Ohio_2022,28,Any grievances resolved at Step 2 shall not be precedent setting at other institutions or agencies unless otherwise specifically agreed to in the settlement.,HARD,deontic:prohibition|deontic:obligation|exception,3,,,,,,
SEIU_119_0322,SEIU_1199_Ohio_2022,61,The matter shall then be subject to the constraints of Article 8 of the Collective Bargaining Agreement.,HARD,deontic:obligation|exception,3,,,,,,
SEIU_119_0636,SEIU_1199_Ohio_2022,108,"Only by agreement between the appropriate parties can the regular hours of employees be reduced. 29.06 Placement Notwithstanding any other provisions of Article 30, the Union and the Agency or Agencies may agree, in writing, to place an employee to be laid off in an existing vacancy which may not be otherwise available.",SOFT,deontic:restriction|deontic:permission|exception,3,,,,,,
SEIU_119_0576,SEIU_1199_Ohio_2022,99,"In the event of a layoff or in order to avoid a layoff, appointments of this type may be terminated prior to the end of the appointment period.",SOFT,deontic:permission|exception,3,,,,,,
SEIU_119_0867,SEIU_1199_Ohio_2022,141,"During initial orientation, a Union representative shall be allowed reasonable time to orient new bargaining unit employees to the Union. 42.02 Polygraph Tests No employee shall be required to take a polygraph, voice stress or psychological stress examination as a condition of retaining employment, nor shall an employee be subject to discipline for the refusal to take such a test. 42.03 Compensation for Damaged Personal Property If the clothing or other personal property normally worn by a member of the bargaining unit is damaged or destroyed as the result of actions arising out of the member’s performance of work, the Employer will make reasonable compensation to the member for the property, or repair the property, or clean the property.",HARD,deontic:obligation|deontic:prohibition|exception,3,,,,,,
SEIU_119_0464,SEIU_1199_Ohio_2022,84,"Compensatory time requests must be submitted in writing twenty-four (24) hours in advance of the anticipated time off, unless the need for time off is of an emergency nature. 24.05 Jury Duty Employees shall receive pay at regular rate for regularly scheduled working hours when they are required to serve as a juror in a United States or Ohio court.",HARD,deontic:obligation|deontic:obligation|deontic:obligation|exception,3,,,,,,
SEIU_119_0332,SEIU_1199_Ohio_2022,63,Any requests for additional allowances to a claim shall be approved by BWC prior to requesting payment of additional salary continuation subject to the four hundred and eighty (480) total hours limit.,HARD,deontic:obligation|exception,3,,,,,,
SEIU_119_0875,SEIU_1199_Ohio_2022,150,"43.03 Initial Hires Newly hired employees will move to the next step in their pay range after completion of one hundred and eighty (180) days, except for those employees in classifications who, as of May 31, 2015, receive a probationary step at three hundred and sixty-five (365) days will continue to move to the next step in their pay range after completion of three hundred and sixty-five (365) days.",SOFT,deontic:permission|exception,3,,,,,,
SEIU_119_0317,SEIU_1199_Ohio_2022,60,The Employer’s decision to disability separate an employee or to deny reinstatement from an involuntary disability separation shall not be grievable but shall be exclusively subject to appeal through the State Personnel Board of Review (SPBR).,HARD,deontic:prohibition|deontic:obligation|exception,3,,,,,,
SEIU_119_1092,SEIU_1199_Ohio_2022,198,Any last chance agreements entered into during the term of the last contract shall be subject to the above provision.,HARD,deontic:obligation|exception,3,,,,,,
SEIU_119_0260,SEIU_1199_Ohio_2022,51,Part-time employees shall receive 2.77 hours of sick leave for each eighty (80) hours of completed service.,HARD,deontic:obligation|threshold,3,,,,,,
SEIU_119_1178,SEIU_1199_Ohio_2022,212,"The parties shall schedule vacation for all employees in accordance with Section 10.03 of the collective bargaining agreement, except where modified in this section.",HARD,deontic:obligation|exception,3,,,,,,
SEIU_119_0662,SEIU_1199_Ohio_2022,112,Among those that are qualified the job shall be awarded to the applicant with the most state seniority unless a junior employee is significantly more qualified based on the listed criteria.,HARD,deontic:obligation|exception,3,,,,,,
SEIU_119_0509,SEIU_1199_Ohio_2022,89,"In the other Agencies, shifts shall not be rotated unless mutually agreed to by the parties. 24.15 Job Sharing The Employer and the Union recognize the value of job sharing in some situations.",HARD,deontic:prohibition|deontic:obligation|exception,3,,,,,,
SEIU_119_1091,SEIU_1199_Ohio_2022,198,"(5) years, except if any of the following situations led to the drug or alcohol testing, in which case the last chance agreement shall be of an unlimited duration: 1.",HARD,deontic:obligation|exception,3,,,,,,
SEIU_119_1271,SEIU_1199_Ohio_2022,230,form in advance.  It must be approved by a nursing supervisor designated at the RPH.  No trade may cause overtime for either employee unless specifically noted in advance and approved in advance.  The trading employees must work the entire shift for which the trade is intended.  Locally it must be decided how long in advance the request must be made.  The trade may only be with and among qualified bargaining unit members in the same Union.,HARD,deontic:obligation|deontic:permission|exception,3,,,,,,
SEIU_119_0342,SEIU_1199_Ohio_2022,65,"Upon request of the Employer, employees must participate in the transitional work program unless precluded from participation by their attending physician.",HARD,deontic:obligation|exception,3,,,,,,
