sentence_id,source_doc,page_num,raw_text,predicted_type,signals,confidence_score,is_constraint,constraint_type,entities,threshold,exception,notes
AFSCME_N_0864,AFSCME_NP3_CT_2022_2025,103,A staff member working a swap shall be eligible for overtime (unless they have worked 18.5 or more hours in the past 24 hours). 11.,HARD,deontic:obligation|threshold|exception,4,Yes,HARD,"staff member, operator",max_hours=18.5,unless they have worked 18.5 or more hours in the past 24 hours,auto-openai:The sentence establishes a mandatory condition for overtime eligibility with a specific threshold and an exception clause.
AFSCME_N_0816,AFSCME_NP3_CT_2022_2025,96,Failure to excuse lateness of up to 2 1/2 hours shall be subject to the grievance and arbitration provisions of this Agreement.,HARD,deontic:obligation|threshold|exception,4,Yes,HARD,"operator, union",max_hours=2.5,,"auto-openai:The sentence establishes a mandatory consequence for not excusing lateness, indicating a hard constraint."
AFSCME_N_0001,AFSCME_NP3_CT_2022_2025,5,"SE-8129, Decision No. 2248, issued November 2, 1983, subject to such modifications or clarifications of the unit as the Board or a court may order or to which the parties may agree.",SOFT,deontic:permission|exception,3,Yes,SOFT,"Board, parties",,,"auto-openai:The sentence indicates that modifications or clarifications may occur based on the Board's or court's orders or mutual agreement, which implies discretion and negotiation."
AFSCME_N_0711,AFSCME_NP3_CT_2022_2025,85,Disputes over the State’s obligations to provide counsel under this Section shall be subject to expedited arbitration.,HARD,deontic:obligation|exception,3,Yes,HARD,"State, counsel, arbitration",,,"auto-openai:The sentence establishes a mandatory process for resolving disputes regarding the State's obligations, indicating a hard constraint."
AFSCME_N_0762,AFSCME_NP3_CT_2022_2025,90,"Nothing in this Article shall prevent the Employer from reassigning an employee from one functional unit of a work location to another functional unit of that work location, on either a temporary or a permanent basis, provided that the Employer shall provide the employee with two",HARD,deontic:obligation|exception,3,Yes,SOFT,"Employer, employee",,provided that the Employer shall provide the employee with two,"auto-openai:The sentence allows the Employer to reassign employees but includes a condition regarding notification, making it a soft constraint."
AFSCME_N_0759,AFSCME_NP3_CT_2022_2025,90,"This Section shall not apply if a work unit is moved from one location to another or in emergency situations, provided that a representative of the Employer shall notify the Union of the anticipated move as soon as possible but no later than two",HARD,deontic:prohibition|deontic:obligation|exception,3,Yes,HARD,"Employer, Union",,if a work unit is moved from one location to another or in emergency situations,"auto-openai:The sentence establishes a mandatory notification requirement for the Employer to inform the Union, making it a hard constraint with specific exceptions."
AFSCME_N_0235,AFSCME_NP3_CT_2022_2025,31,Any dispute as to whether the explanation offered is valid shall be subject to the grievance and arbitration procedure.,HARD,deontic:obligation|exception,3,Yes,HARD,"union, operator",,,"auto-openai:The sentence establishes a mandatory procedure for resolving disputes, indicating a legally binding requirement."
AFSCME_N_0236,AFSCME_NP3_CT_2022_2025,31,"In any such arbitration, the arbitrator shall not substitute his/her judgment for that of the Employer unless the Employer’s decision can be shown to be arbitrary or capricious.",HARD,deontic:prohibition|deontic:obligation|exception,3,Yes,HARD,"arbitrator, Employer",,unless the Employer’s decision can be shown to be arbitrary or capricious,"auto-openai:The sentence establishes a mandatory condition for arbitration, indicating that the arbitrator cannot override the Employer's decision unless specific criteria are met."
AFSCME_N_0244,AFSCME_NP3_CT_2022_2025,32,"Except as provided in this section or in Article 14, the definition of seniority in this Article shall apply in all situations where seniority is a factor.",HARD,deontic:obligation|exception,3,Yes,HARD,seniority,,Except as provided in this section or in Article 14,"auto-openai:The sentence establishes a mandatory definition of seniority that applies universally, indicating a hard constraint."
AFSCME_N_0245,AFSCME_NP3_CT_2022_2025,32,No employee shall be laid off except in compliance with this Article.,HARD,deontic:obligation|deontic:prohibition|exception,3,Yes,HARD,"employee, employer, union",,,"auto-openai:The sentence imposes a mandatory requirement that layoffs must comply with the specified article, indicating no discretion is allowed."
AFSCME_N_0744,AFSCME_NP3_CT_2022_2025,88,"(6) calendar week probationary period is not satisfactory to the new agency shall be returned to his/her former position, or if his/her position is filled, to a comparable position in the same facility, with the same pay and without any loss of any benefits or seniority rights; but failure of this probationary period shall not be subject to the grievance and arbitration provisions of this Agreement.",HARD,deontic:prohibition|deontic:obligation|exception,3,Yes,HARD,"agency, employee",,failure of this probationary period shall not be subject to the grievance and arbitration provisions,"auto-openai:The sentence establishes a mandatory condition regarding the probationary period and the consequences of its failure, indicating a hard constraint."
AFSCME_N_0732,AFSCME_NP3_CT_2022_2025,87,(3) A temporary transferee from one agency to another shall be considered for all purposes as an employee of the agency from which he/she was loaned except for the purpose of immediate supervision.,HARD,deontic:obligation|exception,3,Yes,HARD,"agency, employee",,except for the purpose of immediate supervision,"auto-openai:The sentence establishes a mandatory classification of a temporary transferee as an employee of the loaning agency, which is a hard constraint with a specific exception."
AFSCME_N_0268,AFSCME_NP3_CT_2022_2025,34,"Also, a permanent employee may bump any of the following provided that he/she has more seniority than the employee to be bumped:",SOFT,deontic:permission|exception,3,Yes,SOFT,employee,,provided that he/she has more seniority than the employee to be bumped,"auto-openai:The sentence describes a discretionary action that an employee may take based on seniority, indicating it is a soft constraint."
AFSCME_N_0721,AFSCME_NP3_CT_2022_2025,86,Subject to the requirement that no permanent transfer of an employee shall be made until an employee laid-off from the same classification and eligible for re-hire and qualified for the position involved has been offered reemployment:,HARD,deontic:obligation|exception,3,Yes,HARD,"employee, employer",,until an employee laid-off from the same classification and eligible for re-hire and qualified for the position involved has been offered reemployment,"auto-openai:The sentence establishes a mandatory condition for employee transfers, indicating that no permanent transfer can occur until specific reemployment conditions are met."
AFSCME_N_0710,AFSCME_NP3_CT_2022_2025,85,"The State shall provide counsel to an employee who is sued for malpractice, provided that the employee was acting within the scope of his/her employment and was not acting in a willful or wanton manner.",HARD,deontic:obligation|exception,3,Yes,HARD,"State, employee",,provided that the employee was acting within the scope of his/her employment and was not acting in a willful or wanton manner,"auto-openai:The sentence imposes a mandatory obligation on the State to provide counsel under specific conditions, qualifying it as a hard constraint."
AFSCME_N_0199,AFSCME_NP3_CT_2022_2025,27,(e) Tuition reimbursement for external degree programs and for courses offered at non-accredited institutions or non-credit courses shall be subject to prior approval by the Personnel Development section of the Department of Administrative Services.,HARD,deontic:obligation|exception,3,Yes,SOFT,"Personnel Development, Department of Administrative Services",,subject to prior approval,"auto-openai:The sentence indicates that tuition reimbursement is contingent upon prior approval, making it a discretionary constraint."
AFSCME_N_0287,AFSCME_NP3_CT_2022_2025,36,(1) person) to be laid off within a class within an agency shall be subject to this paragraph.,HARD,deontic:obligation|exception,3,Yes,HARD,"agency, person",,,auto-openai:The use of 'shall' indicates a legally mandatory requirement regarding layoffs within a class in an agency.
AFSCME_N_0289,AFSCME_NP3_CT_2022_2025,36,"Employer decisions shall be subject to expedited arbitration, provided, however, that no back pay remedy shall accrue to any individual employee. 32",HARD,deontic:obligation|exception,3,Yes,HARD,"employer, employee",,"provided, however, that no back pay remedy shall accrue to any individual employee","auto-openai:The sentence imposes a mandatory condition on employer decisions regarding arbitration, with a specific exception related to back pay."
AFSCME_N_0706,AFSCME_NP3_CT_2022_2025,84,"No employee shall be required to perform work under unsafe or unhealthy conditions; provided, however, that an employee must follow the rule “work now, grieve later” unless there is imminent danger to the employee’s physical well-being.",HARD,deontic:obligation|deontic:obligation|deontic:prohibition|exception,3,Yes,HARD,"employee, employer",,unless there is imminent danger to the employee’s physical well-being,"auto-openai:The sentence imposes a mandatory requirement on the employer to ensure safe working conditions, with a clear exception for imminent danger."
AFSCME_N_0699,AFSCME_NP3_CT_2022_2025,84,"As provided in those guidelines, the donation shall be made only in minimum units of one day (or the equivalent hours), which shall be the length of the standard workday (e.g. 8 hours).",HARD,deontic:obligation|threshold,3,Yes,HARD,"operator, union","min_units=1_day, standard_workday=8_hours",,"auto-openai:The sentence specifies a mandatory requirement for the donation to be made in minimum units of one day or equivalent hours, indicating a hard constraint."
AFSCME_N_0698,AFSCME_NP3_CT_2022_2025,84,Said benefit shall be subject to review and approval by the Undersecretary for the Office of Labor Relations and shall be applied in accordance with uniform guidelines as may be developed by such Undersecretary.,HARD,deontic:obligation|deontic:permission|exception,3,Yes,SOFT,"Undersecretary, Office of Labor Relations",,,"auto-openai:The sentence indicates that the benefit is subject to review and approval, which implies discretion and negotiation, classifying it as a soft constraint."
AFSCME_N_0303,AFSCME_NP3_CT_2022_2025,38,"When an individual employee elects to submit a grievance without Union representation, the Union’s representative or steward shall be notified of the pending grievance, shall be provided with a copy thereof, and shall have the right to be present at any discussions of the grievance, except that if the employee does not wish to have the steward present, the steward shall not attend the meeting.",HARD,deontic:prohibition|deontic:obligation|exception,3,Yes,HARD,"employee, union, steward",,if the employee does not wish to have the steward present,"auto-openai:The sentence establishes a mandatory process for grievance submission involving union representation, with a specific exception regarding the employee's preference."
AFSCME_N_0307,AFSCME_NP3_CT_2022_2025,38,A grievance shall be deemed waived unless submitted at Step I within thirty (30) days from the date of the cause of the grievance or within thirty (30) days from the date the grievant or any Union representative or steward knew or through reasonable diligence should have known of the cause of the grievance.,HARD,deontic:obligation|deontic:preference|exception,3,Yes,HARD,"grievant, Union, representative, steward",max_days=30,,"auto-openai:The sentence establishes a mandatory timeframe for submitting a grievance, indicating that failure to do so results in waiver, which is legally binding."
AFSCME_N_0314,AFSCME_NP3_CT_2022_2025,39,"Accordingly, no grievance shall be deemed ripe for submission to arbitration unless and until the Undersecretary for the Office of Labor Relations or designee has had an opportunity to resolve the grievance.",HARD,deontic:obligation|exception,3,Yes,HARD,"Undersecretary, Office of Labor Relations, grievance",,unless and until the Undersecretary for the Office of Labor Relations or designee has had an opportunity to resolve the grievance,"auto-openai:The sentence establishes a mandatory condition that must be met before a grievance can proceed to arbitration, indicating a hard constraint."
AFSCME_N_0685,AFSCME_NP3_CT_2022_2025,82,(d) An employee who has at least (20) years of State service and who has exhausted his/her sick leave and his/her advance of sick leave may be granted extended sick leave with half pay for thirty (30) days upon the appointing authority’s request and subject to approval by the Commissioner of Administrative Services or designee.,SOFT,deontic:permission|exception,3,Yes,SOFT,"employee, appointing authority, Commissioner of Administrative Services",max_days=30,subject to approval by the Commissioner of Administrative Services or designee,"auto-openai:The sentence outlines a discretionary process for granting extended sick leave, indicating it is a soft constraint."
AFSCME_N_0227,AFSCME_NP3_CT_2022_2025,30,"(a) Seniority shall be defined as an employee’s length of continuous State service, including paid leave and war service, except as provided in Section Three of Article 14.",HARD,deontic:obligation|exception,3,Yes,HARD,employee,,except as provided in Section Three of Article 14,"auto-openai:The sentence defines seniority in a mandatory way, indicating that it is a hard constraint on how seniority is determined."
AFSCME_N_0795,AFSCME_NP3_CT_2022_2025,93,"The present military leave policy shall remain in force, except that paid leave for military callups shall be limited to emergencies. 89",HARD,deontic:obligation|exception,3,Yes,HARD,"operator, union",,limited to emergencies,"auto-openai:The sentence establishes a mandatory policy regarding military leave with a specific limitation on paid leave, indicating a hard constraint."
AFSCME_N_0793,AFSCME_NP3_CT_2022_2025,93,"If the employee is released from jury duty after serving less than the employee’s full workday, the employee shall return to work for the rest of the workday if at least 1/4 of the employee’s work day would be remaining after consideration of reasonable travel time to the work location.",HARD,deontic:obligation|threshold,3,Yes,HARD,employee,min_remaining_workday=1/4,consideration of reasonable travel time,"auto-openai:The sentence establishes a mandatory requirement for the employee to return to work under specific conditions, indicating a hard constraint."
AFSCME_N_0834,AFSCME_NP3_CT_2022_2025,98,"Unless otherwise stated to the contrary, changes to language provisions shall take effect upon legislative approval.",HARD,deontic:obligation|exception,3,Yes,HARD,"operator, authority",,unless otherwise stated to the contrary,"auto-openai:The sentence establishes a mandatory condition for changes to language provisions, making it a hard constraint that requires legislative approval."
AFSCME_N_0109,AFSCME_NP3_CT_2022_2025,19,"If the President is unable to attend, a designee may, without loss of pay, be substituted subject to agency operating needs.",SOFT,deontic:permission|exception,3,Yes,SOFT,"President, agency",,subject to agency operating needs,"auto-openai:The sentence allows for a designee to be substituted at the discretion of the agency, indicating a soft constraint."
AFSCME_N_0114,AFSCME_NP3_CT_2022_2025,19,No anonymous material concerning an employee shall be placed in his/her personnel file nor shall new material derogatory to an employee be placed in an employee’s file unless the employee has had an opportunity to sign it and has been given a copy of the material.,HARD,deontic:obligation|exception,3,Yes,HARD,employee,,unless the employee has had an opportunity to sign it and has been given a copy of the material,"auto-openai:The sentence imposes a mandatory requirement regarding the handling of derogatory material in personnel files, indicating no discretion is allowed."
AFSCME_N_0868,AFSCME_NP3_CT_2022_2025,103,"Failure to complete a swap without good cause shall result in a permanent suspension of swap privileges, subject to review only up to the level of the Labor 99",HARD,deontic:obligation|exception,3,Yes,HARD,"operator, union",,subject to review only up to the level of the Labor 99,"auto-openai:The sentence imposes a mandatory consequence for failing to complete a swap without good cause, indicating a hard constraint."
AFSCME_N_0119,AFSCME_NP3_CT_2022_2025,20,"Derogatory material which is not merged in the service rating next following shall be considered void after the time for issuance of the second-next service rating (not more than eighteen (18) months from the date of the derogatory material), unless another disciplinary action is taken within that period of time.",HARD,deontic:obligation|exception,3,Yes,HARD,"operator, authority, union",18,unless another disciplinary action is taken within that period of time,"auto-openai:The sentence establishes a mandatory time frame for derogatory material to be considered void, indicating a hard constraint."
AFSCME_N_0863,AFSCME_NP3_CT_2022_2025,103,"No employee shall work more than 18.5 consecutive hours including swaps, except in an emergency situation. 10.",HARD,deontic:obligation|deontic:prohibition|exception,3,Yes,HARD,"employee, authority",max_hours=18.5,emergency situation,"auto-openai:The sentence imposes a mandatory limit on consecutive working hours for employees, with a specific exception for emergencies."
AFSCME_N_0862,AFSCME_NP3_CT_2022_2025,102,Employees actually working for another employee while on a swap shall retain his or her own seniority in the event of involuntary overtime (holdover) being necessary. 98,HARD,deontic:obligation|exception,3,Yes,HARD,employees,,,"auto-openai:The sentence establishes a mandatory condition regarding the retention of seniority during involuntary overtime, indicating no discretion is allowed."
