sentence_id,source_doc,page_num,raw_text,predicted_type,signals,confidence_score,is_constraint,constraint_type,entities,threshold,exception,notes
CTU_CPS__0417,CTU_CPS_2019_2024,53,"ISLs continuously employed in a twelve-school-month, 52week schedule (or its previous equivalent) shall maintain their 52-week schedule, unless they voluntarily elect to transfer to a different position with a shorter work year.",HARD,deontic:obligation|threshold|exception,4,Yes,HARD,"ISLs, authority",,unless they voluntarily elect to transfer to a different position with a shorter work year,"auto-openai:The sentence establishes a mandatory requirement for ISLs to maintain their schedule unless they choose to transfer, indicating a hard constraint."
CTU_CPS__1014,CTU_CPS_2019_2024,131,"Article 36 shall be amended as follows: CPS will offer a voluntary separation incentive to PSRPs who have 10 years of CPS service and who submit their resignation notice on or before March 31, 2017 with an effective retirement date of June 30, 2017 provided that a minimum of 600 PSRPs who are currently eligible to participate.",HARD,deontic:obligation|threshold|exception,4,Yes,HARD,"CPS, PSRPs",min_participants=600,provided that a minimum of 600 PSRPs who are currently eligible to participate,"auto-openai:The sentence establishes a mandatory condition for offering a voluntary separation incentive, specifying eligibility criteria and a minimum number of participants."
CTU_CPS__1013,CTU_CPS_2019_2024,131,"Article 36 shall be amended as follows: CPS will offer an early retirement incentive to teachers who are eligible to retire and who submit their retirement notice on or before March 31, 2017 with an effective retirement date of June 30, 2017 provided that a minimum of 1500 teachers who are currently eligible to retire participate.",HARD,deontic:obligation|threshold|exception,4,Yes,HARD,"CPS, teachers",min_participants=1500,provided that a minimum of 1500 teachers who are currently eligible to retire participate,"auto-openai:The sentence establishes a mandatory condition for offering an early retirement incentive, making it a hard constraint."
CTU_CPS__1492,CTU_CPS_2019_2024,268,"SIDE LETTER ON INSTRUCTIONAL MINUTES With regard to Articles 4-1 and 5-1 (minutes of student instruction), and for the term of the 2015-19 collective bargaining agreement, the parties shall abide by the past practice that schools may provide up to 300 minutes of instruction.",HARD,deontic:obligation|deontic:permission|threshold,3,Yes,SOFT,"schools, parties",max_minutes=300,,"auto-openai:The sentence indicates a practice that schools may follow regarding instructional minutes, which is discretionary and not legally mandatory."
CTU_CPS__0939,CTU_CPS_2019_2024,122,"Except in circumstances beyond the teacher’s control, each teacher who has been absent, or the teacher’s designee, shall notify the principal of his or her return by 2:00 p.m. of the day prior to said return. 33-10.Workers’ Compensation Act.",HARD,deontic:obligation|exception,3,Yes,HARD,"teacher, principal",empty string,circumstances beyond the teacher’s control,"auto-openai:The sentence imposes a mandatory requirement for notification of return, qualifying it as a hard constraint with a specified exception."
CTU_CPS__0927,CTU_CPS_2019_2024,121,"The Chief Executive Officer shall have the authority, subject to the approval of the BOARD, to grant child-rearing leave.",HARD,deontic:obligation|exception,3,Yes,SOFT,"Chief Executive Officer, BOARD",,,"auto-openai:The sentence indicates that the CEO has the authority to grant leave subject to BOARD approval, which implies discretion and negotiation."
CTU_CPS__0197,CTU_CPS_2019_2024,27,"No later than January 1, 2017, the parties shall agree on model schedules that will allow full-time elementary teachers a minimum of 15 minutes of preparation at the beginning of the school day for a minimum of 71 student attendance days (based on a 178 student attendance day school year; two per week).",HARD,deontic:obligation|threshold,3,Yes,HARD,"parties, teachers","min_preparation=15min, min_attendance_days=71",,"auto-openai:The sentence establishes a mandatory requirement for model schedules that must provide specific preparation time and attendance days, indicating a legally binding obligation."
CTU_CPS__0930,CTU_CPS_2019_2024,121,"The teacher’s position shall be held open during the first period of ten successive school months of child-rearing leave or to the end of the semester immediately following said ten months upon the written request of the teacher for such extension, subject to the approval of the BOARD.",HARD,deontic:obligation|exception,3,Yes,SOFT,"teacher, BOARD",,subject to the approval of the BOARD,"auto-openai:The sentence outlines a condition for holding a position open during a leave, which is subject to the teacher's request and the BOARD's approval, indicating it is a discretionary constraint."
CTU_CPS__0934,CTU_CPS_2019_2024,122,PSRPs may take a parental leave of up to five school months provided that they are eligible for a parental leave under the BOARD’s policies on family and medical leaves.,SOFT,deontic:permission|exception,3,Yes,SOFT,"PSRPs, BOARD",max_leave_duration=5 months,provided that they are eligible for a parental leave under the BOARD’s policies on family and medical leaves,"auto-openai:The sentence outlines a discretionary leave policy for PSRPs, indicating eligibility requirements and a maximum duration, thus classifying it as a soft constraint."
CTU_CPS__1285,CTU_CPS_2019_2024,162,"Unless otherwise agreed, committees created pursuant this Article shall have ten members with five individuals designated by the Chief Executive Officer and five individuals designated by the UNION President.",HARD,deontic:obligation|exception,3,Yes,HARD,"Chief Executive Officer, UNION President","max_members=10, designated_by_CEO=5, designated_by_UNION_President=5",unless otherwise agreed,"auto-openai:The sentence specifies a mandatory structure for committee composition with no discretion allowed, thus qualifying as a hard constraint."
