sentence_id,source_doc,page_num,raw_text,predicted_type,signals,confidence_score,is_constraint,constraint_type,entities,threshold,exception,notes
ATU_758__0076,ATU_758_Pierce_2024_2026,15,"New employees, with the exception of Transit Operator Trainees shall be subject to a probationary period of one thousand forty (1,040) hours of time worked from the employment start date, provided that the Employer may extend such probation for a maximum of 520 additional hours.",HARD,deontic:obligation|deontic:permission|threshold|exception,4,,,,,,
ATU_758__0320,ATU_758_Pierce_2024_2026,38,The Employer shall at all times maintain at least 6% of all shake-ups as full-time Extra Board.,HARD,deontic:obligation|threshold,3,,,,,,
ATU_758__0285,ATU_758_Pierce_2024_2026,35,Employees who refuse to accept such assignments will be subject to forfeiture of any remaining supplemental payments over the L&I minimum as provided in Section B above and may be subject to discipline if such refusal constitutes insubordination under the terms of this agreement. 9.,SOFT,deontic:permission|exception,3,,,,,,
ATU_758__0052,ATU_758_Pierce_2024_2026,14,"In case of non-disciplinary arbitration, the power and authority of the Arbitrator shall be to hear and decide each non-disciplinary dispute and shall be limited to determining the meaning and interpretation of the terms of this Agreement as herein set forth.",HARD,deontic:obligation|exception,3,,,,,,
ATU_758__0473,ATU_758_Pierce_2024_2026,60,"An employee may be subject to coaching, counseling, or more serious discipline as a result.",SOFT,deontic:permission|exception,3,,,,,,
ATU_758__0154,ATU_758_Pierce_2024_2026,23,"Survivor Dependent Medical Coverage: In the event of the death of an employee caused by workplace violence, surviving dependent(s) covered by the decedent’s medical, dental and vision plan at the time of the employee’s death shall continue to receive Employer medical coverage, via COBRA, with no change in premium share for a period of six",HARD,deontic:obligation|exception,3,,,,,,
ATU_758__0091,ATU_758_Pierce_2024_2026,17,"Disciplinary actions involving suspensions without pay, demotions, or dismissal shall be subject to the grievance procedure of this Agreement.",HARD,deontic:obligation|exception,3,,,,,,
ATU_758__0435,ATU_758_Pierce_2024_2026,52,All shifts will be declared vacant except for positions named in section G.1 and employees shall select shifts in accordance with their seniority. 1.,HARD,deontic:obligation|exception,3,,,,,,
ATU_758__0305,ATU_758_Pierce_2024_2026,36,To be eligible for the award(s) the employee must have worked at least 1250 hours in the calendar year and have attended not less than three safety meetings in the calendar year.,HARD,deontic:obligation|threshold,3,,,,,,
ATU_758__0411,ATU_758_Pierce_2024_2026,49,"Days Off: Full time Comm Controllers shall have consecutive days off whenever possible, except those who serve on the Comm Controller Extra Board. 3.",HARD,deontic:obligation|exception,3,,,,,,
