sentence_id,source_doc,page_num,raw_text,predicted_type,signals,confidence_score,is_constraint,constraint_type,entities,threshold,exception,notes
ALPA_UNI_1794,ALPA_United_Pilots_2023,283,(4) blocks of Reserve days (all of which start in the Bid Period) shall receive twelve and one-quarter hours of Add Pay (12:15) [(17 times 0:15 hours) plus (4 times 2:00 hours)]. 20-K-1-f-(2)-(g) A VEC Reserve is not subject to the Short-Call assignment limits contained in Section 20-K-6-k. 20-K-1-f-(2)-(h) A Pilot who is sick on a Reserve day shall not be required to check their schedule and/or messages on a day of sick leave.,HARD,deontic:prohibition|deontic:obligation|threshold|exception,4,,,,,,
ALPA_UNI_1244,ALPA_United_Pilots_2023,208,"DocuSign Envelope ID: 5F52E528-186A-48D6-9D3A-4821301948A4 Section 17 - Grievances 17-A Non-Disciplinary Grievances A Pilot or group of Pilots, including probationary Pilots, covered by this Agreement who has a grievance concerning any action of the Company affecting such Pilot(s), except matters involving discipline or discharge, shall have the grievance considered in accordance with the following procedures, provided such grievance is filed within 180 days after the Pilot(s) reasonably would have had knowledge of the facts upon which the grievance is based.",HARD,deontic:obligation|threshold|exception,4,,,,,,
ALPA_UNI_0209,ALPA_United_Pilots_2023,58,"(3) meals scheduled 16:00 hours or more in duration 4-A-2-b Notwithstanding Section 4-A-2-a, the ALPA Hotel Committee and the Company shall maintain a list of city-pairs, such that non-stop flight segments between a listed city-pair shall have the crew meal entitlement shown on the list.",HARD,deontic:obligation|threshold|exception,4,,,,,,
ALPA_UNI_0918,ALPA_United_Pilots_2023,158,No line Pilot shall be assigned as a Captain fill-in unless that Pilot holds a type rating for that aircraft and has accumulated at least 100 hours of experience in that aircraft since OE.,HARD,deontic:obligation|threshold|exception,4,,,,,,
ALPA_UNI_3028,ALPA_United_Pilots_2023,472,"Except as may be required by law, the Company shall not monitor individual performance or compliance with policy, directives or regulations using the iPad or the data contained therein. 8.",HARD,deontic:prohibition|deontic:obligation|deontic:permission|exception,3,,,,,,
ALPA_UNI_0672,ALPA_United_Pilots_2023,127,This 120 day period is measured from the effective date of the displacement to the date on which the vacancy bulletin is published. 8-C-7 All vacancies shall be advertised for bid not more than six,HARD,deontic:obligation|threshold,3,,,,,,
ALPA_UNI_0673,ALPA_United_Pilots_2023,127,"(6) months prior to the effective date of the vacancy, except the Company may exceed this time limit with SSC concurrence.",SOFT,deontic:permission|exception,3,,,,,,
ALPA_UNI_3030,ALPA_United_Pilots_2023,472,"Recorded data or information shall not be disclosed to any third party except by mutual agreement of the parties, or as required by statute, government regulation, or judicial order.",HARD,deontic:prohibition|deontic:obligation|exception,3,,,,,,
ALPA_UNI_1490,ALPA_United_Pilots_2023,240,"Except that if the Pilot is transitioning to Reserve and the Trip was awarded or assigned to him after schedules for Bid Period B have been awarded, the Company may return him to underlying Reserve days, as an option when applying Section 20-F-1 or 20-F-2. 20-B Preparing for Monthly Schedule Preferencing UPA 2023 240",SOFT,deontic:permission|exception,3,,,,,,
ALPA_UNI_1492,ALPA_United_Pilots_2023,241,"The SSC shall determine which Trip changes shall be communicated. 20-B-2 Notwithstanding Section 20-B-1, changes to trips which are scheduled to operate from one Bid Period (""Bid Period A"") into the next Bid Period (""Bid Period B"") that are made prior to the time that bidding for Monthly Schedule Preferencing closes for ""Bid Period B"" shall be reflected in Monthly Schedule Preferencing.",HARD,deontic:obligation|exception,3,,,,,,
ALPA_UNI_0625,ALPA_United_Pilots_2023,122,"When it becomes necessary to furlough Pilots covered by this Agreement, at least ninety (90) days, but not more than 120 days, notice of such furlough shall be given all Pilots affected; provided, however, that when there is no work because of an Act of God, labor dispute, or other circumstances over which the Company has no control, Pilots covered by this Agreement may be furloughed without advance notice.",HARD,deontic:obligation|deontic:permission|threshold,3,,,,,,
ALPA_UNI_1524,ALPA_United_Pilots_2023,245,"To be eligible to be moved up, a Reserve must be available for a full Bid Period. ""Available for a full Bid Period"" as used herein means a Reserve who, at the time schedule awards are made, is not planned to be absent for any reason except",HARD,deontic:obligation|exception,3,,,,,,
ALPA_UNI_3066,ALPA_United_Pilots_2023,478,"Once such offers have been made, even if the United Express Carrier subject to the obligations of Section 1 of the Agreement and this Letter of Agreement has not been provided with a sufficient number of Eligible Furloughed Pilots to fill the new hire positions, the Participating United Express Carrier's obligation to make offers for the purpose of operating Aircraft under the terms of Section 1 of the Agreement and this Letter of Agreement shall be satisfied. 3.",HARD,deontic:obligation|exception,3,,,,,,
ALPA_UNI_3065,ALPA_United_Pilots_2023,478,"(3) shall be offers for new hire positions in aircraft with seating capacity in excess of 50 seats and not more than 76 seats, and operated pursuant to the terms of Section 1 of the Agreement.",HARD,deontic:obligation|threshold,3,,,,,,
ALPA_UNI_0636,ALPA_United_Pilots_2023,123,"Once the Company has received notice of a Pilot’s intention to re-enter the recall process, he shall be eligible for the next scheduled recall. 7-F Seniority A Pilot shall maintain his relative position on the Seniority List for all time on furlough and recall bypass provided that the continuous period of furlough and recall bypass shall not exceed ten (10) years.",HARD,deontic:prohibition|deontic:obligation|exception,3,,,,,,
ALPA_UNI_1516,ALPA_United_Pilots_2023,244,"DocuSign Envelope ID: 5F52E528-186A-48D6-9D3A-4821301948A4 20-C-4-b Without SSC concurrence, the Company shall not use the PBS software (i.e., the ""drag and drop"" interface) to manually alter the final PBS solution. 20-C-4-c Awarded schedules shall provide reasonable expectancy of schedule reliability. 20-C-4-d The Company shall continue to use the current product for the PBS application, unless mutually agreed otherwise.",HARD,deontic:prohibition|deontic:obligation|exception,3,,,,,,
ALPA_UNI_1515,ALPA_United_Pilots_2023,243,"The Company shall publish these default bids. 20-C-4 Awarding 20-C-4-a Pilots shall be awarded a schedule within their Category in accordance with their seniority, subject to FAR and contractual limitations, including the requirement for all Pilots in the Category to receive a legal award.",HARD,deontic:obligation|exception,3,,,,,,
ALPA_UNI_0642,ALPA_United_Pilots_2023,123,"(1) or more years of service as a Pilot and who is furloughed shall receive furlough pay equivalent to the minimum monthly reserve flight pay guarantee based on the Category flown his last full Bid Period prior to furlough for the period of time specified in the chart below, except as provided in Section 7-G-1-a.",HARD,deontic:obligation|exception,3,,,,,,
ALPA_UNI_2329,ALPA_United_Pilots_2023,360,"In a thirty-one-day Bid Period, I/E’s are debited 1/18th of ninety (90) hours (5.0 hours) per sick day from their sick bank. 23-J-2 An I/E may call in sick for full day increments only.",SOFT,deontic:permission|threshold,3,,,,,,
ALPA_UNI_2331,ALPA_United_Pilots_2023,360,"In such case, the I/E shall not be subject to the proration table in Section 23-D-2-a, and shall have eight",HARD,deontic:prohibition|deontic:obligation|exception,3,,,,,,
ALPA_UNI_0656,ALPA_United_Pilots_2023,126,"(5) days after such review unless mutually agreed otherwise. 8-C-2 Subject to the provisions of Section 8-D, Pilots shall be eligible to be awarded vacancies.",HARD,deontic:obligation|exception,3,,,,,,
ALPA_UNI_1500,ALPA_United_Pilots_2023,242,"DocuSign Envelope ID: 5F52E528-186A-48D6-9D3A-4821301948A4 20-C-1-c In the event of a catastrophic failure, a rerun or restart shall be initiated and a joint decision between the Company and the SSC shall be made on extending the publishing deadlines. 20-C-1-d Modification to the timeline, including re-runs, may be made by mutual agreement between the Company and the SSC.",HARD,deontic:obligation|deontic:permission|exception,3,,,,,,
ALPA_UNI_0716,ALPA_United_Pilots_2023,134,"(2) Bid Periods without his concurrence. 8-F-6-c If a Pilot’s vacancy or displacement award requires training, that training may begin at any time, subject to the training notification requirements of Section 9.",SOFT,deontic:permission|exception,3,,,,,,
ALPA_UNI_3008,ALPA_United_Pilots_2023,464,C General C-1 Duration This Letter of Agreement shall become effective on the effective date of the Agreement and shall be subject to change in the same manner as specified in the Section 25 of the Agreement.,HARD,deontic:obligation|exception,3,,,,,,
ALPA_UNI_2400,ALPA_United_Pilots_2023,370,"An I/E leaving I/E status voluntarily must give at least forty-five (45) days’ advance notice to the Senior Manager - Fleet Training, unless a shorter notice time is mutually agreed to.",HARD,deontic:obligation|exception,3,,,,,,
ALPA_UNI_2946,ALPA_United_Pilots_2023,456,"The Company may, if requested by ALPA, grant reasonable modifications to the corrective adjustment schedule in cases of hardship to the Pilot. 11.",SOFT,deontic:permission|exception,3,,,,,,
ALPA_UNI_1418,ALPA_United_Pilots_2023,232,"Unless previously agreed to by mutual consent, the following individuals shall be present on the IRC call: Managing Director Aviation Safety or designated alternate Chief Pilot or designated alternate Managing Director of Flight Standards or designated alternate Applicable Senior Manager Training or designated alternate FAA Aircrew Program Manager (APM) The FSAP ERC Association Training Committee Chairman or designated alternate CASC Chairman or designated alternate 19-I-5-b During the IRC call, the IIC shall provide a review of the crew debriefing.",HARD,deontic:obligation|exception,3,,,,,,
