sentence_id,source_doc,page_num,raw_text,predicted_type,signals,confidence_score,is_constraint,constraint_type,entities,threshold,exception,notes
TEAMSTER_0028,Teamsters_ABOMA_Chicago_2021_2026,7,"The Union shall have Ihe right to investigate the rea<;ons for any or discipline of 11 non· probationary employee and to prolest the same through the and arbitration The determination of whether an employee has completed his/her probationary period will be subject to the grievance and arbitration nrc)""prillirp 5.3 An employee mu,.;! be notified as soon as possible of any disciplinary action, 5.4 Warning notices (including suspensions) shall not remain in effect, nor be relied upon for the next step of progressive discipline, for more than one",HARD,deontic:prohibition|deontic:obligation|exception,3,Yes,HARD,"Union, employee",,,"auto-openai:The sentence outlines mandatory rights and procedures regarding employee discipline and grievance processes, indicating a legally binding obligation."
TEAMSTER_0031,Teamsters_ABOMA_Chicago_2021_2026,8,"If the parties cannot agree, the may Union to arbitration t1~ provided for in this Section. ror arbilration shull be IT1tl{Je within forty-five (45) calendar days from the dute of the Step 2 unless the parties mutually agree to extend said timelinc. may agree 10 an expedited Panel ~hLlH be and consist of who is nol u of the Employer :Igainst whom the grievance was filed, and one",SOFT,deontic:permission|exception,3,Yes,HARD,"Union, Employer",max_days=45,unless the parties mutually agree to extend said timeline,"auto-openai:The sentence establishes a mandatory timeline for arbitration that must be adhered to unless both parties agree to an extension, indicating a hard constraint."
TEAMSTER_0057,Teamsters_ABOMA_Chicago_2021_2026,11,An employee who is scheduled \0 work on a holiday but fuils 10 report to work shall forfeit his or her righl to holiday pay unless h ls or her absence is due to extenuating circumstances.,HARD,deontic:obligation|exception,3,Yes,HARD,"employee, employer",,unless his or her absence is due to extenuating circumstances,"auto-openai:The sentence establishes a mandatory condition for forfeiting holiday pay, indicating a hard constraint on employee attendance."
TEAMSTER_0116,Teamsters_ABOMA_Chicago_2021_2026,22,"AI the of location change, the former Employer shall puy out all wl.lges and owned under this accrued vacation. to all former employees, unless the rormer operates a location with a ""pass through"" contractual provision. tiny employee who has continuously at a location one or more will be retuined by the Employer when an a new location.",HARD,deontic:obligation|exception,3,Yes,HARD,"Employer, former employees",,unless the former operates a location with a 'pass through' contractual provision,"auto-openai:The sentence imposes a mandatory obligation on the Employer to pay out accrued vacation to former employees, with a specific exception regarding the operation of a location."
TEAMSTER_0019,Teamsters_ABOMA_Chicago_2021_2026,6,"In the event of a layoff, it ~enior who docs not possess u qualification, certification, or license, required by u client shall not be entitled to bump the junior employee holding that qualil1cution, certification, or unless the truining is compleled or the certification is obt;lined within thirty days or the next training s<cssion.",HARD,deontic:prohibition|deontic:obligation|exception,3,Yes,HARD,"employee, client",30,unless the training is completed or the certification is obtained within thirty days or the next training session,"auto-openai:The sentence imposes a mandatory condition on layoffs regarding qualifications and certifications, making it a hard constraint."
TEAMSTER_0062,Teamsters_ABOMA_Chicago_2021_2026,11,The compensation for each holiday (holiday pay) for employees shall be based upon the average weekly hours scheduled as follows: Weekly Hours Up 10 19 hours 2 hours 20 to 29 hours 4 hours 30 to 39 hours 6 hours 9 of 27,HARD,deontic:obligation|threshold,3,Yes,HARD,employees,max_hours=6,,"auto-openai:The sentence specifies a mandatory calculation for holiday pay based on scheduled hours, indicating a legally binding requirement."
TEAMSTER_0118,Teamsters_ABOMA_Chicago_2021_2026,23,"Employees who not to a second new hire notice the acquiring Employer (sen! five work days upa(1) within the time limits under Article 4 above shall be terminated and shall lose all rights under this If an losing a locution makes a promise of employment in writing to any at the locution, the Employer shall be obligated 10 retuin Ihut employee. of the Employer losing Ihe who work less than 20 hours per week on average at the location lransitioned sh;.)ll be retained by the Employer the location.",HARD,deontic:obligation|threshold,3,Yes,HARD,"Employer, employee",,who work less than 20 hours per week on average,"auto-openai:The sentence imposes a mandatory requirement for termination of employees who do not provide notice, indicating a hard constraint on employment conditions."
TEAMSTER_0114,Teamsters_ABOMA_Chicago_2021_2026,21,"(2) puy periods the employee is notified of the shortage. or longer if required by luw. 31.3 In the event of shortages of or more, the Employer will follow the progression of discipline set forth below when appropriate, to such facts as may be presenl in each case, and subject to the cause requirement of the collective bargaining agreement: 19 of 27",SOFT,deontic:permission|exception,3,Yes,HARD,"Employer, employee",min_shortage=2,subject to the cause requirement of the collective bargaining agreement,"auto-openai:The sentence outlines a mandatory procedure for discipline in the event of employee shortages, indicating a hard constraint."
TEAMSTER_0119,Teamsters_ABOMA_Chicago_2021_2026,23,"Full time employees of the Employer losing the locution who work 20 hours or more per week on average at the location Iransilioned shall be retained by the Employer and shall be provided with u full time schedule which can be created laying off ~I part lime employed elsewhere. 33.3 Within fifteen (I duys of lhe loss of u location, the Employer who lost the location shall pay to employees who are retained by the acquiring Employer the value of all accrued vacation, accrued sick/personal not takt:1l and/or paid the former Employer a location with a through"" contruc(U,11 provision) LInd compensation earned under thls In <.Iddition, the Employer who lost the location shall pay the Benefit Funds any amounts owed.",HARD,deontic:obligation|threshold,3,Yes,HARD,"Employer, employees",min_hours=20,within fifteen days of the loss of a location,"auto-openai:The sentence imposes mandatory obligations on the Employer regarding the retention and scheduling of employees, making it a hard constraint."
TEAMSTER_0112,Teamsters_ABOMA_Chicago_2021_2026,21,"Employers shall have the right to dismiss an employee for stealing. misrepresentation of (he or for failure 10 explain \0 {he satisfaction of the repeated errors in reports, and except as set forth below, 31.2 shall be informed of their if any. within thirty (30) days after discovery of Ihe shortage, but in no event later than sixty (60) days ufter the shortage occurred.",HARD,deontic:obligation|exception,3,Yes,HARD,"employer, employee",max_days=60,except as set forth below,"auto-openai:The sentence establishes a mandatory right for employers to dismiss employees under specific circumstances, which qualifies as a hard constraint."
