sentence_id,source_doc,page_num,raw_text,predicted_type,signals,confidence_score,is_constraint,constraint_type,entities,threshold,exception,notes
IL-MENTO_0003,IL-MENTOR-2023-to-2026-CBA,4,"Relief/PRN employees shall be covered by the appropriate sections of the agreement, provided that they work a shift at least every 30 days.",HARD,deontic:obligation|threshold|exception,4,Yes,HARD,"relief employees, agreement",min_shift=30days,,"auto-openai:The sentence establishes a mandatory condition for relief employees to be covered by the agreement, specifying a minimum frequency of work shifts."
IL-MENTO_0045,IL-MENTOR-2023-to-2026-CBA,9,"(3) months after hire by the Employer, provided that employees are required to complete at least 480 hours worked before completing probation.",HARD,deontic:obligation|threshold|exception,4,Yes,HARD,"Employer, employee",min_hours=480,provided that employees are required to complete at least 480 hours worked before completing probation,auto-openai:The sentence establishes a mandatory requirement for employees to complete a specific number of hours before the end of their probation period.
IL-MENTO_0146,IL-MENTOR-2023-to-2026-CBA,17,"Except as expressly stated to the contrary in this Agreement, the grievance and arbitration procedure of this Agreement shall be the sole and exclusive means available for resolving grievances arising under this Agreement.",HARD,deontic:obligation|exception,3,Yes,HARD,"union, operator, authority",,,"auto-openai:The sentence establishes a mandatory grievance and arbitration procedure, indicating it is the exclusive means for resolving grievances, which qualifies it as a hard constraint."
IL-MENTO_0048,IL-MENTOR-2023-to-2026-CBA,9,The Employer’s decision to extend the probationary period for any employee shall not be subject to the grievance and arbitration procedure of this Agreement.,HARD,deontic:prohibition|deontic:obligation|exception,3,Yes,HARD,"Employer, employee",,,"auto-openai:The sentence establishes a definitive rule that the Employer's decision regarding the probationary period is not open to grievance or arbitration, indicating a hard constraint."
IL-MENTO_0075,IL-MENTOR-2023-to-2026-CBA,11,"The Employer may make reasonable changes to these policies, procedures, and rules, provided that the Employer will notify the Union of material changes at least fourteen (14) days in advance of such changes and will meet and discuss with the Union upon request during that 14-day period about such changes. 8",SOFT,deontic:permission|exception,3,Yes,SOFT,"Employer, Union",14,,"auto-openai:The sentence outlines a discretionary process for making changes, indicating that the Employer may change policies but must notify the Union in advance, which qualifies it as a soft constraint."
IL-MENTO_0125,IL-MENTOR-2023-to-2026-CBA,16,"Discipline or discharge for abuse, neglect, or exploitation of an individual being served, or for a violation of a federal, state, or local regulatory requirement, shall not be subject to the grievance and arbitration procedure, if any third party or regulatory body finds that the offense occurred.",HARD,deontic:prohibition|deontic:obligation|exception,3,Yes,HARD,"operator, authority, union",,if any third party or regulatory body finds that the offense occurred,"auto-openai:The sentence establishes a mandatory condition regarding discipline or discharge that is not subject to grievance procedures under specific circumstances, indicating a hard constraint."
IL-MENTO_0126,IL-MENTOR-2023-to-2026-CBA,16,"A request or direction by a third party, such as an individual served, an individual served’s family member/guardian or representative, funder, or regulatory body, to transfer or cease the services of an employee shall not be subject to the grievance and arbitration procedure.",HARD,deontic:prohibition|deontic:obligation|exception,3,Yes,HARD,"employee, third party, regulatory body",,,"auto-openai:The sentence establishes a mandatory rule that prohibits certain requests from being subject to the grievance and arbitration procedure, indicating a hard constraint."
IL-MENTO_0128,IL-MENTOR-2023-to-2026-CBA,16,"Verbal warnings may be processed through the grievance procedure, but are not subject to arbitration.",SOFT,deontic:permission|exception,3,Yes,SOFT,"union, operator",,not subject to arbitration,"auto-openai:The sentence indicates that verbal warnings can be processed through the grievance procedure, which is discretionary, thus classifying it as a soft constraint."
IL-MENTO_0032,IL-MENTOR-2023-to-2026-CBA,7,Relief/PRN employees shall receive benefits under this Agreement and be subject to the provisions of this Agreement only where specifically referenced therein.,HARD,deontic:obligation|exception,3,Yes,HARD,"relief employees, union, authority",,only where specifically referenced therein,"auto-openai:The sentence establishes a mandatory condition for relief/PRN employees regarding benefits and provisions, indicating a hard constraint."
IL-MENTO_0046,IL-MENTOR-2023-to-2026-CBA,9,"During the probationary period, the Employer may discipline, discharge, transfer, or take other action toward the employee for any reason in the sole discretion of the Employer and such action is not subject to the grievance or arbitration provisions of this Agreement.",SOFT,deontic:permission|exception,3,Yes,SOFT,"Employer, employee",,not subject to the grievance or arbitration provisions of this Agreement,"auto-openai:The sentence allows the Employer discretion in taking action during the probationary period, indicating a soft constraint."
