sentence_id,source_doc,page_num,raw_text,predicted_type,signals,confidence_score,is_constraint,constraint_type,entities,threshold,exception,notes
32BJ_BOS_0150,32BJ_Boston_2022_2026,19,Said payment shall be due to the Employer by the Union within 30 days of the Union receiving notification of the amount due.,HARD,deontic:obligation|threshold,3,,,,,,
32BJ_BOS_0180,32BJ_Boston_2022_2026,21,"The Chief Steward shall have reasonable freedom to perform their duties during non-working time, provided that there shall be no interference of any type or manner with the conduct of the client’s business, Employer’s operation or the employee’s performance of work, and there is no objection by the Employer’s client.",HARD,deontic:obligation|exception,3,,,,,,
32BJ_BOS_0039,32BJ_Boston_2022_2026,8,"Except as provided in Article 5, seniority shall be broken by any of the following events: • Resignation, retirement or voluntary termination; • Discharge for just cause; • Voluntary promotion into a non-bargaining unit position, unless an employee returns to the bargaining unit within six",HARD,deontic:obligation|exception,3,,,,,,
32BJ_BOS_0127,32BJ_Boston_2022_2026,17,Employees may be entitled to up to 12 weeks (or 26 weeks under military care giver situations) of leave based upon meeting certain eligibility requirements and with proper submission of documented evidence of specific circumstances as set forth in the FMLA.,SOFT,deontic:permission|threshold,3,,,,,,
32BJ_BOS_0124,32BJ_Boston_2022_2026,17,Such days shall be requested in advance and shall be scheduled subject to Employer approval and in accordance with the Employer’s time off request policy.,HARD,deontic:obligation|exception,3,,,,,,
32BJ_BOS_0047,32BJ_Boston_2022_2026,9,"Summer Layoff Procedure for Higher Education Sites Employees working in Higher Education Institutions, who have no scheduled work hours due to the elimination of their regularly scheduled assignment during summer months, shall be considered displaced for lack of work during those months subject to the following provisions: The Employer will make reasonable efforts to offer temporary job assignments during the summer months to such displaced employees.",HARD,deontic:obligation|exception,3,,,,,,
32BJ_BOS_0235,32BJ_Boston_2022_2026,25,The Union and the Employer intend that the grievance and arbitration provisions in the Collective Bargaining Agreement shall be the exclusive method of resolving all disputes between the Employer and the Union and the employees covered by this agreement unless otherwise set forth or required under applicable law.,HARD,deontic:obligation|exception,3,,,,,,
32BJ_BOS_0050,32BJ_Boston_2022_2026,9,"Upon notice from the employer of Employer’s intention to assign the employee to restored hours, the employee must immediately return to work as instructed, provided that an employee who returns within five days of receiving such instruction shall not be terminated or deemed to have resigned.",HARD,deontic:prohibition|deontic:obligation|deontic:obligation|exception,3,,,,,,
32BJ_BOS_0119,32BJ_Boston_2022_2026,17,Maximum sick time per year: Employees may carry over up to 40 hours of unused sick time but are not entitled to use more than 40 hours in one calendar year.,SOFT,deontic:permission|threshold,3,,,,,,
32BJ_BOS_0231,32BJ_Boston_2022_2026,25,"If the Employer misses a response deadline set forth in this Agreement, the Grievance shall automatically move to the next Step, provided that the Union has otherwise complied with this Article.",HARD,deontic:obligation|exception,3,,,,,,
