sentence_id,source_doc,page_num,raw_text,predicted_type,signals,confidence_score,is_constraint,constraint_type,entities,threshold,exception,notes
KAISER_C_0090,Kaiser_CNA_2022_2026,32,"Section C – Overtime No Mandatory Overtime 707 There shall be no mandatory overtime except during a state of emergency declared by City, County, State or Federal authorities, or during a short-term (not to exceed 24 hours) City or County mandatory diversion override.",HARD,deontic:obligation|threshold|exception,4,Yes,HARD,"City, County, State, Federal authorities",,"during a state of emergency declared by City, County, State or Federal authorities, or during a short-term (not to exceed 24 hours) City or County mandatory diversion override","auto-openai:The sentence establishes a clear prohibition on mandatory overtime except under specified emergency conditions, indicating a legally binding constraint."
KAISER_C_0700,Kaiser_CNA_2022_2026,138,"Short-Hour, Temporary and Per diem Nurses may be discharged without recourse to the grievance procedure until such Nurse has been employed for 6 months or worked 300 hours, whichever comes first. 4120 Interim Permittees are subject to the same limitations and restrictions on access to the grievance arbitration procedure that are applicable to probationary Nurses as described in paragraph 4119.",SOFT,deontic:permission|threshold|exception,4,Yes,HARD,"nurses, interim permittees, union","max_hours=300, max_duration=6months",,"auto-openai:The sentence establishes mandatory conditions under which certain nurses may be discharged without recourse, indicating a hard constraint."
KAISER_C_0875,Kaiser_CNA_2022_2026,183,"Licensed vocational nurses may constitute up to 50 percent of the licensed nurses assigned to patient care on any unit, except where Registered nurses are required pursuant to the patient classification system or this section.",SOFT,deontic:permission|threshold|exception,4,Yes,SOFT,"licensed vocational nurses, registered nurses, patient care unit",max_nurses=50%,where Registered nurses are required pursuant to the patient classification system or this section,"auto-openai:The sentence specifies a maximum percentage of licensed vocational nurses that may be assigned, indicating a discretionary limit with an exception clause."
KAISER_C_0820,Kaiser_CNA_2022_2026,166,"RN/NPs who accept these backfill positions shall have the option to bid on open positions subject to provisions of Article IX – Position Posting and Filling of Vacancies, except that the six-month bar referenced in paragraph 913 shall be waived. 5.",HARD,deontic:obligation|exception,3,Yes,SOFT,"RN/NPs, Article IX",,the six-month bar referenced in paragraph 913 shall be waived,"auto-openai:The sentence provides an option for RN/NPs to bid on positions, indicating a discretionary action subject to specific provisions, thus classifying it as a soft constraint."
KAISER_C_0919,Kaiser_CNA_2022_2026,187,"Prior to the completion of validation of the competency standards for a patient care unit, patient care assignments shall be subject to the following restrictions:",HARD,deontic:obligation|exception,3,Yes,HARD,"operator, union",,,"auto-openai:The use of 'shall be subject to' indicates a mandatory restriction on patient care assignments, making it a hard constraint."
KAISER_C_0154,Kaiser_CNA_2022_2026,40,Such payments shall be made by off- cycle check or direct deposit in accordance with the Nurse’s election within 72 hours.,HARD,deontic:obligation|threshold,3,Yes,HARD,"operator, union, nurse",72 hours,,"auto-openai:The use of 'shall' indicates a legally mandatory requirement for payment timing, making it a hard constraint."
KAISER_C_0918,Kaiser_CNA_2022_2026,187,"(2) All patient care personnel, including temporary staff as described in subsection 70217(m), shall be subject to the process of competency validation for their assigned patient care unit or units.",HARD,deontic:obligation|exception,3,Yes,HARD,"patient care personnel, temporary staff",,,auto-openai:The use of 'shall' indicates a legally mandatory requirement for competency validation for all patient care personnel.
KAISER_C_0158,Kaiser_CNA_2022_2026,41,"(1) month's seniority credit, for hours worked after September 1, 2002 except that no Nurse shall receive more than one",HARD,deontic:obligation|exception,3,Yes,HARD,Nurse,max_seniority_credit=1,"for hours worked after September 1, 2002","auto-openai:The sentence specifies a maximum limit on seniority credit for Nurses, indicating a legally binding constraint."
KAISER_C_0915,Kaiser_CNA_2022_2026,187,"Licensed vocational nurses, licensed psychiatric technicians, or a combination of both, shall not exceed 50 percent of the licensed nurses on the unit.",HARD,deontic:prohibition|deontic:obligation|threshold,3,Yes,HARD,"operator, union",max_nurses=50%,,"auto-openai:The sentence establishes a mandatory limit on the percentage of certain licensed nurses, indicating a hard constraint with no discretion allowed."
KAISER_C_0164,Kaiser_CNA_2022_2026,42,"803 Implementation of the new seniority system shall occur on June 1, 1978, retroactive to January 1, 1978, subject to the following provisions: All Regular Nurses on the payroll as of January 1, 1978, shall receive prior seniority credit as a Regular Nurse back to the date of hire.",HARD,deontic:obligation|exception,3,Yes,HARD,Regular Nurses,,,"auto-openai:The sentence establishes a mandatory implementation date for the seniority system and grants prior seniority credit, which is legally binding."
