sentence_id,source_doc,page_num,raw_text,predicted_type,signals,confidence_score,is_constraint,constraint_type,entities,threshold,exception,notes
32BJ_DC__0034,32BJ_DC_WSCA_2023_2027,8,"(4) hours per shift, except that in buildings of at least 100,000 square feet in Washington, DC, the minimum shift shall be five",HARD,deontic:obligation|threshold|exception,4,Yes,HARD,"operator, authority, union",min_shift=5,"in buildings of at least 100,000 square feet in Washington, DC","auto-openai:The sentence specifies a minimum shift requirement that is legally mandatory for certain conditions, indicating a hard constraint."
32BJ_DC__0327,32BJ_DC_WSCA_2023_2027,45,"(5) sick days at the start of the Employer's sick leave year, provided that at a minimum, the Employee shall receive prorated sick leave 42",HARD,deontic:obligation|exception,3,Yes,HARD,"Employer, Employee",min_sick_days=5,"provided that at a minimum, the Employee shall receive prorated sick leave","auto-openai:The sentence establishes a mandatory requirement for sick days, indicating a specific minimum that must be provided to the employee."
32BJ_DC__0319,32BJ_DC_WSCA_2023_2027,44,"(6) sick days at the start of the Employer's sick leave year provided that at a minimum, the Employee shall receive prorated sick leave based on the difference between the Employee's first anniversary and the beginning of the Employer's calendar year.",HARD,deontic:obligation|exception,3,Yes,HARD,"Employer, Employee",min_sick_days=6,"provided that at a minimum, the Employee shall receive prorated sick leave based on the difference between the Employee's first anniversary and the beginning of the Employer's calendar year","auto-openai:The sentence establishes a mandatory requirement for sick days with specific conditions, indicating it is a hard constraint."
32BJ_DC__0246,32BJ_DC_WSCA_2023_2027,30,"Additionally, employees shall be subject to security background checks at any time upon a written customer requirement whether in bid specifications or simply a request by the customer.",HARD,deontic:obligation|exception,3,Yes,HARD,"employees, customer",,,"auto-openai:The sentence imposes a mandatory requirement for employees to undergo security background checks based on customer requests, indicating a hard constraint."
32BJ_DC__0072,32BJ_DC_WSCA_2023_2027,13,"(2) cause the Employer to become subject to a penalty, fine, tax or other assessable payment under the ACA or any related law or regulation (""noncompliance""), the party receiving notice of such noncompliance shall provide a copy of such notice to the other party within five",HARD,deontic:obligation|exception,3,Yes,HARD,"Employer, party",five,,auto-openai:The sentence imposes a mandatory requirement for the party receiving notice of noncompliance to provide a copy of such notice to the other party within a specified timeframe.
32BJ_DC__0323,32BJ_DC_WSCA_2023_2027,45,"Upon the Employee's first anniversary, they will be entitled to receive full allotment of sick days at the start of the Employer's sick leave year, provided that at a minimum, the Employee shall receive prorated sick leave based on the difference between_the Employee's first anniversary and the beginning of the Employer's calendar year.",HARD,deontic:obligation|exception,3,Yes,HARD,"Employee, Employer","full allotment of sick days, prorated sick leave","provided that at a minimum, the Employee shall receive prorated sick leave based on the difference between the Employee's first anniversary and the beginning of the Employer's calendar year","auto-openai:The sentence establishes a mandatory entitlement to sick leave based on specific conditions, qualifying it as a hard constraint."
32BJ_DC__0158,32BJ_DC_WSCA_2023_2027,22,"An employee who, during the course of progressive discipline, commits an act in Section 1, may be subject to discipline up to and including termination without adherence to progressive discipline.",SOFT,deontic:permission|exception,3,Yes,HARD,"employee, authority",,,"auto-openai:The sentence establishes a mandatory condition for discipline that overrides the progressive discipline process, indicating a hard constraint."
32BJ_DC__0243,32BJ_DC_WSCA_2023_2027,29,"Such change shall not be the sole basis of adverse employment action, notwithstanding any information or documents provided at the time of hire. 26",HARD,deontic:prohibition|deontic:obligation|exception,3,Yes,HARD,"operator, authority, union",,,"auto-openai:The sentence establishes a mandatory condition that adverse employment action cannot solely be based on the specified change, indicating a hard constraint."
32BJ_DC__0067,32BJ_DC_WSCA_2023_2027,12,The Employer shall not be responsible or liable for any premium payments for Employees electing dependent care coverage of any kind except for payments authorized by the Employee and available through payroll deduction and except where the Employer has not provided the Fund with notice of an employee's termination or change to inactive status as required by the Fund's Collection Policy.,HARD,deontic:prohibition|deontic:obligation|exception,3,Yes,HARD,"Employer, Employees, Fund",,except for payments authorized by the Employee and available through payroll deduction and except where the Employer has not provided the Fund with notice of an employee's termination or change to inactive status as required by the Fund's Collection Policy,"auto-openai:The sentence imposes a mandatory limitation on the Employer's liability regarding premium payments, indicating a clear obligation that must be followed."
32BJ_DC__0299,32BJ_DC_WSCA_2023_2027,38,"(7) sick days at the start of the Employer's sick leave year provided that at a minimum, the Employee shall receive prorated 35",HARD,deontic:obligation|exception,3,Yes,HARD,"Employer, Employee","sick_days=7, prorated=35",,"auto-openai:The sentence specifies a mandatory provision for sick days with no discretion allowed, indicating a hard constraint."
