sentence_id,source_doc,page_num,raw_text,predicted_type,signals,confidence_score,is_constraint,constraint_type,entities,threshold,exception,notes
32BJ_NY__0124,32BJ_NY_RAB_2024_2027,33,"For the avoidance of any doubt, any disputes over the ratification bonus made to eligible employees, including any disputes over pay arising from or relating to such payments, shall be subject to the grievance and arbitration provisions of the collective bargaining agreement including, without limitation, any wage and hour claim. #z, How��� President, RAB AGREED: 33",HARD,deontic:obligation|exception,3,,,,,,
32BJ_NY__0115,32BJ_NY_RAB_2024_2027,30,"There will be no duplication or pyramiding of termination pay payments under this 2024 Commercial VERIP. h) In the event that an Eligible Employee participates in the 2024 Commercial VERIP and receives the 2024 Commercial VERIP Benefits then subsequently returns to employment in the Industry, the employee may be treated as a new hire for paid time off and shall be subject to a ninety (90) day wait period for the commencement of employer contributions to 32BJ Benefit Funds, including the Pension Fund where applicable.",HARD,deontic:obligation|deontic:permission|exception,3,,,,,,
32BJ_NY__0097,32BJ_NY_RAB_2024_2027,25,"For the avoidance of any doubt, any disputes over the lump-sum payments made to regularly assigned EAP Coordinators, Fire Safety Directors and Assistant and/or Deputy Fire Safety Directors, including any disputes over pay arising from or relating to such payments, shall be subject to the grievance and arbitration provisions of the collective bargaining agreement. 7­ ..4M.a President, RAB zkct: AGREED:� President, SEIU, Local 32BJ 25",HARD,deontic:obligation|exception,3,,,,,,
32BJ_NY__0085,32BJ_NY_RAB_2024_2027,15,"Without prejudice to either parties' position on the continued viability of any other side letter, this side letter shall continue in effect unless and until the parties agree otherwise or until the Reserved Question is decided by Arbitrator Golick. ~% President, RAB .lAGREED: President, SEIU, Local 3 2BJ 15",HARD,deontic:obligation|exception,3,,,,,,
32BJ_NY__0101,32BJ_NY_RAB_2024_2027,26,This side letter is entered into on a non-precedential basis and shall not be subject to the grievance and arbitration procedure of the relevant collective bargaining agreement. 92.. .4xi.,HARD,deontic:prohibition|deontic:obligation|exception,3,,,,,,
32BJ_NY__0083,32BJ_NY_RAB_2024_2027,14,"The arbitrator for such arbitration shall be Roberta Golick, unless she is unable or unwilling to serve, in which case the parties shall agree upon an arbitrator, and failing agreement shall submit the case to arbitration before the American Arbitration Association, in New York City.",HARD,deontic:obligation|exception,3,,,,,,
32BJ_NY__0105,32BJ_NY_RAB_2024_2027,27,"(iii) the LMCF shall terminate on June 30, 2026, subject to an appropriate wind-down period after termination, and any net assets remaining at the time of termination shall be allocated in accordance with the terms of the LMCF Trust Agreement;",HARD,deontic:obligation|exception,3,,,,,,
32BJ_NY__0051,32BJ_NY_RAB_2024_2027,8,All such claims shall be subject to the grievance and arbitration procedure (Articles V and VI) as the sole and exclusive remedy for violations.,HARD,deontic:obligation|exception,3,,,,,,
32BJ_NY__0039,32BJ_NY_RAB_2024_2027,6,"(5) days per week positions that include regularly scheduled weekend work as part of a 40-hour per week schedule, employees in those positions will not be entitled to premium pay for work performed on Saturday or Sunday unless the employee is entitled to a premium under a different all provision of this Agreement.premium days for employees (excluding guards hired on or after January 1, 1978) and work performed on such days shall be paid for at the rate- oft ime and one half the regular straight time hourly rate of pay: In determining whether an employee's work shift is to be considered as falling on of Saturday or Sunday, for this sectionthe purpose premium pay, it is understood that the meaning of Saturday or Sunday work shall be the same as now applies or, where there is no such practice, shall be based upon the holiday premium pay practice. 6",HARD,deontic:obligation|exception,3,,,,,,
32BJ_NY__0055,32BJ_NY_RAB_2024_2027,9,"To this end, the parties establish the following system of mediation and arbitration applicable to all such Covered Claims, provided that nothing herein shall preclude the filing or adjudication of any statutory claim at any time",HARD,deontic:obligation|exception,3,,,,,,
32BJ_NY__0018,32BJ_NY_RAB_2024_2027,4,"However, notwithstanding the foregoing, newly hired employees shall be eligible to participate in the Training Fund upon their date of hire."" 7.",HARD,deontic:obligation|exception,3,,,,,,
32BJ_NY__0017,32BJ_NY_RAB_2024_2027,4,"(3) (at page 44) with the following language: ""Except as otherwise provided in Article XVI, Section l 2(b ), with respect to the Pension and Supplemental Retirement Savings Funds, employees shall have a waiting period of ninety (90) days before becoming eligible to participate in the Funds and no contribution shall be made on behalf of employees during the ninety (90) day period.",HARD,deontic:obligation|exception,3,,,,,,
32BJ_NY__0038,32BJ_NY_RAB_2024_2027,6,New employees and those not presently assigned weekend work and receiving weekend premium pay shall not be entitled to premium pay for work performed on Saturday or Sunday unless the employee is entitled to premium pay pursuant to another provision of this Agreement.,HARD,deontic:prohibition|deontic:obligation|exception,3,,,,,,
32BJ_NY__0072,32BJ_NY_RAB_2024_2027,12,"Upon agreement by the parties, commonly-owned, commonly-managed buildings that are subject to one of the above­ referenced Building Agreements, may form a workplace safety committee that covers all or some of the commonly-owned, commonly-managed buildings.",SOFT,deontic:permission|exception,3,,,,,,
32BJ_NY__0119,32BJ_NY_RAB_2024_2027,30,"The designated 2024 Commercial VERIP Arbitrator shall be David Reilly, unless he is unable or unwilling to serve, in which case the parties shall agree upon an arbitrator. k) The parties agree that appropriate documents (e.g., a Retirement Election Form, a Retirement Release, and a 2024 Commercial VERIP Notice Letter) shall be drafted by counsel and approved by the parties; provided however, the terms, conditions, and language of such documents will be, in all relevant materials respects identical to 30",HARD,deontic:obligation|exception,3,,,,,,
32BJ_NY__0009,32BJ_NY_RAB_2024_2027,2,"During the Transition Period, Employers who deduct appropriately, but whose transmissions are delayed, shall not be subject to interest or penalties owing to such delays."" 3.",HARD,deontic:prohibition|deontic:obligation|exception,3,,,,,,
32BJ_NY__0008,32BJ_NY_RAB_2024_2027,2,"(9) months from the effective date of this Agreement, (collectively the ""Transition Period""), provided that any reasonably It requested training has been provided by the Union. is understood that the transition to ACH payment may cause some delays in effecting transmission.",SOFT,deontic:permission|exception,3,,,,,,
32BJ_NY__0071,32BJ_NY_RAB_2024_2027,12,"Meetings shall occur during work hours al and shall be scheduled within two weeks of either party requesting the meeting, provided that in the event that there is an urgent health and safety issue or other urgent operational issue in connection with the exposure prevention plan, the parties shall make their best efforts to meet on an expedited basis.",HARD,deontic:obligation|exception,3,,,,,,
32BJ_NY__0003,32BJ_NY_RAB_2024_2027,2,"employees' paychecks shall be transmitted to the Union electronically via ACH-or wire transfer utilizing the 32BJ self-service portal, unless the Union directs, in writing, that Deductions be remitted by means other than electronic transmittals.",HARD,deontic:obligation|exception,3,,,,,,
32BJ_NY__0121,32BJ_NY_RAB_2024_2027,33,"Notwithstanding anything to the contrary above, the rate of contribution for the months of January 2024 and February 2024 (payable respectively on or before February 20, 2024 and March 20, 2024) shall be $150.00 per month per covered employee, with the corresponding reduction in the annual rate of contribution for 2024.",HARD,deontic:obligation|exception,3,,,,,,
32BJ_NY__0074,32BJ_NY_RAB_2024_2027,12,"The parties further agree that any dispute arising out of or relating to airborne infectious disease exposure prevention, including, without limitation, the implementation of-this Memorandum of Agreement the HERO_Act MOA, shall be resolved each through the applicable grievance and arbitration processes of of the applicable Agreements set forth in this Agreement, as the sole and exclusive process for resolution of such disputes.",HARD,deontic:obligation,2,,,,,,
32BJ_NY__0069,32BJ_NY_RAB_2024_2027,12,"consultation with the RAB, Union representatives, and bargaining unit employee representatives as the Union may designate.",SOFT,deontic:permission,2,,,,,,
32BJ_NY__0091,32BJ_NY_RAB_2024_2027,22,"Upon the request of either party, the parties shall establish a joint committee to discuss issues related to employees' Work Authorization.",HARD,deontic:obligation,2,,,,,,
32BJ_NY__0090,32BJ_NY_RAB_2024_2027,21,"December 27, 2023 Manny Pastreich, President SEIU, Local 32BJ 18"" 25 West Street New York, NY 10011 Re: Security Background Checks Dear Manny: This will confirm our understanding during our recent negotiations that an Employer may not invoke Article XVI (General Clauses), Section 57 (Security Background Checks) in connection with a Social Security ""no match"" letter. 2de Sincerely, President, RAB President, SEIU, Local 32BJ 21",SOFT,deontic:restriction|deontic:permission,2,,,,,,
32BJ_NY__0089,32BJ_NY_RAB_2024_2027,20,"Upon the request of the President of the RAB, the Special Committee shall meet on at least a quarterly basis or more frequently as necessary.",HARD,deontic:obligation,2,,,,,,
32BJ_NY__0088,32BJ_NY_RAB_2024_2027,19,"This transition procedure is exclusive to the Union and the RAB, and in such circumstances, the Union shall not unreasonably withhold its agreement to transfer such Guards to the RAB Security Officer Agreement. • Howar�,President, RAB President, SEIU, Local 32BJ 19",HARD,deontic:prohibition|deontic:obligation,2,,,,,,
32BJ_NY__0087,32BJ_NY_RAB_2024_2027,19,"Any Employer wishing to remove its Guards from this Agreement and, instead, have those Guards covered under the RAB Security Officers Agreement shall, together with the RAB, negotiate a transition agreement with the Union facilitating such transfer consistent with established transition agreements.",HARD,deontic:obligation,2,,,,,,
32BJ_NY__0086,32BJ_NY_RAB_2024_2027,17,"Any disputes regarding the sufficiency of the notice shall be addressed solely at, and by, the Labor Peace Committee, and not by recourse to Article VI, or in any other forum. d ,AJ.,�7W.,.---==..........__· Howard President, RAB £:at AGREED:� President, SEIU, Local 32BJ 17",HARD,deontic:obligation,2,,,,,,
32BJ_NY__0082,32BJ_NY_RAB_2024_2027,14,Such arbitration may be commenced on 30 calendar days' written notice to the other party.,SOFT,deontic:permission,2,,,,,,
32BJ_NY__0084,32BJ_NY_RAB_2024_2027,14,Neither the inclusion of the No-Discrimination Protocol in the CBAs nor the terms of the No-Discrimination Protocol shall be understood to advance either 14,HARD,deontic:obligation,2,,,,,,
32BJ_NY__0070,32BJ_NY_RAB_2024_2027,12,"The workplace safety committees shall meet as needed, upon the request of either the Employer or the Union, at such times and in such manner as the Employer, RAB and the Union may deem reasonable and proper.",HARD,deontic:obligation|deontic:permission,2,,,,,,
32BJ_NY__0075,32BJ_NY_RAB_2024_2027,13,"by the Employer at the work site, shall be submitted to expedited arbitration within three",HARD,deontic:obligation,2,,,,,,
32BJ_NY__0081,32BJ_NY_RAB_2024_2027,14,The parties intend that the Reserved Question may only be resolved in arbitration between them and not in any form of judicial or administrative proceeding.,SOFT,deontic:permission,2,,,,,,
32BJ_NY__0080,32BJ_NY_RAB_2024_2027,14,"The parties agree that, should either the Union or the RAB deem it appropriate or necessary to do so, that party may bring to arbitration the Reserved Question.",SOFT,deontic:preference|deontic:permission,2,,,,,,
32BJ_NY__0078,32BJ_NY_RAB_2024_2027,13,The parties agree to include in the final contract any language clarification which may be necessary as a result of this Stipulation of Agreement.,SOFT,deontic:permission,2,,,,,,
32BJ_NY__0073,32BJ_NY_RAB_2024_2027,12,"Established workplace safety committees may make reports and recommendations to the Employer, as necessary, concerning the above and other matters covered by S1034B within their responsibility to the Employer as may be appropriate. 3.",SOFT,deontic:permission,2,,,,,,
32BJ_NY__0076,32BJ_NY_RAB_2024_2027,13,"During the period of time prior to any requirement by the Department of Labor or Department of Health that the Employer implement its exposure prevention plan Employers shall follow the joint guidelines developed by the RAB, Local 32BJ and REBNY, as they may be revised, with respect to personal protective equipment, social distancing and other practices to reduce the risk of COVID-19 exposures and/or transmissions."" 16.",HARD,deontic:obligation|deontic:permission,2,,,,,,
32BJ_NY__0077,32BJ_NY_RAB_2024_2027,13,"Eliminate Obsolete Provisions. a) Delete the third paragraph of Article XIII, Section 2(f) (at page 64): to ""This provision shall not apply employees who commenced a medical leave of absence prior toe March 1, 2002."" b) Remove Side Letter Re: Employer Contributions to Pension and SRSP Funds ( at page 153). 17.",HARD,deontic:prohibition|deontic:obligation,2,,,,,,
32BJ_NY__0096,32BJ_NY_RAB_2024_2027,24,"The committee shall consist of the President of the RAB and the President of the Union, or their designees. +dfAGREED: President, SEIU, Local 32BJ 24",HARD,deontic:obligation,2,,,,,,
32BJ_NY__0092,32BJ_NY_RAB_2024_2027,22,"The Committee shall consist of the President of Local 32BJ and the President of the RAB, or their designees. 7s President, RAB e4f AGREED: President, SEIU, Local 3 2BJ 22",HARD,deontic:obligation,2,,,,,,
32BJ_NY__0109,32BJ_NY_RAB_2024_2027,28,"There shall be no reduction in any Eligible Employee's pension benefit for electing early retirement pursuant to the terms of the 2024 Commercial VERIP. b) The parties further agree to recommend to the appropriate Boards of Trustees that the Health Fund, the SRSP, and the Pension Fund be amended in accordance with the 28",HARD,deontic:obligation,2,,,,,,
32BJ_NY__0123,32BJ_NY_RAB_2024_2027,33,"The parties agree that the ratification bonus shall not be considered compensation for hours of employment purposes, and instead shall be deemed excluded form the definition of regular rate for purposes of calculating overtime pay.",HARD,deontic:prohibition|deontic:obligation,2,,,,,,
32BJ_NY__0122,32BJ_NY_RAB_2024_2027,33,"After the Union provides the RAB with notice that its membership has fully ratified this Agreement, each employee for whom the Employer is obligated to contribute to the Health Fund as of March 20, 2024, including part-time employees who work more than two days per week, and those on leave for whom the employer is obligated to contribute to the Health Fund as of March 20, 2024, shall receive a one-time, lump-sum, ratification bonus of three thousand dollars ($3,000), minus all applicable taxes, withholdings and deductions.",HARD,deontic:obligation,2,,,,,,
32BJ_NY__0120,32BJ_NY_RAB_2024_2027,33,"In accordance with the annual rates of contributions set forth in Article X, Section A(2), in 2024, the monthly rate of contribution to the Health Fund shall be $1,991 per covered employee.",HARD,deontic:obligation,2,,,,,,
32BJ_NY__0118,32BJ_NY_RAB_2024_2027,30,Matters related to Fund Benefits shall be resolved in accordance with the Funds' respective Trust Agreements and the Plan documents.,HARD,deontic:obligation,2,,,,,,
32BJ_NY__0117,32BJ_NY_RAB_2024_2027,30,"Further, any such employee who returns to employment with an Industry Employer contributing to the Building Service 32BJ Pension Fund in the ""others,"" guard, or superintendent classifications may be treated as a new hire without Industry Experience for wage rate purposes. i) Employees who are employed pursuant to an independent commercial collective bargaining agreement that adopts reallocations of 32BJ Benefit Fund contributions agreed to by the Union and the RAB in the Commercial Building and Contractors Agreements, and who meet the eligibility criteria set forth in Paragraph ( c) above, shall be eligible to participate in the 2024 Commercial VERIP pursuant to these terms. j) The Union withdraws, with prejudice, and shall not grieve, arbitrate, or litigate, any and all claims arising from or relating to the employment with any Employer of any Eligible Employee who voluntarily makes a Retirement Election.",HARD,deontic:prohibition|deontic:obligation|deontic:permission,2,,,,,,
32BJ_NY__0116,32BJ_NY_RAB_2024_2027,30,Any such employee who returns to employment with an Industry Employer contributing to the Building Service 32BJ Pension Fund after participating in the 2024 Commercial VERIP and receiving the 2024 Commercial VERIP Benefits shall have their pension benefits suspended during the period of such subsequent Industry employment consistent with the Pension Fund's plan documents.,HARD,deontic:obligation,2,,,,,,
32BJ_NY__0114,32BJ_NY_RAB_2024_2027,30,"Employees who make the Retirement Election shall be paid termination pay in the amounts set forth in the applicable Agreement (specifically, Article XXI, Section 2l(a) of the Commercial Building Agreement and Article XVI, Section 26(a) of the Contractors Agreement) based on the employee's years of service and payment of 2024 vacation pay, less any amounts for 2024 vacation pay that were previously paid and/or wage advances that were the subject of a contemporaneous writing executed by the employee at the time of the advance.",HARD,deontic:obligation,2,,,,,,
32BJ_NY__0113,32BJ_NY_RAB_2024_2027,29,"Upon cessation of employment, the Employer shall have no obligation to employ or reemploy any individual in the vacant positions. g) Within two weeks of the Release's Effective Date (as defined in the Release), Eligible 29",HARD,deontic:obligation,2,,,,,,
32BJ_NY__0112,32BJ_NY_RAB_2024_2027,29,"The Union understands and agrees that each Eligible Employee will not receive the 2024 Commercial VERIP Benefits if they do not sign a Release or timely revokes and executed Release. e) To commence receiving their Pension benefits, Eligible Employees shall apply to the Pension Fund in accordance with the Pension Fund's rules and regulations. f) Effective no later than the day prior to the effective date of their retirement, Eligible Employees who are actively employed shall cease employment, and Eligible Employees who are in layoff status or on paid or unpaid leave of absence at the time of their Retirement Election, shall be removed from their building and Employer's recall list no later than the day before their retirement.",HARD,deontic:obligation,2,,,,,,
32BJ_NY__0111,32BJ_NY_RAB_2024_2027,29,"Remains in active employment through June 1, 2024 or later and commences benefits under the Pension Fund effective between July 1, 2024 and September 1, 2024. d) To make a voluntary Retirement Election, an Eligible Employee must: 1.",HARD,deontic:obligation,2,,,,,,
32BJ_NY__0107,32BJ_NY_RAB_2024_2027,28,"December 27, 2023 Manny Pastreich, President SEIU, Local 32BJ 25 West 18"" Street New York, NY 10011 Re: 2024 Commercial Building and Commercial Contractor Voluntary Early Retirement Incentive Program Dear Manny: This will confirm our understanding that the parties agree to offer to certain early-retirement­ eligible employees working under the 2024 RAB Commercial Building Agreement (""Commercial Building Agreement"") and the 2024 RAB Contractors Agreement (""Contractors Agreement""), a Voluntary Early Retirement Incentive Program (""2024 Commercial VERIP""), as specified herein. a) The parties agree that the following benefits (collectively, the ""2024 Commercial VERIP Benefits"") shall be provided to each Eligible Employee, as defined below in Paragraph ( c), who makes a Retirement Election, as defined below in Paragraph ( d): 1.",HARD,deontic:obligation,2,,,,,,
32BJ_NY__0093,32BJ_NY_RAB_2024_2027,23,"The parties also agree to meet once per month to review the docket of pending cases to ensure an expeditious resolution, and Local 32BJ shall also provide the RAB a list of open reduction in force requests.",HARD,deontic:obligation,2,,,,,,
32BJ_NY__0106,32BJ_NY_RAB_2024_2027,27,"(iv) the rules and procedures established in the LMCF Trust Agreement regarding Trustees, quorum, voting, deadlock, and other Trustee procedures shall continue until the termination of the LMCF. ±.. &/%s.a a% AGREED: President, RAB 27",HARD,deontic:obligation,2,,,,,,
32BJ_NY__0104,32BJ_NY_RAB_2024_2027,27,"(ii) the LMCF shall be funded by diverting future contributions to the Health Fund at the beginning of the Fund's fiscal year in the amount of one million dollars ($1,000,000) in 2024 and two million dollars ($2,000,000) in 2025;",HARD,deontic:obligation,2,,,,,,
32BJ_NY__0103,32BJ_NY_RAB_2024_2027,27,"(i) the sole and exclusive purpose of the LMCF shall be the containment of healthcare costs, including healthcare pricing, for the benefit of Union membership and Employers in New York City and surrounding areas;",HARD,deontic:obligation,2,,,,,,
32BJ_NY__0102,32BJ_NY_RAB_2024_2027,27,The LMCF Trust Agreement includes the following terms and conditions which shall continue until its extended termination date contained in this Side Letter:,HARD,deontic:obligation,2,,,,,,
