sentence_id,source_doc,page_num,raw_text,predicted_type,signals,confidence_score,is_constraint,constraint_type,entities,threshold,exception,notes
2025-SEI_0001,2025-seiu-interns-and-residents,4,"All Residents designated as UMass Chan Medical School House Staff, irrespective of the source of funding for their positions, and all Residents and Fellows paid by the Employer shall be guaranteed the full rights and privileges under this Agreement except as provided herein. 3.",HARD,deontic:obligation|exception,3,,,,,,
2025-SEI_0222,2025-seiu-interns-and-residents,26,"Decisions or judgments by the Medical School related to all academic matters, including determinations that a Resident/Fellow has failed to satisfy any requirements of his/her training program, such as clinical competence and professional standards of conduct, shall not be subject to review under the grievance and arbitration procedure set forth herein, but shall be exclusively subject to the procedures set out in Article XV herein. 2.",HARD,deontic:prohibition|deontic:obligation|exception,3,,,,,,
2025-SEI_0246,2025-seiu-interns-and-residents,27,"Only one grievance may be referred to and decided during a particular arbitration, unless otherwise agreed by the parties, in writing.",SOFT,deontic:permission|exception,3,,,,,,
2025-SEI_0245,2025-seiu-interns-and-residents,27,"The Arbitrator shall have no power to engage in any form of interest arbitration, unless both parties agree in writing.",HARD,deontic:obligation|exception,3,,,,,,
2025-SEI_0028,2025-seiu-interns-and-residents,6,"(3) days, the Resident shall switch with a colleague, subject to approval of the program.",HARD,deontic:obligation|exception,3,,,,,,
2025-SEI_0241,2025-seiu-interns-and-residents,27,The arbitration process shall be administered by the Medical School’s Office of Labor Relations and the parties agree to follow the rules of the Labor Relations Connection unless otherwise mutually agreed. c.,HARD,deontic:obligation|exception,3,,,,,,
2025-SEI_0239,2025-seiu-interns-and-residents,27,"Such submission must be made within thirty (30) calendar days after the date that the Step 3 answer was received, or, if not received, the date it would have been due (i.e., 42 days after timely submission at Step 3).",HARD,deontic:obligation|threshold,3,,,,,,
2025-SEI_0037,2025-seiu-interns-and-residents,7,The foregoing management rights are expressly reserved to be decided by the Employer and shall not be subject to the provisions of Article XV:- Grievance Procedure.,HARD,deontic:prohibition|deontic:obligation|exception,3,,,,,,
2025-SEI_0039,2025-seiu-interns-and-residents,8,"The Employer and the Union recognize that no employee shall be subject to sexual harassment, and both parties agree to remain committed to this principle.",HARD,deontic:obligation|deontic:prohibition|exception,3,,,,,,
2025-SEI_0232,2025-seiu-interns-and-residents,27,"In the event no hearing is held, or no response is received, or if the parties have waived the hearing, the grievance must be submitted to the Employer’s Director of Labor Relations or their designee within fourteen (14) calendar days after the date that a response would have been due (i.e., 28 days after timely submission to the Dean for GME or their designee). 4.",HARD,deontic:obligation|threshold,3,,,,,,
