sentence_id,source_doc,page_num,raw_text,predicted_type,signals,confidence_score,is_constraint,constraint_type,entities,threshold,exception,notes
ATU_689__1325,ATU_689_WMATA_2020_2024,150,"The Authority may hire up to 25 individual graduates from local high schools or vocational schools into entry level positions in the Fleet Servicer and/or Bus Mechanic classifications, provided that no more than 5 of which will be in the Fleet Servicers classification at any time.",SOFT,deontic:permission|threshold|exception,4,Yes,SOFT,Authority,"max_hires=25, max_fleet_servicers=5",provided that no more than 5 of which will be in the Fleet Servicers classification at any time,"auto-openai:The sentence outlines a discretionary hiring limit set by the Authority, indicating a soft constraint with specific thresholds and an exception."
ATU_689__1388,ATU_689_WMATA_2020_2024,163,"Except as provided above, all the terms of the master CBA shall be applicable. 154",HARD,deontic:obligation|exception,3,Yes,HARD,master CBA,,Except as provided above,"auto-openai:The sentence establishes that the terms of the master CBA are mandatory, indicating a hard constraint with an exception clause."
ATU_689__1224,ATU_689_WMATA_2020_2024,133,"(4) The dental plans provided herein shall incorporate pre-treatment cost determination procedures applicable to significant dental treatment/procedures, subject to the approval of the Trustees.",HARD,deontic:obligation|exception,3,Yes,SOFT,"operator, union, trustees",,subject to the approval of the Trustees,"auto-openai:The sentence outlines a procedure that is subject to approval, indicating it is a discretionary constraint."
ATU_689__1080,ATU_689_WMATA_2020_2024,119,"The masculine pronoun, wherever used, shall include the feminine pronoun, and the singular number shall include the plural number, unless the context of the Plan requires otherwise. 15.04 Governing Law.",HARD,deontic:obligation|exception,3,No,NOT_CONSTRAINT,,,,auto-openai:The sentence provides a definition regarding the use of pronouns and does not impose any rules or obligations.
ATU_689__0951,ATU_689_WMATA_2020_2024,103,"To the extent a Participant's benefit is subject to provisions of Section 415 of the Internal Revenue Code which have not been set forth in the Plan, such provisions are hereby incorporated by reference into this Plan and for all purposes shall be deemed a part of the Plan. 10.07 Minimum Distribution Requirements.",HARD,deontic:obligation|exception,3,Yes,HARD,"Participant, Plan",,,"auto-openai:The sentence incorporates mandatory provisions of the Internal Revenue Code into the Plan, indicating a legally binding requirement."
ATU_689__0318,ATU_689_WMATA_2020_2024,40,"(e) Subject to other provisions in this contract, extra board employees shall have preference of hold-downs according to seniority, as they come open, and number of hold-downs shall be determined by the prevailing conditions in each Division; and further, a run to be given out as a hold-down shall be given out within ten (10) calendar days from the date it was open.",HARD,deontic:obligation|exception,3,Yes,HARD,"extra board employees, Division",hold_downs=10,subject to other provisions in this contract,"auto-openai:The sentence establishes a mandatory preference for extra board employees based on seniority and specifies a time frame for hold-down assignments, indicating a legally binding requirement."
ATU_689__0591,ATU_689_WMATA_2020_2024,62,"It is understood that there shall be no other bumping except that which results from the provisions of Section 301(c), 309, or 311(f).",HARD,deontic:obligation|exception,3,Yes,HARD,"operator, union",,"except that which results from the provisions of Section 301(c), 309, or 311(f)","auto-openai:The sentence establishes a mandatory limitation on bumping, indicating that no other bumping is allowed except under specified sections, which qualifies it as a hard constraint."
ATU_689__0590,ATU_689_WMATA_2020_2024,62,"Except as provided herein, the Union President/Business Agent and the appropriate Management Official may establish by written agreement an opportunity for two",SOFT,deontic:permission|exception,3,Yes,SOFT,"Union President, Business Agent, Management Official",,Except as provided herein,"auto-openai:The sentence indicates a discretionary agreement that can be established by the Union President/Business Agent and Management Official, thus classifying it as a soft constraint."
ATU_689__1084,ATU_689_WMATA_2020_2024,119,"This Plan is intended to comply with all requirements for qualification under Section 401(a) of the Internal Revenue Code and, if any provision of the Plan is subject to more than one interpretation or construction, such ambiguity shall be resolved in favor of the interpretation or construction that is consistent with the continued qualification of the Plan under Section 401(a) of the Internal Revenue Code.",HARD,deontic:obligation|exception,3,Yes,HARD,"operator, authority, union",,,"auto-openai:The sentence establishes a mandatory requirement for compliance with a specific section of the Internal Revenue Code, indicating that any ambiguity must be resolved in a way that maintains compliance, which leaves no room for discretion."
ATU_689__0314,ATU_689_WMATA_2020_2024,39,It is understood that runs subject to bump may be bumped by senior employees currently holding runs.,SOFT,deontic:permission|exception,3,Yes,SOFT,"employees, runs",,,"auto-openai:The sentence indicates that senior employees may bump runs, which is discretionary and not mandatory."
