sentence_id,human_label,gpt_label,error_type,raw_text
CONTRACT_0201,NOT_CONSTRAINT,SOFT,NOT_CONSTRAINT → SOFT,"JOB DESCRIPTION The Traffic Checker job assignments shall include additional duties such as guide-a-ride signage updates Subway customer information center updates, and other functions that the parties may determine. 2."
CONTRACT_1757,NOT_CONSTRAINT,HARD,NOT_CONSTRAINT → HARD,(3) minutes or more shall be provided for all runs at terminals to arrange for service to be sent out of terminals on time and to afford operators an opportunity for personal relief if necessary.
CONTRACT_0522,NOT_CONSTRAINT,HARD,NOT_CONSTRAINT → HARD,"The Arbitrator shall issue a written Award, without a written opinion on the Expedited Arbitration Award Form."
CONTRACT_2062,NOT_CONSTRAINT,HARD,NOT_CONSTRAINT → HARD,The dismissal will be rescinded and the time elapsed since the employee's dismissal until the day of restoration will be registered as a suspension without pay. 9.4 Such restoration shall be considered no earlier than one
CONTRACT_0882,NOT_CONSTRAINT,HARD,NOT_CONSTRAINT → HARD,"Section 13-151 subdivision 4 shall only be applicable to those presumed retirement death benefits for deaths of eligible employees occurring prior to July 1, 1993 if payment has not been made by the Transit Authority and the Transit Authority makes payment to the New York City Employees Retirement System directly for such benefit."
CONTRACT_1952,NOT_CONSTRAINT,HARD,NOT_CONSTRAINT → HARD,All other provisions covering the Scheduling group shall remain in effect. 312
CONTRACT_1768_p1,HARD,SOFT,HARD → SOFT,"If an employee is definitely entitled under the foregoing provisions to be excused with pay from part or all of his/her next regularly scheduled tour of duty following the performance of emergency work, but is not so excused, he/she shall be allowed time off with pay from a subsequent tour of duty for the length of time for which he/she should have been so excused but the day on which he/she is allowed such time off shall be determined by advance agreement with his/her superior."
CONTRACT_1853,SOFT,HARD,SOFT → HARD,"Each employee so displaced shall be permitted to displace any employee with less clerical seniority at the same or lower rate of pay, provided such employee has the necessary qualifications."
CONTRACT_1541,UNCLEAR,HARD,UNCLEAR → HARD,"The Director, Labor Relations, MaBSTOA or his/her designee or designees shall, within eight"
CONTRACT_2092,HARD,SOFT,HARD → SOFT,The designated Employer official at the facility shall work with the designated Union representative at the facility and the employee requesting accommodation to secure an acceptable' work schedule.
CONTRACT_0960,UNCLEAR,HARD,UNCLEAR → HARD,Train Operators operating a train which is involved in a passenger fatality shall be granted three
CONTRACT_1577,NOT_CONSTRAINT,HARD,NOT_CONSTRAINT → HARD,"have the pensions currently paid by the Companies, the Operating Authority shall advance his/her monthly pension to each of such pensioners whose monthly pension had been advanced to him/her by the Operating Authority for the month of October, 1966, on the same terms and conditions as the October, 1966, payment had been advanced to him/her, as set forth in Article XXIV of the Agreement between the parties dated as of January 1, 1966."
CONTRACT_1619,UNCLEAR,HARD,UNCLEAR → HARD,(1) year but who at the beginning of the vacation year shall not have been employed for more than three
CONTRACT_1712,NOT_CONSTRAINT,HARD,NOT_CONSTRAINT → HARD,"The following provisions shall apply with respect to accidental injuries sustained in the course of an employee's employment on or after July 1, 1968."
CONTRACT_0665,UNCLEAR,SOFT,UNCLEAR → SOFT,"Each such employee who, at the beginning of a vacation year shall have been actively employed for more than three"
CONTRACT_0388_p2,UNCLEAR,SOFT,UNCLEAR → SOFT,"a) initiated by an elected or appointed official of the Union, who has been designated by the Union to make such requests in behalf of employees seeking to be released;"
CONTRACT_1742,HARD,SOFT,HARD → SOFT,(7) absences in a calendar year may be required by the Authority for each absence thereafter to report on his/her own time to the Authority's Medical Department before being allowed to return to work.
CONTRACT_0798_p3,UNCLEAR,HARD,UNCLEAR → HARD,2) That the accidental injury is the direct cause of the employee's incapacity for work.
CONTRACT_1270,UNCLEAR,SOFT,UNCLEAR → SOFT,(1) week of vacation in advance and may specify in which payroll period said payment shall be made.
CONTRACT_1387,HARD,SOFT,HARD → SOFT,"Up to thirty percent (30%) of runs may be swing runs and the remainder of scheduled runs shall be straight runs in the boroughs of Manhattan, the Bronx and Brooklyn. b."
CONTRACT_1595,NOT_CONSTRAINT,HARD,NOT_CONSTRAINT → HARD,The eligibility requirements for such retirement shall be the same as for Transit Authority employees retiring under the 55 1/100 plan. c.
CONTRACT_0674,UNCLEAR,HARD,UNCLEAR → HARD,(2) days per month for each month or the major portion thereof he/she shall have worked during the preceding vacation year but not more than four
CONTRACT_1394,UNCLEAR,HARD,UNCLEAR → HARD,"Assuming the lateness is through no fault of the operator, payment shall include an additional five"
CONTRACT_0391,NOT_CONSTRAINT,HARD,NOT_CONSTRAINT → HARD,Leaves of absence without pay shall be granted as set forth in this Agreement. 2.
CONTRACT_0719,NOT_CONSTRAINT,HARD,NOT_CONSTRAINT → HARD,The provisions of this paragraph shall not be applicable to any employee who is required to work on Lincoln's Birthday.
CONTRACT_1899_p2,UNCLEAR,HARD,UNCLEAR → HARD,"4) hours after his/her suspension (in case the suspension is on Saturday, Sunday or a holiday, such hearing to be within forty-eight ("
CONTRACT_1423,UNCLEAR,SOFT,UNCLEAR → SOFT,The proper supervisors shall determine how many of such relief run schedules shall call for five
