sentence_id,source_doc,page_num,raw_text,predicted_type,signals,confidence_score,is_constraint,constraint_type,entities,threshold,exception,notes
DC37_NYC_0019,DC37_NYC_Citywide_2001_2021,8,"For employees covered by the provisions of FLSA, voluntary overtime actually worked in excess of forty hours in a calendar week shall be compensated at the rate oftime and one­ half( I ½x) in time provided that the total unliquidated compensatory hours credited to an employee pursuant to this provision may not exceed 240 hours.",HARD,deontic:obligation|deontic:restriction|deontic:permission|threshold|exception,4,Yes,HARD,"employees, employer",max_hours=240,provided that the total unliquidated compensatory hours credited to an employee pursuant to this provision may not exceed 240 hours,"auto-openai:The sentence establishes a mandatory compensation rate for overtime worked, with a specific maximum limit on compensatory hours, indicating a hard constraint."
DC37_NYC_0024,DC37_NYC_Citywide_2001_2021,9,"For employees in the titles of Houseparent or Senior Houseparent, the hourly basic rate shall be calculated by multiplying the ""basic annual rate (excluding overtime)"" set forth in the Social Services and Related Titles Agreement by: 1 or 261 X 12 3132 For all hours in excess of 40 hours per week, such employees shall be compensated at the rate of time and one-half (I ½X) of the hourly basic rate. e.",HARD,deontic:obligation|threshold,3,Yes,HARD,"employees, union",max_hours=40,none,"auto-openai:The sentence establishes a mandatory compensation structure for employees exceeding a specified number of hours, using 'shall' which indicates a legally binding requirement."
DC37_NYC_0014,DC37_NYC_Citywide_2001_2021,8,"Upon the written approval of an employee's request by the agency head or designee, an employee who works ordered involuntary overtime shall have the option of being compensated in time off at the applicable rates provided in Sections 3(a) and 3(b) provided that the exercise of such option does not violate the provisions of( ""FLSA ""). d.",HARD,deontic:obligation|exception,3,Yes,SOFT,"employee, agency head",,provided that the exercise of such option does not violate the provisions of FLSA,"auto-openai:The sentence provides an option for employees to choose compensation in time off, which is subject to approval and does not impose a mandatory requirement."
DC37_NYC_0066,DC37_NYC_Citywide_2001_2021,11,"Employees who are required, ordered and/or scheduled on an involuntary basis to stand by in their homes subject to recall, as authorized by the agency head or the agency head's designated representative shall receive overtime payment in cash for such time on the basis of one-half ( I /2) hour paid overtime for each hour of standby time.",HARD,deontic:obligation|exception,3,Yes,HARD,"employees, agency head",overtime_payment=1/2 hour for each hour of standby time,,"auto-openai:The sentence establishes a mandatory requirement for overtime payment for employees on standby, indicating a clear obligation without discretion."
DC37_NYC_0028,DC37_NYC_Citywide_2001_2021,9,"When an employee's annual gross salary including overtime, all differentials and premium pay is higher than the cap, compensatory time at the rate of straight time shall be credited for authorized overtime except as may be proscribed by FLSA.",HARD,deontic:obligation|deontic:permission|exception,3,Yes,HARD,"employee, employer, FLSA",max_salary=cap,as may be proscribed by FLSA,"auto-openai:The sentence establishes a mandatory condition regarding compensatory time credit based on salary exceeding a specified cap, with a clear exception related to FLSA regulations."
DC37_NYC_0026,DC37_NYC_Citywide_2001_2021,9,"(I) full hour is compensable in a calendar week (unless such employee is covered by the provisions of the FLSA and has actually worked in excess of forty hours in said calendar week). ""Annual regular salary"" shall in addition to all payments included in an employees basic salary include all educational, assignment, and longevity differentials, and, when mandated to be included by FLSA, such other additions to gross that are regularly part of an employee's salary.",HARD,deontic:obligation|exception,3,Yes,HARD,"employee, FLSA",max_hours=40,unless such employee is covered by the provisions of the FLSA and has actually worked in excess of forty hours in said calendar week,"auto-openai:The sentence establishes a mandatory condition regarding compensable hours and includes a specific threshold, making it a hard constraint."
DC37_NYC_0060,DC37_NYC_Citywide_2001_2021,11,"Except for the time described in subsection I Ob(ii) below, any such compensatory time not so used by the employee's choice shall be added to the employee's sick leave balance.",HARD,deontic:obligation|exception,3,Yes,HARD,employee,,subsection I Ob(ii),"auto-openai:The sentence imposes a mandatory requirement on how unused compensatory time is handled, indicating a clear obligation without discretion."
DC37_NYC_0069,DC37_NYC_Citywide_2001_2021,11,"Notwithstanding the above, they may be required to call in or may make other mutually agreeable accommodations with the agency.",SOFT,deontic:permission|exception,3,Yes,SOFT,agency,,,"auto-openai:The use of 'may' indicates that the requirement is discretionary and can be negotiated, classifying it as a soft constraint."
DC37_NYC_0022,DC37_NYC_Citywide_2001_2021,8,"Credit for all authorized overtime beyond the normal work week shall accrue in units of one-quarter(¼) hour to the nearest one-quarter(¼) hour and, except for an employee covered by the provisions ofF LSA who has actually worked in excess of forty hours in said calendar week, only after one",HARD,deontic:obligation|exception,3,Yes,HARD,"employee, authority, union",max_hours=40,except for an employee covered by the provisions of FLSA who has actually worked in excess of forty hours in said calendar week,"auto-openai:The sentence establishes a mandatory rule regarding the accrual of overtime credit, specifying conditions under which it applies."
DC37_NYC_0020,DC37_NYC_Citywide_2001_2021,8,"If an employee has reached the 240 hour maximum accrual for FLSA compensatory time, all subsequent overtime earned under this provision must be compensated in cash at time and one-half( I ½x).",HARD,deontic:obligation|threshold,3,Yes,HARD,"employee, employer",max_hours=240,,"auto-openai:The sentence imposes a mandatory requirement for compensating overtime in cash once a specific accrual limit is reached, indicating a hard constraint."
