sentence_id,source_doc,page_num,raw_text,predicted_type,signals,confidence_score,is_constraint,constraint_type,entities,threshold,exception,notes
32BJ_CMU_0097,32BJ_CMU_2024,12,"However, the second request to use an emergency day in cases of personal or family emergencies the employee shall provide the Employer with reasonable documentation of the personal or family emergency within 48 hours of returning to work.",HARD,deontic:obligation|threshold|exception,4,Yes,HARD,"employee, employer",48 hours,,"auto-openai:The sentence imposes a mandatory requirement for the employee to provide documentation within a specified timeframe, indicating a hard constraint."
32BJ_CMU_0183,32BJ_CMU_2024,20,"Notwithstanding the provisions above, the Union shall have the right to strike upon the failure of an Employer to make the required reports or payment to the Fund or is designated agent by giving thirty (30) days written notice to the Employer by certified mail of such alleged violation.",HARD,deontic:obligation|exception,3,Yes,HARD,"Union, Employer",notice_period=30days,,"auto-openai:The sentence establishes a mandatory right for the Union to strike under specific conditions, indicating a legally binding obligation."
32BJ_CMU_0137,32BJ_CMU_2024,16,(ii) All employees shall be entitled to sick days as follows: 0 - 8 years – 5 sick days 9 - 14 years – 6 sick days 15 + years – 7 sick days New Employees cannot use sick days until they have completed 90 days of employment.,HARD,deontic:obligation|threshold,3,Yes,HARD,employees,"max_sick_days=7, min_employment_days=90",New Employees cannot use sick days until they have completed 90 days of employment.,"auto-openai:The sentence establishes mandatory sick day entitlements based on years of service and includes a specific condition for new employees, making it a hard constraint."
32BJ_CMU_0214,32BJ_CMU_2024,23,"In the event of unauthorized activity, the Union will immediately take affirmative action to eliminate the activity including specifically, but not limited to, promptly disavowing the activity; provided, however, that the Union shall not be liable for any violation of this Section where the Union has taken all reasonable steps to avoid and end such activity.",HARD,deontic:prohibition|deontic:obligation|exception,3,Yes,HARD,union,,"provided, however, that the Union shall not be liable for any violation of this Section where the Union has taken all reasonable steps to avoid and end such activity.","auto-openai:The sentence imposes a mandatory obligation on the Union to take action against unauthorized activity, qualifying it with an exception regarding liability."
32BJ_CMU_0043,32BJ_CMU_2024,9,"employer, for all matters except for vacation purposes, the seniority for which shall be determined by the date of commencement of employment at the University.",HARD,deontic:obligation|exception,3,Yes,HARD,"employer, University",,vacation purposes,"auto-openai:The sentence establishes a mandatory rule regarding the determination of seniority based on employment commencement date, with a specific exception for vacation purposes."
32BJ_CMU_0045,32BJ_CMU_2024,9,"During this Probation Period, the employee is a probationary employee, and during said period, discharge may be made by the Employer with or without cause, and without being subject to the grievance procedure set forth in this Agreement.",SOFT,deontic:permission|exception,3,Yes,HARD,"employee, employer",,,"auto-openai:The sentence establishes a mandatory condition regarding the discharge of probationary employees without cause, indicating a lack of discretion for the employer."
32BJ_CMU_0047,32BJ_CMU_2024,9,"(d) absence because of sickness and accident after twenty-four (24) months unless such absence is due to a compensable disability incurred during the course of employment, in which event the individual must return to work within seven",HARD,deontic:obligation|exception,3,Yes,HARD,"employee, employer","24 months, 7",unless such absence is due to a compensable disability incurred during the course of employment,"auto-openai:The sentence establishes a mandatory condition regarding absence due to sickness and accident, specifying a time limit and a requirement to return to work, which qualifies it as a hard constraint."
32BJ_CMU_0219,32BJ_CMU_2024,23,"Should security employees come to be represented by the Union, it is understood that because of their special responsibilities and duties, they shall at no time participate in strikes, slowdowns or withdrawal of services nor shall they observe picket lines in any form; provided only that, in the event of a strike by others, they shall not be required to assume non-security type duties normally performed by striking employees.",HARD,deontic:prohibition|deontic:obligation|deontic:preference|exception,3,Yes,HARD,"union, security employees",,"in the event of a strike by others, they shall not be required to assume non-security type duties normally performed by striking employees","auto-openai:The sentence imposes a mandatory prohibition on security employees participating in strikes or observing picket lines, indicating a hard constraint."
32BJ_CMU_0220,32BJ_CMU_2024,23,Further security employees shall not be subject to penalty or punishment by the Union for performance of assigned duties at any time.,HARD,deontic:prohibition|deontic:obligation|exception,3,Yes,HARD,"union, security employees",,,"auto-openai:The sentence establishes a mandatory rule that security employees cannot be penalized by the Union for performing their duties, indicating a hard constraint."
32BJ_CMU_0145,32BJ_CMU_2024,16,"Notwithstanding the provisions of Article 10 above, overtime shall not be available to any employee who is off on sick leave the day immediately preceding the day on which the overtime is to be worked.",HARD,deontic:prohibition|deontic:obligation|exception,3,Yes,HARD,"employee, employer, union",,off on sick leave the day immediately preceding the day on which the overtime is to be worked,"auto-openai:The sentence imposes a mandatory restriction on overtime eligibility for employees on sick leave, indicating a hard constraint."
