sentence_id,source_doc,page_num,raw_text,predicted_type,signals,confidence_score,is_constraint,constraint_type,entities,threshold,exception,notes
IBEW_JUN_0134,IBEW_Juneau_2024_2027,20,Employees who are hired or rehired into regular positions shall be subject to a probationary period.,HARD,deontic:obligation|exception,3,,,,,,
IBEW_JUN_0043,IBEW_Juneau_2024_2027,11,"The Chief Shop Steward shall be subject to all terms and conditions of the Agreement, except the provisions that pertain to an hourly employee such as, but not limited to, all overtime, call-out, ten-hour breaks, pay premiums, and additional meal period provisions.",HARD,deontic:obligation|exception,3,,,,,,
IBEW_JUN_0111,IBEW_Juneau_2024_2027,19,"Job vacancies in regular positions shall be filled by the job posting, job bidding and job award procedures unless otherwise specified in this Agreement.",HARD,deontic:obligation|exception,3,,,,,,
IBEW_JUN_0228,IBEW_Juneau_2024_2027,29,"In the event of a bona fide emergency situation, the ten (10) calendar day notice may be waived.",SOFT,deontic:permission|exception,3,,,,,,
IBEW_JUN_0473,IBEW_Juneau_2024_2027,58,"Pedestrian signals or other ""step-ladder"" work shall not be included in this provision unless considered hazardous due to traffic or other reasons.",HARD,deontic:prohibition|deontic:obligation|exception,3,,,,,,
IBEW_JUN_0284,IBEW_Juneau_2024_2027,35,"Upon request, eligible employees shall be awarded 160 hours of non-cashable leave for regular full time eligible employees who have been approved for leave under the Alaska Family Leave Act (AFLA) or the Family Medical Leave Act of 1993 (FMLA) for a qualifying event of the birth of an employee’s child or children, or placement of a child or children with the employee for adoption or foster care.",HARD,deontic:obligation|threshold,3,,,,,,
IBEW_JUN_0222,IBEW_Juneau_2024_2027,28,"All hours of cashable annual leave in excess of four-hundred-eighty (480), unless converted to cashable sick leave, shall be paid to the employee in the next pay period following the last full pay period in December.",HARD,deontic:obligation|exception,3,,,,,,
IBEW_JUN_0078,IBEW_Juneau_2024_2027,14,"The parties agree this means the Municipality shall not subcontract work traditionally performed within the job classifications covered under this Agreement, except when regular employees cannot meet the Municipality's maintenance and new construction needs or when in-house personnel do not possess the expertise and skills to adequately perform the work within time constraints or Municipalities needs of service or any emergencies.",HARD,deontic:prohibition|deontic:obligation|exception,3,,,,,,
IBEW_JUN_0220,IBEW_Juneau_2024_2027,28,Non-Cashable annual leave for all eligible employees shall accrue as follows: 6 - 10 years of service Non-Cashable Annual Leave – 1.86 hours a pay period 11 - 19 years of service Non-Cashable Annual Leave – 2.62 hours a pay period 20+ years of service Non-Cashable Annual Leave – 3.27 hours a pay period 3.,HARD,deontic:obligation|threshold,3,,,,,,
IBEW_JUN_0219,IBEW_Juneau_2024_2027,28,Cashable annual leave for all eligible employees shall accrue as follows: 0 - 2 years of service Annual Leave – 6.15 hours per pay period 3 – 5 years of service Annual Leave – 6.77 hours per pay period 6 - 10 years of service Annual Leave – 7.38 hours per pay period 11+ years of service Annual Leave – 9.23 hours per pay period 2.,HARD,deontic:obligation|threshold,3,,,,,,
