sentence_id,source_doc,page_num,raw_text,predicted_type,signals,confidence_score,is_constraint,constraint_type,entities,threshold,exception,notes
IBEW_48__0110,IBEW_48_Oregon_2024_2026,16,"No individual employee shall be paid overtime compensation unless they have worked their 8 or 10 hours (depending on the shift) regardless of the time they start their day, if the individual employee is responsible for their own delayed start or missed time.",HARD,deontic:obligation|threshold|exception,4,Yes,HARD,"employee, employer",max_hours=10,if the individual employee is responsible for their own delayed start or missed time,"auto-openai:The sentence establishes a mandatory condition for overtime pay, making it a hard constraint with a specific threshold and an exception clause."
IBEW_48__0207,IBEW_48_Oregon_2024_2026,25,An applicant who qualifies for Group I in a local union shall be so registered electronically and remain on Group I in that local union unless and until the applicant designates another local union as their or her Group I local union.,HARD,deontic:obligation|exception,3,Yes,HARD,"applicant, local union",,unless and until the applicant designates another local union as their or her Group I local union,"auto-openai:The sentence establishes a mandatory requirement for registration in a local union with a specific condition for change, indicating it is a hard constraint."
IBEW_48__0246,IBEW_48_Oregon_2024_2026,29,"If the JATC deadlocks on any issue, the matter shall be referred to the Labor-Management Committee for resolution as outlined in Article I of this agreement; except for trust fund matters, which shall be resolved as stipulated in the local trust instrument.",HARD,deontic:obligation|exception,3,Yes,HARD,"JATC, Labor-Management Committee, trust fund",,except for trust fund matters,"auto-openai:The sentence establishes a mandatory process for resolving deadlocks, indicating a hard constraint with a specific exception for trust fund matters."
IBEW_48__0159,IBEW_48_Oregon_2024_2026,21,"Section 3.08(e) PM/Estimator Classification: • The Union shall remain the sole and exclusive source of referral of applicants for employment as a bargaining unit employee. • The employer may hire estimators and project managers either off the street or through the union. • If the employer hires an estimator or project manager off the street, then such individual is not eligible to participate in any union fringe benefit unless it is an alumni or Category II.",HARD,deontic:obligation|deontic:permission|exception,3,Yes,HARD,"union, employer, applicants, bargaining unit employee, estimators, project managers",,unless it is an alumni or Category II,"auto-openai:The sentence establishes mandatory conditions regarding the referral of applicants and eligibility for union benefits, indicating a hard constraint."
IBEW_48__0071,IBEW_48_Oregon_2024_2026,11,"Member Contracting Limitations Section 2.10 No member of Local Union 48, while they remain a member of such Local and subject to employment by employers operating under this Agreement, shall themselves become a contractor for the performance of any electrical work.",HARD,deontic:obligation|deontic:prohibition|exception,3,Yes,HARD,"Local Union 48, member, employers",,,"auto-openai:The sentence imposes a mandatory restriction on members of Local Union 48, prohibiting them from becoming contractors for electrical work while they are members, which qualifies it as a hard constraint."
IBEW_48__0340,IBEW_48_Oregon_2024_2026,40,"Section 9.03 Each employer shall contribute one cent ($.01) per hour worked under this Agreement up to a maximum of 150,000 hours per year.",HARD,deontic:obligation|threshold,3,Yes,HARD,employer,max_hours=150000,,"auto-openai:The sentence imposes a mandatory contribution requirement with a specified maximum, indicating a hard constraint."
IBEW_48__0064,IBEW_48_Oregon_2024_2026,10,"Bodily Injury Liability Insurance Section 2.06 Every employer shall carry bodily injury liability insurance with limits of not less than $50,000 for one person's claim and subject to $100,000 for the claim of two or more persons in one accident.",HARD,deontic:obligation|exception,3,Yes,HARD,employer,"min_bodily_injury_liability=50000, max_bodily_injury_liability=100000",,"auto-openai:The sentence mandates that every employer must carry specific bodily injury liability insurance, which qualifies it as a hard constraint."
IBEW_48__0347,IBEW_48_Oregon_2024_2026,41,Their term of office shall be three years unless removed by the party they represent.,HARD,deontic:obligation|exception,3,Yes,HARD,"party, representative",,unless removed by the party they represent,"auto-openai:The sentence establishes a mandatory term of office with no discretion allowed, making it a hard constraint."
IBEW_48__0076,IBEW_48_Oregon_2024_2026,12,"Section 2.12(b) Journeymen shall be required to make any necessary corrections of code violations for which they are responsible, on their own time during the regular working hours, however, they shall not be required to make corrections unless notified by the employer involved within five",HARD,deontic:prohibition|deontic:obligation|exception,3,Yes,HARD,"journeymen, employer",,unless notified by the employer involved within five,"auto-openai:The sentence imposes a mandatory requirement on journeymen to correct code violations, making it a hard constraint."
IBEW_48__0053,IBEW_48_Oregon_2024_2026,9,"Those employees who are covered by law for reasons of the Family Medical Leave Act, injury, military duty etc. shall not be subject to this provision.",HARD,deontic:prohibition|deontic:obligation|exception,3,Yes,HARD,"employees, Family Medical Leave Act",,,"auto-openai:The sentence establishes a mandatory condition that employees covered by specific laws are exempt from the provision, indicating a hard constraint."
IBEW_48__0052,IBEW_48_Oregon_2024_2026,9,"Employers shall lay off employees who have not worked 40 hours in the past 28 calendar days, including weekends, and holidays, bon-a-fide vacation is exempt.",HARD,deontic:obligation|threshold,3,Yes,HARD,"employer, employee","min_hours=40, min_days=28",bon-a-fide vacation is exempt,"auto-openai:The sentence imposes a mandatory requirement for layoffs based on specific working hours and days, qualifying it as a hard constraint."
IBEW_48__0051,IBEW_48_Oregon_2024_2026,9,"If a referral employee is laid off by the employer in less than 45 days, then the Union shall provide the Employer with another referral. 6.",HARD,deontic:obligation|threshold,3,Yes,HARD,"employer, union",max_days=45,,"auto-openai:The sentence imposes a mandatory obligation on the Union to provide a referral if the employer lays off an employee within a specified timeframe, indicating a hard constraint."
IBEW_48__0241,IBEW_48_Oregon_2024_2026,29,"JATC members shall complete their appointed term unless removed for cause by the party they represent, or they voluntarily resign.",HARD,deontic:obligation|exception,3,Yes,HARD,"JATC members, party they represent",,"unless removed for cause by the party they represent, or they voluntarily resign","auto-openai:The sentence establishes a mandatory requirement for JATC members to complete their term, with specific conditions under which they may be removed or resign."
IBEW_48__0352,IBEW_48_Oregon_2024_2026,42,"Section 10.06 Journeyman, while splicing cable, shall not be required to work on wires or cables when the difference in potentials is over 200 Volts between any two conductors or between any conductor or ground, unless assisted by one Journeyman.",HARD,deontic:prohibition|deontic:obligation|exception,3,Yes,HARD,"union, journeyman",max_voltage=200,unless assisted by one Journeyman,"auto-openai:The sentence imposes a mandatory restriction on Journeyman regarding working with high voltage, making it a hard constraint."
IBEW_48__0048,IBEW_48_Oregon_2024_2026,9,Journeymen may be recalled at any time up until 90 days from the date the employee is terminated due to layoff by an Employer. 3.,SOFT,deontic:permission|threshold,3,Yes,SOFT,"employer, employee, union",90,,"auto-openai:The sentence indicates a discretionary recall period for journeymen after layoff, which qualifies it as a soft constraint."
IBEW_48__0047,IBEW_48_Oregon_2024_2026,9,"Journeyman Recall by Name Section 2.03(b) The employer shall have the right to recall Journeymen by name, subject to the following conditions: 1.",HARD,deontic:obligation|exception,3,Yes,HARD,"employer, journeymen",,,"auto-openai:The sentence establishes a mandatory right for the employer to recall journeymen by name, indicating a hard constraint."
IBEW_48__0073,IBEW_48_Oregon_2024_2026,11,The employer shall have a request into the dispatch office for manpower that is unfilled for 48 hours. b.,HARD,deontic:obligation|threshold,3,Yes,HARD,"employer, dispatch office",unfilled_for=48_hours,,"auto-openai:The sentence imposes a mandatory requirement on the employer to submit a request for unfilled manpower within a specified timeframe, indicating a hard constraint."
IBEW_48__0261,IBEW_48_Oregon_2024_2026,30,"Individuals terminated from apprenticeship shall not be assigned to any job in any classification, or participate in any related training, unless they are reinstated in apprenticeship as per the standards, or they qualify through means other than apprenticeship, at some time in the future, but no sooner than two years after their class has completed apprenticeship, and they have gained related knowledge and job skills to warrant such classification.",HARD,deontic:prohibition|deontic:obligation|exception,3,Yes,HARD,"individuals, apprenticeship",,"unless they are reinstated in apprenticeship as per the standards, or they qualify through means other than apprenticeship, at some time in the future, but no sooner than two years after their class has completed apprenticeship","auto-openai:The sentence imposes a mandatory restriction on individuals terminated from apprenticeship regarding job assignments and training participation, with specific conditions for exceptions."
IBEW_48__0086,IBEW_48_Oregon_2024_2026,13,"Union Job Access Section 2.14 The representatives of the Union shall be allowed access to any building at any reasonable time where members of the Union are employed, provided that such representatives fully comply with the visitor and security rules established for the particular project.",HARD,deontic:obligation|exception,3,Yes,SOFT,union,,provided that such representatives fully comply with the visitor and security rules established for the particular project,"auto-openai:The sentence allows union representatives access under certain conditions, indicating a discretionary nature."
IBEW_48__0281,IBEW_48_Oregon_2024_2026,31,"Apprentices who are in their final year of related classroom training using ETA curriculum and accumulated a minimum of 6,500 hours of OJT with satisfactory performance, shall be permitted October 24, 2023 31",HARD,deontic:obligation|threshold,3,Yes,HARD,"apprentices, ETA curriculum",min_hours=6500,,"auto-openai:The sentence establishes a mandatory requirement for apprentices to complete specific training and hours, indicating a hard constraint."
IBEW_48__0115,IBEW_48_Oregon_2024_2026,16,"Labor Day Section 3.03 No work shall be performed on Labor Day except in case of an emergency, and then only after permission is granted by the Business Manager of the Union.",HARD,deontic:obligation|exception,3,Yes,HARD,union,,"in case of an emergency, and then only after permission is granted by the Business Manager of the Union","auto-openai:The sentence establishes a mandatory prohibition on work during Labor Day with specific exceptions, indicating a hard constraint."
IBEW_48__0297,IBEW_48_Oregon_2024_2026,33,"An individual Employer who fails to remit as provided above shall be additionally subject to having their agreement terminated upon seventy-two (72) hours’ notice in writing being served by the Union, provided the individual Employer fails to show satisfactory proof that the required payments have been paid to the appropriate local collection agent.",HARD,deontic:obligation|exception,3,Yes,HARD,"Employer, Union",notice_period=72hours,provided the individual Employer fails to show satisfactory proof that the required payments have been paid to the appropriate local collection agent,"auto-openai:The sentence imposes a mandatory consequence for non-compliance with payment obligations, specifying a clear notice period and conditions under which the agreement can be terminated."
IBEW_48__0109,IBEW_48_Oregon_2024_2026,16,"Overtime/Holidays Section 3.02 All work performed outside of the regularly scheduled working hours, including scheduled lunch, shall be paid at one and one-half times the straight time hourly rate, except Sundays and holidays.",HARD,deontic:obligation|exception,3,Yes,HARD,"operator, authority, union",empty string,Sundays and holidays,"auto-openai:The sentence establishes a mandatory payment rate for overtime work, indicating a clear obligation without discretion."
IBEW_48__0277,IBEW_48_Oregon_2024_2026,31,"Section 5.13 Apprentices who have satisfactorily completed the first four years of related classroom training using the NJATC curriculum and accumulated a minimum of 6,500 hours of OJT with satisfactory performance, shall be permitted to work alone on any job site and receive work assignments in the same manner as a Journeyman.",HARD,deontic:obligation|threshold,3,Yes,HARD,"apprentices, job site, Journeyman",min_hours=6500,,"auto-openai:The sentence establishes a mandatory requirement for apprentices to complete specific training and hours before they can work alone, using the term 'shall' which indicates a hard constraint."
IBEW_48__0107,IBEW_48_Oregon_2024_2026,15,"After ten hours in a workday, overtime shall be paid at the rate of one and one-half times the regular rate of pay, except Sundays and holidays which will be paid at double the straight time rate of pay.",HARD,deontic:obligation|exception,3,Yes,HARD,"operator, union",max_hours=10,Sundays and holidays,"auto-openai:The sentence establishes a mandatory overtime pay rate after a specific threshold of hours worked, making it a hard constraint."
IBEW_48__0303,IBEW_48_Oregon_2024_2026,34,"Upon recommendation of the Trustees of the Harrison Electrical Workers' Health and Welfare Trust Fund, the contributions to the Fund may be increased by--the jointly signing of an amendment--a corresponding deduction from the employees' wages after 60 days' notice is given to Management prior to any scheduled wage adjustment.",SOFT,deontic:permission|threshold,3,Yes,SOFT,"Trustees, Management, employees",60 days,,"auto-openai:The sentence describes a potential increase in contributions that is subject to a recommendation and requires notice, indicating it is discretionary rather than mandatory."
