sentence_id,source_doc,page_num,raw_text,predicted_type,signals,confidence_score,is_constraint,constraint_type,entities,threshold,exception,notes
AFSCME_N_0864,AFSCME_NP3_CT_2022_2025,103,A staff member working a swap shall be eligible for overtime (unless they have worked 18.5 or more hours in the past 24 hours). 11.,HARD,deontic:obligation|threshold|exception,4,,,,,,
AFSCME_N_0816,AFSCME_NP3_CT_2022_2025,96,Failure to excuse lateness of up to 2 1/2 hours shall be subject to the grievance and arbitration provisions of this Agreement.,HARD,deontic:obligation|threshold|exception,4,,,,,,
AFSCME_N_0001,AFSCME_NP3_CT_2022_2025,5,"SE-8129, Decision No. 2248, issued November 2, 1983, subject to such modifications or clarifications of the unit as the Board or a court may order or to which the parties may agree.",SOFT,deontic:permission|exception,3,,,,,,
AFSCME_N_0711,AFSCME_NP3_CT_2022_2025,85,Disputes over the State’s obligations to provide counsel under this Section shall be subject to expedited arbitration.,HARD,deontic:obligation|exception,3,,,,,,
AFSCME_N_0762,AFSCME_NP3_CT_2022_2025,90,"Nothing in this Article shall prevent the Employer from reassigning an employee from one functional unit of a work location to another functional unit of that work location, on either a temporary or a permanent basis, provided that the Employer shall provide the employee with two",HARD,deontic:obligation|exception,3,,,,,,
AFSCME_N_0759,AFSCME_NP3_CT_2022_2025,90,"This Section shall not apply if a work unit is moved from one location to another or in emergency situations, provided that a representative of the Employer shall notify the Union of the anticipated move as soon as possible but no later than two",HARD,deontic:prohibition|deontic:obligation|exception,3,,,,,,
AFSCME_N_0235,AFSCME_NP3_CT_2022_2025,31,Any dispute as to whether the explanation offered is valid shall be subject to the grievance and arbitration procedure.,HARD,deontic:obligation|exception,3,,,,,,
AFSCME_N_0236,AFSCME_NP3_CT_2022_2025,31,"In any such arbitration, the arbitrator shall not substitute his/her judgment for that of the Employer unless the Employer’s decision can be shown to be arbitrary or capricious.",HARD,deontic:prohibition|deontic:obligation|exception,3,,,,,,
AFSCME_N_0244,AFSCME_NP3_CT_2022_2025,32,"Except as provided in this section or in Article 14, the definition of seniority in this Article shall apply in all situations where seniority is a factor.",HARD,deontic:obligation|exception,3,,,,,,
AFSCME_N_0245,AFSCME_NP3_CT_2022_2025,32,No employee shall be laid off except in compliance with this Article.,HARD,deontic:obligation|deontic:prohibition|exception,3,,,,,,
AFSCME_N_0744,AFSCME_NP3_CT_2022_2025,88,"(6) calendar week probationary period is not satisfactory to the new agency shall be returned to his/her former position, or if his/her position is filled, to a comparable position in the same facility, with the same pay and without any loss of any benefits or seniority rights; but failure of this probationary period shall not be subject to the grievance and arbitration provisions of this Agreement.",HARD,deontic:prohibition|deontic:obligation|exception,3,,,,,,
AFSCME_N_0732,AFSCME_NP3_CT_2022_2025,87,(3) A temporary transferee from one agency to another shall be considered for all purposes as an employee of the agency from which he/she was loaned except for the purpose of immediate supervision.,HARD,deontic:obligation|exception,3,,,,,,
