sentence_id,source_doc,page_num,raw_text,predicted_type,signals,confidence_score,is_constraint,constraint_type,entities,threshold,exception,notes,word_count
CONTRACT_0254,contract_v5,110,"The completed form, with doctor’s statement, must be transmitted to Transit' s Workers' Compensation Division (hereinafter WCD).",HARD,deontic:obligation,2,,,,,,,17
CONTRACT_0201,contract_v5,70,"JOB DESCRIPTION The Traffic Checker job assignments shall include additional duties such as guide-a-ride signage updates Subway customer information center updates, and other functions that the parties may determine. 2.",HARD,deontic:obligation|deontic:permission,2,,,,,,,30
CONTRACT_1757,contract_v5,386,(3) minutes or more shall be provided for all runs at terminals to arrange for service to be sent out of terminals on time and to afford operators an opportunity for personal relief if necessary.,HARD,deontic:obligation,2,,,,,,,35
CONTRACT_0522,contract_v5,162,"The Arbitrator shall issue a written Award, without a written opinion on the Expedited Arbitration Award Form.",HARD,deontic:obligation,2,,,,,,,17
CONTRACT_0948_p2,contract_v5,211,2) At each pick a quota of yard and terminal tricks will be reserved for assignment to Train Operators physically disqualified to perform the full duties of their title and such tricks will not be available for pick.,HARD,deontic:obligation,2,,,,,,,38
CONTRACT_2062,contract_v5,507,The dismissal will be rescinded and the time elapsed since the employee's dismissal until the day of restoration will be registered as a suspension without pay. 9.4 Such restoration shall be considered no earlier than one,HARD,deontic:obligation,2,,,,,,,36
CONTRACT_0882,contract_v5,202,"Section 13-151 subdivision 4 shall only be applicable to those presumed retirement death benefits for deaths of eligible employees occurring prior to July 1, 1993 if payment has not been made by the Transit Authority and the Transit Authority makes payment to the New York City Employees Retirement System directly for such benefit.",HARD,deontic:obligation,2,,,,,,,53
CONTRACT_2047,contract_v5,503,"Employees who are referred to EAP pursuant to paragraph 6.2 may, where EAP recommends, be temporarily reassigned, placed on a leave or transferred in accordance with the restricted duty policy of the Authority.",SOFT,deontic:permission,2,,,,,,,33
CONTRACT_1786,contract_v5,395,"Employees Temporarily Working in a Higher Classification An employee temporarily doing the work of another employee whose rate of pay is higher, shall be paid the higher rate for each hour that such employee does such work.",HARD,deontic:obligation,2,,,,,,,37
CONTRACT_2148,contract_v5,549,"Requests may be submitted either on that form or in the form of a signed statement to the Assistant Chief Officer, Revenue Collection Services specifying the change requested.",SOFT,deontic:permission,2,,,,,,,28
CONTRACT_1952,contract_v5,438,All other provisions covering the Scheduling group shall remain in effect. 312,HARD,deontic:obligation,2,,,,,,,12
CONTRACT_1768_p1,contract_v5,388,"If an employee is definitely entitled under the foregoing provisions to be excused with pay from part or all of his/her next regularly scheduled tour of duty following the performance of emergency work, but is not so excused, he/she shall be allowed time off with pay from a subsequent tour of duty for the length of time for which he/she should have been so excused but the day on which he/she is allowed such time off shall be determined by advance agreement with his/her superior.",HARD,deontic:obligation|deontic:preference,2,,,,,,,85
