sentence_id,source_doc,page_num,raw_text,predicted_type,signals,confidence_score,is_constraint,constraint_type,entities,threshold,exception,notes
MA_NAGE__0539,MA_NAGE_Unit1_2024_2027,71,An employee reassigned involuntarily under this section shall have the right to request to return to their previous position in the event of a vacancy occurring at their previous geographical location within 12 months of reassignment.,HARD,deontic:obligation|threshold|exception,4,Yes,HARD,"employee, vacancy, geographical location",12 months,,"auto-openai:The sentence establishes a mandatory right for an employee to request a return to their previous position under specific conditions, indicating a hard constraint."
MA_NAGE__0424,MA_NAGE_Unit1_2024_2027,55,(9) months such determination shall not be subject to the grievance procedure.,HARD,deontic:prohibition|deontic:obligation|exception,3,Yes,HARD,"operator, union",,,"auto-openai:The sentence indicates that the determination is not subject to the grievance procedure, which is a mandatory stipulation."
MA_NAGE__0683,MA_NAGE_Unit1_2024_2027,103,Your employer must give you at least 15 calendar days to return this form to your employer. 29 C.F.R. § 825.305.,HARD,deontic:obligation|threshold,3,Yes,HARD,employer,min_days=15,,"auto-openai:The sentence specifies a mandatory requirement for the employer to provide a minimum notice period, indicating a hard constraint."
MA_NAGE__0116,MA_NAGE_Unit1_2024_2027,19,"For the purpose of this article, regular overtime rate shall be defined as: straight time for all hours compensated up to and including 40 hours.",HARD,deontic:obligation|threshold,3,Yes,HARD,"operator, union",max_hours=40,,"auto-openai:The sentence defines a mandatory overtime rate with a specific threshold of 40 hours, indicating a hard constraint."
MA_NAGE__0689,MA_NAGE_Unit1_2024_2027,108,"Should the arbitrator agree with the union’s position, the parties acknowledge that implementation of the specification shall be subject to ordinary bargaining obligations.",HARD,deontic:obligation|deontic:preference|exception,3,Yes,SOFT,"union, parties",,,"auto-openai:The sentence indicates that the implementation is subject to ordinary bargaining obligations, which implies discretion and negotiation rather than a strict requirement."
MA_NAGE__0499,MA_NAGE_Unit1_2024_2027,64,"For purposes of this article, an employee shall be considered “qualified” if he/she has the education and experience to permit him/her to satisfactorily perform the essential functions of the job with 90 days or less of training, to be provided by the employer.",HARD,deontic:obligation|threshold,3,Yes,HARD,"employee, employer",training_period=90days,,auto-openai:The sentence establishes a mandatory requirement for employees to be considered 'qualified' based on specific criteria without discretion.
MA_NAGE__0240,MA_NAGE_Unit1_2024_2027,31,"Employees who provide satisfactory medical documentation to support an intermittent FMLA for a spouse, child or parent may utilize up to 60 days of their FMLA allotment provided for in Section 8",SOFT,deontic:permission|threshold,3,Yes,SOFT,"employees, spouse, child, parent",max_days=60,provided for in Section 8,"auto-openai:The sentence outlines a condition under which employees may utilize their FMLA allotment, indicating it is discretionary and subject to specific documentation."
MA_NAGE__0686,MA_NAGE_Unit1_2024_2027,108,"APPENDIX G ARTICLE l7 CLASSIFICATION AND RE-CLASSIFICATION Specifications The Commonwealth and the Union agree that during the term of this agreement the Commonwealth shall retain the unreserved right to implement revised job specifications for job titles certified to bargaining units 1, 3 and 6, except when: • The revised job specification will require a change in minimum entrance requirements that would adversely affect promotional opportunities for employees in bargaining units 1, 3 and 6.",HARD,deontic:obligation|exception,3,Yes,HARD,"Commonwealth, Union, bargaining units 1, 3, 6",,"The revised job specification will require a change in minimum entrance requirements that would adversely affect promotional opportunities for employees in bargaining units 1, 3 and 6.",auto-openai:The sentence establishes a mandatory right for the Commonwealth to implement job specifications while explicitly stating an exception related to promotional opportunities.
MA_NAGE__0330,MA_NAGE_Unit1_2024_2027,42,"Mileage shall be determined by the odometer reading of the motor vehicle, but may be subject to review for reasonableness by the Appointing Authority who shall use a Web-based service as a guide.",HARD,deontic:obligation|deontic:permission|exception,3,Yes,SOFT,Appointing Authority,,,"auto-openai:The sentence indicates that mileage determination may be subject to review, which introduces discretion and makes it a soft constraint."
MA_NAGE__0697,MA_NAGE_Unit1_2024_2027,114,"Except as outlined in Article 7.2 paragraph D of the Agreement, paid sick leave shall not be considered time worked for the purpose of calculating any overtime compensation.",HARD,deontic:prohibition|deontic:obligation|exception,3,Yes,HARD,"operator, union",,Article 7.2 paragraph D of the Agreement,"auto-openai:The sentence establishes a mandatory rule regarding the treatment of paid sick leave in relation to overtime compensation, indicating no discretion is allowed."
