sentence_id,source_doc,page_num,raw_text,predicted_type,signals,confidence_score,is_constraint,constraint_type,entities,threshold,exception,notes
IL-MENTO_0003,IL-MENTOR-2023-to-2026-CBA,4,"Relief/PRN employees shall be covered by the appropriate sections of the agreement, provided that they work a shift at least every 30 days.",HARD,deontic:obligation|threshold|exception,4,,,,,,
IL-MENTO_0045,IL-MENTOR-2023-to-2026-CBA,9,"(3) months after hire by the Employer, provided that employees are required to complete at least 480 hours worked before completing probation.",HARD,deontic:obligation|threshold|exception,4,,,,,,
IL-MENTO_0167,IL-MENTOR-2023-to-2026-CBA,19,"In the event that this Agreement is reopened, the remaining provisions of this agreement, including Article 7: NO STRIKE, NO LOCK OUT, shall remain in full force and effect, provided that if no agreement is reached within 90 days of the latter of the date the agreement is reopened or the date that the funds are released by the State, the provisions of Article 7: NO STRIKE, NO LOCK OUT will be suspended until an agreement is reached on the issue of wage rates.",HARD,deontic:obligation|threshold|exception,4,,,,,,
IL-MENTO_0146,IL-MENTOR-2023-to-2026-CBA,17,"Except as expressly stated to the contrary in this Agreement, the grievance and arbitration procedure of this Agreement shall be the sole and exclusive means available for resolving grievances arising under this Agreement.",HARD,deontic:obligation|exception,3,,,,,,
IL-MENTO_0048,IL-MENTOR-2023-to-2026-CBA,9,The Employer’s decision to extend the probationary period for any employee shall not be subject to the grievance and arbitration procedure of this Agreement.,HARD,deontic:prohibition|deontic:obligation|exception,3,,,,,,
IL-MENTO_0075,IL-MENTOR-2023-to-2026-CBA,11,"The Employer may make reasonable changes to these policies, procedures, and rules, provided that the Employer will notify the Union of material changes at least fourteen (14) days in advance of such changes and will meet and discuss with the Union upon request during that 14-day period about such changes. 8",SOFT,deontic:permission|exception,3,,,,,,
IL-MENTO_0125,IL-MENTOR-2023-to-2026-CBA,16,"Discipline or discharge for abuse, neglect, or exploitation of an individual being served, or for a violation of a federal, state, or local regulatory requirement, shall not be subject to the grievance and arbitration procedure, if any third party or regulatory body finds that the offense occurred.",HARD,deontic:prohibition|deontic:obligation|exception,3,,,,,,
IL-MENTO_0126,IL-MENTOR-2023-to-2026-CBA,16,"A request or direction by a third party, such as an individual served, an individual served’s family member/guardian or representative, funder, or regulatory body, to transfer or cease the services of an employee shall not be subject to the grievance and arbitration procedure.",HARD,deontic:prohibition|deontic:obligation|exception,3,,,,,,
IL-MENTO_0128,IL-MENTOR-2023-to-2026-CBA,16,"Verbal warnings may be processed through the grievance procedure, but are not subject to arbitration.",SOFT,deontic:permission|exception,3,,,,,,
IL-MENTO_0032,IL-MENTOR-2023-to-2026-CBA,7,Relief/PRN employees shall receive benefits under this Agreement and be subject to the provisions of this Agreement only where specifically referenced therein.,HARD,deontic:obligation|exception,3,,,,,,
IL-MENTO_0046,IL-MENTOR-2023-to-2026-CBA,9,"During the probationary period, the Employer may discipline, discharge, transfer, or take other action toward the employee for any reason in the sole discretion of the Employer and such action is not subject to the grievance or arbitration provisions of this Agreement.",SOFT,deontic:permission|exception,3,,,,,,
IL-MENTO_0047,IL-MENTOR-2023-to-2026-CBA,9,"(c) The Employer may extend the probationary period for any employee an additional 30 days with the agreement of the Union, and for any additional period to which the Employer and Union may agree.",SOFT,deontic:permission|threshold,3,,,,,,
IL-MENTO_0021,IL-MENTOR-2023-to-2026-CBA,6,"The Employer shall not be required by any provision of this Agreement to continue any such rules, customs, past practices, or agreements in whole or in part except as the Employer, in its sole discretion, may elect to do so.",HARD,deontic:prohibition|deontic:obligation|deontic:permission|exception,3,,,,,,
IL-MENTO_0168,IL-MENTOR-2023-to-2026-CBA,19,Full-time employees shall receive the following paid time off (PTO) benefit based on seniority: Years of Service Benefit 0 < 1 Year 40 Hours 1 < 5 Years 80 Hours 16,HARD,deontic:obligation|threshold,3,,,,,,
IL-MENTO_0038,IL-MENTOR-2023-to-2026-CBA,8,"In the event of an alleged violation of Section 1 or Section 3 of this Article, the Employer or the Union, respectively, may immediately apply to a court of competent jurisdiction for injunctive relief, including a temporary restraining order, prohibiting the continuation of such an alleged violation.",SOFT,deontic:permission|exception,3,,,,,,
IL-MENTO_0166,IL-MENTOR-2023-to-2026-CBA,19,"In the event the State of Illinois increases reimbursement rates to the Employer for work performed by employees covered by this Agreement during the term of this Agreement, either party may reopen this Agreement by providing 30 days’ notice to the other for the sole purpose of negotiating any discretionary aspect of the wage rates for bargaining unit employees after the State receives any required federal approval for the increase.",SOFT,deontic:permission|threshold,3,,,,,,
IL-MENTO_0093,IL-MENTOR-2023-to-2026-CBA,13,Employees must not arrive more than 15 minutes prior to the start of their work day or leave more than 15 minutes after the end of their work day without supervisor approval.,HARD,deontic:prohibition|deontic:obligation|threshold,3,,,,,,
