sentence_id,source_doc,page_num,raw_text,predicted_type,signals,confidence_score,is_constraint,constraint_type,entities,threshold,exception,notes
32BJ_CMU_0097,32BJ_CMU_2024,12,"However, the second request to use an emergency day in cases of personal or family emergencies the employee shall provide the Employer with reasonable documentation of the personal or family emergency within 48 hours of returning to work.",HARD,deontic:obligation|threshold|exception,4,,,,,,
32BJ_CMU_0274,32BJ_CMU_2024,28,"REDUCTIONS IN FORCE 1) There shall be no reduction in the work force except where there is: a) A documented change in work specifications; or b) Elimination of all or a substantial part of specified work; or c) Vacancies in the building; or d) Construction or reconstruction of all or part of a building; or e) Introduction of technological advances; or f) Significant changes in cleaning techniques or processes which reduce cleaning times. 2) Should the Employer desire to reduce the work force for one of the reasons above, it shall give 14 days’ advance notice to the Union, including in such notification the reason(s) for the reduction.",HARD,deontic:obligation|deontic:preference|threshold|exception,4,,,,,,
32BJ_CMU_0183,32BJ_CMU_2024,20,"Notwithstanding the provisions above, the Union shall have the right to strike upon the failure of an Employer to make the required reports or payment to the Fund or is designated agent by giving thirty (30) days written notice to the Employer by certified mail of such alleged violation.",HARD,deontic:obligation|exception,3,,,,,,
32BJ_CMU_0137,32BJ_CMU_2024,16,(ii) All employees shall be entitled to sick days as follows: 0 - 8 years – 5 sick days 9 - 14 years – 6 sick days 15 + years – 7 sick days New Employees cannot use sick days until they have completed 90 days of employment.,HARD,deontic:obligation|threshold,3,,,,,,
32BJ_CMU_0214,32BJ_CMU_2024,23,"In the event of unauthorized activity, the Union will immediately take affirmative action to eliminate the activity including specifically, but not limited to, promptly disavowing the activity; provided, however, that the Union shall not be liable for any violation of this Section where the Union has taken all reasonable steps to avoid and end such activity.",HARD,deontic:prohibition|deontic:obligation|exception,3,,,,,,
32BJ_CMU_0043,32BJ_CMU_2024,9,"employer, for all matters except for vacation purposes, the seniority for which shall be determined by the date of commencement of employment at the University.",HARD,deontic:obligation|exception,3,,,,,,
32BJ_CMU_0045,32BJ_CMU_2024,9,"During this Probation Period, the employee is a probationary employee, and during said period, discharge may be made by the Employer with or without cause, and without being subject to the grievance procedure set forth in this Agreement.",SOFT,deontic:permission|exception,3,,,,,,
32BJ_CMU_0047,32BJ_CMU_2024,9,"(d) absence because of sickness and accident after twenty-four (24) months unless such absence is due to a compensable disability incurred during the course of employment, in which event the individual must return to work within seven",HARD,deontic:obligation|exception,3,,,,,,
32BJ_CMU_0219,32BJ_CMU_2024,23,"Should security employees come to be represented by the Union, it is understood that because of their special responsibilities and duties, they shall at no time participate in strikes, slowdowns or withdrawal of services nor shall they observe picket lines in any form; provided only that, in the event of a strike by others, they shall not be required to assume non-security type duties normally performed by striking employees.",HARD,deontic:prohibition|deontic:obligation|deontic:preference|exception,3,,,,,,
32BJ_CMU_0220,32BJ_CMU_2024,23,Further security employees shall not be subject to penalty or punishment by the Union for performance of assigned duties at any time.,HARD,deontic:prohibition|deontic:obligation|exception,3,,,,,,
32BJ_CMU_0145,32BJ_CMU_2024,16,"Notwithstanding the provisions of Article 10 above, overtime shall not be available to any employee who is off on sick leave the day immediately preceding the day on which the overtime is to be worked.",HARD,deontic:prohibition|deontic:obligation|exception,3,,,,,,
32BJ_CMU_0103,32BJ_CMU_2024,13,"Except for such employees on jury duty or vacation who return to work at the end of that period, such employee must have worked in the payroll period in order to be paid or credited with a holiday designated in Section 11A., 11.B., and 11.F., hereof during the payroll period and must have worked the entire scheduled work day both before and after the holiday.",HARD,deontic:obligation|exception,3,,,,,,
