sentence_id,source_doc,page_num,raw_text,predicted_type,signals,confidence_score,is_constraint,constraint_type,entities,threshold,exception,notes
UC-CNA_C_1052,UC-CNA_Complete_Contract_-_NX-_2022-2025_for_FINAL-CNA_execution,177,"At UCLA, newly licensed NP shall be placed in an NP I position for 6 months under Article 2, after which s/he would advance to an NP II, except that if the NP I would result in less than a 5% salary increase, the new NP shall be placed on the NP II pay scale at the nearest step which results in at least a 5% pay increase for the RN. 176",HARD,deontic:obligation|threshold|exception,4,Yes,HARD,"UCLA, NP, RN",5%,if the NP I would result in less than a 5% salary increase,"auto-openai:The sentence establishes a mandatory placement and advancement process with specific salary increase conditions, indicating a hard constraint."
UC-CNA_C_0285,UC-CNA_Complete_Contract_-_NX-_2022-2025_for_FINAL-CNA_execution,40,"Except as provided below in paragraph C.3.a, the University may, at its option during the term of this Agreement, alter the terms of its health and welfare programs (for both employees and retirees), including but not limited to plan design, contribution rates, eligibility criteria, and carriers. a.",SOFT,deontic:permission|exception,3,Yes,SOFT,"University, employees, retirees",,except as provided below in paragraph C.3.a,"auto-openai:The sentence allows the University to alter health and welfare program terms at its discretion, indicating a soft constraint with an exception clause."
UC-CNA_C_0462,UC-CNA_Complete_Contract_-_NX-_2022-2025_for_FINAL-CNA_execution,66,"While the use of FML need not be consecutive, in no event shall a nurse's aggregate use of FML exceed a total of twelve (12) workweeks within the calendar year, except when FML is being taken as Military Caregiver Leave or Pregnancy Disability Leave. b) For nurses who work part-time or a schedule other than an 8/40, the University shall adjust the number of FML hours to which the nurse is eligible in accordance with their normal weekly work schedule.",HARD,deontic:obligation|exception,3,Yes,HARD,"nurse, University",max_FML_weeks=12,Military Caregiver Leave or Pregnancy Disability Leave,"auto-openai:The sentence establishes a mandatory limit on the use of FML for nurses, with specific exceptions noted."
UC-CNA_C_0671,UC-CNA_Complete_Contract_-_NX-_2022-2025_for_FINAL-CNA_execution,97,"Repayment of Severance - Prior to receiving severance pay, a Nurse must sign an agreement to repay severance to the University if re-employed by the University at any of its locations within 16 weeks of layoff.",HARD,deontic:obligation|threshold,3,Yes,HARD,"Nurse, University",16 weeks,,"auto-openai:The sentence imposes a mandatory requirement for repayment of severance if re-employed within a specified timeframe, indicating a hard constraint."
UC-CNA_C_0754,UC-CNA_Complete_Contract_-_NX-_2022-2025_for_FINAL-CNA_execution,107,"Unless the parties agree otherwise, the University shall convene a meeting with the grievant(s) and the grievant’s representative, if any, to attempt to resolve the grievance.",HARD,deontic:obligation|exception,3,Yes,HARD,"University, grievant, representative",,unless the parties agree otherwise,"auto-openai:The sentence establishes a mandatory requirement for the University to convene a meeting unless an agreement is reached otherwise, indicating a hard constraint."
UC-CNA_C_0473,UC-CNA_Complete_Contract_-_NX-_2022-2025_for_FINAL-CNA_execution,69,Combined Pregnancy Disability Leave (up to 4 months of leave) and Parental Leave (up to 12 workweeks of leave) shall not exceed seven months of leave. b.,HARD,deontic:prohibition|deontic:obligation|threshold,3,Yes,HARD,"operator, union",max_leave=7months,,"auto-openai:The sentence establishes a mandatory limit on the total leave duration, indicating a hard constraint."
UC-CNA_C_0235,UC-CNA_Complete_Contract_-_NX-_2022-2025_for_FINAL-CNA_execution,35,"There shall be no mandatory overtime except in a University-declared emergency, including responses to local, state, or federal emergency situations. c.",HARD,deontic:obligation|exception,3,Yes,HARD,"operator, authority, union",,"in a University-declared emergency, including responses to local, state, or federal emergency situations","auto-openai:The sentence establishes a mandatory rule against overtime with a specific exception, qualifying it as a hard constraint."
UC-CNA_C_0111,UC-CNA_Complete_Contract_-_NX-_2022-2025_for_FINAL-CNA_execution,20,"Whenever the PPC makes a written recommendation to the appropriate CNO or, in Student Health Centers, the appropriate Director, they shall respond to the PPC in writing within thirty (30) calendar days unless the Association and the University mutually agree that the time may be extended. 4.",HARD,deontic:obligation|deontic:permission|exception,3,Yes,HARD,"PPC,CNO,Association,University",response_time=30days,unless the Association and the University mutually agree that the time may be extended,"auto-openai:The sentence imposes a mandatory requirement for a written response within a specified timeframe, with a clear exception for mutual agreement on extension."
UC-CNA_C_0995,UC-CNA_Complete_Contract_-_NX-_2022-2025_for_FINAL-CNA_execution,135,"Qualifying Per Diem Nurses who have worked at least 1000 hours in the previous contract year shall receive a one-time, non-base building, nonretirement eligible lump sum payment of $600.",HARD,deontic:obligation|threshold,3,Yes,HARD,"nurses, authority, union",min_hours=1000,,"auto-openai:The sentence establishes a mandatory payment condition based on a specific threshold of hours worked, indicating a hard constraint."
UC-CNA_C_0239,UC-CNA_Complete_Contract_-_NX-_2022-2025_for_FINAL-CNA_execution,35,"Overtime shall not be assigned except after the University has exhausted the following procedures: 1) Soliciting volunteers, including on duty and off duty RN staff 2) Soliciting Per Diem Nurses, including on duty and off duty Per Diem Nurses 3) Utilizing supplemental RN staff, except at UCD e.",HARD,deontic:prohibition|deontic:obligation|exception,3,Yes,HARD,"University, RN staff, Per Diem Nurses, supplemental RN staff",,except at UCD e,"auto-openai:The sentence establishes a mandatory procedure for assigning overtime, indicating that it cannot occur without following specified steps, which qualifies it as a hard constraint."
UC-CNA_C_0107,UC-CNA_Complete_Contract_-_NX-_2022-2025_for_FINAL-CNA_execution,20,No Nurse shall be subject to reprisal for bringing forward nursing practice concerns to management. 3.,HARD,deontic:obligation|exception,3,Yes,HARD,"nurse, management",,,"auto-openai:The sentence establishes a mandatory protection for nurses against reprisal, indicating a hard constraint."
UC-CNA_C_0367,UC-CNA_Complete_Contract_-_NX-_2022-2025_for_FINAL-CNA_execution,51,"For Nurses on either system, earned sick leave for each month or quadri-weekly cycle is credited on the first day of the following month or quadri-weekly cycle, except that proportionate sick leave credit for an eligible Nurse who is separating from employment shall be credited at the completion of the last day on pay status.",HARD,deontic:obligation|exception,3,Yes,HARD,"Nurses, employer",,for an eligible Nurse who is separating from employment,"auto-openai:The sentence establishes a mandatory rule for sick leave crediting, with a specific exception for separating employees."
UC-CNA_C_0243,UC-CNA_Complete_Contract_-_NX-_2022-2025_for_FINAL-CNA_execution,36,"Except as provided in §N., below, Nurses shall be compensated for overtime worked at one and one-half (1 ½ X) times the straight-time rate when the following conditions apply: 1) Designated eight-hour Nurses who are assigned to a fourteen (14) consecutive day work period shall receive the time and one-half (1 ½ X) overtime rate after eighty (80) hours of actual work in the fourteen (14) day period.",HARD,deontic:obligation|exception,3,Yes,HARD,"Nurses, operator, union",max_hours=80,Except as provided in §N.,"auto-openai:The sentence establishes a mandatory overtime compensation rate for Nurses under specific conditions, indicating a legally binding obligation."
UC-CNA_C_0363,UC-CNA_Complete_Contract_-_NX-_2022-2025_for_FINAL-CNA_execution,51,"Under the Factor Accrual System, an eligible Nurse shall earn sick leave credit at the rate of .046154 hours per hour on pay status, including paid holiday hours but excluding all paid overtime hours. 2.",HARD,deontic:obligation|threshold,3,Yes,HARD,Nurse,sick_leave_credit_rate=0.046154,excluding all paid overtime hours,"auto-openai:The sentence establishes a mandatory rate for sick leave credit for eligible Nurses, making it a hard constraint."
UC-CNA_C_0619,UC-CNA_Complete_Contract_-_NX-_2022-2025_for_FINAL-CNA_execution,90,"Any transfers, unit closures or layoffs caused by reorganization or restructuring shall be subject to meeting and discussing with the Association.",HARD,deontic:obligation|exception,3,Yes,SOFT,Association,,,"auto-openai:The sentence indicates a requirement to meet and discuss with the Association, which implies a discretionary process rather than a legally mandatory one."
UC-CNA_C_0646,UC-CNA_Complete_Contract_-_NX-_2022-2025_for_FINAL-CNA_execution,93,"The wage rate of the reclassified Nurse shall be unchanged, provided that the Nurse’s wage is not above the wage range for CN II.",HARD,deontic:obligation|exception,3,Yes,HARD,"Nurse, CN II",,provided that the Nurse’s wage is not above the wage range for CN II,"auto-openai:The sentence establishes a mandatory condition regarding the wage rate of the reclassified Nurse, making it a hard constraint."
UC-CNA_C_0644,UC-CNA_Complete_Contract_-_NX-_2022-2025_for_FINAL-CNA_execution,93,"CN III Layoff 1) When the University (except at UCLA) identifies a Medical Center funded CN III position for layoff in accordance with this Article, and has not been able to effectuate alternatives to layoff pursuant to §E.1., above, the affected CN III shall be reclassified to a CN II position for which the CN III is fully competent within the layoff unit, or, at the Nurse’s option, they may be laid off in lieu of being reclassified.",HARD,deontic:obligation|deontic:permission|exception,3,Yes,SOFT,"University, CN III, Nurse",,except at UCLA,"auto-openai:The sentence outlines a discretionary process for layoff and reclassification, indicating options available to the affected CN III, thus classifying it as a soft constraint."
UC-CNA_C_0092,UC-CNA_Complete_Contract_-_NX-_2022-2025_for_FINAL-CNA_execution,18,"Professional and Educational Development Time a. must be scheduled according to staffing requirements; however, the University shall make reasonable efforts to accommodate requests, and shall respond in writing within fourteen (14) days of receipt of the Nurse’s request. b. may be used to participate in hospital-sponsored in-service training which is not required by the University, subject to the availability of funds, and, c.",HARD,deontic:obligation|deontic:obligation|deontic:permission|exception,3,Yes,SOFT,"University, Nurse",max_response_time=14days,subject to the availability of funds,"auto-openai:The sentence outlines a discretionary process for scheduling development time and includes a response timeframe, making it a soft constraint."
UC-CNA_C_0254,UC-CNA_Complete_Contract_-_NX-_2022-2025_for_FINAL-CNA_execution,37,The University shall not unreasonably deny a Nurse's request for the scheduling of banked compensatory time off subject to the needs of the University.,HARD,deontic:prohibition|deontic:obligation|exception,3,Yes,SOFT,"University,Nurse",,subject to the needs of the University,"auto-openai:The sentence indicates that the University may deny requests but should not do so unreasonably, making it a discretionary constraint."
UC-CNA_C_0502,UC-CNA_Complete_Contract_-_NX-_2022-2025_for_FINAL-CNA_execution,75,"(4) months of Pregnancy Disability Leave. 2) When the nurse’s health care provider states that it is medically advisable to take Pregnancy Disability Leave on an intermittent or reduced schedule basis, the University may transfer the nurse temporarily to an available alternative position that meets the needs of the nurse, provided that the nurse meets the qualifications for the alternative position.",SOFT,deontic:permission|exception,3,Yes,SOFT,"nurse, University",,provided that the nurse meets the qualifications for the alternative position,"auto-openai:The sentence describes a discretionary action that the University may take regarding the nurse's leave and transfer, indicating it is a soft constraint."
UC-CNA_C_0258,UC-CNA_Complete_Contract_-_NX-_2022-2025_for_FINAL-CNA_execution,37,The University shall pay a Nurse for hours of overtime that exceed 240 hours. c.,HARD,deontic:obligation|threshold,3,Yes,HARD,"University,Nurse",max_hours=240,,"auto-openai:The sentence establishes a mandatory requirement for the University to pay for overtime exceeding a specified threshold, indicating a hard constraint."
UC-CNA_C_0262,UC-CNA_Complete_Contract_-_NX-_2022-2025_for_FINAL-CNA_execution,38,"A Nurse’s request to be excused for part of a shift shall be subject to mutual agreement between the Nurse and the University, and shall not be unreasonable denied.",HARD,deontic:prohibition|deontic:obligation|exception,3,Yes,SOFT,"Nurse, University",,mutual agreement,"auto-openai:The sentence indicates that the request is subject to mutual agreement, making it a discretionary constraint."
UC-CNA_C_0853,UC-CNA_Complete_Contract_-_NX-_2022-2025_for_FINAL-CNA_execution,116,Except as provided below there shall be no more than one,HARD,deontic:obligation|exception,3,Yes,HARD,"operator, authority, union",,except as provided below,"auto-openai:The phrase indicates a mandatory limit with no discretion allowed, qualifying it as a hard constraint."
UC-CNA_C_0348,UC-CNA_Complete_Contract_-_NX-_2022-2025_for_FINAL-CNA_execution,48,"Payment for the holiday shall be by actual straight time pay including any eligible shift differential, in accordance with local practices, for nurses assigned to off shifts, unless the nurse and the University mutually agree to straight time compensatory time off. a.",HARD,deontic:obligation|exception,3,Yes,HARD,"nurse, University",,unless the nurse and the University mutually agree to straight time compensatory time off,"auto-openai:The sentence specifies a mandatory payment structure for holiday work, indicating a hard constraint with an exception for mutual agreement."
UC-CNA_C_0347,UC-CNA_Complete_Contract_-_NX-_2022-2025_for_FINAL-CNA_execution,48,"Compensation for Holidays – All eligible nurses shall receive holiday time for the holidays provided for in this Article, except as provided in §B., above, whether or not the holiday is worked.",HARD,deontic:obligation|exception,3,Yes,HARD,nurses,,"except as provided in §B., above","auto-openai:The sentence establishes a mandatory requirement for holiday compensation for eligible nurses, indicating a hard constraint with a specific exception clause."
UC-CNA_C_0268,UC-CNA_Complete_Contract_-_NX-_2022-2025_for_FINAL-CNA_execution,38,"When the University requires a Nurse to change from a day, evening, or night shift to another shift, the Nurse shall receive at least forty-eight (48) hours between the shift rotations, unless the Nurse requests less time off. 3.",HARD,deontic:obligation|exception,3,Yes,HARD,"University,Nurse",min_break=48hours,unless the Nurse requests less time off,"auto-openai:The sentence establishes a mandatory requirement for shift rotation breaks with a specified minimum time, making it a hard constraint."
UC-CNA_C_1040,UC-CNA_Complete_Contract_-_NX-_2022-2025_for_FINAL-CNA_execution,169,"Upon completion of those impasse procedures, if the parties are unable to reach agreement, then notwithstanding the No Strikes clause in the Agreement, the Association shall have the right to strike over the retirement benefit and wage negotiations and the University shall have the right to unilaterally impose its proposals. d.",HARD,deontic:obligation|exception,3,Yes,HARD,"Association, University",,notwithstanding the No Strikes clause in the Agreement,"auto-openai:The sentence establishes a mandatory right for the Association to strike and for the University to impose proposals, indicating a legally binding constraint."
