sentence_id,source_doc,page_num,raw_text,predicted_type,signals,confidence_score,is_constraint,constraint_type,entities,threshold,exception,notes
1199SEIU_0200,1199SEIU_Columbia_Clerical_2022_2025,25,"(c) To be eligible for benefits under this Article, an Employee in the Central Mail Room who is absent due to illness or injury must call in within 15 minutes prior to the start of their work day, unless other arrangements have been made with the supervisor or unless proper excuse is presented for the Employee’s inability to call.",HARD,deontic:obligation|threshold|exception,4,Yes,HARD,"employee, supervisor",15 minutes,unless other arrangements have been made with the supervisor or unless proper excuse is presented,"auto-openai:The sentence establishes a mandatory requirement for employees to call in within a specified time frame, with clear exceptions outlined."
1199SEIU_0347,1199SEIU_Columbia_Clerical_2022_2025,47,"This authorization may be revoked by a 30 day written notice sent to 1199 SEIU Federal Credit Union, unless this authorization is executed as security for or as a manner or method of the repayment of a loan from the 1199 SEIU Federal Credit Union doing business in New York and in such latter event the same shall be in full force and effect until the loan from the 1199 SEIU Federal Credit Union has been paid in full.",HARD,deontic:obligation|deontic:permission|threshold|exception,4,Yes,SOFT,1199 SEIU Federal Credit Union,,unless this authorization is executed as security for or as a manner or method of the repayment of a loan,"auto-openai:The sentence outlines a condition under which the authorization can be revoked, indicating a discretionary process rather than a mandatory one."
1199SEIU_0074,1199SEIU_Columbia_Clerical_2022_2025,12,"(a) In the event of a layoff within a job classification in one department, probationary Employees within that job classification in one department shall be laid off first without regard to their individual periods of employment.",HARD,deontic:obligation|exception,3,Yes,HARD,"employee, department",,,"auto-openai:The sentence establishes a mandatory procedure for layoffs, specifying that probationary employees must be laid off first, indicating no discretion is allowed."
1199SEIU_0161,1199SEIU_Columbia_Clerical_2022_2025,21,"Notwithstanding the foregoing, Employees shall have preference in filling vacancies on another shift in the classification in which he/she is then working over new Employees. 3.",HARD,deontic:obligation|exception,3,Yes,HARD,"Employees, new Employees",,,"auto-openai:The sentence establishes a mandatory preference for existing employees in filling vacancies, indicating a clear obligation without discretion."
1199SEIU_0201,1199SEIU_Columbia_Clerical_2022_2025,25,Employees who are required to call in may leave voice mail messages on a telephone number designated by their supervisor unless instructed otherwise. 5.,HARD,deontic:obligation|deontic:permission|exception,3,Yes,SOFT,"employees, supervisor",,unless instructed otherwise,"auto-openai:The sentence indicates that employees may leave voice mail messages, which is discretionary and subject to the supervisor's instructions, classifying it as a soft constraint."
1199SEIU_0030,1199SEIU_Columbia_Clerical_2022_2025,8,Neither the Employer nor the Union shall discriminate against any Employee because of physical and/or mental disabilities except where such disabilities would directly prevent the accomplishment of the stated job duties. 3.,HARD,deontic:obligation|exception,3,Yes,HARD,"Employer, Union, Employee",,where such disabilities would directly prevent the accomplishment of the stated job duties,"auto-openai:The sentence establishes a mandatory non-discrimination policy with a specific exception, qualifying it as a hard constraint."
1199SEIU_0033,1199SEIU_Columbia_Clerical_2022_2025,8,"No Employee shall engage in any Union activity, including the distribution of literature, which could interfere with the performance of work during his/her working time or in working areas of the Employer at any time, except as provided in Article 30. 2.",HARD,deontic:obligation|deontic:prohibition|exception,3,Yes,HARD,"Employee, Union, Employer",,except as provided in Article 30. 2,"auto-openai:The sentence imposes a mandatory restriction on employees regarding union activities during work time and in work areas, indicating a hard constraint."
1199SEIU_0080,1199SEIU_Columbia_Clerical_2022_2025,13,"(8) week probationary period, during which he/she may be removed from the position and shall be laid off if his/her performance is not satisfactory in the opinion of Management, but such action will be subject to Article 31 of this Agreement (Grievance Procedure).",HARD,deontic:obligation|deontic:permission|exception,3,Yes,HARD,Management,,subject to Article 31 of this Agreement (Grievance Procedure),"auto-openai:The sentence establishes a mandatory probationary period with specific consequences for unsatisfactory performance, indicating a hard constraint."
1199SEIU_0213,1199SEIU_Columbia_Clerical_2022_2025,26,"In special cases, paid leave may be granted in the event of the death of a close relative not in the immediate family.",SOFT,deontic:permission|exception,3,Yes,SOFT,"operator, union",,in the event of the death of a close relative not in the immediate family,"auto-openai:The sentence indicates that paid leave may be granted at the discretion of the operator, making it a soft constraint."
1199SEIU_0324,1199SEIU_Columbia_Clerical_2022_2025,41,"In case of emergency, the Health and Safety Committee shall be convened within twenty-four (24) hours.",HARD,deontic:obligation|exception,3,Yes,HARD,Health and Safety Committee,time_limit=24hours,,auto-openai:The sentence establishes a mandatory requirement for the Health and Safety Committee to convene within a specified time frame in case of an emergency.
1199SEIU_0104,1199SEIU_Columbia_Clerical_2022_2025,15,"If he/she is removed from the new job during the probationary period he/she shall be returned to his/her former job or to an equivalent one without loss of seniority or other benefits, excepting that if he/she is discharged his/her rights shall be subject to Article 29 of this Agreement.",HARD,deontic:obligation|exception,3,Yes,HARD,"employee, employer, union",,if he/she is discharged his/her rights shall be subject to Article 29 of this Agreement,"auto-openai:The sentence establishes a mandatory requirement for returning an employee to their former or equivalent job during the probationary period, indicating a hard constraint."
1199SEIU_0024,1199SEIU_Columbia_Clerical_2022_2025,7,"Notwithstanding the foregoing, upon the return of an Employee to work from any of the foregoing enumerated absences, the Employer will immediately resume the obligation of making said deductions, except that deductions for terminated Employees shall be governed by Section I hereof.",HARD,deontic:obligation|exception,3,Yes,HARD,"Employer, Employee",,except that deductions for terminated Employees shall be governed by Section I hereof,"auto-openai:The sentence imposes a mandatory obligation on the Employer to resume deductions upon the Employee's return to work, indicating a hard constraint."
1199SEIU_0072,1199SEIU_Columbia_Clerical_2022_2025,12,"(c) Employees specifically covered by this Agreement, as set forth in the stipulations referred to in Article I, Section l(a) whose pay is charged to a special or nonbudgetary fund and who are informed at the time of their hire or at the time of transfer that their employment is for a special non-budgetary or research project and subject to this provision, shall, for the purposes of layoff, be considered to have classification seniority which may be exercised only within the project or grant to which assigned.",HARD,deontic:obligation|deontic:permission|exception,3,Yes,HARD,"employees, project, grant",,,"auto-openai:The sentence establishes a mandatory condition regarding the classification seniority of employees assigned to specific projects, indicating that they shall be considered for layoff purposes only within their assigned project or grant."
1199SEIU_0315,1199SEIU_Columbia_Clerical_2022_2025,40,An Employee who is on vacation on a scheduled pay day shall receive his/her regular paycheck for that pay period in advance provided that proper forms are completed and submitted to the Controller's Office as required. 2.,HARD,deontic:obligation|exception,3,Yes,HARD,"Employee, Controller's Office",,provided that proper forms are completed and submitted to the Controller's Office as required,"auto-openai:The sentence establishes a mandatory requirement for employees on vacation to receive their paycheck in advance, contingent upon completing specific forms."
1199SEIU_0261,1199SEIU_Columbia_Clerical_2022_2025,33,"All Funds to which the Employer presently contributes or to which the Employer may contribute in the future, will be subject to the provisions of the Enforcement Article. 2.",SOFT,deontic:permission|exception,3,Yes,HARD,Employer,,,"auto-openai:The sentence establishes a mandatory condition that all funds contributed by the Employer are subject to specific provisions, indicating a legally binding obligation."
1199SEIU_0228,1199SEIU_Columbia_Clerical_2022_2025,27,"Notwithstanding Article 1, Section 1.(c), the University may hire a temporary employee or employees to back fill the position for the duration of the leave. 24",SOFT,deontic:permission|exception,3,Yes,SOFT,"University, temporary employee",,"Notwithstanding Article 1, Section 1.(c)","auto-openai:The sentence allows the University to hire temporary employees, indicating discretion rather than a mandatory requirement."
1199SEIU_0058,1199SEIU_Columbia_Clerical_2022_2025,10,"During or at the end of the probationary period, the Employer may discharge any such Employee at will and such discharge shall not be subject to the grievance and arbitration provisions of the Agreement. 7",HARD,deontic:prohibition|deontic:obligation|deontic:permission|exception,3,Yes,HARD,"Employer, Employee",,,"auto-openai:The sentence establishes a mandatory condition under which the Employer can discharge an Employee without recourse to grievance procedures, indicating a hard constraint."
1199SEIU_0231,1199SEIU_Columbia_Clerical_2022_2025,28,"While on an unpaid leave of absence, an Employee shall not be entitled to earn holiday pay nor to accrue sick leave time or seniority, except as provided in Article 9.",HARD,deontic:prohibition|deontic:obligation|exception,3,Yes,HARD,"Employee, Article 9",,except as provided in Article 9,"auto-openai:The sentence establishes a mandatory rule regarding the entitlements of an employee on unpaid leave, indicating that they shall not earn holiday pay or accrue sick leave or seniority."
1199SEIU_0305,1199SEIU_Columbia_Clerical_2022_2025,39,Any disposition of a grievance from which no appeal is taken within the time limits specified herein shall be deemed resolved and shall not thereafter be considered subject to the grievance and arbitration provisions of this Agreement. 4.,HARD,deontic:prohibition|deontic:obligation|exception,3,Yes,HARD,"grievance, arbitration, Agreement",,,"auto-openai:The sentence establishes a mandatory condition that grievances not appealed within specified time limits are resolved, indicating a hard constraint."
1199SEIU_0065,1199SEIU_Columbia_Clerical_2022_2025,11,"(e) Temporary Employees, as defined in Article 1, paragraph 1(b), shall have no seniority during the time they occupy the status of temporary Employees, but should any temporary Employee become a permanent Employee, then his/her seniority shall be retroactive to the date of employment, except as otherwise provided in Section 4(c) hereof.",HARD,deontic:obligation|deontic:preference|exception,3,Yes,HARD,"temporary Employee, permanent Employee",,except as otherwise provided in Section 4(c) hereof,"auto-openai:The sentence establishes a mandatory rule regarding the seniority of temporary Employees, indicating that they have no seniority until they become permanent, which is a legally binding condition."
1199SEIU_0294,1199SEIU_Columbia_Clerical_2022_2025,38,"Within a reasonable time (except as provided in Article 29), an Employee having a grievance and/or his/her Union Delegate or other representative shall take it up with his/her immediate supervisor.",HARD,deontic:obligation|exception,3,Yes,SOFT,"Employee, Union Delegate, supervisor",,except as provided in Article 29,"auto-openai:The sentence outlines a procedure for addressing grievances, indicating a discretionary process rather than a mandatory one."
1199SEIU_0302,1199SEIU_Columbia_Clerical_2022_2025,39,"(b) Anything to the contrary herein notwithstanding, a grievance concerning a discharge or suspension may be presented initially at Step 3 in the first instance, within the time limit specified in Article 29, Section 3.",SOFT,deontic:permission|exception,3,Yes,SOFT,"grievance, discharge, suspension, Article 29, Section 3",,,"auto-openai:The sentence allows for a grievance to be presented at Step 3, indicating discretion in the process, thus classifying it as a soft constraint."
