sentence_id,source_doc,page_num,raw_text,predicted_type,signals,confidence_score,is_constraint,constraint_type,entities,threshold,exception,notes
IBEW_LOC_0115,IBEW_Local6_SF_2022_2024,16,Nothing shall be placed in a personnel file unless signed and dated by the author. 73.,HARD,deontic:obligation|exception,3,,,,,,
IBEW_LOC_0318,IBEW_Local6_SF_2022_2024,37,"Employees may carry over to a succeeding fiscal year any unused floating holidays, provided that the number of floating holidays an employee may carry forward shall not exceed the total number of floating holidays received in the prior fiscal year and the employee’s total floating holiday balance at any time shall not exceed ten (10) floating holidays.",HARD,deontic:prohibition|deontic:obligation|deontic:permission|exception,3,,,,,,
IBEW_LOC_0659,IBEW_Local6_SF_2022_2024,93,"Covered Employees who Refuse to Test may be subject to disciplinary action, up to and including termination, pursuant to Exhibit A. d.",SOFT,deontic:permission|exception,3,,,,,,
IBEW_LOC_0658,IBEW_Local6_SF_2022_2024,93,(1.) A Covered Employee appearing at the approved drug collection site must have a minimum of one piece of government-issued photo identification and may not leave the collection site for any reason – unless authorized by the collection agency – until the employee has fully completed all collection procedures.,HARD,deontic:obligation|deontic:restriction|deontic:permission|exception,3,,,,,,
IBEW_LOC_0465,IBEW_Local6_SF_2022_2024,54,"The City further assures that in the event of an alleged overpayment by the City to the employee, the City shall not unilaterally reverse a payment to the direct deposit account or bank pay card. 343.",HARD,deontic:prohibition|deontic:obligation|exception,3,,,,,,
IBEW_LOC_0125,IBEW_Local6_SF_2022_2024,17,"A probationary period may be extended for up to 1040 hours by mutual agreement, in writing, between the Union and the Appointing Officer.",SOFT,deontic:permission|threshold,3,,,,,,
IBEW_LOC_0467,IBEW_Local6_SF_2022_2024,54,"The specific provisions of the apprenticeship programs shall be subject to agreement between the City, the Civil Service Commission (where appropriate), and the Union. 346.",HARD,deontic:obligation|exception,3,,,,,,
IBEW_LOC_0468,IBEW_Local6_SF_2022_2024,54,"The following journey-level classes (“Apprenticeship Classes”) shall be eligible for an apprenticeship and/or training program, subject to agreement: JULY 1, 2022 - JUNE 30, 2024 MOU BETWEEN CITY AND COUNTY OF SAN FRANCISCO AND ELECTRICAL WORKERS, LOCAL 6 (IBEW) - 50 -",HARD,deontic:obligation|exception,3,,,,,,
IBEW_LOC_0131,IBEW_Local6_SF_2022_2024,18,"Employees regularly assigned to work locations outside of the City and County of San Francisco who are required to transport themselves to a location more than 30 minutes travel time from their regularly assigned location, shall not be required to travel on their own time as to that portion of the trip which exceeds 30 minutes.",HARD,deontic:prohibition|deontic:obligation|deontic:obligation|threshold,3,,,,,,
IBEW_LOC_0646,IBEW_Local6_SF_2022_2024,92,"Following an Accident, all Covered Employees subject to testing shall remain readily available for testing.",HARD,deontic:obligation|exception,3,,,,,,
