sentence_id,source_doc,page_num,raw_text,predicted_type,signals,confidence_score,is_constraint,constraint_type,entities,threshold,exception,notes
APA_AMER_1380,APA_American_Airlines_2023,171,"(10) A multi-month approved BLG may be cancelled by the Company with at least 30 days' notice, unless the pilot concurs for a shorter time.",SOFT,deontic:permission|threshold|exception,4,,,,,,
APA_AMER_0922,APA_American_Airlines_2023,120,"Parental leave must be completed within 12 months of the birth, adoption, surrogacy, guardianship, or fostering of the child but not to conflict with the period commencing two days before and ending one day after New Year’s Day, Independence Day, Thanksgiving Day and Christmas Day (unless the qualifying event falls within the 14 days before or after the holiday). b.",HARD,deontic:obligation|threshold|exception,4,,,,,,
APA_AMER_1110,APA_American_Airlines_2023,140,"Normally, the scheduled duty period for a Flight Test pilot performing work shall not exceed a maximum of 14 hours for a Domestic Sequence or 15 hours for an International, Sequence except the sign in and debrief periods may be waived as provided in d. below. c.",HARD,deontic:prohibition|deontic:obligation|deontic:permission|threshold|exception,4,,,,,,
APA_AMER_0155,APA_American_Airlines_2023,22,The number of Transferring Pilots shall be no fewer than the average monthly pilot staffing over the prior 12 months for the AircraftRelated Assets transferred to the Transferee in connection with the Substantial Aircraft-Related Asset Sale; and 2. the Company shall not finally conclude a transaction under this subsection unless the Transferee agrees to integrate the Transferring Pilots into the Transferee's pilot seniority list pursuant to Sections 3. and 13. of the Allegheny-Mohawk LPPs.,HARD,deontic:prohibition|deontic:obligation|threshold|exception,4,,,,,,
APA_AMER_1042,APA_American_Airlines_2023,134,"X-Type Check Airmen Check Pilots shall fly a minimum of 73 credited hours of proficiency flying each year, except for the first 12 months following the actual introduction of a line pilot bid status on new equipment.",HARD,deontic:obligation|threshold|exception,4,,,,,,
APA_AMER_1004,APA_American_Airlines_2023,131,"(c) Normally, the scheduled duty period for a Check Airman performing flight standards work shall not exceed a maximum of 14 hours for a Domestic Sequence or 15 hours for an International Sequence, except the sign in and debrief periods may be waived as provided in",HARD,deontic:prohibition|deontic:obligation|deontic:permission|threshold|exception,4,,,,,,
APA_AMER_0774,APA_American_Airlines_2023,107,"Each January 1, a pilot’s sick leave hours accrued in the preceding year shall be placed into the pilot’s sick leave bank, except, pilots with a sick leave bank balance of 235 hours or more as of the end of the accrual year (December 31), may elect to receive a cash payout of 50% of the sick leave hours accrued under the Regular Accrual Rate during that accrual year.",HARD,deontic:obligation|deontic:permission|threshold|exception,4,,,,,,
APA_AMER_0813,APA_American_Airlines_2023,111,"A pilot on long term sick who submits a Long-Term Sick (“LTS”) designation form in accordance with paragraph c. below, may designate the number of hours for which the pilot will be paid in a given month provided that the number of hours falls between the lower of Line Construction Window or reserve guarantee 65 and 130 hours the pilot’s individual IMAX.",SOFT,deontic:permission|threshold|exception,4,,,,,,
APA_AMER_0999,APA_American_Airlines_2023,131,"(1) hour of simulator time and, except for the purpose of maintaining or re- establishing 90-day Takeoff/Landing Currency, shall not be scheduled between 0045 and 0530 hours.",HARD,deontic:prohibition|deontic:obligation|threshold|exception,4,,,,,,
APA_AMER_0916,APA_American_Airlines_2023,119,"An approved leave may be cancelled by American with at least a 30day notice, unless the pilot concurs to a shorter time period.",SOFT,deontic:permission|threshold|exception,4,,,,,,
