sentence_id,source_doc,page_num,raw_text,predicted_type,signals,confidence_score,is_constraint,constraint_type,entities,threshold,exception,notes
32BJ_TRI_0150,32BJ_TriState_2024_2027,22,"Notwithstanding the rates set forth above in paragraph 15.2, based on the one-time Health Care Savings approved by the Trustees of the Health Fund which is reflected below in the contribution rates for 2024 through 2026, the Employer shall contribute for the Tristate Plan of benefits at the following adjusted monthly rates of contribution per eligible employee: January 1, 2024 $1,265.00 January 1, 2025 $1,313.00 January 1, 2026 $1,398.00 January 1, 2027 $1,483.00 Unless provided otherwise in the Economic Zone Addenda, the Employer shall make monthly contributions of $78.00 for each employee who regularly works less than 27.5 hours per week to the Health Fund, payable when and how the Trustees determine, to cover such employees and their eligible dependents with such health benefits as may be determined by the Trustees of the Health Fund.",HARD,deontic:obligation|deontic:permission|threshold|exception,4,,,,,,
32BJ_TRI_0167,32BJ_TriState_2024_2027,24,"The parties agree that, in the event that the President of the Union and the President of the Realty Advisory Board on Labor Relations, Inc. determine in their discretion and upon their mutual consent to change the portion of contributions allocated to the Thomas Shortman Training, Scholarship and Safety Fund and the Building Service 32BJ Legal Services Fund, the Employer shall adopt the same reallocation effective 30 days following notification by the Union of such reallocation; provided that the total amounts contributed to such Funds collectively pursuant to such reallocation shall not exceed the amounts that would otherwise be contributed to such Funds collectively pursuant to this Agreement in the absence of such reallocation.",HARD,deontic:prohibition|deontic:obligation|threshold|exception,4,,,,,,
32BJ_TRI_0449,32BJ_TriState_2024_2027,67,"Add the following as Article 39 (Termination Pay): “39.1 In case of termination of employment because of the employee’s physical or mental inability to perform their duties or from reduction in force, the employee shall receive, in addition to accrued vacation, termination pay according to service in the building or with the Employer as follows: Employee with Pay 5 years but less than 10 years service - 1 week wages 10 years but less than 15 years service - 2 weeks wages 15 years but less than 19 years service - 3 weeks wages 19 years but less than 22 years service - 4 weeks wages 64",HARD,deontic:obligation|threshold|exception,4,,,,,,
32BJ_TRI_0001,32BJ_TriState_2024_2027,4,"Recognition This Agreement shall apply to all service employees employed in any facility in the State of New Jersey, Westchester, Putnam, Dutchess, Rockland, Orange, Sullivan, Nassau and Suffolk Counties in the State of New York and Fairfield County in the State of Connecticut, excluding commercial office buildings under 100,000 square feet, except that economic terms and conditions for residential buildings, hospitals, department stores, schools, charitable, educational and religious institutions, race tracks, nursing homes, theaters, hotels, shopping malls, golf courses, bowling alleys, warehouses, route work, bank branches and industrial facilities, locations other than commercial buildings in Nassau and Suffolk Counties and for all other facilities in Putnam, Dutchess, Orange and Sullivan Counties in the State of New York and Fairfield County in the State of Connecticut, shall be set forth in riders negotiated for each location covered by this agreement.",HARD,deontic:obligation|exception,3,,,,,,
32BJ_TRI_0221,32BJ_TriState_2024_2027,31,"This clause shall not apply to contracts entered into before December 1, 2023 even if the terms of any such contracts extend beyond that date, provided that any such riders set forth a schedule of wage and benefit increases.",HARD,deontic:prohibition|deontic:obligation|exception,3,,,,,,
32BJ_TRI_0307,32BJ_TriState_2024_2027,44,"However, notwithstanding anything to the contrary above, the Employer shall contribute to the Building Service Local 32BJ Health Fund for all employees who work 27 and ½ hours per week or more at the rates for regular full-time employees set forth in Article 15.1. 11.",HARD,deontic:obligation|exception,3,,,,,,
32BJ_TRI_0084,32BJ_TriState_2024_2027,14,"In the event of bumping, there shall be no more than one bump.",HARD,deontic:obligation|exception,3,,,,,,
32BJ_TRI_0082,32BJ_TriState_2024_2027,14,"In the event of a layoff due to a reduction in force, the inverse order of classification seniority, where applicable, shall be followed.",HARD,deontic:obligation|exception,3,,,,,,
32BJ_TRI_0207,32BJ_TriState_2024_2027,29,"(d) Unless otherwise required by law or regulation, a “nomatch” letter from the Social Security Administration shall not itself constitute a basis for taking adverse employment action against an employee or for requiring an employee to re-verify work authorization.",HARD,deontic:prohibition|deontic:obligation|exception,3,,,,,,
32BJ_TRI_0413,32BJ_TriState_2024_2027,63,"Perfect attendance means the employee has not used any sick days, except that any sick day or unpaid leave that qualifies under the Family Medical Leave Act shall not be considered."" 6.",HARD,deontic:prohibition|deontic:obligation|exception,3,,,,,,
32BJ_TRI_0076,32BJ_TriState_2024_2027,13,The leaving contractor shall pay its share of the accrued vacation to any affected employees within 14 days of its last day at the job location. 10,HARD,deontic:obligation|threshold,3,,,,,,
32BJ_TRI_0211,32BJ_TriState_2024_2027,29,"In the event the Employer sells or transfers all or any part of its business or accounts which are subject to this Agreement, the Employer shall require the acquiring employer to assume this Agreement.",HARD,deontic:obligation|exception,3,,,,,,
32BJ_TRI_0212,32BJ_TriState_2024_2027,29,"To the extent permitted by law, this agreement shall be binding on any other entities that the Employer or its principals establishes or operates which perform(s) work subject to this Agreement.",HARD,deontic:obligation|exception,3,,,,,,
32BJ_TRI_0428,32BJ_TriState_2024_2027,65,"Add the following as paragraphs 20.5 through 20.8: “20.5 Any regular employee whose regular day off, or one of whose regular days off, falls on a contract holiday, shall receive an additional day’s pay therefore, or, at the option of the Employer, shall receive an extra day off with pay within a period of ten (10) days prior to or ten (10) days after said regular day off, provided that said extra day off is granted in conjunction with the employee’s two regular days off so that the employee receives a minimum of three consecutive days off. 20.6 Any employee who is required to work on Election Day and who gives legal notice, shall be allowed two",HARD,deontic:obligation|deontic:obligation|exception,3,,,,,,
