sentence_id,source_doc,page_num,raw_text,predicted_type,signals,confidence_score,is_constraint,constraint_type,entities,threshold,exception,notes
IBEW_JUN_0134,IBEW_Juneau_2024_2027,20,Employees who are hired or rehired into regular positions shall be subject to a probationary period.,HARD,deontic:obligation|exception,3,Yes,HARD,"employees, employer",,,"auto-openai:The sentence establishes a mandatory probationary period for employees hired or rehired into regular positions, indicating a hard constraint."
IBEW_JUN_0043,IBEW_Juneau_2024_2027,11,"The Chief Shop Steward shall be subject to all terms and conditions of the Agreement, except the provisions that pertain to an hourly employee such as, but not limited to, all overtime, call-out, ten-hour breaks, pay premiums, and additional meal period provisions.",HARD,deontic:obligation|exception,3,Yes,SOFT,"Chief Shop Steward, Agreement, hourly employee",,"except the provisions that pertain to an hourly employee such as, but not limited to, all overtime, call-out, ten-hour breaks, pay premiums, and additional meal period provisions","auto-openai:The sentence outlines the conditions under which the Chief Shop Steward operates, indicating discretion in applying certain provisions, thus classifying it as a soft constraint."
IBEW_JUN_0111,IBEW_Juneau_2024_2027,19,"Job vacancies in regular positions shall be filled by the job posting, job bidding and job award procedures unless otherwise specified in this Agreement.",HARD,deontic:obligation|exception,3,Yes,HARD,"operator, union",,unless otherwise specified in this Agreement,"auto-openai:The sentence establishes a mandatory procedure for filling job vacancies, indicating a hard constraint with an exception clause."
IBEW_JUN_0228,IBEW_Juneau_2024_2027,29,"In the event of a bona fide emergency situation, the ten (10) calendar day notice may be waived.",SOFT,deontic:permission|exception,3,Yes,SOFT,"operator, authority, union",,bona fide emergency situation,"auto-openai:The sentence indicates that the notice requirement can be waived under certain conditions, making it a discretionary constraint."
IBEW_JUN_0473,IBEW_Juneau_2024_2027,58,"Pedestrian signals or other ""step-ladder"" work shall not be included in this provision unless considered hazardous due to traffic or other reasons.",HARD,deontic:prohibition|deontic:obligation|exception,3,Yes,HARD,"operator, union",,unless considered hazardous due to traffic or other reasons,"auto-openai:The sentence establishes a mandatory condition regarding the inclusion of certain work types, with a specific exception for hazardous situations."
IBEW_JUN_0284,IBEW_Juneau_2024_2027,35,"Upon request, eligible employees shall be awarded 160 hours of non-cashable leave for regular full time eligible employees who have been approved for leave under the Alaska Family Leave Act (AFLA) or the Family Medical Leave Act of 1993 (FMLA) for a qualifying event of the birth of an employee’s child or children, or placement of a child or children with the employee for adoption or foster care.",HARD,deontic:obligation|threshold,3,Yes,HARD,"employees, union, authority",max_hours=160,empty string,"auto-openai:The sentence mandates that eligible employees shall be awarded a specific amount of leave, indicating a legally binding obligation."
IBEW_JUN_0222,IBEW_Juneau_2024_2027,28,"All hours of cashable annual leave in excess of four-hundred-eighty (480), unless converted to cashable sick leave, shall be paid to the employee in the next pay period following the last full pay period in December.",HARD,deontic:obligation|exception,3,Yes,HARD,employee,max_hours=480,unless converted to cashable sick leave,"auto-openai:The sentence establishes a mandatory requirement for payment of annual leave hours exceeding a specified threshold, indicating a hard constraint."
IBEW_JUN_0078,IBEW_Juneau_2024_2027,14,"The parties agree this means the Municipality shall not subcontract work traditionally performed within the job classifications covered under this Agreement, except when regular employees cannot meet the Municipality's maintenance and new construction needs or when in-house personnel do not possess the expertise and skills to adequately perform the work within time constraints or Municipalities needs of service or any emergencies.",HARD,deontic:prohibition|deontic:obligation|exception,3,Yes,HARD,"Municipality, regular employees",,when regular employees cannot meet the Municipality's maintenance and new construction needs or when in-house personnel do not possess the expertise and skills to adequately perform the work within time constraints or Municipalities needs of service or any emergencies,"auto-openai:The sentence imposes a mandatory restriction on subcontracting work, with specific exceptions outlined."
IBEW_JUN_0220,IBEW_Juneau_2024_2027,28,Non-Cashable annual leave for all eligible employees shall accrue as follows: 6 - 10 years of service Non-Cashable Annual Leave – 1.86 hours a pay period 11 - 19 years of service Non-Cashable Annual Leave – 2.62 hours a pay period 20+ years of service Non-Cashable Annual Leave – 3.27 hours a pay period 3.,HARD,deontic:obligation|threshold,3,Yes,HARD,employees,"1.86 hours, 2.62 hours, 3.27 hours",,"auto-openai:The sentence specifies mandatory accrual rates for Non-Cashable annual leave based on years of service, using 'shall' which indicates a legally binding requirement."
IBEW_JUN_0219,IBEW_Juneau_2024_2027,28,Cashable annual leave for all eligible employees shall accrue as follows: 0 - 2 years of service Annual Leave – 6.15 hours per pay period 3 – 5 years of service Annual Leave – 6.77 hours per pay period 6 - 10 years of service Annual Leave – 7.38 hours per pay period 11+ years of service Annual Leave – 9.23 hours per pay period 2.,HARD,deontic:obligation|threshold,3,Yes,HARD,employees,max_hours=9.23,,"auto-openai:The sentence specifies mandatory accrual rates for annual leave based on years of service, using 'shall' which indicates a legally binding requirement."
IBEW_JUN_0287,IBEW_Juneau_2024_2027,35,"Employees must take paid parental leave in weekly blocks (40 hours over the course of a single work week or, for eligible employees who work less than full time, one- fourth of the amount of leave available to them under section A.) and must use all paid parental leave during approved AFLA or FMLA leave for the qualifying event.",HARD,deontic:obligation|threshold,3,Yes,HARD,"employees, union",max_hours=40,"for eligible employees who work less than full time, one-fourth of the amount of leave available to them under section A.","auto-openai:The sentence mandates that employees must take paid parental leave in specific weekly blocks, indicating a legally binding requirement."
IBEW_JUN_0295,IBEW_Juneau_2024_2027,36,"Section 4.4 Change in Shifts or Jobs No employee will be required to lose any working time by reason of a change in shifts or jobs, except in cases of personal convenience or preference.",HARD,deontic:prohibition|exception,3,Yes,HARD,"employee, employer",,personal convenience or preference,"auto-openai:The sentence establishes a mandatory rule that employees cannot lose working time due to shifts or job changes, with a specific exception for personal convenience or preference."
IBEW_JUN_0234,IBEW_Juneau_2024_2027,29,Leave without pay shall not be requested nor granted until such time as all paid leave has been exhausted except where an employee is on authorized Injury Leave.,HARD,deontic:prohibition|deontic:obligation|exception,3,Yes,HARD,"employee, employer",,where an employee is on authorized Injury Leave,"auto-openai:The sentence establishes a mandatory rule regarding leave without pay, specifying that it cannot be requested or granted until all paid leave is exhausted, with a clear exception for authorized Injury Leave."
IBEW_JUN_0457,IBEW_Juneau_2024_2027,57,"No employee will be required to lose any working time by reason of a change in shifts or jobs, except in cases of personal convenience or preference.",HARD,deontic:prohibition|exception,3,Yes,HARD,"employee, employer",,personal convenience or preference,"auto-openai:The sentence imposes a mandatory requirement that employees cannot lose working time due to shift changes, with a specific exception for personal convenience or preference."
IBEW_JUN_0300,IBEW_Juneau_2024_2027,37,ARTICLE 5 COMPENSATION Section 5.1 Definitions The following definitions shall apply except as otherwise provided in this Agreement: A.,HARD,deontic:obligation|exception,3,No,NOT_CONSTRAINT,,,,auto-openai:The sentence provides definitions and does not impose any rules or obligations.
IBEW_JUN_0340,IBEW_Juneau_2024_2027,42,"Section 5.8 Employee Payment All employees covered by this Agreement will be paid every other week on Friday, unless a recognized holiday falls on the pay date, then that payday shall be the last working day prior to the recognized holiday.",HARD,deontic:obligation|exception,3,Yes,HARD,"employees, union",,unless a recognized holiday falls on the pay date,"auto-openai:The sentence establishes a mandatory payment schedule for employees, with a specific exception for recognized holidays."
IBEW_JUN_0096,IBEW_Juneau_2024_2027,17,Position vacancy announcements shall be advertised as follows (except as specified in Section 3.4): 1.,HARD,deontic:obligation|exception,3,Yes,HARD,"operator, authority",,except as specified in Section 3.4,auto-openai:The use of 'shall' indicates a legally mandatory requirement for advertising position vacancy announcements.
IBEW_JUN_0412,IBEW_Juneau_2024_2027,51,"Section 7.3.5 Arbitrability Unless either party files the issue with the Court or the Employee Relations Board, when the arbitrability of a grievance is questioned, both parties agree that the same arbitrator shall be used to decide both arbitrability and the grievance issue itself.",HARD,deontic:obligation|exception,3,Yes,HARD,"party, arbitrator, grievance",,unless either party files the issue with the Court or the Employee Relations Board,"auto-openai:The sentence establishes a mandatory process for determining arbitrability and grievance resolution, indicating that both parties must use the same arbitrator unless a specific action is taken."
IBEW_JUN_0414,IBEW_Juneau_2024_2027,51,Section 7.3.7 Decision of the Arbitrator The decision of the arbitrator shall be reduced to writing unless waived by the parties and shall be final and binding on all parties.,HARD,deontic:obligation|exception,3,Yes,HARD,"arbitrator, parties",,unless waived by the parties,"auto-openai:The sentence establishes a mandatory requirement for the arbitrator's decision to be written and binding, indicating a hard constraint."
IBEW_JUN_0446,IBEW_Juneau_2024_2027,55,Employees may be subject to appropriate disciplinary action for violation of this Section.,SOFT,deontic:permission|exception,3,Yes,SOFT,"employees, authority",,,"auto-openai:The use of 'may be subject to' indicates that the disciplinary action is discretionary and not mandatory, classifying it as a soft constraint."
IBEW_JUN_0417,IBEW_Juneau_2024_2027,52,Section 7.3.8 Existing Grievances All grievances and arbitration cases pending at the time of execution of this Agreement shall be subject to all provisions of the Agreement in effect at the time the grievance was filed.,HARD,deontic:obligation|exception,3,Yes,HARD,"grievance, arbitration, Agreement",,,"auto-openai:The sentence establishes a mandatory requirement that all pending grievances and arbitration cases must adhere to the provisions of the Agreement in effect at the time of filing, indicating no discretion is allowed."
IBEW_JUN_0319,IBEW_Juneau_2024_2027,38,"Regular represented employees hired on or after July 1, 1982 and prior to January 1, 2009, shall be eligible to receive SRP unless they opted into Performance Step Program and had their SRP frozen.",HARD,deontic:obligation|exception,3,Yes,HARD,"employees, SRP, Performance Step Program",,unless they opted into Performance Step Program and had their SRP frozen,"auto-openai:The sentence establishes a mandatory eligibility rule for employees regarding SRP, with a specific exception clause."
IBEW_JUN_0478,IBEW_Juneau_2024_2027,58,(1) shall remain on the ground except when washing street signs by mechanical means and both qualified workmen shall be on the washing equipment.,HARD,deontic:obligation|exception,3,Yes,HARD,"operator, workmen",,when washing street signs by mechanical means,"auto-openai:The sentence imposes a mandatory requirement for workmen to remain on the ground with a specific exception, indicating a hard constraint."
IBEW_JUN_0430,IBEW_Juneau_2024_2027,54,"A safety meeting shall be held at least once a week for each individual shift work group, time as required unless it is mutually agreed by the parties that less frequent meetings are necessary.",HARD,deontic:obligation|exception,3,Yes,HARD,"operator, union",min_meetings=1,unless it is mutually agreed by the parties that less frequent meetings are necessary,"auto-openai:The sentence mandates that safety meetings occur weekly, making it a hard constraint with a specified minimum frequency and an exception clause."
IBEW_JUN_0005,IBEW_Juneau_2024_2027,7,"Section 2.6 Plurality Unless the context of this Agreement clearly requires a different interpretation or construction, all references to the singular shall also include the plural and vice versa.",HARD,deontic:obligation|exception,3,No,NOT_CONSTRAINT,,,,"auto-openai:The sentence provides a definition regarding the interpretation of singular and plural references in the agreement, which is administrative text and not a rule or constraint."
IBEW_JUN_0151,IBEW_Juneau_2024_2027,22,Employees who are demoted shall be subject to an evaluation period.,HARD,deontic:obligation|exception,3,Yes,HARD,employees,,,auto-openai:The use of 'shall' indicates a mandatory requirement for employees who are demoted to undergo an evaluation period.
IBEW_JUN_0015,IBEW_Juneau_2024_2027,8,"No employee shall be disciplined for refusing to cross a recognized and sanctioned picket as provided herein, unless it can be shown that he acted unilaterally without contacting the Shop Steward or Union Hall to request clarification of the status of the picket.",HARD,deontic:obligation|deontic:prohibition|exception,3,Yes,HARD,"employee, Shop Steward, Union Hall",,unless it can be shown that he acted unilaterally without contacting the Shop Steward or Union Hall to request clarification of the status of the picket,"auto-openai:The sentence establishes a mandatory rule against disciplining employees under specific conditions, qualifying it as a hard constraint."
IBEW_JUN_0148,IBEW_Juneau_2024_2027,21,Employees who are promoted shall be subject to an evaluation period.,HARD,deontic:obligation|exception,3,Yes,HARD,employees,,,auto-openai:The use of 'shall' indicates a mandatory requirement for employees who are promoted to undergo an evaluation period.
IBEW_JUN_0142,IBEW_Juneau_2024_2027,21,"Unless action is taken by the agency head to separate or demote the employee or to request extension of the probationary period prior to the end of the probation period, the employee shall attain regular status on the first working day following completion of the probationary period.",HARD,deontic:obligation|exception,3,Yes,HARD,"agency head, employee",,unless action is taken by the agency head to separate or demote the employee or to request extension of the probationary period prior to the end of the probation period,"auto-openai:The sentence establishes a mandatory condition for the employee to attain regular status, making it a hard constraint."
IBEW_JUN_0147,IBEW_Juneau_2024_2027,21,The Union shall be notified in the event of termination of the probationary employee’s employment.,HARD,deontic:obligation|exception,3,Yes,HARD,union,,,"auto-openai:The sentence imposes a mandatory requirement for the Union to be notified, indicating a hard constraint."
IBEW_JUN_0484,IBEW_Juneau_2024_2027,59,"No employee will be required to lose any working time by reason of change in shifts or jobs, except in cases of personal convenience or preference.",HARD,deontic:prohibition|exception,3,Yes,HARD,"employee, operator, union",,personal convenience or preference,"auto-openai:The sentence imposes a mandatory requirement that employees cannot lose working time due to shift changes, with a specific exception for personal convenience or preference."
IBEW_JUN_0369,IBEW_Juneau_2024_2027,46,"Section 6.7 Savings Plan Eligible employees may participate, through payroll deduction, in the Municipality’s 401(k) and 457 savings plans, subject to the provisions of the plans.",SOFT,deontic:permission|exception,3,Yes,SOFT,"employees, Municipality",,subject to the provisions of the plans,"auto-openai:The sentence indicates that participation in the savings plans is optional for eligible employees, making it a soft constraint."
IBEW_JUN_0359,IBEW_Juneau_2024_2027,45,Section 6.2 Employee Assistance Program Eligible employees may participate in the Municipality’s Employee Assistance Program subject to the provisions of the program.,SOFT,deontic:permission|exception,3,Yes,SOFT,"Municipality, employees",,subject to the provisions of the program,"auto-openai:The sentence indicates that participation is allowed but is contingent upon the program's provisions, making it a soft constraint."
IBEW_JUN_0338,IBEW_Juneau_2024_2027,41,Employees in this call out status shall be compensated at the overtime factored rate of pay for all hours worked with a guarantee of at least one,HARD,deontic:obligation,2,Yes,HARD,"employees, authority",min_hours=1,,"auto-openai:The sentence mandates that employees in call out status must be compensated at a specific rate for all hours worked, indicating a legally binding requirement."
IBEW_JUN_0370,IBEW_Juneau_2024_2027,46,Section 6.8 Hardship and Benevolent Fund The Municipality shall deduct and forward five cents ($0.05) per hour for each hour of compensation of each employee within the bargaining unit to the IBEW Hardship and Benevolent Fund (IHBF).,HARD,deontic:obligation,2,Yes,HARD,"Municipality, IBEW",deduction=0.05,,"auto-openai:The sentence imposes a mandatory deduction of funds from employee compensation, indicating a legally binding obligation."
IBEW_JUN_0337,IBEW_Juneau_2024_2027,41,An employee who is working in call-out status shall be compensated a minimum of two,HARD,deontic:obligation,2,Yes,HARD,"employee, employer",min_compensation=2,,"auto-openai:The sentence specifies a mandatory compensation requirement for employees in call-out status, indicating a hard constraint."
IBEW_JUN_0334,IBEW_Juneau_2024_2027,40,"If an employee feels they have not been evaluated fairly, the employee may file an appeal with the Committee within fifteen (15) working days of completion of the quarterly evaluation.",SOFT,deontic:permission,2,Yes,SOFT,"employee, Committee",15 working days,,"auto-openai:The sentence outlines a discretionary process for employees to appeal evaluations, indicating a soft constraint with a specific time threshold."
IBEW_JUN_0336,IBEW_Juneau_2024_2027,41,All call-outs shall be assigned by the MOA.,HARD,deontic:obligation,2,Yes,HARD,MOA,,,auto-openai:The use of 'shall' indicates a legally mandatory requirement with no discretion allowed.
