sentence_id,source_doc,page_num,raw_text,predicted_type,signals,confidence_score,is_constraint,constraint_type,entities,threshold,exception,notes
BOSTON_A_0170,Boston_AFSCME_Citywide_2020_2023,17,"For purposes of this Article, ""layoff"" shall be defined as an Employer initiated separation of an employee from service because of lack of work, shortage of funds, curtailment of services, or any other reason except for voluntary separation, separation due to retirement, or separation constituting discipline or discharge under Article 6.",HARD,deontic:obligation|exception,3,,,,,,
BOSTON_A_0108,Boston_AFSCME_Citywide_2020_2023,13,"The parties recognize that for alternative workweeks employees shall not work more than their normal scheduled work hours (i.e., 35 hour employees shall be scheduled to work 35 hours and 40 hour employees shall be scheduled to work 40 hours, whichever is applicable).",HARD,deontic:prohibition|deontic:obligation|threshold,3,,,,,,
BOSTON_A_0261,Boston_AFSCME_Citywide_2020_2023,24,"(6) months of continuous service for the Municipal Employer shall, subject to Section 2 of this Article, be granted sick leave, without loss of pay, for absence caused by illness or by injury or exposure to contagious disease or by the serious illness or death of a member of the employee's immediate family or by illness or disability arising out of or caused by pregnancy or childbirth.",HARD,deontic:obligation|exception,3,,,,,,
BOSTON_A_0102,Boston_AFSCME_Citywide_2020_2023,13,"No agreement, understanding, alteration or variation of the agreements, terms or provisions herein contained shall bind the parties hereto unless made and executed in writing by the parties hereto subsequent to the date of execution of this Agreement.",HARD,deontic:obligation|exception,3,,,,,,
BOSTON_A_0265,Boston_AFSCME_Citywide_2020_2023,24,"Sick leave not used prior to the termination of an employee's service shall lapse, and the employee shall not be entitled to any compensation in lieu thereof, except for the purpose of Article 14, Section 8.",HARD,deontic:prohibition|deontic:obligation|exception,3,,,,,,
BOSTON_A_0266,Boston_AFSCME_Citywide_2020_2023,24,No employee shall be entitled to sick leave without loss of pay as provided in Section 1 of this Article unless: A.,HARD,deontic:obligation|deontic:prohibition|exception,3,,,,,,
BOSTON_A_0477,Boston_AFSCME_Citywide_2020_2023,76,(1) year of service or who is hired thereafter shall receive step rates under this provision except that his/her anniversary date shall be his/her date of hire.,HARD,deontic:obligation|exception,3,,,,,,
BOSTON_A_0092,Boston_AFSCME_Citywide_2020_2023,12,"If the City fails to comply with a monetary award within forty-five (45) calendar days after the date of the award, ten percent (10%) interest per year shall be added unless the award is ultimately vacated by a final court judgment.",HARD,deontic:obligation|exception,3,,,,,,
BOSTON_A_0091,Boston_AFSCME_Citywide_2020_2023,12,"When an arbitration award is granted in favor of the Union, that award shall be complied with by the City within thirty (30) calendar days of the date the Award was granted, unless the City, in a timely fashion, seeks to vacate the award.",HARD,deontic:obligation|exception,3,,,,,,
BOSTON_A_0271,Boston_AFSCME_Citywide_2020_2023,25,"(5) days' sick leave credit will be restored to an employee's accumulated sick leave when such employee has used sick leave allowance between the date of injury on the job and the date that disability (workers' compensation) is awarded, except that such sick leave shall be offset proportionately by a disability benefit that is awarded retroactively to the date the disability was incurred.",HARD,deontic:obligation|exception,3,,,,,,
BOSTON_A_0569,Boston_AFSCME_Citywide_2020_2023,92,(1) year and shall be subject to progressive disciplinary action. 6.,HARD,deontic:obligation|exception,3,,,,,,
BOSTON_A_0087,Boston_AFSCME_Citywide_2020_2023,11,The failure of the Office of Labor Relations to timely issue a written opinion shall not be subject to the grievance procedure.,HARD,deontic:prohibition|deontic:obligation|exception,3,,,,,,
BOSTON_A_0084,Boston_AFSCME_Citywide_2020_2023,11,Any matter which is subject to the jurisdiction of the Civil Service Commission or any Retirement Board established by law shall not be a subject of grievance or arbitration hereunder.,HARD,deontic:prohibition|deontic:obligation|exception,3,,,,,,
BOSTON_A_0277,Boston_AFSCME_Citywide_2020_2023,26,It is agreed that employees who abuse the sick leave provisions of this Agreement shall be subject to disciplinary action in accordance with the provisions of Article 6.,HARD,deontic:obligation|exception,3,,,,,,
BOSTON_A_0577,Boston_AFSCME_Citywide_2020_2023,93,"Any employee in the Health Inspections, Weights and Measures or Building and Structures Divisions who fails to file such disclosure form by the required date shall be subject to disciplinary action up to and including termination.",HARD,deontic:obligation|exception,3,,,,,,
BOSTON_A_0279,Boston_AFSCME_Citywide_2020_2023,26,"Unused sick time acquired pursuant to Section 10 of this Article shall not be subject to redemption, rather it shall revert back to the extended sick leave bank.",HARD,deontic:prohibition|deontic:obligation|exception,3,,,,,,
BOSTON_A_0076,Boston_AFSCME_Citywide_2020_2023,11,"Should the parties mutually elect to utilize the services of the Board of Conciliation and Arbitration the parties shall equally share the costs of those services, unless otherwise stipulated.",HARD,deontic:obligation|deontic:preference|exception,3,,,,,,
BOSTON_A_0075,Boston_AFSCME_Citywide_2020_2023,11,Any issue regarding the rules and procedures for arbitration not covered above shall be subject to the voluntary rules of the “Labor Relations Connection.” By mutual consent the parties may elect to utilize the services of the State Board of Conciliation and Arbitration for the purposes of grievance mediation.,HARD,deontic:obligation|deontic:permission|exception,3,,,,,,
BOSTON_A_0397,Boston_AFSCME_Citywide_2020_2023,36,• An employee who is subject to a post-accident test must remain available for testing.,HARD,deontic:obligation|exception,3,,,,,,
BOSTON_A_0072,Boston_AFSCME_Citywide_2020_2023,11,"If an order to bifurcate/separate is issued, the cost of the hearing shall be borne equally by both sides unless otherwise agreed.",HARD,deontic:obligation|exception,3,,,,,,
BOSTON_A_0582,Boston_AFSCME_Citywide_2020_2023,93,An employee who fails to sever such outside employment after thirty (30) days shall be subject to disciplinary action up to and including termination.,HARD,deontic:obligation|exception,3,,,,,,
BOSTON_A_0391,Boston_AFSCME_Citywide_2020_2023,34,Such separation shall only be a subject of the grievance and arbitration article hereunder through Step 3 and shall not be subject to arbitration. 34,HARD,deontic:prohibition|deontic:obligation|exception,3,,,,,,
BOSTON_A_0257,Boston_AFSCME_Citywide_2020_2023,24,"Subject to the preceding sentence, vacation leave selection shall be determined by seniority.",HARD,deontic:obligation|exception,3,,,,,,
BOSTON_A_0110,Boston_AFSCME_Citywide_2020_2023,13,"All authorized overtime service in excess of the regular workday or the regular workweek, or on the sixth (6th) and seventh (7th) days of service, shall be compensated on a time and one-half basis, except that service on the seventh (7th) day of a workweek on a continuous operation only shall be compensated at double time.",HARD,deontic:obligation|exception,3,,,,,,
BOSTON_A_0059,Boston_AFSCME_Citywide_2020_2023,10,Transcripts shall be paid for by the party requesting it (unless the other party also orders a copy) and in no event shall the utilization of the transcript affect any of the time limitations herein.,HARD,deontic:obligation|exception,3,,,,,,
BOSTON_A_0549,Boston_AFSCME_Citywide_2020_2023,90,"However, the City shall give the Union, Local 1198, ten (10) days notice of its intent to contract out or subcontract out work presently performed by members of the bargaining unit, except that when the work to be contracted out of subcontracted out is of an emergency nature where it is not feasible to give thirty (30) days’ notice, the City shall give the Union ten (10) days’ notice. 2.",HARD,deontic:obligation|exception,3,,,,,,
