sentence_id,source_doc,page_num,raw_text,predicted_type,signals,confidence_score,is_constraint,constraint_type,entities,threshold,exception,notes
CONTRACT_0001,contract_mou_2017-2019,2,"With this contract in place we are insulated half for any and all snow removal. against potential federal government cuts to public transit funding, and any other uncertainties that may arise.",SOFT,deontic:permission,2,,,,,,
CONTRACT_0003,contract_mou_2017-2019,3,"Expiration of contract: May 15, 2019",SOFT,deontic:permission,2,,,,,,
CONTRACT_0002,contract_mou_2017-2019,3,"Your New Wage Package 3 2.5 Percent Jan. 16, 2017 3 2.5 Percent Feb. 16, 2018 3 $500 Pensionable Cash Bonus March 15, 2019 (value .5% of a wage point) $ Here’s What this means in real to you! If Your Gross Your New Gross Plus $500.00 Total With Wage Annual Pay Annual Pay Will Bonus Pay Increases and Averages Increase to . . .",UNCLEAR,threshold,1,,,,,,
CONTRACT_0005,contract_mou_2017-2019,5,Fixes & Enhancements • Cash out of at least 50 percent of any unused sick time upon resignation or re- To the Local 100 Dental Plan tirement no matter how few days are in the sick bank.,UNCLEAR,threshold,1,,,,,,
CONTRACT_0006,contract_mou_2017-2019,5,"Previously, only dentures and partials were offered for this • age group Maintainers at MTA Bus will see a reduc• tion in their workday from 8.5 hours to 8 Atridox Shots - Major plan enhancement, Not covered hours, with no loss in pay. by any other union insurance plan ,valued at $300 a shot.",UNCLEAR,threshold,1,,,,,,
CONTRACT_0004_p1,contract_mou_2017-2019,4,"Current 2.5 Percent 2.5 Percent Total $$ New Wage Scales Hourly Increase Increase Hourly & Hourly Increases Wage Jan. 16, Feb. 16, Increase Rate 2017 2018 In Contract Bus Maintainer A, B, CM, BM $34.5025 $35.3650 $36.2500 $1.7475 Bus Operator $32.4250 $33.2350 $34.0650 $1.6400 Cleaner/Helper OA $29.1875 $29.9175 $30.6650 $1.4775 Cleaner $27.4875 $28.1750 $28.8800 $1.3925 Car Inspector A&B $36.0275 $36.9275 $37.8500 $1.8225 Car Maintainer Trainee $30.8525 $31.6250 $32.4150 $1.5625 Collecting Agent $30.8425 $31.6125 $32.4025 $1.5600 Conductor $30.1100 $30.8625 $31.6350 $1.5250 Electronic Equipment Maintainer $35.6325 $36.5225 $37.4350 $1.8025 REM II & EEM II @ Woodside $38.4450 $39.4050 $40.3900 $1.9450 Helper (Light, Signal, Tel, Mec",UNCLEAR,threshold,1,,,,,,
CONTRACT_0004_p2,contract_mou_2017-2019,4,"h) $29.1875 $29.9175 $30.6650 $1.4775 Maintainer Helper B $29.1875 $29.9175 $30.6650 $1.4775 Light Maintainer $34.5025 $35.3650 $36.2500 $1.7475 Maintainer Trainee A, B, C, D $30.8525 $31.6250 $32.4150 $1.5625 Mechanic Maintainer C (not in car equi",UNCLEAR,threshold,1,,,,,,
CONTRACT_0004_p3,contract_mou_2017-2019,4,p) $34.5025 $35.3650 $36.2500 $1.7475 Mechanic Maintainer C $36.0275 $36.9275 $37.8500 $1.8225 Money Truck Operator OA (Paid as B.O.) $32.4250 $33.2350 $34.0650 $1.6400 Money Truck Op.,UNCLEAR,threshold,1,,,,,,
CONTRACT_0007_p1,contract_mou_2017-2019,5,Atridox is the brand • All MTA Bus depots will now be covered • Occlusal Wear (Night Guard,UNCLEAR,threshold,1,,,,,,
CONTRACT_0007_p2,contract_mou_2017-2019,5,s) - Now available (valued by ONE UNIFIED CONTRACT at $200 or mor,UNCLEAR,threshold,1,,,,,,
CONTRACT_0007_p3,contract_mou_2017-2019,5,"e) • 1st TIME, uniform cleaning allowance • Porcelain Crowns on molars - Previously plan allowed for Station Cleaners. only acrylic crowns • • Type One Malocclusions - Previously only Type 2 and Contractual agreement to improve the Type 3 Malocclusions were approved quality of facilities and address concerns • raised by our female members; and a Composite (Whit",UNCLEAR,threshold,1,,,,,,
CONTRACT_0007_p4,contract_mou_2017-2019,5,e) fillings – Now available on all teeth including posterior teeth guarantee to increase our in-house capi• tal construction workforce by at least 100 Crown Lengthening (Valued at $440 per toot,UNCLEAR,threshold,1,,,,,,
