sentence_id,source_doc,page_num,raw_text,predicted_type,signals,confidence_score,is_constraint,constraint_type,entities,threshold,exception,notes
SPIRIT_A_0460,Spirit_Airlines_Pilots_2023,79,"A pilot shall not remain on duty for more than 12 hours from the time he reports for work (including reasonable travel from home or domicile, whichever is shorter) until the end of the scheduled simulator training unless offered by the Company and agreed to by the pilot. b.",HARD,deontic:prohibition|deontic:obligation|threshold|exception,4,,,,,,
SPIRIT_A_0111,Spirit_Airlines_Pilots_2023,30,Conferences shall begin within 15 days after request has been made for such conferences unless otherwise mutually agreed upon between the Company and the Association.,HARD,deontic:obligation|threshold|exception,4,,,,,,
SPIRIT_A_0590,Spirit_Airlines_Pilots_2023,95,"A pilot on nonpay status shall retain but not accrue sick leave credit after the first 30 days of such period of absence, unless otherwise provided in this Agreement. 3.",HARD,deontic:obligation|threshold|exception,4,,,,,,
SPIRIT_A_0199,Spirit_Airlines_Pilots_2023,40,"The dispute shall be heard expeditiously no later than 20 days following the submission to the System Board and decided expeditiously no later than 40 days after submission, unless the parties agree otherwise in writing.",HARD,deontic:obligation|threshold|exception,4,,,,,,
SPIRIT_A_0313,Spirit_Airlines_Pilots_2023,54,"A pilot who is furloughed, retires, dies, goes on a leave of absence anticipated to be more than six months, resigns with 14 days’ notice (unless verifiable circumstances prevent such notice), or is terminated shall receive pay for all vacation accrued up to the time of such event, including prorated monthly accrual at the rate of 1/12th of the pilot’s annual accrual, at the hourly rate applicable at the time of such event.",HARD,deontic:obligation|threshold|exception,4,,,,,,
SPIRIT_A_0353,Spirit_Airlines_Pilots_2023,61,Conferences shall begin within 15 days after the request has been made for such conferences unless otherwise mutually agreed upon between the Company and the Association.,HARD,deontic:obligation|threshold|exception,4,,,,,,
SPIRIT_A_0609,Spirit_Airlines_Pilots_2023,97,"Upon medical retirement, a pilot shall be paid for his accumulated sick leave at 100 percent of his hourly rate of pay, subject to bank credit limitations (700 hours). 3.",HARD,deontic:obligation|threshold|exception,4,,,,,,
SPIRIT_A_0610,Spirit_Airlines_Pilots_2023,97,"A pilot who retires at the mandatory retirement age with 25 years of service shall be paid for his accumulated sick leave at 100 percent of his hourly rate of pay, subject to bank credit limitations (700 hours). 4.",HARD,deontic:obligation|threshold|exception,4,,,,,,
SPIRIT_A_0611,Spirit_Airlines_Pilots_2023,97,"A pilot who retires at the mandatory retirement age shall be paid for his accumulated sick leave at 75 percent of his hourly rate of pay, subject to bank credit limitations (700 hours). 5.",HARD,deontic:obligation|threshold|exception,4,,,,,,
SPIRIT_A_0740,Spirit_Airlines_Pilots_2023,117,"An arbitrator shall be considered unavailable if he is not able to schedule a hearing within 120 days, unless the parties mutually agree otherwise. 3.",HARD,deontic:obligation|threshold|exception,4,,,,,,
SPIRIT_A_1123,Spirit_Airlines_Pilots_2023,165,"All recordings will be retained for a period of no less than 60 days, except in instances where there is a dispute regarding a specific recorded conversation, in which case the recording will be copied and retained until both parties agree that the recording may be destroyed.",SOFT,deontic:permission|threshold|exception,4,,,,,,
SPIRIT_A_1163,Spirit_Airlines_Pilots_2023,172,"The provisions of the Pilots Records Improvement Act of 1996, as amended, notwithstanding, any records of a disciplinary or derogatory nature that are more than 24 months old shall not be used in progressive 26-2 Section 26: General",HARD,deontic:prohibition|deontic:obligation|threshold|exception,4,,,,,,
SPIRIT_A_0246,Spirit_Airlines_Pilots_2023,49,"A pilot who has accrued less than 11.67 hours pursuant to paragraph A.2 will not be eligible to bid a vacation period, but may take floating vacation days pursuant to paragraph D below. 4.",SOFT,deontic:permission|threshold,3,,,,,,
SPIRIT_A_1073,Spirit_Airlines_Pilots_2023,158,The Pilot must be able to report for an LCR assignment or be available for the assigned SCR RAP within a minimum of 14 hours from the initial attempt to contact.,HARD,deontic:obligation|threshold,3,,,,,,
SPIRIT_A_0503,Spirit_Airlines_Pilots_2023,85,"The Company may not call a pilot during Section 12.A. rest for purposes of advising the pilot of a scheduling, rescheduling, or assignment except during the first or last hour of the rest.",SOFT,deontic:restriction|deontic:permission|exception,3,,,,,,
SPIRIT_A_0502,Spirit_Airlines_Pilots_2023,85,"In this case, the pilot may be called 90 minutes prior to the revised report time, or sooner if necessary, provided the call is made so as to minimize the disruption to the pilot’s rest. 2.",SOFT,deontic:permission|threshold,3,,,,,,
SPIRIT_A_1085,Spirit_Airlines_Pilots_2023,160,Pilots utilizing a pager or other telephone answering device while serving as a reserve shall return a call to Crew Scheduling within 15 minutes of being paged or from the time of the message. c.,HARD,deontic:obligation|threshold,3,,,,,,
SPIRIT_A_0231,Spirit_Airlines_Pilots_2023,47,Pilots shall accrue vacation beginning with their date of hire except where otherwise provided in this Agreement. 2.,HARD,deontic:obligation|exception,3,,,,,,
SPIRIT_A_0496,Spirit_Airlines_Pilots_2023,84,Part 91 tail-end ferry flights to domicile shall be subject to the provisions of Section 12.C.1 and 2.,HARD,deontic:obligation|exception,3,,,,,,
SPIRIT_A_0233,Spirit_Airlines_Pilots_2023,47,"During a pilot’s first full calendar year of employment and continuing through his fourth full calendar year of employment, he shall accrue 4.67 hours of vacation per month (56 hours per year), and he shall be eligible to take two vacation periods in the next calendar year pursuant to the annual vacation bidding. b.",HARD,deontic:obligation|threshold,3,,,,,,
SPIRIT_A_0234,Spirit_Airlines_Pilots_2023,47,"During a pilot’s fifth full calendar year of employment and continuing through his ninth full calendar year of employment, he shall accrue 7.0 hours of vacation per month (84 hours per year), and he shall Section 7: Vacations 7-1",HARD,deontic:obligation|threshold,3,,,,,,
SPIRIT_A_0271,Spirit_Airlines_Pilots_2023,51,A pilot may bid and be awarded a relief line during the month in which he was awarded a vacation period subject to the following conditions: Company duty may be placed on vacation days.,SOFT,deontic:permission|exception,3,,,,,,
