sentence_id,source_doc,page_num,raw_text,predicted_type,signals,confidence_score,is_constraint,constraint_type,entities,threshold,exception,notes
ATU_1293_0001,ATU_1293_Lincoln_2021_2024,4,"WITNESSETH: That the parties hereto contract and agree as follows: GENERAL PROVISIONS ARTICLE 1 - DEFINITIONS For the purposes of this Agreement, the following words, terms and phrases shall be construed in accordance with definitions assigned to them below unless the context in which the same shall be used would otherwise necessarily require a different definition.",HARD,deontic:obligation|exception,3,No,NOT_CONSTRAINT,none,,,"auto-openai:The sentence serves as a preamble and defines terms for the agreement, rather than imposing any specific obligations or constraints."
ATU_1293_0127,ATU_1293_Lincoln_2021_2024,21,"When a lay-off exceeds thirty (30) days, the person offered reemployment under the provisions of this Article shall pass a physical examination conducted by a doctor selected by the City and such person shall be subject to the then existing conditions of employment of the City.",HARD,deontic:obligation|exception,3,Yes,HARD,"City, employee",max_layoff_duration=30days,,"auto-openai:The sentence establishes a mandatory requirement for reemployment after a lay-off exceeding thirty days, which must be fulfilled without discretion."
ATU_1293_0433,ATU_1293_Lincoln_2021_2024,60,"When shift sign up has been completed and shift assignments have been completed, shift assignments shall not be changed except in the case of emergencies.",HARD,deontic:prohibition|deontic:obligation|exception,3,Yes,HARD,"operator, union",,in the case of emergencies,auto-openai:The sentence establishes a mandatory rule regarding shift assignments that can only be changed under specific emergency conditions.
ATU_1293_0422,ATU_1293_Lincoln_2021_2024,58,OVERTIME SIGN-UP No employee will be allowed to change the maintenance overtime time sign-up sheet within 24 hours of the shift beginning.,HARD,deontic:prohibition|threshold,3,Yes,HARD,"employee, maintenance, shift",,,"auto-openai:The sentence imposes a strict rule that prohibits changes to the overtime sign-up sheet within a specified time frame, indicating a legally mandatory constraint."
ATU_1293_0419,ATU_1293_Lincoln_2021_2024,58,"All voluntary overtime shall be paid at the rate of one and one-half (1 ½) times the straight time rate of pay regardless of Section 1, unless the affected employee is serving a suspension within the pay week.",HARD,deontic:obligation|exception,3,Yes,HARD,"employee, employer",overtime_rate=1.5,unless the affected employee is serving a suspension within the pay week,"auto-openai:The sentence establishes a mandatory payment rate for voluntary overtime, with a specific exception for employees under suspension."
ATU_1293_0418,ATU_1293_Lincoln_2021_2024,58,"All maintenance employees who are required by the City to work on their regularly assigned day off shall be paid for all work performed on that day at one and one-half (1 ½) times their regular straight time hourly rate of pay unless in conflict with Section 1, in which case Section 1 will prevail.",HARD,deontic:obligation|exception,3,Yes,HARD,"maintenance employees, City",empty string,in conflict with Section 1,"auto-openai:The sentence establishes a mandatory payment rate for maintenance employees working on their day off, indicating a hard constraint."
ATU_1293_0414,ATU_1293_Lincoln_2021_2024,57,"Training activities shall be assigned to the most senior Journey Mechanics on a rotational basis, unless the most senior trainer requests in writing not to do such training provided, however, when newly-promoted or hired maintenance staff are trained, the most senior maintenance employee in the classification of the newly-promoted or hired staff person being trained shall be assigned on a rotational basis unless the most senior trainer requests in writing not to do such training.",HARD,deontic:obligation|exception,3,Yes,HARD,"union, maintenance staff, Journey Mechanics, trainer",,unless the most senior trainer requests in writing not to do such training,auto-openai:The sentence establishes a mandatory process for assigning training activities with specific conditions for exceptions.
ATU_1293_0082,ATU_1293_Lincoln_2021_2024,17,"It is also understood and agreed that it is the intent of the parties to this Agreement that a written grievance taken to arbitration shall not be valid if such written grievance challenges action taken by the City in the exercise of inherent management rights, except where such written grievance is based upon a clear, express limitation thereon.",HARD,deontic:prohibition|deontic:obligation|exception,3,Yes,HARD,"City, union",,"where such written grievance is based upon a clear, express limitation thereon","auto-openai:The sentence establishes a mandatory condition regarding the validity of grievances taken to arbitration, specifically excluding those that challenge inherent management rights unless they meet a specified exception."
ATU_1293_0089,ATU_1293_Lincoln_2021_2024,17,"The arbitrator chosen shall promptly schedule a hearing on the merits of the grievance at issue, unless the parties agree to ATU 8/19/2021 – 8/31/2024 16",HARD,deontic:obligation|exception,3,Yes,HARD,"arbitrator, parties, grievance",,unless the parties agree,"auto-openai:The sentence mandates that the arbitrator must schedule a hearing unless the parties reach an agreement, indicating a legally binding requirement with a conditional clause."
ATU_1293_0094,ATU_1293_Lincoln_2021_2024,18,"The decision of the arbitrator shall be final and binding upon the parties to this Agreement, provided that the arbitrator shall make no award outside the scope of his authority outlined in Section 6 of this Article, or effecting a change, modification, or addition to this Agreement, and shall confine himself strictly to the facts submitted at the hearing, the evidence and stipulations before him, and the express terms and provisions of this Agreement.",HARD,deontic:obligation|exception,3,Yes,HARD,"arbitrator, parties, Agreement",,provided that the arbitrator shall make no award outside the scope of his authority outlined in Section 6 of this Article,"auto-openai:The sentence establishes a binding decision from the arbitrator with strict limitations on their authority, indicating a legally mandatory constraint."
