sentence_id,source_doc,page_num,raw_text,predicted_type,signals,confidence_score,is_constraint,constraint_type,entities,threshold,exception,notes
UNITE_HE_0182,UNITE_HERE_Local17_Ramada_Plaza,18,"During a leave of absence, the employee shall not engage in gainful employment unless the leave is the result of the employee being hired for a position of full-time service with the Union.",HARD,deontic:prohibition|deontic:obligation|exception,3,Yes,HARD,"employee, union",,unless the leave is the result of the employee being hired for a position of full-time service with the Union,"auto-openai:The sentence imposes a mandatory restriction on the employee's ability to engage in gainful employment during a leave of absence, with a specific exception provided."
UNITE_HE_0037,UNITE_HERE_Local17_Ramada_Plaza,8,"In the event any violation of the previous paragraph occurs which is unauthorized by the Union, the Employer agrees that there shall be no liability on the part of the International or Local Union or any of their officers or agents, provided that in the event of such unauthorized action the Union first meets the following conditions:",HARD,deontic:obligation|exception,3,Yes,SOFT,"Employer, International Union, Local Union",,provided that in the event of such unauthorized action the Union first meets the following conditions,"auto-openai:The sentence outlines conditions under which the Employer will not hold liability, indicating a discretionary nature based on the Union meeting certain conditions."
UNITE_HE_0078,UNITE_HERE_Local17_Ramada_Plaza,11,Such schedules may be changed in cases of emergencies or business needs.,SOFT,deontic:permission|exception,3,Yes,SOFT,"operator, authority",,in cases of emergencies or business needs,"auto-openai:The sentence indicates that schedule changes are allowed under certain conditions, making it a discretionary constraint."
UNITE_HE_0202,UNITE_HERE_Local17_Ramada_Plaza,19,"Provided, however, such jury duty pay shall be subject to the following conditions:",HARD,deontic:obligation|exception,3,Yes,SOFT,union,,subject to the following conditions,"auto-openai:The sentence indicates that jury duty pay is conditional, suggesting discretion in its application."
UNITE_HE_0243,UNITE_HERE_Local17_Ramada_Plaza,24,"Once a request has been approved by the Employer, the vacation dates shall not be changed unless by mutual consent of the Employer and the Employee. 15.5 Terminated Employees.",HARD,deontic:prohibition|deontic:obligation|exception,3,Yes,HARD,"Employer, Employee",,unless by mutual consent of the Employer and the Employee,"auto-openai:The sentence establishes a mandatory rule regarding the change of vacation dates, indicating that once approved, changes can only occur with mutual consent, which qualifies it as a hard constraint."
UNITE_HE_0153,UNITE_HERE_Local17_Ramada_Plaza,16,"The Arbitrator shall render no award which shall be retroactive beyond the date the grievance was originally filed with the Employer (except in cases of improper wage rate), or impose any liability not explicitly expressed herein.",HARD,deontic:obligation|exception,3,Yes,HARD,"Arbitrator, Employer",,except in cases of improper wage rate,"auto-openai:The sentence imposes a strict limitation on the Arbitrator's authority, making it a legally mandatory constraint."
UNITE_HE_0119,UNITE_HERE_Local17_Ramada_Plaza,14,"Employees may exercise their seniority to not work a named holiday as listed in Article 13 if business permits, with the junior employee(s) in the classification being required to work as needed, subject to adequate staffing based on employee qualifications and abilities.",SOFT,deontic:permission|exception,3,Yes,SOFT,"employees, junior employees, employer",,"if business permits, subject to adequate staffing based on employee qualifications and abilities","auto-openai:The sentence indicates that employees may choose not to work on a holiday, which is discretionary and dependent on business needs and staffing qualifications."
UNITE_HE_0210,UNITE_HERE_Local17_Ramada_Plaza,20,"An employee returning from a leave shall be entitled to return to his or her previously held job classification and schedule (hours, days and room), subject to the following conditions:",HARD,deontic:obligation|exception,3,Yes,HARD,"employee, job classification, schedule",,subject to the following conditions,"auto-openai:The sentence establishes a mandatory right for an employee returning from leave to return to their previous job classification and schedule, indicating a hard constraint with specific conditions that must be met."
UNITE_HE_0036,UNITE_HERE_Local17_Ramada_Plaza,8,"Participation by any employee in any such practices prohibited by this Section shall be considered just and reasonable cause for discharge or other disciplinary action by the Employer, and subject to the Grievance and Arbitration Procedure in Article 10. 5.2 Unauthorized Action.",HARD,deontic:obligation|exception,3,Yes,HARD,"employee, employer",,subject to the Grievance and Arbitration Procedure in Article 10,"auto-openai:The sentence establishes a mandatory consequence for employee participation in prohibited practices, indicating a clear rule with no discretion allowed."
UNITE_HE_0070,UNITE_HERE_Local17_Ramada_Plaza,11,"Employees shall not be required to work overtime or premium time unless, in the Employer’s opinion it is a business necessity, in which case such overtime shall be offered pursuant to Section 9.6. 8.5 Overtime Pay.",HARD,deontic:prohibition|deontic:obligation|exception,3,Yes,HARD,"employees, employer",,"unless, in the Employer’s opinion it is a business necessity","auto-openai:The sentence imposes a mandatory requirement that employees shall not work overtime unless a specific condition is met, indicating a hard constraint."
