sentence_id,source_doc,page_num,raw_text,predicted_type,signals,confidence_score,is_constraint,constraint_type,entities,threshold,exception,notes
ATU_1555_1852,ATU_1555_BART_2021_2024,313,"If requested by the Union, the District shall administer the distribution of checks, subject to: 60 days notice with instructions for employees' checks; 60 days notice with instructions for non-employee checks, and given to Union for distribution;",HARD,deontic:obligation|threshold|exception,4,,,,,,
ATU_1555_0807,ATU_1555_BART_2021_2024,115,Foreworkers on duty at 0001 hours of such Monday shall complete their shifts unless other mutually agreed upon arrangements have been made in advance between the District and the Union.,HARD,deontic:obligation|threshold|exception,4,,,,,,
ATU_1555_0513,ATU_1555_BART_2021_2024,81,Station Agents on duty at 0001 hours of such Monday shall complete their shifts unless other mutually agreed upon arrangements have been made in advance between the District and the Union.,HARD,deontic:obligation|threshold|exception,4,,,,,,
ATU_1555_0831,ATU_1555_BART_2021_2024,119,Central employees on duty at 0001 hours of the effective day of the bid shall complete their work assignment/shifts unless other mutually agreed upon arrangements have been made forty eight (48) hours prior to the new bid assignment.,HARD,deontic:obligation|threshold|exception,4,,,,,,
ATU_1555_1864,ATU_1555_BART_2021_2024,333,"ATU 2021 – 2024 317 months following its achievement of a successful ""go-live date,"" shall retain their positions as Transportation Administration Specialists through at least December 31, 2008, unless terminated for just cause as defined in the Labor Agreement.",HARD,deontic:obligation|threshold|exception,4,,,,,,
ATU_1555_0720,ATU_1555_BART_2021_2024,103,Transportation Administration Specialists on duty at 0001 hours of such Monday shall complete their shifts unless other mutually agreed upon arrangements have been made in advance between the District and the Union.,HARD,deontic:obligation|threshold|exception,4,,,,,,
ATU_1555_1221,ATU_1555_BART_2021_2024,162,"S39.0 DISCIPLINE AND DISCIPLINARY HEARING PROCEDURES * S39.1 DISCIPLINE PROCEDURES * No employee shall be disciplined, suspended, or discharged except for just and sufficient cause.",HARD,deontic:obligation|deontic:prohibition|exception,3,,,,,,
ATU_1555_1023,ATU_1555_BART_2021_2024,139,"If no proxy is left, it shall be assumed that said employee does not wish to work the holiday unless inversely assigned.",HARD,deontic:obligation|exception,3,,,,,,
ATU_1555_1397,ATU_1555_BART_2021_2024,180,No other premium pay shall be paid Part-Time Train Operators or Station Agents for any other hours worked on a holiday unless otherwise required by law.,HARD,deontic:obligation|exception,3,,,,,,
ATU_1555_0505,ATU_1555_BART_2021_2024,80,Monday at 0001 hours following the Line Sign-up shall be the day upon which shifts and extra board choices involved in a Line Sign-up become effective.,HARD,deontic:obligation|threshold,3,,,,,,
ATU_1555_1390,ATU_1555_BART_2021_2024,180,"164 ATU 2021 – 2024 Any part-time employee who fails to return to work upon conclusion of the agreed-upon leave of absence shall be considered to have voluntarily terminated his/her employment with the District, subject to the terms of Section S39.7 of the agreement for non-probationary employees. * Minute Clarification The parties agree that requests for leaves of ten (10) days or less shall be submitted to the part-time employee's immediate supervisor.",HARD,deontic:obligation|exception,3,,,,,,
ATU_1555_1591,ATU_1555_BART_2021_2024,239,"No record of the hearing shall be kept except: 1) the notation of the decision of by the Committee which shall be made at the conclusion of the hearing, and 2) the recorded decision of the neutral arbitrator on the hearing officer's written decision.",HARD,deontic:obligation|exception,3,,,,,,
ATU_1555_1386,ATU_1555_BART_2021_2024,179,"Except for reductions due to attrition, the District shall not reduce the current Foreworkers who are employed as of July 1, 1985 as a result of the implementation of the Part-Time Station Agent and Train Operator Program. * Minute Clarification See Stipulated Decision of Barbara Chvany, Med-Arbiter, and Memorandum of Understanding October 22, 2003 incorporated herein by reference.",HARD,deontic:prohibition|deontic:obligation|exception,3,,,,,,
ATU_1555_0225,ATU_1555_BART_2021_2024,45,"Eligibility of existing and new hire employees to participate in the voluntary and/or additional life insurance program(s) during the initial or annual application period(s) shall be subject to timely application and medical certification of insurability. * Minute Clarification The language changes or deletions reflected in this Section from that in the 1985-88 Agreement, are for administrative purposes only and do not represent a change in life insurance benefit.",HARD,deontic:obligation|exception,3,,,,,,
ATU_1555_0512,ATU_1555_BART_2021_2024,81,The second Monday at 0001 hours of the month following the System Sign-up shall be the day upon which shifts involved in the Sign-up become effective.,HARD,deontic:obligation|threshold,3,,,,,,
ATU_1555_1034,ATU_1555_BART_2021_2024,141,"(8) hours on a holiday, except in the case of an emergency, shall be on a voluntary basis and shall be rotated equally among those employees who normally perform said functions during the regular schedule.",HARD,deontic:obligation|exception,3,,,,,,
ATU_1555_0216,ATU_1555_BART_2021_2024,44,"Premiums for this benefit will be paid through payroll deduction. 5.4 VISION CARE * The District will continue to provide a Vision Care Plan for employees, an employee’s eligible domestic partner (per Board Resolutions 4455 and 4757) and their eligible dependents providing the following: Coverage Intervals Visual Examinations 12 months Lens Replacement 12 months Frames Replacement 24 months There shall be a ten dollar ($10) deductible.",HARD,deontic:obligation|threshold,3,,,,,,
ATU_1555_0497,ATU_1555_BART_2021_2024,80,Bidding shall be scheduled between 0800 hours and 1600 hours each day.,HARD,deontic:obligation|threshold,3,,,,,,
ATU_1555_1403,ATU_1555_BART_2021_2024,181,The District restated its position that Station Agents will not be permitted to transfer to Train Operator positions unless they are selected for such positions through the District's normal hiring procedure and successfully complete Train Operator training and probation.,HARD,deontic:prohibition|exception,3,,,,,,
ATU_1555_1833,ATU_1555_BART_2021_2024,311,"Normally within 30 days, but no later than 60 days, the Med-Arbiter shall attempt to resolve the matter informally, through mediation with the Implementation Committee, either by telephone conference or in person.",HARD,deontic:obligation|threshold,3,,,,,,
ATU_1555_0248,ATU_1555_BART_2021_2024,50,"Eligibility of employees to purchase additional Short-Term and/or Long-Term Disability coverage shall be subject to medical certification of insurability. 5.10 EMPLOYEE ASSISTANCE PROGRAM The parties agree that the District will continue a referral program for the purpose of assisting in a confidential manner employees and their families with marital, psychological, alcohol, drug, child, elder and other dependent care needs, domestic violence, financial, legal and other problems to obtain counseling and other services.",HARD,deontic:obligation|exception,3,,,,,,
ATU_1555_1404,ATU_1555_BART_2021_2024,181,"Workforce Reductions Except for reductions due to attrition, the District shall not reduce current Full-Time Station Agents and Train Operators who are employed as of July 1, 1985 as a result of the implementation of the Part-Time Station Agent and Train Operator Program.",HARD,deontic:prohibition|deontic:obligation|exception,3,,,,,,
ATU_1555_1405,ATU_1555_BART_2021_2024,181,"Except for reductions due to attrition, the District shall not reduce the full-time workforce of Station Agents and/or Train Operators as long as Part-Time Station Agents and/or Train Operators are employed.",HARD,deontic:prohibition|deontic:obligation|exception,3,,,,,,
ATU_1555_1408,ATU_1555_BART_2021_2024,181,Recall shall be subject to the provisions of Section S30.0 Furlough.,HARD,deontic:obligation|exception,3,,,,,,
ATU_1555_1578,ATU_1555_BART_2021_2024,238,Union Committee Members' and Advocate's work assignments for the day of the 2-2-1 hearing shall be from 0900 to 1700 hours.,HARD,deontic:obligation|threshold,3,,,,,,
ATU_1555_1576,ATU_1555_BART_2021_2024,238,"No employee shall lose pay as a result of participation on a 2-2-1 Committee as a member, advocate or witness unless they fail to comply with these procedures or as a result of the Committee's ruling. 10.",HARD,deontic:obligation|deontic:prohibition|exception,3,,,,,,
ATU_1555_1575,ATU_1555_BART_2021_2024,238,No participant on the Committee shall have been directly involved in the presentation or advocacy of or subject to an award from a case heard by the Committee. 9.,HARD,deontic:obligation|exception,3,,,,,,
ATU_1555_2073,ATU_1555_BART_2021_2024,370,This Section 11C shall define the status quo for negotiation purposes during and after the current 2005-2009 Labor Agreement unless changed by the successor Labor Agreement. 12.,HARD,deontic:obligation|exception,3,,,,,,
ATU_1555_0261,ATU_1555_BART_2021_2024,52,"It is understood that under PEPRA, bargaining unit employees subject to PEPRA may be required to contribute over eight percent (8%) of pay to pension in certain years.",SOFT,deontic:permission|exception,3,,,,,,
ATU_1555_0994,ATU_1555_BART_2021_2024,136,"S27.2 EMPLOYEE'S BIRTHDAY Except as provided below, no employee shall work on his/her birthday holiday and birthday holidays shall be observed only on the employee's birthday.",HARD,deontic:obligation|deontic:prohibition|exception,3,,,,,,
ATU_1555_0993,ATU_1555_BART_2021_2024,136,"An employee may elect to have the post-tax cash equivalent value of unused floating holidays deposited in his or her MPPP account, subject to applicable legal limitations and the terms of the MPPP Plan.",SOFT,deontic:permission|exception,3,,,,,,
