sentence_id,source_doc,page_num,raw_text,predicted_type,signals,confidence_score,is_constraint,constraint_type,entities,threshold,exception,notes
SEIU_HCP_0189,SEIU_HCPA_Pennsylvania_2023_2027,26,Unused annual leave shall be carried over from one calendar year to the next provided that in no case shall the amount thus carried over exceed 45 days (337.5 or 360 hours).,HARD,deontic:obligation|threshold|exception,4,,,,,,
SEIU_HCP_0478,SEIU_HCPA_Pennsylvania_2023_2027,68,"(3) Other retirement with at least 25 years of eligibility points, except that an employee who leaves State employment, is subsequently rehired and retires must have at least 25 years of eligibility points with at least three years of eligibility points from the most recent date of reemployment.",HARD,deontic:obligation|threshold|exception,4,,,,,,
SEIU_HCP_0941,SEIU_HCPA_Pennsylvania_2023_2027,161,"Management will determine the number of employees scheduled to work each day, and the number of employees off on a given non-scheduled workday is subject to management's approval.10 SCHEDULE SELECTION Schedules will be developed and selected no later than 30 days prior to the beginning of each AWS scheduling period, which shall be ___ months in length.11 At the same time as employees select their AWS shift, they shall also request approval for a reversion schedule from among those schedules listed in the above provisions regarding staggered work hour schedules.",HARD,deontic:obligation|threshold|exception,4,,,,,,
SEIU_HCP_0919,SEIU_HCPA_Pennsylvania_2023_2027,155,"If an employee/supervisor is unable to participate in the scheduled training, the Institution/Boot Camp Coordinator should be notified and the Coordinator should make alternate arrangements through the employee to receive the training as soon as possible. 3) No supervisor should be involved in a reasonable suspicion determination unless the supervisor has received the required training. 4) Once the initial training is provided, new supervisors/managers of employees are to be provided the required training from the Contractor or Agency Human Resource Office within 60 days of becoming a supervisor/manager of these employees.",SOFT,deontic:preference|threshold|exception,4,,,,,,
SEIU_HCP_0890,SEIU_HCPA_Pennsylvania_2023_2027,145,Consequences to employees who test 0.02% or greater but less than 0.04% for alcohol (CDL only) 1) Employees will not be permitted to perform work for at least 24 hours. 2) Employees shall be advised of the availability of the State Employees Assistance Program. 3) The employee shall be subject to unannounced follow-up alcohol testing.,HARD,deontic:obligation|deontic:prohibition|threshold|exception,4,,,,,,
SEIU_HCP_0916,SEIU_HCPA_Pennsylvania_2023_2027,153,The employee shall be subject to a minimum of six unannounced follow-up controlled substance and/or alcohol tests as directed by the substance abuse professional during the 12 month period following the employees return to duty. 153,HARD,deontic:obligation|threshold|exception,4,,,,,,
SEIU_HCP_0155,SEIU_HCPA_Pennsylvania_2023_2027,22,"If the requested leave is in excess of one month, the request shall be answered within 10 days, unless otherwise specified by this Agreement.",HARD,deontic:obligation|threshold|exception,4,,,,,,
SEIU_HCP_0385,SEIU_HCPA_Pennsylvania_2023_2027,54,"If a written request is received prior to or within 45 days after the date on which the overtime is worked, the compensatory time off shall, subject to management's responsibility to maintain efficient operations, be scheduled and granted as requested by the employee.",HARD,deontic:obligation|threshold|exception,4,,,,,,
SEIU_HCP_0110,SEIU_HCPA_Pennsylvania_2023_2027,17,"When an employee's work shift overlaps the calendar day, the first shift of the employee in which 50% or more of the time occurs on the applicable holiday shall be considered in the holiday period and the holiday period shall end 24 hours after the commencement of that shift. 7.11 Section 11.",HARD,deontic:obligation|threshold,3,,,,,,
SEIU_HCP_0354,SEIU_HCPA_Pennsylvania_2023_2027,50,"An employee in an inactive pay status on July 1, upon return to active pay status, shall be entitled to the certification payment(s), subject to the same entitlement criteria. 50",HARD,deontic:obligation|exception,3,,,,,,
