sentence_id,source_doc,page_num,raw_text,predicted_type,signals,confidence_score,is_constraint,constraint_type,entities,threshold,exception,notes
BTU_BOST_1175,BTU_Boston_2021_2024,136,"Effective September 1, 2019, up to forty (40) days of accumulated sick leave in each school year may be used for adopting a child, except that if the child is under 24 months of age the adoptive parent(s) may use up to sixty (60) days.",SOFT,deontic:permission|threshold|exception,4,Yes,SOFT,"union, adoptive parent","max_sick_leave=40, max_sick_leave_under_24_months=60",if the child is under 24 months of age,"auto-openai:The sentence outlines a discretionary use of sick leave for adoption, indicating a soft constraint with specific thresholds and an exception."
BTU_BOST_0131,BTU_Boston_2021_2024,34,"Any dispute arising out of the provisions of this paragraph shall be referred to the Steering Committee for resolution and shall not be arbitrable, provided that the Steering Committee reaches a decision on the matter within 30 days.",HARD,deontic:prohibition|deontic:obligation|threshold|exception,4,Yes,HARD,Steering Committee,30,,"auto-openai:The sentence establishes a mandatory process for dispute resolution that must be followed, indicating a hard constraint."
BTU_BOST_0560,BTU_Boston_2021_2024,76,"Any current Schedule “A” school that becomes designated a Turnaround School hereafter shall remain subject to the additional 190 hours stated therein, except that the first 120 hours added to the teacher day by reason of this agreement (40 minutes/day x 180 days) shall count towards satisfaction of the 190 additional hours called for in the Joint Resolution Committee (“JRC”) award and shall be compensated at the rate specified in this agreement.",HARD,deontic:obligation|threshold|exception,4,Yes,HARD,"operator, authority, union","additional_hours=190, first_120_hours=120",,"auto-openai:The sentence imposes a mandatory requirement for additional hours and specifies how they are to be counted and compensated, indicating a legally binding obligation."
BTU_BOST_0924,BTU_Boston_2021_2024,109,"The continuation of the Peer Assistance and Review (PAR) sections of this agreement that involve evaluation shall be subject to the assent of both Parties, and either party may end those programs at the end of any school year with written notice to the other party.",HARD,deontic:obligation|deontic:permission|exception,3,Yes,SOFT,Parties,,either party may end those programs at the end of any school year with written notice to the other party,"auto-openai:The sentence indicates that the continuation of the programs is subject to the assent of both parties, making it a discretionary agreement rather than a mandatory one."
BTU_BOST_0397,BTU_Boston_2021_2024,62,"Hub Community School Coordinators The Hub Community Schools Coordinators shall be paid in accordance with the following three Steps: Salary Effective September 1, 2021 – August 31, 2022 Hub Coordinators SA14 Grade 1 Step 1 Step 2 Step 3 79,320 82,749 86,332 Effective September 1, 2022 – August 31, 2023 Hub Coordinators SA14 Grade 1 Step 1 Step 2 Step 3 82,096 85,645 89,354 Effective September 1, 2023 – August 31, 2024 Hub Coordinators SA14 Grade 1 Step 1 Step 2 Step 3 84,559 88,215 92,034 The Coordinators will work 8 hours each school day and their work year will be 223 days.",HARD,deontic:obligation|threshold,3,Yes,HARD,"Hub Community Schools, Coordinators","work_year=223_days, work_hours=8_hours",,"auto-openai:The sentence specifies mandatory salary steps and work hours for Hub Community School Coordinators, indicating a legally binding obligation."
BTU_BOST_0591,BTU_Boston_2021_2024,79,Improvement Plan shall mean a plan developed by the Evaluator of at least 30 calendar days and no more than one school year for Educators with PTS who are rated unsatisfactory with goals specific to improving the Educator’s unsatisfactory performance.,HARD,deontic:obligation|threshold,3,Yes,HARD,"Evaluator, Educator, PTS","max_duration=one school year, min_duration=30 calendar days",,"auto-openai:The sentence establishes a mandatory definition for the Improvement Plan with specific timeframes, indicating a legally binding requirement."
BTU_BOST_0398,BTU_Boston_2021_2024,62,"The work year shall include the 180 days that students are in school (the “school year”), and 43 days outside of the school year.",HARD,deontic:obligation|threshold,3,Yes,HARD,"operator, union",work_year=223_days,,"auto-openai:The sentence specifies a mandatory work year duration that must be adhered to, indicating a hard constraint."
BTU_BOST_1161,BTU_Boston_2021_2024,135,Compensation Obligations The Committee shall not be obligated to compensate bargaining unit members for services delivered unless the Committee authorizes such activities.,HARD,deontic:prohibition|deontic:obligation|exception,3,Yes,HARD,"Committee, bargaining unit members",,unless the Committee authorizes such activities,"auto-openai:The sentence establishes a mandatory condition for compensation, indicating that the Committee is not obligated to compensate unless authorization is given, which qualifies it as a hard constraint."
BTU_BOST_0399,BTU_Boston_2021_2024,62,The additional 43 days shall be scheduled collaboratively between the Coordinator and their supervisor.,HARD,deontic:obligation|threshold,3,Yes,SOFT,"Coordinator, supervisor",,,auto-openai:The use of 'shall be scheduled collaboratively' indicates a discretionary process rather than a mandatory requirement.
BTU_BOST_1258,BTU_Boston_2021_2024,144,"Staff covered by this Agreement shall not suffer a loss of pay for time spent in conferring and meeting on a grievance; provided, however, that conferences and meetings will not normally take place during periods when the individuals involved have classroom duties, except as otherwise provided herein.",HARD,deontic:prohibition|deontic:obligation|exception,3,Yes,HARD,"staff, union",,except as otherwise provided herein,"auto-openai:The sentence establishes a mandatory condition regarding pay for grievance meetings, indicating that staff shall not lose pay, which qualifies as a hard constraint."
