sentence_id,source_doc,page_num,raw_text,predicted_type,signals,confidence_score,is_constraint,constraint_type,entities,threshold,exception,notes
SEIU_775_0205,SEIU_775_Millennia_2023,29,"The pay schedule shall be as outlined below, unless such pay schedule is altered by agreement between the Parties.",HARD,deontic:obligation|exception,3,,,,,,
SEIU_775_0050,SEIU_775_Millennia_2023,13,"SECTION 3.7: EMPLOYEE COMMUNICATIONS In order to facilitate communication relating to this agreement, the ongoing work of the Labor Management Committee, and any other Union business of a general nature, each Employer shall insert material provided by the Union in or with the pay envelopes of employees covered under this agreement, provided that: a) The implementation of an all-electronic payroll system does not make this provision obsolete. b) All literature submitted for insertion in, or with pay envelopes should be clearly identified as Union produced material and shall have information on how to contact the SEIU 775/Millennia Healthcare 2021-2023 Page | 12",HARD,deontic:obligation|deontic:preference|exception,3,,,,,,
SEIU_775_0372,SEIU_775_Millennia_2023,43,The Employer shall notify the Union thirty (30) days before a change in policy that is subject to mandatory bargaining.,HARD,deontic:obligation|exception,3,,,,,,
SEIU_775_0369,SEIU_775_Millennia_2023,43,"Subject to the other provisions of the agreement, all conditions relating to wages, hours of work, and other terms, conditions and benefits of employment shall be maintained as in effect at the signing of this Agreement.",HARD,deontic:obligation|exception,3,,,,,,
SEIU_775_0368,SEIU_775_Millennia_2023,43,"ARTICLE 28: MODIFICATION AND PAST PRACTICE No provision or term of this Agreement may be amended, modified, changed, altered or waived except by written agreement between the parties hereto.",SOFT,deontic:permission|exception,3,,,,,,
SEIU_775_0366,SEIU_775_Millennia_2023,43,"In the event of Employer alleges that any member(s) of the bargaining unit are engaged in a strike, such Employer shall immediately notify the President or Secretary-Treasurer of the Union.",HARD,deontic:obligation|exception,3,,,,,,
SEIU_775_0363,SEIU_775_Millennia_2023,43,"The foregoing statements of the inherent managerial rights of the Employer or not all inclusive and shall not be construed in any way to exclude other functions not specifically enumerated, except when such rights are specifically abridged or modified by this Agreement.",HARD,deontic:prohibition|deontic:obligation|exception,3,,,,,,
SEIU_775_0044,SEIU_775_Millennia_2023,13,"If the employee is not present, the employee should provide written authorization to enable the worker representative to examine the file in the absence of the employee, unless a staff Union member has requested information on behalf of a member pertaining to an investigation or a grievance.",SOFT,deontic:preference|exception,3,,,,,,
SEIU_775_0356,SEIU_775_Millennia_2023,42,SECTION 25.2: RECALL Employees shall be recalled in the reverse order of the layoff (most senior being recalled first) provided that those recalled are qualified to perform the work assigned.,HARD,deontic:obligation|exception,3,,,,,,
SEIU_775_0355,SEIU_775_Millennia_2023,42,An employee subject to layoff or reassignment may decline the new assignment(s) if the employee feels unqualified to provide the care required.,SOFT,deontic:permission|exception,3,,,,,,
