sentence_id,source_doc,page_num,raw_text,predicted_type,signals,confidence_score,is_constraint,constraint_type,entities,threshold,exception,notes
ATU_1555_1852,ATU_1555_BART_2021_2024,313,"If requested by the Union, the District shall administer the distribution of checks, subject to: 60 days notice with instructions for employees' checks; 60 days notice with instructions for non-employee checks, and given to Union for distribution;",HARD,deontic:obligation|threshold|exception,4,Yes,HARD,"District, Union",notice_period=60days,,"auto-openai:The sentence imposes a mandatory requirement on the District to administer the distribution of checks upon request from the Union, with specific notice periods, indicating a legally binding obligation."
ATU_1555_0807,ATU_1555_BART_2021_2024,115,Foreworkers on duty at 0001 hours of such Monday shall complete their shifts unless other mutually agreed upon arrangements have been made in advance between the District and the Union.,HARD,deontic:obligation|threshold|exception,4,Yes,HARD,"foreworkers, District, Union",,unless other mutually agreed upon arrangements have been made in advance,"auto-openai:The sentence imposes a mandatory requirement for foreworkers to complete their shifts unless a specific exception is met, indicating a hard constraint."
ATU_1555_0513,ATU_1555_BART_2021_2024,81,Station Agents on duty at 0001 hours of such Monday shall complete their shifts unless other mutually agreed upon arrangements have been made in advance between the District and the Union.,HARD,deontic:obligation|threshold|exception,4,Yes,HARD,"Station Agents, District, Union",,unless other mutually agreed upon arrangements have been made in advance,"auto-openai:The sentence imposes a mandatory requirement for Station Agents to complete their shifts unless a specific exception is met, indicating a hard constraint."
ATU_1555_0831,ATU_1555_BART_2021_2024,119,Central employees on duty at 0001 hours of the effective day of the bid shall complete their work assignment/shifts unless other mutually agreed upon arrangements have been made forty eight (48) hours prior to the new bid assignment.,HARD,deontic:obligation|threshold|exception,4,Yes,HARD,central employees,,unless other mutually agreed upon arrangements have been made forty eight (48) hours prior to the new bid assignment,"auto-openai:The sentence imposes a mandatory requirement for central employees to complete their shifts unless specific arrangements are made, indicating a hard constraint."
ATU_1555_1864,ATU_1555_BART_2021_2024,333,"ATU 2021 – 2024 317 months following its achievement of a successful ""go-live date,"" shall retain their positions as Transportation Administration Specialists through at least December 31, 2008, unless terminated for just cause as defined in the Labor Agreement.",HARD,deontic:obligation|threshold|exception,4,Yes,HARD,"Transportation Administration Specialists, ATU",,unless terminated for just cause as defined in the Labor Agreement,"auto-openai:The sentence establishes a mandatory retention of positions for a specified period, with a clear exception for termination under defined circumstances."
ATU_1555_0720,ATU_1555_BART_2021_2024,103,Transportation Administration Specialists on duty at 0001 hours of such Monday shall complete their shifts unless other mutually agreed upon arrangements have been made in advance between the District and the Union.,HARD,deontic:obligation|threshold|exception,4,Yes,HARD,"Transportation Administration Specialists, District, Union",,unless other mutually agreed upon arrangements have been made in advance,"auto-openai:The sentence imposes a mandatory requirement for Transportation Administration Specialists to complete their shifts unless specific prior arrangements are made, indicating a hard constraint."
ATU_1555_1221,ATU_1555_BART_2021_2024,162,"S39.0 DISCIPLINE AND DISCIPLINARY HEARING PROCEDURES * S39.1 DISCIPLINE PROCEDURES * No employee shall be disciplined, suspended, or discharged except for just and sufficient cause.",HARD,deontic:obligation|deontic:prohibition|exception,3,Yes,HARD,"employee, employer",,,"auto-openai:The sentence establishes a mandatory requirement that discipline can only occur for just and sufficient cause, indicating no discretion is allowed."
ATU_1555_1023,ATU_1555_BART_2021_2024,139,"If no proxy is left, it shall be assumed that said employee does not wish to work the holiday unless inversely assigned.",HARD,deontic:obligation|exception,3,Yes,HARD,employee,,unless inversely assigned,"auto-openai:The sentence establishes a mandatory assumption about the employee's willingness to work, indicating a hard constraint."
ATU_1555_1397,ATU_1555_BART_2021_2024,180,No other premium pay shall be paid Part-Time Train Operators or Station Agents for any other hours worked on a holiday unless otherwise required by law.,HARD,deontic:obligation|exception,3,Yes,HARD,"Part-Time Train Operators, Station Agents, law",,unless otherwise required by law,"auto-openai:The sentence imposes a mandatory restriction on premium pay for specific roles, with an exception for legal requirements."
ATU_1555_0505,ATU_1555_BART_2021_2024,80,Monday at 0001 hours following the Line Sign-up shall be the day upon which shifts and extra board choices involved in a Line Sign-up become effective.,HARD,deontic:obligation|threshold,3,Yes,HARD,"operator, union",,,"auto-openai:The sentence establishes a mandatory effective date for shifts and extra board choices, using 'shall', indicating no discretion is allowed."
