sentence_id,source_doc,page_num,raw_text,predicted_type,signals,confidence_score,is_constraint,constraint_type,entities,threshold,exception,notes
SEIU_503_0108,SEIU_503_PACS_2024_2025,20,Temporary employees are not subject to an introductory period and may be terminated by the Employer at any time without recourse to this Agreement's Grievance and Arbitration provisions. 9.2 Retainment of New Hires.,SOFT,deontic:permission|exception,3,,,,,,
SEIU_503_0386,SEIU_503_PACS_2024_2025,57,"Meeting: The FLMC shall meet quarterly, or more frequently as desired by the Parties, on a date mutually agreed to by the Facility’s Administrator and the designated Union representative unless mutually agreed otherwise.",HARD,deontic:obligation|exception,3,,,,,,
SEIU_503_0342,SEIU_503_PACS_2024_2025,52,No Party’s allegation of Agreement breach or claim for relief shall be eligible for arbitration unless the Party initially presented it timely per the procedure identified in the preceding sections.,HARD,deontic:obligation|exception,3,,,,,,
SEIU_503_0060,SEIU_503_PACS_2024_2025,13,"Notwithstanding anything else in this Agreement to the contrary, the Union may use the Article 23 Grievance and Arbitration Process to address an allegation of the Employer failing to fully and timely remit Article 4 deductions to the Union. 4.8 Hold Harmless.",SOFT,deontic:permission|exception,3,,,,,,
SEIU_503_0314,SEIU_503_PACS_2024_2025,49,"The settlement of a grievance by either party shall not constitute a precedent, unless mutually agreed to in writing.",HARD,deontic:prohibition|deontic:obligation|exception,3,,,,,,
SEIU_503_0418,SEIU_503_PACS_2024_2025,62,Nothing in this provision shall require the successor employer to continue in effect the contractual vacation and sick leave provisions provided that the successor employer offers a comparable amount of time off as the total time off amounts for vacation and sick leave contained in this Agreement. d.,HARD,deontic:obligation|exception,3,,,,,,
SEIU_503_0312,SEIU_503_PACS_2024_2025,48,"To the extent possible in a timely manner, the Employer shall honor the employee’s choice of representative unless such representative is involved in the dispute. 48",HARD,deontic:obligation|exception,3,,,,,,
SEIU_503_0035,SEIU_503_PACS_2024_2025,9,"To the extent permitted by law, the Employer shall not require or demand proof of immigration status, except as required by 8 USC 1324a (1)(B) and listed on the back of the I-9 form or as otherwise required by law.",HARD,deontic:prohibition|deontic:obligation|exception,3,,,,,,
SEIU_503_0111,SEIU_503_PACS_2024_2025,21,"Except as contrary to the foregoing, an employee’s seniority shall be defined as the worker’s length of continuous service with the Employer in the bargaining unit and in the facility in which they work, including continuous service at any facility operated as an independent operating subsidiary of PACS Group, commencing with the date and hour on which the worker first began work in a bargaining unit position.",HARD,deontic:obligation|exception,3,,,,,,
SEIU_503_0145,SEIU_503_PACS_2024_2025,25,"The Employer may hire new employees on any step of the wage scale, based on verifiable work experience, as determined by the Employer, provided that no newly hired employee will be paid a higher wage than current employees who have the same years of experience in the job classification.",SOFT,deontic:permission|exception,3,,,,,,
