sentence_id,source_doc,page_num,raw_text,predicted_type,signals,confidence_score,is_constraint,constraint_type,entities,threshold,exception,notes
UAW_FORD_0389,UAW_Ford_Salaried_2023,183,"In order to minimize the impact of these changes to the workforce, the Company agrees that in the event it determines changes to the operating pattern, or employee start and quit times are required, it shall provide 2 weeks advance notification to the bargaining unit Chairperson unless conditions beyond Company’s control occur.",HARD,deontic:obligation|threshold|exception,4,,,,,,
UAW_FORD_0193,UAW_Ford_Salaried_2023,46,ARTICLE XI MISCELLANEOUS this Agreement shall continue in effect subject to the terms thereof for the duration of this Agreement.,HARD,deontic:obligation|exception,3,,,,,,
UAW_FORD_0157,UAW_Ford_Salaried_2023,38,"The Company may terminate or transfer any probationary employee at any time without restriction, except that there shall be no discrimination because of legitimate activity for or against, or membership or non-membership in, the Union.",HARD,deontic:obligation|deontic:permission|exception,3,,,,,,
UAW_FORD_0218,UAW_Ford_Salaried_2023,57,"Day March 29, 2024 Good Friday April 1, 2024 Day after Easter May 27, 2024 Memorial Day June 19, 2024 Juneteenth Day July 4, 2024 Independence Day September 2, 2024 Labor Day 2nd Year November 5, 2024 Federal Election Day November 11, 2024 Veterans Day November 28, 2024 Thanksgiving Day November 29, 2024 Day after Thanksgiving December 23, 2024 Christmas Holiday Period December 24, 2024 Christmas Holiday Period December 25, 2024 Christmas Holiday Period December 26, 2024 Christmas Holiday Period December 27, 2024 Christmas Holiday Period December 30, 2024 Christmas Holiday Period December 31, 2024 Christmas Holiday Period January 1, 2025 Christmas Holiday Period January 20, 2025 Martin Luther King, Jr.",SOFT,deontic:permission|threshold,3,,,,,,
UAW_FORD_0220,UAW_Ford_Salaried_2023,58,"APPENDIX C HOLIDAY SCHEDULE May 26, 2025 Memorial Day June 19, 2025 Juneteenth Day July 4, 2025 Independence Day September 1, 2025 Labor Day 3rd Year November 11, 2025 Veterans Day November 27, 2025 Thanksgiving Day November 28, 2025 Day after Thanksgiving December 24, 2025 Christmas Holiday Period December 25, 2025 Christmas Holiday Period December 26, 2025 Christmas Holiday Period December 29, 2025 Christmas Holiday Period December 30, 2025 Christmas Holiday Period December 31, 2025 Christmas Holiday Period January 1, 2026 Christmas Holiday Period January 2, 2026 Christmas Holiday Period January 19, 2026 Martin Luther King, Jr.",SOFT,deontic:permission|threshold,3,,,,,,
UAW_FORD_0221,UAW_Ford_Salaried_2023,58,"Day April 3, 2026 Good Friday April 6, 2026 Day after Easter May 25, 2026 Memorial Day June 19, 2026 Juneteenth Day July 3, 2026 Independence Day Observed September 7, 2026 Labor Day 4th Year November 3, 2026 Federal Election Day November 11, 2026 Veterans Day November 26, 2026 Thanksgiving Day November 27, 2026 Day after Thanksgiving December 24, 2026 Christmas Holiday Period December 25, 2026 Christmas Holiday Period December 28, 2026 Christmas Holiday Period December 29, 2026 Christmas Holiday Period December 30, 2026 Christmas Holiday Period December 31, 2026 Christmas Holiday Period 56",SOFT,deontic:permission|threshold,3,,,,,,
UAW_FORD_0222,UAW_Ford_Salaried_2023,59,"Day March 26, 2027 Good Friday March 29, 2027 Day after Easter May 31, 2027 Memorial Day June 18, 2027 Juneteenth Observed July 5, 2027 Independence Day Observed September 6, 2027 Labor Day 5th Year November 11, 2027 Veterans Day November 25, 2027 Thanksgiving Day November 26, 2027 Day after Thanksgiving December 24, 2027 Christmas Holiday Period December 27, 2027 Christmas Holiday Period December 28, 2027 Christmas Holiday Period December 29, 2027 Christmas Holiday Period December 30, 2027 Christmas Holiday Period December 31, 2027 Christmas Holiday Period January 17, 2028 Martin Luther King, Jr.",SOFT,deontic:permission|threshold,3,,,,,,
UAW_FORD_0225,UAW_Ford_Salaried_2023,64,"It is further understood that the full time Chairpersons for the Local 600 Nursing Units and Local 1970 Unit 1 shall be entitled to function as such on Company time for up to 10 hours daily, Monday through Sunday, as long as employees in their units are scheduled to work on the Chairperson's shift for such hours on such days.",HARD,deontic:obligation|threshold,3,,,,,,
UAW_FORD_0038,UAW_Ford_Salaried_2023,21,Represented employees may apply for non-represented positions subject to the job posting procedures and guidelines of their respective Company organization.,SOFT,deontic:permission|exception,3,,,,,,
UAW_FORD_0353,UAW_Ford_Salaried_2023,159,NURSING CONTINUING EDUCATION UNITS of requests for CEU training may be subject to the grievance procedure.,SOFT,deontic:permission|exception,3,,,,,,
UAW_FORD_0041,UAW_Ford_Salaried_2023,22,Any employee found guilty of violating this section may be subject to discharge.,SOFT,deontic:permission|exception,3,,,,,,
UAW_FORD_0299,UAW_Ford_Salaried_2023,120,"In accordance with the Company’s Vacation policy as of the date of this letter, employees subject to this agreement whose Benefit Service Date is on or after January 1, 2004, shall be encouraged to submit to their Human Resources representative and their supervisor, resumes or curriculum vitae describing their employment experience prior to working at the Company, for review for a possible grant of additional vacation eligibility (a “VED” date), as described in the Company’s vacation policy.",HARD,deontic:obligation|exception,3,,,,,,
UAW_FORD_0304,UAW_Ford_Salaried_2023,122,It is understood that no questions arising from extending this benefit shall be subject to the grievance procedure provided for in this agreement.,HARD,deontic:obligation|exception,3,,,,,,
UAW_FORD_0025,UAW_Ford_Salaried_2023,19,Responsibilities The Company shall have no responsibility for the collection of membership dues and initiation fees except for remitting sums actually deducted pursuant to this Article.,HARD,deontic:obligation|exception,3,,,,,,
