sentence_id,source_doc,page_num,raw_text,predicted_type,signals,confidence_score,is_constraint,constraint_type,entities,threshold,exception,notes
32BJ_NY__0124,32BJ_NY_RAB_2024_2027,33,"For the avoidance of any doubt, any disputes over the ratification bonus made to eligible employees, including any disputes over pay arising from or relating to such payments, shall be subject to the grievance and arbitration provisions of the collective bargaining agreement including, without limitation, any wage and hour claim. #z, How��� President, RAB AGREED: 33",HARD,deontic:obligation|exception,3,Yes,HARD,"union, employees",,,"auto-openai:The sentence establishes that disputes over the ratification bonus are subject to grievance and arbitration provisions, indicating a mandatory process without discretion."
32BJ_NY__0097,32BJ_NY_RAB_2024_2027,25,"For the avoidance of any doubt, any disputes over the lump-sum payments made to regularly assigned EAP Coordinators, Fire Safety Directors and Assistant and/or Deputy Fire Safety Directors, including any disputes over pay arising from or relating to such payments, shall be subject to the grievance and arbitration provisions of the collective bargaining agreement. 7­ ..4M.a President, RAB zkct: AGREED:� President, SEIU, Local 32BJ 25",HARD,deontic:obligation|exception,3,Yes,HARD,"EAP Coordinators, Fire Safety Directors, Assistant Fire Safety Directors, Deputy Fire Safety Directors, union",,,"auto-openai:The sentence establishes that disputes over specific payments must follow the grievance and arbitration provisions, indicating a mandatory requirement."
32BJ_NY__0085,32BJ_NY_RAB_2024_2027,15,"Without prejudice to either parties' position on the continued viability of any other side letter, this side letter shall continue in effect unless and until the parties agree otherwise or until the Reserved Question is decided by Arbitrator Golick. ~% President, RAB .lAGREED: President, SEIU, Local 3 2BJ 15",HARD,deontic:obligation|exception,3,Yes,SOFT,"parties, Arbitrator Golick",,unless and until the parties agree otherwise or until the Reserved Question is decided,"auto-openai:The sentence indicates that the side letter will continue in effect unless certain conditions are met, which reflects a discretionary nature."
32BJ_NY__0101,32BJ_NY_RAB_2024_2027,26,This side letter is entered into on a non-precedential basis and shall not be subject to the grievance and arbitration procedure of the relevant collective bargaining agreement. 92.. .4xi.,HARD,deontic:prohibition|deontic:obligation|exception,3,Yes,HARD,"union, authority",,,"auto-openai:The sentence establishes a binding condition that the side letter is non-precedential and explicitly states it shall not be subject to the grievance and arbitration procedure, indicating a hard constraint."
32BJ_NY__0083,32BJ_NY_RAB_2024_2027,14,"The arbitrator for such arbitration shall be Roberta Golick, unless she is unable or unwilling to serve, in which case the parties shall agree upon an arbitrator, and failing agreement shall submit the case to arbitration before the American Arbitration Association, in New York City.",HARD,deontic:obligation|exception,3,Yes,HARD,"arbitrator, parties, American Arbitration Association",,unless she is unable or unwilling to serve,"auto-openai:The sentence establishes a mandatory process for selecting an arbitrator, which is legally binding unless the specified exception occurs."
32BJ_NY__0105,32BJ_NY_RAB_2024_2027,27,"(iii) the LMCF shall terminate on June 30, 2026, subject to an appropriate wind-down period after termination, and any net assets remaining at the time of termination shall be allocated in accordance with the terms of the LMCF Trust Agreement;",HARD,deontic:obligation|exception,3,Yes,HARD,"LMCF, Trust Agreement",,subject to an appropriate wind-down period after termination,"auto-openai:The sentence establishes a mandatory termination date and allocation of assets, indicating a legally binding requirement."
32BJ_NY__0051,32BJ_NY_RAB_2024_2027,8,All such claims shall be subject to the grievance and arbitration procedure (Articles V and VI) as the sole and exclusive remedy for violations.,HARD,deontic:obligation|exception,3,Yes,HARD,"union, operator",,,"auto-openai:The sentence establishes a mandatory grievance and arbitration procedure as the exclusive remedy, indicating a hard constraint."
32BJ_NY__0055,32BJ_NY_RAB_2024_2027,9,"To this end, the parties establish the following system of mediation and arbitration applicable to all such Covered Claims, provided that nothing herein shall preclude the filing or adjudication of any statutory claim at any time",HARD,deontic:obligation|exception,3,Yes,SOFT,"parties, claims",,provided that nothing herein shall preclude the filing or adjudication of any statutory claim at any time,"auto-openai:The sentence establishes a system for mediation and arbitration, indicating a discretionary process for resolving claims, thus classifying it as a soft constraint."
32BJ_NY__0018,32BJ_NY_RAB_2024_2027,4,"However, notwithstanding the foregoing, newly hired employees shall be eligible to participate in the Training Fund upon their date of hire."" 7.",HARD,deontic:obligation|exception,3,Yes,HARD,"employees, Training Fund",,,"auto-openai:The sentence establishes a mandatory eligibility requirement for newly hired employees to participate in the Training Fund, indicating a clear obligation without discretion."
32BJ_NY__0017,32BJ_NY_RAB_2024_2027,4,"(3) (at page 44) with the following language: ""Except as otherwise provided in Article XVI, Section l 2(b ), with respect to the Pension and Supplemental Retirement Savings Funds, employees shall have a waiting period of ninety (90) days before becoming eligible to participate in the Funds and no contribution shall be made on behalf of employees during the ninety (90) day period.",HARD,deontic:obligation|exception,3,Yes,HARD,"employees, Pension and Supplemental Retirement Savings Funds",waiting_period=90days,"Except as otherwise provided in Article XVI, Section l 2(b)","auto-openai:The sentence establishes a mandatory waiting period for employees to participate in the funds, which is legally binding."
