sentence_id,source_doc,page_num,raw_text,predicted_type,signals,confidence_score,is_constraint,constraint_type,entities,threshold,exception,notes
UTLA_LAU_0147,UTLA_LAUSD_2022_2025,39,"If the other party at any time desires a copy of the transcript, it must share equally the cost of the reporter and transcription. 21.0 Grievance Files: The District's Office of Staff Relations shall maintain a file of all grievance records and communications separate from the personnel files of the grievant(s), and grievance documents and decisions shall not be included in the personnel file unless it is reasonably necessary or appropriate to do so. 22.0 No Reprisals: There shall be no reprisal against an employee for utilizing these grievance procedures or for assisting a grievant pursuant to these procedures. 23.0 Special Grievance Procedure for Non-Unit Members: The District shall make a grievance procedure available to part-time Adult Education teachers who are assigned fewer than 10 hours per week and to day-to-day substitutes who were paid for fewer than 100 days during the preceding year.",HARD,deontic:prohibition|deontic:obligation|deontic:obligation|threshold|exception,4,,,,,,
UTLA_LAU_0842,UTLA_LAUSD_2022_2025,134,"The employee must have rendered satisfactory certificated service for at least seven consecutive years (of at least 130 full days of paid time) immediately preceding the effective date of the leave, not more than two of which may be in substitute status, unless the District in its discretion waives such requirement; c.",HARD,deontic:obligation|deontic:permission|threshold|exception,4,,,,,,
UTLA_LAU_0788,UTLA_LAUSD_2022_2025,128,"Starting and ending dates may be adjusted by the District to meet educational program needs, except in the case of the starting date for a child care leave which begins immediately after pregnancy leave or family care and medical leave. 11.3 Child care leaves of limited duration have return rights as provided in Section 3.0 of this Article. 12.0 Illness (Paid): An employee shall be granted a leave of absence because of illness, or injury, or quarantine of the employee. 12.1 Subject to the restrictions specified in Article XIX, each employee shall accrue 0.05 hour of full-pay illness absence credit for each hour for which salary is received in a certificated assignment except for Auxiliary Teacher, Replacement Teacher, an assignment for which a lump-sum payment is or could be received, or salary received for sabbatical leave. 12.2 At the beginning of the pay period immediately preceding July 1, each active employee (excluding substitute and temporary) who is under contract (including temporary contract) for a full school year, who has accrued fewer than the number of full-pay illness absence hours equivalent to 100 days shall be credited with the number of half-pay illness absence days which, when added to the accrued full-pay illness absence days equals the equivalent to 100 days of full and half-pay illness absence days. 2022-2025 UTLA Contract 110",HARD,deontic:obligation|deontic:permission|threshold|exception,4,,,,,,
UTLA_LAU_0565,UTLA_LAUSD_2022_2025,99,"If mediation occurs but does not result in resolution of the issue(s), the unit member or the Union may proceed pursuant to Article V (Grievance Procedure), provided that a grievance must be filed directly at Step Two within 15 days of the conclusion of mediation.",HARD,deontic:obligation|deontic:permission|threshold|exception,4,,,,,,
UTLA_LAU_0760,UTLA_LAUSD_2022_2025,125,"Applications for informal permissive absences in excess of five days shall be made to the immediate administrator and must be approved by the appropriate Local District Administrator or branch/division head. 5.1 For continuous programs (Year-round, Early Education Centers, etc.), the deadline for leave applications, unless otherwise provided, shall be April 15 for all leaves commencing during the period July 1 through December 31 and November 15 for all leaves commencing during the period January 1 through June 30. 6.0 Notification Requirements: Unless otherwise provided in this Article, an employee who intends to be absent for 20 working days or less must make every reasonable effort to notify the appropriate substitute office not later than 6:30 a.m. on the day of absence and notify the school or section to which assigned not later than 30 minutes before the schedule begins on the day of absence.",HARD,deontic:obligation|deontic:obligation|threshold|exception,4,,,,,,
UTLA_LAU_0568,UTLA_LAUSD_2022_2025,99,"If mediation does not result in resolution of the issue(s), the Union may proceed pursuant to Article V (Grievance Procedure), provided that a grievance must be filed directly at Step Two within 15 days of the conclusion of mediation.",HARD,deontic:obligation|deontic:permission|threshold|exception,4,,,,,,
UTLA_LAU_0230,UTLA_LAUSD_2022_2025,52,"Such meetings are not to exceed 3 hours each day total unless a majority of the involved faculty consents. 4.5 Required Orientation In-Service for Teachers: Pursuant to California Code of Regulations 80026.5, classroom teachers serving on a fulltime emergency permit shall attend two",HARD,deontic:obligation|threshold|exception,4,,,,,,
UTLA_LAU_0235,UTLA_LAUSD_2022_2025,53,"Article IX – Hours, Duties, and Work Year be conducted by QED-C trained personnel or other personnel using QED-C developed modules in District-wide, cluster, complex, or school meetings. 5.0 Duty-Free Lunch: Each employee shall, except in emergencies or special situations requiring intensive supervision, be entitled to a duty-free lunch period of not less than thirty (30) minutes, as scheduled by the site administrator. 5.1 The normal elementary lunch break shall be not less than 30 minutes and not more than 45 minutes (of which 30 minutes are duty free).",HARD,deontic:obligation|threshold|exception,4,,,,,,
UTLA_LAU_0931,UTLA_LAUSD_2022_2025,145,"These employees will still be eligible to take the remainder of their individual 12 week allotment for family care leave for a purpose other than the birth, placement for adoption, or foster care of a child. 24.8 Compensation and Benefits: The Family Care and Medical Leave/Absence shall be an unpaid leave and for all purposes treated comparably to other unpaid leaves except that the District will continue to provide the health and welfare benefits as provided in Article XVI during the Family Care Leave/Absence to an employee who is otherwise eligible for such benefits.",HARD,deontic:obligation|threshold|exception,4,,,,,,
UTLA_LAU_0921,UTLA_LAUSD_2022_2025,143,"This leave runs concurrently with any other leave the District offers for which the employee is qualified, except that family care and medical leave granted for the birth or adoption of a child or placement of a child for foster care must be concluded within 12 months of that birth or adoption or placement for foster care. d.",HARD,deontic:obligation|threshold|exception,4,,,,,,
