sentence_id,source_doc,page_num,raw_text,predicted_type,signals,confidence_score,is_constraint,constraint_type,entities,threshold,exception,notes
IBEW_569_0112,IBEW_569_Inside_2024_2028,12,"(8) hours on Saturdays, or on Sunday and listed Holidays, shall be paid at double (2x) times the employee's regular rate of pay, unless otherwise permitted in this Agreement.",HARD,deontic:obligation|exception,3,Yes,HARD,"employee, employer",max_hours=8,unless otherwise permitted in this Agreement,"auto-openai:The sentence establishes a mandatory payment rate for specific hours worked, indicating a hard constraint with a defined threshold and an exception clause."
IBEW_569_0046,IBEW_569_Inside_2024_2028,6,"Any member of the IBEW possessing a C-10 license while subject to employment under terms of this Agreement, shall maintain same on an inactive status.",HARD,deontic:obligation|exception,3,Yes,HARD,"IBEW, employee",,,auto-openai:The sentence imposes a mandatory requirement for IBEW members to maintain their C-10 license on inactive status while employed under the agreement.
IBEW_569_0092,IBEW_569_Inside_2024_2028,11,"To the extent feasible within time constraints, such special terms, conditions, modification, or amendments shall be made available to all signatory Employers with regard to the particular job in question, and notice provided to NECA within forty-eight (48) hours of the bid, but shall not constitute an action subject to the favored nations clause in the Agreement.",HARD,deontic:prohibition|deontic:obligation|exception,3,Yes,SOFT,"Employers, NECA",time_constraints=48hours,to the extent feasible,"auto-openai:The sentence outlines a discretionary process for making terms available, indicating it is not legally mandatory but subject to feasibility."
IBEW_569_0128,IBEW_569_Inside_2024_2028,13,"Effective August 26, 2024, Foreman and General Foreman rates will increase as follows: 08/26/24 06/02/25 06/01/26 06/07/27 05/31/28 Foreman: $4.50 $5.00 $5.50 $6.00 JW+10% General Foreman: $7.50 $8.75 $10.25 $12.25 JW+20% Any part of the money may be put into existing fringes if notice to do so is given 90 days before effective date. 13",SOFT,deontic:permission|threshold,3,Yes,HARD,"union, employer","Foreman_rate_increase=4.50,5.00,5.50,6.00; General_Foreman_rate_increase=7.50,8.75,10.25,12.25",Any part of the money may be put into existing fringes if notice to do so is given 90 days before effective date.,"auto-openai:The sentence specifies mandatory rate increases for Foreman and General Foreman positions, making it a hard constraint, while also including a conditional clause regarding the allocation of funds."
IBEW_569_0146,IBEW_569_Inside_2024_2028,15,"Further, electricians shall not transport Employer's materials, tools or ladders except in Employer's vehicles.",HARD,deontic:prohibition|deontic:obligation|exception,3,Yes,HARD,"electricians, Employer",,except in Employer's vehicles,"auto-openai:The sentence imposes a mandatory restriction on electricians regarding the transportation of materials, making it a hard constraint."
IBEW_569_0223,IBEW_569_Inside_2024_2028,20,An applicant who qualifies for Group I in a local union shall be so registered electronically and remain on Group I in that local union unless and until the applicant designates another local union as his or her Group I local union.,HARD,deontic:obligation|exception,3,Yes,HARD,"applicant, local union",,unless and until the applicant designates another local union as his or her Group I local union,"auto-openai:The sentence establishes a mandatory requirement for registration in a local union, indicating no discretion in the process."
IBEW_569_0332,IBEW_569_Inside_2024_2028,29,"The local parties recognize that the implementation of a drug and alcohol policy and program must be subject to all applicable federal, state, and local laws and regulations.",HARD,deontic:obligation|exception,3,Yes,HARD,"local parties, federal laws, state laws, local laws",,,"auto-openai:The sentence establishes a mandatory requirement for compliance with laws and regulations, indicating no discretion is allowed."
IBEW_569_0252,IBEW_569_Inside_2024_2028,23,"Each member shall be appointed for a (3 or 4) -year term, unless being appointed for a lesser period of time to complete an unexpired term.",HARD,deontic:obligation|exception,3,Yes,HARD,member,term=3 or 4 years,unless being appointed for a lesser period of time to complete an unexpired term,"auto-openai:The sentence establishes a mandatory term length for appointments, with a specific exception for unexpired terms."
IBEW_569_0163,IBEW_569_Inside_2024_2028,16,"The Business Manager of the Union or designated Business Representative and all employees affected by the modified shift must be notified a minimum of forty-eight (48) hours in advance of the beginning of such a shift, except in cases of extenuating circumstances.",HARD,deontic:obligation|exception,3,Yes,HARD,"Business Manager, Union, employees",min_notice=48hours,extenuating circumstances,"auto-openai:The sentence mandates a specific notification period for shift changes, qualifying it as a hard constraint due to the use of 'must' and the defined threshold."
IBEW_569_0084,IBEW_569_Inside_2024_2028,10,"A journeyman shall be required to make corrections on improper workmanship for which he is responsible on his own time, unless errors were made by orders of the Employer or the Employer's representative.",HARD,deontic:obligation|exception,3,Yes,HARD,"journeyman, Employer, Employer's representative",,unless errors were made by orders of the Employer or the Employer's representative,"auto-openai:The sentence imposes a mandatory requirement on the journeyman to correct their own workmanship, indicating a hard constraint."
IBEW_569_0327,IBEW_569_Inside_2024_2028,29,(d) Continued failure on the part of any Employer to make prompt payments of his contribution to the Trust or the failure to make the required reports and payments shall be deemed to be a breach of the Collective Bargaining Agreement and the Employer shall be subject to the grievance procedure as provided for in this Agreement.,HARD,deontic:obligation|exception,3,Yes,HARD,"Employer, Trust",,,"auto-openai:The sentence establishes a mandatory requirement for the Employer to make prompt payments and reports, with a clear consequence for failure, indicating a hard constraint."
IBEW_569_0293,IBEW_569_Inside_2024_2028,25,"Apprentices who have satisfactorily completed the first four years of related classroom training using the NJATC curriculum and accumulated a minimum of 6,500 hours of OJT with satisfactory performance, shall be permitted to work alone on any job site and receive work assignments in the same manner as a Journeyman Wireman.",HARD,deontic:obligation|threshold,3,Yes,HARD,"apprentices, job site, Journeyman Wireman",min_hours=6500,,"auto-openai:The sentence establishes a mandatory requirement for apprentices to complete specific training and hours before they can work alone, indicating a hard constraint."
IBEW_569_0045,IBEW_569_Inside_2024_2028,6,"Members of the Union, except those meeting the requirement of ""Employer"" as defined herein, shall not contract for any electrical work.",HARD,deontic:prohibition|deontic:obligation|exception,3,Yes,HARD,union,,except those meeting the requirement of 'Employer' as defined herein,"auto-openai:The sentence imposes a mandatory restriction on Union members regarding contracting for electrical work, qualifying it as a hard constraint."
IBEW_569_0047,IBEW_569_Inside_2024_2028,6,"The Employer shall, therefore, have no restrictions except those specifically provided for in the collective bargaining agreement, in planning, directing 6",HARD,deontic:obligation|exception,3,Yes,HARD,Employer,,except those specifically provided for in the collective bargaining agreement,"auto-openai:The sentence imposes a clear restriction on the Employer's actions, indicating that they have no restrictions except those outlined in the agreement, which qualifies it as a hard constraint."
IBEW_569_0126,IBEW_569_Inside_2024_2028,13,(3) normal working days' pay shall be held back unless special permission is obtained from the Business Manager of the Union.,HARD,deontic:obligation|exception,3,Yes,HARD,union,,unless special permission is obtained from the Business Manager of the Union,"auto-openai:The sentence imposes a mandatory condition that pay shall be held back, indicating a hard constraint with a specific exception for obtaining permission."
