sentence_id,source_doc,page_num,raw_text,predicted_type,signals,confidence_score,is_constraint,constraint_type,entities,threshold,exception,notes
32BJ_BOL_0001,32BJ_BOLR_Suburban_2023,4,"This Agreement shall apply to all service employees employed in any facility, in Delaware, Chester, Bucks, and Montgomery Counties in Pennsylvania, excluding commercial office buildings under 100,000 square feet, except that economic terms and conditions for residential buildings, hospitals, department stores, schools, charitable, educational and religious institutions, race tracks, nursing homes, theaters, hotels, shopping malls, golf courses, bowling alleys, warehouses, route work, bank branches, entertainment venues (concert halls, playhouses, or other venues of more than 50,000 square feet having live stage performances), and industrial facilities shall be set forth in riders negotiated for each location covered by this Agreement.",HARD,deontic:obligation|exception,3,Yes,HARD,"service employees, facilities, Delaware, Chester, Bucks, Montgomery Counties, commercial office buildings, residential buildings, hospitals, department stores, schools, charitable institutions, educational institutions, religious institutions, race tracks, nursing homes, theaters, hotels, shopping malls, golf courses, bowling alleys, warehouses, route work, bank branches, entertainment venues, industrial facilities",,"excluding commercial office buildings under 100,000 square feet, except that economic terms and conditions for residential buildings, hospitals, department stores, schools, charitable, educational and religious institutions, race tracks, nursing homes, theaters, hotels, shopping malls, golf courses, bowling alleys, warehouses, route work, bank branches, entertainment venues, and industrial facilities shall be set forth in riders negotiated for each location covered by this Agreement","auto-openai:The sentence establishes a mandatory application of the agreement to specific service employees and facilities, with clear exclusions, indicating a hard constraint."
32BJ_BOL_0134,32BJ_BOLR_Suburban_2023,15,"There shall be no lockouts, and no strikes except that the Union may call a strike or work stoppage",HARD,deontic:obligation|deontic:permission|exception,3,Yes,HARD,union,,the Union may call a strike or work stoppage,"auto-openai:The sentence establishes a mandatory prohibition on lockouts and strikes, with a specific exception for the Union's ability to call a strike."
32BJ_BOL_0338,32BJ_BOLR_Suburban_2023,33,"Any of the rights, power or authority the Employer had prior to the signing of this Agreement, are retained by the Employer except those specifically abridged or modified by this Agreement and any supplemental agreements that may hereafter be made. 30.3.",SOFT,deontic:permission|exception,3,Yes,SOFT,"Employer, Agreement, supplemental agreements",,except those specifically abridged or modified by this Agreement and any supplemental agreements that may hereafter be made,"auto-openai:The sentence outlines the retention of rights by the Employer with the possibility of modification, indicating a discretionary nature."
32BJ_BOL_0038,32BJ_BOLR_Suburban_2023,7,"The Union, therefore, may use electronic records to verify Union membership, authorization for voluntary deduction of Union dues and fees from wages for remittance to the Union, and authorization for voluntary deductions from wages for remittance to ADF Funds, subject to the 4 SL1 1965866v4 030060.00031",SOFT,deontic:permission|exception,3,Yes,SOFT,Union,,subject to the 4 SL1 1965866v4 030060,"auto-openai:The sentence indicates that the Union may use electronic records, which implies discretion, thus classifying it as a soft constraint."
32BJ_BOL_0040,32BJ_BOLR_Suburban_2023,8,"If the Employer fails to deduct or remit to the Union the dues, ADF contributions, contributions to the Building Service 32BJ Health Fund, contributions to the SEIU Local 32BJ Building Operators Legal Services Fund, or other monies in accordance with this section by the 20th day of the month, the Employer shall pay interest on such dues, initiation fees, or contributions at the rate of one percent per month beginning on the 21st day, unless the Employer can demonstrate the delay was for good cause due to circumstances beyond its control. 2.7.",HARD,deontic:obligation|exception,3,Yes,HARD,"Employer, Union",interest_rate=1%,unless the Employer can demonstrate the delay was for good cause due to circumstances beyond its control,"auto-openai:The sentence imposes a mandatory obligation on the Employer to pay interest if dues are not remitted on time, with a specific interest rate and an exception clause."
32BJ_BOL_0165,32BJ_BOLR_Suburban_2023,17,"Commencing with an employee’s twelfth month of employment, all employees shall receive a minimum of four paid personal days per calendar year except in an employee’s first year of employment when he/she shall be entitled to a prorated number of personal days for the time between the first day of his /her sixth month of employment to the end of the calendar 14 SL1 1965866v4 030060.00031",HARD,deontic:obligation|exception,3,Yes,HARD,"employee, employer",min_personal_days=4,prorated number of personal days for the first year of employment,"auto-openai:The sentence establishes a mandatory requirement for paid personal days for employees after their twelfth month of employment, with a specific exception for the first year."
32BJ_BOL_0327,32BJ_BOLR_Suburban_2023,32,"(k) Supplemental employees may not be utilized to fill a permanent vacancy except for a reasonable period, which shall not exceed fifteen (15) days, or thirty (30) days where the vacancy is filled through external hire, after which a permanent employee shall fill the vacancy.",HARD,deontic:prohibition|deontic:obligation|deontic:restriction|deontic:permission|exception,3,Yes,HARD,"employer, union","max_duration=15days, max_duration_external_hire=30days",,"auto-openai:The sentence establishes a mandatory limit on the use of supplemental employees to fill permanent vacancies, specifying exact time frames, which qualifies it as a hard constraint."
32BJ_BOL_0223,32BJ_BOLR_Suburban_2023,23,"In order to be eligible for holiday pay, an employee must work all of his/her scheduled hours on the workday before and after the holiday unless he/she is on approved vacation or approved paid or unpaid leave.",HARD,deontic:obligation|exception,3,Yes,HARD,"employee, employer",,unless he/she is on approved vacation or approved paid or unpaid leave,"auto-openai:The sentence establishes a mandatory requirement for holiday pay eligibility, indicating that employees must work specific hours unless they meet certain exceptions."
32BJ_BOL_0145,32BJ_BOLR_Suburban_2023,16,Employees shall accrue vacation with pay in accordance with the following schedule: Months on Payroll Vacation with Pay 1 Year 1 Week 2 Years 2 Weeks 5 Years 3 Weeks 15 Years 4 Weeks 25 Years 5 Weeks An employee may take vacation according to the foregoing schedule (earned as of the preceding January 1) only after completing one,HARD,deontic:obligation|deontic:permission|threshold,3,Yes,HARD,employees,"1_year=1_week, 2_years=2_weeks, 5_years=3_weeks, 15_years=4_weeks, 25_years=5_weeks",only after completing one year,"auto-openai:The sentence specifies mandatory vacation accrual based on tenure, using 'shall' which indicates a legally binding requirement."
32BJ_BOL_0143,32BJ_BOLR_Suburban_2023,16,"Employers shall provide employees with leaves of absence for union related activities, where practicable, provided that such leave shall not be unreasonably denied.",HARD,deontic:prohibition|deontic:obligation|exception,3,Yes,SOFT,"employer, employee, union",,"where practicable, provided that such leave shall not be unreasonably denied","auto-openai:The sentence indicates a discretionary provision for leaves of absence that is subject to certain conditions, classifying it as a soft constraint."
