sentence_id,source_doc,page_num,raw_text,predicted_type,signals,confidence_score,is_constraint,constraint_type,entities,threshold,exception,notes
UNITE_HE_0641,UNITE_HERE_Westin_Bonaventure_LA,87,"The permanent arbitrator shall hear and decide all disputes submitted to arbitration unless the permanent arbitrator is unavailable for a hearing within 30 days from the date of submission but the alternate arbitrator is available during such 30-day period, in which case the dispute shall be submitted to the alternate arbitrator for hearing and decision.",HARD,deontic:obligation|threshold|exception,4,Yes,HARD,"arbitrator, alternate arbitrator, disputes",30 days,unless the permanent arbitrator is unavailable for a hearing within 30 days from the date of submission but the alternate arbitrator is available during such 30-day period,"auto-openai:The sentence establishes a mandatory process for arbitration with specific conditions and timelines, indicating a hard constraint."
UNITE_HE_0422,UNITE_HERE_Westin_Bonaventure_LA,47,"The grievance mediation hearing shall be held within 30 days of said written request, unless the time limit is extended by mutual agreement in writing.",HARD,deontic:obligation|threshold|exception,4,Yes,HARD,"operator, union",max_days=30,unless the time limit is extended by mutual agreement in writing,"auto-openai:The sentence establishes a mandatory timeline for grievance mediation hearings, making it a hard constraint with a specific threshold and an exception clause."
UNITE_HE_0096,UNITE_HERE_Westin_Bonaventure_LA,16,"Any break in service, i.e., break in employment not in excess of 90 days, shall not constitute a break in continuous service, except if the absence is due to on-the-job injury covered by workers’ compensation insurance, then a break in employment not in excess of 15 months shall not constitute a break in continuous service.",HARD,deontic:prohibition|deontic:obligation|threshold|exception,4,Yes,HARD,"operator, union","max_break=90days, max_break_injury=15months",if the absence is due to on-the-job injury covered by workers’ compensation insurance,"auto-openai:The sentence establishes mandatory conditions under which breaks in service are defined, with specific thresholds and an exception for on-the-job injuries."
UNITE_HE_0239,UNITE_HERE_Westin_Bonaventure_LA,31,"In the event of notification of such change of status, it shall not apply retroactively.",HARD,deontic:prohibition|deontic:obligation|exception,3,Yes,HARD,"operator, authority, union",,,"auto-openai:The sentence establishes a definitive rule that changes in status do not apply retroactively, indicating a mandatory condition."
UNITE_HE_0078,UNITE_HERE_Westin_Bonaventure_LA,14,"In the event of the termination of employment by the Employer, the employee affected shall be notified by the Employer, not later than the time of departure of the employee from the premises of the Employer at the end of the last shift of the employee.",HARD,deontic:obligation|exception,3,Yes,HARD,"Employer, employee",,,"auto-openai:The sentence establishes a mandatory requirement for the Employer to notify the employee of termination before their departure, using the term 'shall', indicating no discretion is allowed."
UNITE_HE_0298,UNITE_HERE_Westin_Bonaventure_LA,37,"Servers, front desk agents, and other employees who have responsibility for financial transactions, including employees authorized by management to accept checks, shall not be held responsible for credit card shortages or funds unless it can be shown that such loss or shortages is caused by a dishonest or willful act or gross negligence of the employee.",HARD,deontic:prohibition|deontic:obligation|exception,3,Yes,HARD,"employees, management",,unless it can be shown that such loss or shortages is caused by a dishonest or willful act or gross negligence of the employee,"auto-openai:The sentence imposes a strict limitation on the liability of certain employees, making it a legally mandatory constraint."
UNITE_HE_0449,UNITE_HERE_Westin_Bonaventure_LA,49,"There shall be no wildcat strikes or strikes over safety, unless conditions present a clear, immediate, and present danger to health and safety.",HARD,deontic:obligation|exception,3,Yes,HARD,"union, operator",,"unless conditions present a clear, immediate, and present danger to health and safety",auto-openai:The sentence imposes a mandatory prohibition on wildcat strikes with a specific exception for safety-related conditions.
UNITE_HE_0145,UNITE_HERE_Westin_Bonaventure_LA,20,"Employees leaving the Employer with at least one year of continuous service shall receive pay for any unused PTO accumulated upon separation, unless the separation is the result of serious misconduct warranting discharge without prior discipline, or resignation without providing two weeks’ notice, or notice that is reasonable under the circumstances.",HARD,deontic:obligation|exception,3,Yes,HARD,"employees, employer",,"unless the separation is the result of serious misconduct warranting discharge without prior discipline, or resignation without providing two weeks’ notice, or notice that is reasonable under the circumstances","auto-openai:The sentence establishes a mandatory condition for payment of unused PTO upon separation, with specific exceptions outlined."
UNITE_HE_0451,UNITE_HERE_Westin_Bonaventure_LA,49,Any employee actually and actively engaged in a violation of this Section 18 shall be subject to discipline by the Employer up to and including discharge.,HARD,deontic:obligation|exception,3,Yes,HARD,"employee, employer",,,"auto-openai:The sentence imposes a mandatory disciplinary action for violations, indicating a hard constraint with no discretion allowed."
UNITE_HE_0418,UNITE_HERE_Westin_Bonaventure_LA,47,"Pending a determination of any matter in dispute, the status quo existing prior to the matter becoming a dispute shall remain in effect, except in cases involving suspensions or discharges.",HARD,deontic:obligation|exception,3,Yes,HARD,"operator, union",,except in cases involving suspensions or discharges,"auto-openai:The sentence establishes a mandatory requirement to maintain the status quo during disputes, with a specific exception for suspensions or discharges."
