sentence_id,source_doc,page_num,raw_text,predicted_type,signals,confidence_score,is_constraint,constraint_type,entities,threshold,exception,notes
IBEW_LOC_0115,IBEW_Local6_SF_2022_2024,16,Nothing shall be placed in a personnel file unless signed and dated by the author. 73.,HARD,deontic:obligation|exception,3,Yes,HARD,"operator, authority, union",,,"auto-openai:The sentence establishes a mandatory requirement for personnel file documentation, indicating that nothing can be added without proper authorization."
IBEW_LOC_0318,IBEW_Local6_SF_2022_2024,37,"Employees may carry over to a succeeding fiscal year any unused floating holidays, provided that the number of floating holidays an employee may carry forward shall not exceed the total number of floating holidays received in the prior fiscal year and the employee’s total floating holiday balance at any time shall not exceed ten (10) floating holidays.",HARD,deontic:prohibition|deontic:obligation|deontic:permission|exception,3,Yes,HARD,employees,max_floating_holidays=10,provided that the number of floating holidays an employee may carry forward shall not exceed the total number of floating holidays received in the prior fiscal year,"auto-openai:The sentence establishes a mandatory limit on the carryover of floating holidays, using 'shall not exceed', indicating a hard constraint."
IBEW_LOC_0659,IBEW_Local6_SF_2022_2024,93,"Covered Employees who Refuse to Test may be subject to disciplinary action, up to and including termination, pursuant to Exhibit A. d.",SOFT,deontic:permission|exception,3,Yes,SOFT,"Covered Employees, authority",,,"auto-openai:The sentence indicates that disciplinary action may occur, which implies discretion and is not mandatory."
IBEW_LOC_0658,IBEW_Local6_SF_2022_2024,93,(1.) A Covered Employee appearing at the approved drug collection site must have a minimum of one piece of government-issued photo identification and may not leave the collection site for any reason – unless authorized by the collection agency – until the employee has fully completed all collection procedures.,HARD,deontic:obligation|deontic:restriction|deontic:permission|exception,3,Yes,HARD,"Covered Employee, collection agency",,unless authorized by the collection agency,"auto-openai:The sentence imposes mandatory requirements on Covered Employees regarding identification and their presence at the collection site, indicating a hard constraint."
IBEW_LOC_0465,IBEW_Local6_SF_2022_2024,54,"The City further assures that in the event of an alleged overpayment by the City to the employee, the City shall not unilaterally reverse a payment to the direct deposit account or bank pay card. 343.",HARD,deontic:prohibition|deontic:obligation|exception,3,Yes,HARD,"City, employee",,,"auto-openai:The sentence establishes a mandatory rule that the City cannot unilaterally reverse a payment, indicating a hard constraint."
IBEW_LOC_0125,IBEW_Local6_SF_2022_2024,17,"A probationary period may be extended for up to 1040 hours by mutual agreement, in writing, between the Union and the Appointing Officer.",SOFT,deontic:permission|threshold,3,Yes,SOFT,"Union, Appointing Officer",max_hours=1040,,"auto-openai:The sentence indicates a discretionary agreement that can be made between the Union and the Appointing Officer, thus classifying it as a soft constraint."
IBEW_LOC_0467,IBEW_Local6_SF_2022_2024,54,"The specific provisions of the apprenticeship programs shall be subject to agreement between the City, the Civil Service Commission (where appropriate), and the Union. 346.",HARD,deontic:obligation|exception,3,Yes,SOFT,"City, Civil Service Commission, Union",,,"auto-openai:The sentence indicates that the provisions are subject to agreement, which implies discretion and negotiation rather than a mandatory requirement."
IBEW_LOC_0468,IBEW_Local6_SF_2022_2024,54,"The following journey-level classes (“Apprenticeship Classes”) shall be eligible for an apprenticeship and/or training program, subject to agreement: JULY 1, 2022 - JUNE 30, 2024 MOU BETWEEN CITY AND COUNTY OF SAN FRANCISCO AND ELECTRICAL WORKERS, LOCAL 6 (IBEW) - 50 -",HARD,deontic:obligation|exception,3,Yes,SOFT,"city, county, electrical workers, local 6",,subject to agreement,"auto-openai:The sentence indicates eligibility for apprenticeship programs, which is discretionary and subject to agreement, thus classifying it as a soft constraint."
IBEW_LOC_0131,IBEW_Local6_SF_2022_2024,18,"Employees regularly assigned to work locations outside of the City and County of San Francisco who are required to transport themselves to a location more than 30 minutes travel time from their regularly assigned location, shall not be required to travel on their own time as to that portion of the trip which exceeds 30 minutes.",HARD,deontic:prohibition|deontic:obligation|deontic:obligation|threshold,3,Yes,HARD,"employees, City and County of San Francisco",30min,,"auto-openai:The sentence establishes a mandatory requirement that employees must not travel on their own time for the portion of the trip exceeding 30 minutes, indicating a hard constraint."
IBEW_LOC_0646,IBEW_Local6_SF_2022_2024,92,"Following an Accident, all Covered Employees subject to testing shall remain readily available for testing.",HARD,deontic:obligation|exception,3,Yes,HARD,Covered Employees,,,auto-openai:The use of 'shall' indicates a legally mandatory requirement for Covered Employees to remain available for testing after an accident.
IBEW_LOC_0479,IBEW_Local6_SF_2022_2024,56,"This Agreement may be modified, but only in writing, upon the mutual consent of the parties except as otherwise provided herein. 358.",SOFT,deontic:permission|exception,3,Yes,SOFT,parties,,except as otherwise provided herein,"auto-openai:The sentence indicates that modifications to the agreement can occur with mutual consent, which is discretionary and not mandatory."
IBEW_LOC_0481,IBEW_Local6_SF_2022_2024,56,"This Agreement shall be effective July 1, 2022, and shall remain in full force and effect through June 30, 2024, with no reopeners except as specifically provided herein.",HARD,deontic:obligation|exception,3,Yes,HARD,"operator, authority, union",,except as specifically provided herein,"auto-openai:The sentence establishes a definitive time frame for the agreement's effectiveness, indicating a legally binding obligation with no discretion allowed."
IBEW_LOC_0294,IBEW_Local6_SF_2022_2024,35,"Employees required by their respective appointing officers to work on any of the above designated or observed holidays, excepting Fridays observed as holidays in lieu of holidays falling on Saturday, shall be paid extra compensation of one additional day's pay at time-and-one-half the usual rate (i.e. 12 hours pay for 8 hours worked) or a JULY 1, 2022 - JUNE 30, 2024 MOU BETWEEN CITY AND COUNTY OF SAN FRANCISCO AND ELECTRICAL WORKERS, LOCAL 6 (IBEW) - 31 -",HARD,deontic:obligation|threshold,3,Yes,HARD,"employees, appointing officers, union","time-and-one-half=1.5, additional_day_pay=1",Fridays observed as holidays in lieu of holidays falling on Saturday,"auto-openai:The sentence mandates extra compensation for employees working on designated holidays, making it a legally binding requirement."
IBEW_LOC_0145,IBEW_Local6_SF_2022_2024,19,"Layoffs shall be administered pursuant to current practice, except that an employee with permanent seniority in class shall have the right to displace an employee with less permanent seniority in the same class in any department.",HARD,deontic:obligation|exception,3,Yes,HARD,"employee, department",,except that an employee with permanent seniority in class shall have the right to displace an employee with less permanent seniority in the same class,"auto-openai:The sentence establishes a mandatory rule regarding layoffs and seniority rights, indicating a clear obligation without discretion."
IBEW_LOC_0147,IBEW_Local6_SF_2022_2024,19,"After bumping and displacement occurs, an employee who is laid off shall receive one week’s severance pay for each full year worked, up to a maximum of 12 weeks, in exchange for a release, in a form acceptable to the City, signed by the employee of any and all claims arising out of the employee’s employment (including claims arising under this Agreement) that the employee may have against the City including any officer or employee thereof.",HARD,deontic:obligation|deontic:permission|threshold,3,Yes,HARD,"employee, City",max_severance_weeks=12,"in exchange for a release, in a form acceptable to the City, signed by the employee","auto-openai:The sentence establishes a mandatory severance pay structure for laid-off employees, which is legally binding."
