sentence_id,source_doc,page_num,raw_text,predicted_type,signals,confidence_score,is_constraint,constraint_type,entities,threshold,exception,notes
UCSF_CIR_0214,UCSF_CIR_2022_2025,26,"DocuSign Envelope ID: D9D1EECC-B3CA-4D37-B5A6-82BF8FCCB914 Except in cases specifically relevant to training, Residents and Fellows shall not regularly and recurrently perform duties that are extraneous to their program(s)’ educational goals and objectives, clinical mission, or normally assigned to positions in other classifications.",HARD,deontic:prohibition|deontic:obligation|exception,3,,,,,,
UCSF_CIR_0067,UCSF_CIR_2022_2025,11,"Decisions or judgments by the University, including Disciplinary Actions, related to all academic or clinical matters, as defined in subparagraph A.5 below, shall not be subject to review under the grievance and arbitration procedure set forth in this Agreement.",HARD,deontic:prohibition|deontic:obligation|exception,3,,,,,,
UCSF_CIR_0104,UCSF_CIR_2022_2025,14,"In the event an arbitrator, as a result of the arbitrability hearing referenced above, determines a matter to be arbitrable, they shall have no authority to decide the issues pursuant to the facts of the case unless the parties agree otherwise. 3.",HARD,deontic:obligation|exception,3,,,,,,
UCSF_CIR_0103,UCSF_CIR_2022_2025,14,"The issue(s) of arbitrability shall be resolved in a hearing prior to and separate from the hearing (if any) about the substantive facts and/or allegations in dispute, except as provided in §C.3., below.",HARD,deontic:obligation|exception,3,,,,,,
UCSF_CIR_0340,UCSF_CIR_2022_2025,49,"Access: The Union shall have reasonable access to all work locations to verify that the terms and conditions of this MOU are being carried out and for the purpose of conferring with interns and residents, provided that access shall be subject to such rules and regulations as may be agreed to in writing by the Department and the Union. 9.",HARD,deontic:obligation|deontic:permission|exception,3,,,,,,
UCSF_CIR_0085,UCSF_CIR_2022_2025,12,"Time limits may be extended by mutual agreement of the Parties in writing in advance of the expiration of the time limits, except the Step I deadline for filing a formal grievance.",SOFT,deontic:permission|exception,3,,,,,,
UCSF_CIR_0355,UCSF_CIR_2022_2025,50,The Hospital shall ensure that printer paper is restocked and that HIPAA bins and trash cans are emptied a minimum of 3 times per week.,HARD,deontic:obligation|threshold,3,,,,,,
UCSF_CIR_0069,UCSF_CIR_2022_2025,11,"Academic and/or Clinical decisions and academic and/or administrative actions shall only be subject to review as provided under the [UC Location’s] Academic Due Process Policy, the location policy may not restrict a Resident from having a representative of their choosing (Union or otherwise selected) at the hearing. 5.",HARD,deontic:obligation|deontic:restriction|deontic:permission|exception,3,,,,,,
UCSF_CIR_0361,UCSF_CIR_2022_2025,50,Such proposed overall changes which affect Interns & Residents parking shall be subject to meet and confer. 3,HARD,deontic:obligation|exception,3,,,,,,
UCSF_CIR_0035,UCSF_CIR_2022_2025,8,"Room reservations shall not be canceled by the University except where unforeseen circumstances require the room to be used for purposes including, but not limited to, teaching, patient care-related purposes, or staff conferences.",HARD,deontic:prohibition|deontic:obligation|exception,3,,,,,,
UCSF_CIR_0061,UCSF_CIR_2022_2025,10,"Article 10: PROGRAM CLOSURE In the event of a program closure, the University shall follow all Accreditation Council for Graduate Medical Education (ACGME) guidelines “regarding program closure/reduction” by making a reasonable effort to assist any affected residents in enrolling in another accredited residency or fellowship training program.",HARD,deontic:obligation|exception,3,,,,,,
UCSF_CIR_0059,UCSF_CIR_2022_2025,10,Alleged violations of this sub-article may be grieved up to the Step 2 level but shall not be subject to the arbitration procedure under this Agreement.,HARD,deontic:prohibition|deontic:obligation|deontic:permission|exception,3,,,,,,
UCSF_CIR_0052,UCSF_CIR_2022_2025,9,"At the written request of the Union to UCSF Labor Relations, the University shall meet and discuss the proposed change with the Union, except that if the proposed change has an economic impact on the Residents and Fellows the University shall be obligated to meet and confer over the economic impact of the proposed change.",HARD,deontic:obligation|exception,3,,,,,,
UCSF_CIR_0384,UCSF_CIR_2022_2025,53,"Subject to the City’s Office of Contract Administration purchasing requirements and the availability of the requested item(s), all item(s) will be purchased within six months from the date the SFGH Materials Management receives the completed purchasing request (including any necessary supporting documentation) and has confirmed that the item(s) may be obtained from a City-approved vendor.",SOFT,deontic:permission|exception,3,,,,,,
UCSF_CIR_0042,UCSF_CIR_2022_2025,8,"During the GME New Resident and Fellow Orientations the Union shall be granted no less than 30 minutes to give a presentation on the Union, the benefits of union membership and the collective bargaining agreement.",HARD,deontic:obligation|threshold,3,,,,,,
UCSF_CIR_0386,UCSF_CIR_2022_2025,53,"Should the Director of Public Health or designee reject a proposal, written notice will be provided to the Committee within 30 days.",SOFT,deontic:preference|threshold,3,,,,,,
UCSF_CIR_0111,UCSF_CIR_2022_2025,14,"The arbitration hearing shall be closed to the public, unless the parties otherwise agree in writing. 9.",HARD,deontic:obligation|exception,3,,,,,,
UCSF_CIR_0115,UCSF_CIR_2022_2025,14,Expenses for other services or facilities shall be borne by the party requesting such services or facilities unless the parties agree otherwise in advance.,HARD,deontic:obligation|exception,3,,,,,,
UCSF_CIR_0117,UCSF_CIR_2022_2025,14,"Unless there is an agreement by both parties to modify the scope of the arbitration, the issues(s) to be heard by the arbitrator shall solely be restricted to the Article(s) filed with the grievance.",HARD,deontic:obligation|exception,3,,,,,,
UCSF_CIR_0120,UCSF_CIR_2022_2025,15,"In the event that the University raises the issue of arbitrability, the parties agree that the question of arbitrability shall be addressed prior to the hearing on the merits (if any) by different arbitrators unless otherwise agreed to by the parties.",HARD,deontic:obligation|exception,3,,,,,,
UCSF_CIR_0122,UCSF_CIR_2022_2025,15,"Should an arbitrator determine that the underlying matter is not subject to arbitration under the contract, the substantive facts of the case shall not be heard and the Step II response of the University shall be deemed the final response to the matter.",HARD,deontic:prohibition|deontic:obligation|deontic:preference|exception,3,,,,,,
UCSF_CIR_0126,UCSF_CIR_2022_2025,15,"If the grievance is sustained in whole or in part, and subject to the limitations set forth in the paragraph below, the remedy shall not exceed restoring to the Resident the pay, benefits, or rights lost as a result of a violation of the Agreement, less any compensation and/or benefits received from any source, including, but not limited to Workers’ Compensation and/or unemployment benefits, etc. 2.",HARD,deontic:prohibition|deontic:obligation|exception,3,,,,,,
UCSF_CIR_0129,UCSF_CIR_2022_2025,15,"The decision shall be distributed to the parties within thirty (30) calendar days of the close of the record of the arbitration, unless the arbitrator notifies the parties that the time frame cannot be met. 4.",HARD,deontic:obligation|exception,3,,,,,,
UCSF_CIR_0133,UCSF_CIR_2022_2025,16,"Whenever an arbitration hearing or a meeting convened to resolve the arbitration is scheduled during the regular work time of a Resident who is a grievant, representative, or witness, reasonable release time with pay shall be granted to such Resident(s) involved so long as a written request for release time is received at least 24 hours in advance by the Director of Labor Relations or designee. 2.",HARD,deontic:obligation|threshold,3,,,,,,
UCSF_CIR_0294,UCSF_CIR_2022_2025,37,Employee organizations are required to register with the Labor and Employee Relations office. 1 Local Access Guidelines for the CIR-SEIU Unit are subject to negotiations Page 1 of 5,HARD,deontic:obligation|exception,3,,,,,,
UCSF_CIR_0290,UCSF_CIR_2022_2025,36,All requests for release time shall be subject to operational need and shall not be unreasonably denied. 35,HARD,deontic:prohibition|deontic:obligation|exception,3,,,,,,
UCSF_CIR_0168,UCSF_CIR_2022_2025,18,"As an alternative to or in addition to PDL, the University may temporarily modify the job duties of a pregnant Resident or transfer the Resident to a less strenuous or hazardous position, if requested by the Resident and medically advisable according to the Resident’s health care provider, provided that the temporary transfer or modification of duties can be reasonably accommodated by the University.",SOFT,deontic:permission|exception,3,,,,,,
UCSF_CIR_0259,UCSF_CIR_2022_2025,32,Any Resident or Fellow who violates this Article may be subject to disciplinary action up to and including termination of employment.,SOFT,deontic:permission|exception,3,,,,,,
UCSF_CIR_0182,UCSF_CIR_2022_2025,21,Leave granted for bonding purposes shall be concluded within 12 months following the child’s birth or placement for adoption or foster care. 2.,HARD,deontic:obligation|threshold,3,,,,,,
UCSF_CIR_0233,UCSF_CIR_2022_2025,28,"Effective July 1, 2023, the University shall limit annual parking rate increases to no more than 10% annually.",HARD,deontic:obligation|threshold,3,,,,,,
UCSF_CIR_0201,UCSF_CIR_2022_2025,24,Duration of Leave FML shall not exceed twelve (12) workweeks in any calendar year except in the following instances:,HARD,deontic:prohibition|deontic:obligation|exception,3,,,,,,
