sentence_id,source_doc,page_num,raw_text,predicted_type,signals,confidence_score,is_constraint,constraint_type,entities,threshold,exception,notes
UAW_GM_2_0046,UAW_GM_2023_Highlights,25,"Day April 3, 2026 Good Friday Mar. 26, 2027 Good Friday April 6, 2026 Day after Easter Mar. 29, 2027 Day after Easter May 25, 2026 Memorial Day May 31, 2027 Memorial Day June 19, 2026 Juneteenth Day June 18, 2027 Juneteenth Observed July 3, 2026 Independence Day Observed July 5, 2027 Independence Day Observed Sept. 7, 2026 Labor Day Sept. 6, 2027 Labor Day 2027-2028 Nov. 11, 2027 Veterans Day Nov. 25, 2027 Thanksgiving Nov. 26, 2027 Day after Thanksgiving Dec. 24, 2027 Dec. 27, 2027 Christmas Dec. 28, 2027 } Holiday Dec. 29, 2027 Period Dec. 30, 2027 Dec. 31, 2027 Jan. 17, 2028 Martin Luther King Jr.",SOFT,deontic:permission|threshold,3,Yes,NOT_CONSTRAINT,"operator, authority, union",,,auto-openai:The sentence lists holidays and does not impose any mandatory or discretionary obligations.
UAW_GM_2_0045,UAW_GM_2023_Highlights,25,"Day June 19, 2024 Juneteenth Day April 18, 2025 Good Friday July 4, 2024 Independence Day April 21, 2025 Day after Easter July 5, 2024 Day after Independence Day May 26, 2025 Memorial Day Sept. 2, 2024 Labor Day June 19, 2025 Juneteenth Day July 4, 2025 Independence Day Sept. 1, 2025 Labor Day 2025-2026 2026-2027 Nov. 11, 2025 Veterans Day Nov. 3, 2026 Federal Election Day Nov. 27, 2025 Thanksgiving Nov. 11, 2026 Veterans Day Nov. 28, 2025 Day after Thanksgiving Nov. 26, 2026 Thanksgiving Dec. 24, 2025 Nov. 27, 2026 Day after Thanksgiving Dec. 25, 2025 Dec. 24, 2026 Dec. 26, 2025 Dec. 25, 2026 Christmas Dec. 29, 2025 }Holiday Dec. 28, 2026 Christmas Dec. 30, 2025 Period Dec. 29, 2026 }Holiday Dec. 31, 2025 Dec. 30, 2026 Period Jan. 1, 2026 Dec. 31, 2026 Jan. 2, 2026 Jan. 1, 2027 Jan. 19, 2026 Martin Luther King Jr.",SOFT,deontic:permission|threshold,3,No,NOT_CONSTRAINT,"operator, authority, union",,,auto-openai:The sentence lists holidays and does not impose any mandatory or discretionary rules or constraints.
UAW_GM_2_0044,UAW_GM_2023_Highlights,25,"Day Dec. 30, 2024 Period Mar 29, 2024 Good Friday Dec. 31, 2024 April 1, 2024 Day after Easter Jan. 1, 2025 May 27, 2024 Memorial Day Jan. 20, 2025 Martin Luther King Jr.",SOFT,deontic:permission|threshold,3,No,NOT_CONSTRAINT,"operator, authority, union",,,auto-openai:The sentence lists dates without imposing any mandatory or discretionary obligations.
UAW_GM_2_0039,UAW_GM_2023_Highlights,21,C 208 Opinion (IMO)/Independent Medical Examiner The amount was increased to $350 and now (IME) for any member that has been discharged also provides those Members who may still prior to concluding their appeal process. require corrective eyewear the ability to utilize Extended Disability Benefits In-Progression the benefit 12 months after surgery. | EX.,SOFT,deontic:permission|threshold,3,Yes,SOFT,"union, member",350,prior to concluding their appeal process,"auto-openai:The sentence outlines a benefit increase that is subject to conditions, indicating a discretionary nature."
UAW_GM_2_0026,UAW_GM_2023_Highlights,17,"Paid Parental Leave | 275 Effective January 1, 2024, eligible members may be provided up to 2 weeks of paid time off for a leave of absence for birth, adoption, surrogacy, or foster care situations.",SOFT,deontic:permission|threshold,3,Yes,SOFT,union,max_time_off=2weeks,provided that eligible members may be provided,"auto-openai:The sentence describes a discretionary benefit that eligible members may receive, indicating it is a soft constraint."
UAW_GM_2_0005,UAW_GM_2023_Highlights,2,"While we Brownstown into the Master Agreement. may not have won everything we wanted, we won We also achieved something we were told just more than most people thought was possible.",SOFT,deontic:restriction|deontic:permission,2,No,NOT_CONSTRAINT,union,,,auto-openai:The sentence expresses a sentiment about achievements and does not impose any specific rules or obligations.
UAW_GM_2_0029,UAW_GM_2023_Highlights,19,"Due to recent updates of government, The new agreement, if ratified, will manufacturer and consensus guidelines, run for four years and nine months some fall hazard equipment may no longer and will expire April 30, 2028. be in compliance.",SOFT,deontic:permission,2,Yes,HARD,"government, agreement, manufacturer","expiration_date=April 30, 2028",some fall hazard equipment may no longer be in compliance,"auto-openai:The sentence outlines a mandatory expiration date for the agreement and specifies compliance requirements, indicating a legally binding constraint."
UAW_GM_2_0014,UAW_GM_2023_Highlights,8,Must meet eligibility requirements. 8,HARD,deontic:obligation,2,Yes,HARD,"operator, authority, union",,,"auto-openai:The phrase 'Must meet eligibility requirements' indicates a mandatory condition that must be fulfilled, classifying it as a hard constraint."
UAW_GM_2_0019,UAW_GM_2023_Highlights,13,"Additionally, the Global Vehicle Development Process (GVDP) will continue as the process whereby future facility allocations may be made through the life of the agreement.",SOFT,deontic:permission,2,Yes,SOFT,"operator, authority",,,"auto-openai:The sentence indicates a process that may be used for future allocations, suggesting discretion rather than a mandatory requirement."
UAW_GM_2_0033,UAW_GM_2023_Highlights,20,Both members must make SUB In-Progression and Traditional | EX.,HARD,deontic:obligation,2,Yes,HARD,members,,,auto-openai:The use of 'must' indicates a legally mandatory requirement for both members to make SUB In-Progression and Traditional.
