sentence_id,source_doc,page_num,raw_text,predicted_type,signals,confidence_score,is_constraint,constraint_type,entities,threshold,exception,notes
UNITE_HE_0001,UNITE_HERE_Compass_Google,4,"The Employer hereby recognizes the Union as the exclusive representative for collective bargaining negotiations concerning terms and conditions of employment for its full-time and regular part-time hourly food service employees in classifications listed in Paragraph 1 in respective Side Letters attached hereto, at Google Buildings in New York City, Santa Clara County, CA, Santa Cruz County, CA, San Mateo County, CA, Washtenaw County, MI, Alleghany County, PA, Detroit Metropolitan Area, Middlesex County, MA, Washington, DC Metropolitan Area, Multnomah County, OR, the Seattle Metropolitan Area, Cook County, IL and Ontario, Canada, provided that recognition of the Union as the collective bargaining representative of such employees at any new operation, within the geographic scope of the this Section, is conditioned on and shall occur when the Union demonstrates that it has been authorized by a majority of such employees to represent them for the purposes of collective bargaining.",HARD,deontic:obligation|exception,3,,,,,,
UNITE_HE_0041,UNITE_HERE_Compass_Google,9,The Employer shall not take action against any employee solely because the employee is subject to an immigration proceeding where the employee is otherwise permitted to work. 9,HARD,deontic:prohibition|deontic:obligation|exception,3,,,,,,
UNITE_HE_0330,UNITE_HERE_Compass_Google,39,"The Employer agrees and acknowledges that if it fails to supply the electronic payments and reports in the format required by the Fund (which may be in Excel format until such time as the Employer’s online account is established), the Fund will have no obligation to process the report or payment until it is submitted electronically and such report will be considered late and subject to interest, liquidated damages and late fees under the Fund’s collection procedures.",SOFT,deontic:permission|exception,3,,,,,,
UNITE_HE_0206,UNITE_HERE_Compass_Google,27,"In the event of a reduction in force, the least senior person in the affected job classification shall be the first person to be laid off so long as the remaining employees are qualified to perform the remaining work with minimal training.",HARD,deontic:obligation|exception,3,,,,,,
UNITE_HE_0080,UNITE_HERE_Compass_Google,15,"Any and all claims by employees against Employer, its agents and/or employees, alleging discrimination in violation of these laws and/or any common law claims alleging discrimination shall be subject to the grievance and arbitration procedures set forth in Article 8 herein as the sole and exclusive remedy and forum for pursuit of said claims.",HARD,deontic:obligation|exception,3,,,,,,
UNITE_HE_0455,UNITE_HERE_Compass_Google,57,"(1) year thereafter, provided that in the event the Union is recognized at a time when no collective bargaining agreement is in effect with the Employer, then the terms and conditions to be extended to Employees upon recognition of the Union pursuant to Paragraph 8 shall be the terms and conditions then legally applicable to other employees of the Employer until a new collective bargaining agreement exists, at which time such new collective bargaining agreement shall apply. 11.",HARD,deontic:obligation|exception,3,,,,,,
UNITE_HE_0073,UNITE_HERE_Compass_Google,14,No employee shall be subject to sexual harassment in the workplace.,HARD,deontic:obligation|deontic:prohibition|exception,3,,,,,,
UNITE_HE_0460,UNITE_HERE_Compass_Google,60,"This bargaining unit shall become, effective October 1st, 2021, a part of the Compass @Google Buildings Bargaining unit and be covered under all of the terms of that agreement, except for the modifications below.",HARD,deontic:obligation|exception,3,,,,,,
UNITE_HE_0065,UNITE_HERE_Compass_Google,13,"In no event shall the Employer be required to act contrary to its Affirmative Action Plan, nor shall its Affirmative Action Plan or actions taken pursuant to that plan be subject to the grievance and arbitration provision of the Agreement. e.",HARD,deontic:obligation|exception,3,,,,,,
UNITE_HE_0314,UNITE_HERE_Compass_Google,37,Effective the week after the first payroll period following the signing of this agreement; no employee who at that time is receiving more than the agreed upon scale shall have his or her wage scale reduced except in cases where an employee’s Job classification changes and the base wage scale for the new position is lower.,HARD,deontic:obligation|deontic:prohibition|exception,3,,,,,,
UNITE_HE_0312,UNITE_HERE_Compass_Google,36,No picket lines may be respected or honored by any employees under this contract unless it is a primary picket line sanctioned by the President of the UNITE HERE International Union with respect to this labor agreement and employees covered by it.,SOFT,deontic:permission|exception,3,,,,,,
UNITE_HE_0473,UNITE_HERE_Compass_Google,66,"SIDE LETTER ON ONTARIO, CANADA The Compass@Google Buildings Collective Bargaining Agreement between Compass Group North America and UNITE HERE International Union shall apply to the Google Buildings in Ontario in full except as modified below.",HARD,deontic:obligation|exception,3,,,,,,
