sentence_id,source_doc,page_num,raw_text,predicted_type,signals,confidence_score,is_constraint,constraint_type,entities,threshold,exception,notes
SEIU_102_0969,SEIU_1021_SF_2022_2024,113,"Sick leave with pay credits shall be earned at the rate of .05 hours for each hour of regularly scheduled paid service excluding, 1) overtime exceeding 40 hours per week and 2) holiday pay, except that an employee on disability leave shall earn sick leave with pay credits at the normal rate.",HARD,deontic:obligation|threshold|exception,4,,,,,,
SEIU_102_1279,SEIU_1021_SF_2022_2024,183,"The Airport will annually require at least 25% of the covered employees to undergo drug testing, except that the Airport Director may revise the testing rate after reviewing data concerning the rate of positive tests in the previous calendar year.",SOFT,deontic:permission|threshold|exception,4,,,,,,
SEIU_102_0777,SEIU_1021_SF_2022_2024,93,"An employee subject to suspension or discharge, shall be entitled, prior to the imposition of that discipline or discharge, to a hearing and to the following: 639. a.",HARD,deontic:obligation|exception,3,,,,,,
SEIU_102_0678,SEIU_1021_SF_2022_2024,84,"Subject to the approval of the Appointing Officer, vacation periods and days off shall be scheduled by mutual agreement of the employee and the employee’s supervisor.",HARD,deontic:obligation|exception,3,,,,,,
SEIU_102_0652,SEIU_1021_SF_2022_2024,81,An employee shall be released from work to attend the seminar unless staffing requirements or other Departmental operational necessities require the employee's attendance at work on the day such seminar is scheduled.,HARD,deontic:obligation|exception,3,,,,,,
SEIU_102_0650,SEIU_1021_SF_2022_2024,81,"Subject to development, availability and scheduling by SFERS and PERS, employees shall be allowed not more than one",HARD,deontic:obligation|exception,3,,,,,,
SEIU_102_0648,SEIU_1021_SF_2022_2024,80,Initial monthly retirement Initial payment shall begin within sixty (60) allowance. days after the first of the month following the date of retirement provided that the appropriate forms of the Retirement System have been submitted. 532.,HARD,deontic:obligation|exception,3,,,,,,
SEIU_102_0647,SEIU_1021_SF_2022_2024,80,"The Retirement Board shall process and pay retirement claims, except in cases beyond the Board's control, in the following manner: BENEFIT PROCESSING TIME 531.",HARD,deontic:obligation|exception,3,,,,,,
SEIU_102_0642,SEIU_1021_SF_2022_2024,80,This reopener shall be subject to the impasse resolution procedures and criteria set forth in Charter Section A8.409-4. 2.,HARD,deontic:obligation|exception,3,,,,,,
SEIU_102_0641,SEIU_1021_SF_2022_2024,80,"Notwithstanding the above paragraphs, in the event that a change in state law causes the implementation, during the term of this Agreement, of an increase in the employee contribution to CalPERS for employees covered by this Agreement, either party may elect to reopen this Agreement to address the impact of the change in state law.",SOFT,deontic:permission|exception,3,,,,,,
