sentence_id,source_doc,page_num,raw_text,predicted_type,signals,confidence_score,is_constraint,constraint_type,entities,threshold,exception,notes
CTU_CPS__0417,CTU_CPS_2019_2024,53,"ISLs continuously employed in a twelve-school-month, 52week schedule (or its previous equivalent) shall maintain their 52-week schedule, unless they voluntarily elect to transfer to a different position with a shorter work year.",HARD,deontic:obligation|threshold|exception,4,,,,,,
CTU_CPS__1014,CTU_CPS_2019_2024,131,"Article 36 shall be amended as follows: CPS will offer a voluntary separation incentive to PSRPs who have 10 years of CPS service and who submit their resignation notice on or before March 31, 2017 with an effective retirement date of June 30, 2017 provided that a minimum of 600 PSRPs who are currently eligible to participate.",HARD,deontic:obligation|threshold|exception,4,,,,,,
CTU_CPS__1013,CTU_CPS_2019_2024,131,"Article 36 shall be amended as follows: CPS will offer an early retirement incentive to teachers who are eligible to retire and who submit their retirement notice on or before March 31, 2017 with an effective retirement date of June 30, 2017 provided that a minimum of 1500 teachers who are currently eligible to retire participate.",HARD,deontic:obligation|threshold|exception,4,,,,,,
CTU_CPS__1492,CTU_CPS_2019_2024,268,"SIDE LETTER ON INSTRUCTIONAL MINUTES With regard to Articles 4-1 and 5-1 (minutes of student instruction), and for the term of the 2015-19 collective bargaining agreement, the parties shall abide by the past practice that schools may provide up to 300 minutes of instruction.",HARD,deontic:obligation|deontic:permission|threshold,3,,,,,,
CTU_CPS__0939,CTU_CPS_2019_2024,122,"Except in circumstances beyond the teacher’s control, each teacher who has been absent, or the teacher’s designee, shall notify the principal of his or her return by 2:00 p.m. of the day prior to said return. 33-10.Workers’ Compensation Act.",HARD,deontic:obligation|exception,3,,,,,,
CTU_CPS__0927,CTU_CPS_2019_2024,121,"The Chief Executive Officer shall have the authority, subject to the approval of the BOARD, to grant child-rearing leave.",HARD,deontic:obligation|exception,3,,,,,,
CTU_CPS__0197,CTU_CPS_2019_2024,27,"No later than January 1, 2017, the parties shall agree on model schedules that will allow full-time elementary teachers a minimum of 15 minutes of preparation at the beginning of the school day for a minimum of 71 student attendance days (based on a 178 student attendance day school year; two per week).",HARD,deontic:obligation|threshold,3,,,,,,
CTU_CPS__0930,CTU_CPS_2019_2024,121,"The teacher’s position shall be held open during the first period of ten successive school months of child-rearing leave or to the end of the semester immediately following said ten months upon the written request of the teacher for such extension, subject to the approval of the BOARD.",HARD,deontic:obligation|exception,3,,,,,,
CTU_CPS__0934,CTU_CPS_2019_2024,122,PSRPs may take a parental leave of up to five school months provided that they are eligible for a parental leave under the BOARD’s policies on family and medical leaves.,SOFT,deontic:permission|exception,3,,,,,,
CTU_CPS__1285,CTU_CPS_2019_2024,162,"Unless otherwise agreed, committees created pursuant this Article shall have ten members with five individuals designated by the Chief Executive Officer and five individuals designated by the UNION President.",HARD,deontic:obligation|exception,3,,,,,,
CTU_CPS__0586,CTU_CPS_2019_2024,74,"The final decision as to the transfer shall be made by the Office of Diverse Learner Supports and Services, unless the duties of the",HARD,deontic:obligation|exception,3,,,,,,
CTU_CPS__0209,CTU_CPS_2019_2024,30,"High school teachers shall have a continuous lunch period of fifty minutes with no work responsibilities, except that, if the regular lunch period is shortened to less than fifty minutes, the teacher’s school day shall be shortened an equal number of minutes.",HARD,deontic:obligation|exception,3,,,,,,
CTU_CPS__0937,CTU_CPS_2019_2024,122,"A teacher on child-rearing leave may be permitted to serve as a dayto-day substitute at the daily rate paid such a teacher, except when a teacher granted such a leave shall be eligible for sick pay.",HARD,deontic:obligation|deontic:permission|exception,3,,,,,,
CTU_CPS__0575,CTU_CPS_2019_2024,74,"In programming and directing the work of Office of Diverse Learner Supports and Services clinicians, the BOARD and its administrators shall endeavor to assign duties consistent with the recommendations and guidelines developed by national and other recognized professional organizations, except when such recommendations are inconsistent with fair-share responsibilities or BOARD or local school level administrative and educational requirements. 20-1.7.",HARD,deontic:obligation|exception,3,,,,,,
CTU_CPS__0923,CTU_CPS_2019_2024,121,"Bargaining unit employees who have been employed for at least twelve months and who have worked a minimum of 1,250 hours of service during the previous twelve-month period shall be entitled to unpaid leave under the Family and Medical Leave Act (FMLA) as set forth in Appendix G. 33-7.1.",HARD,deontic:obligation|threshold,3,,,,,,
CTU_CPS__0949,CTU_CPS_2019_2024,123,Extended sick leave shall be granted at the discretion of the Chief Talent Officer whose decision shall not be subject to further review.,HARD,deontic:prohibition|deontic:obligation|exception,3,,,,,,
CTU_CPS__0225,CTU_CPS_2019_2024,31,"One period every six school weeks shall be allowed for departmental meetings during the school day, provided that this does not necessitate the dismissal of students or cancellation of classes. 6-12.",HARD,deontic:obligation|exception,3,,,,,,
