constraint_id,domain,constraint_type,issue,raw_text
ATU_1555_2171,transit,SOFT,"Threshold mismatch: annotation=1.0, GPT=1095","(2) The staffing level for Scheduling Analysts may be adjusted 1,095 days after full staffing as defined in paragraph"
ATU_1555_0785,transit,HARD,"Threshold mismatch: annotation=1.0, GPT=10","S19.2 RATIO * Effective July 1, 1988 the combined Foreworker ratio shall not be higher than one to ten (1:10) or forty-f"
ATU_689__0145,transit,SOFT,"Threshold mismatch: annotation=15.0, GPT=30","(n) Commencing July 1, 2019, employees may elect to accumulate and carry over from one year to the next earned vacation "
ATU_689__0842,transit,HARD,"Threshold mismatch: annotation=1.0, GPT=6.75",A Participant who elects to Retire on or after reaching his or her Normal Retirement Date shall receive a monthly Retire
ATU_689__1145,transit,HARD,"Threshold mismatch: annotation=50.0, GPT=75","eligibility for a normal (i.e., unreduced) or disability pension, WMATA's contribution to the cost of any retiree medica"
ATU_689__0271,transit,HARD,"Threshold mismatch: annotation=40.0, GPT=0.4",The Depot Clerk acting as Bookman at each Division shall receive forty (40) cents an hour in addition to the basic rate 
ATU_689__0218,transit,HARD,"Threshold mismatch: annotation=3.0, GPT=5","In addition, each January active employees shall receive a uniform voucher equal in value to the sum of three official s"
ATU_689__0259,transit,HARD,GPT extraction failed — used fallback,TOTAL REQUIRED NUMBER OF PERCENTAGE COMPLETED YEARS OF INCREASE CONTINUOUS SERVICE 8 0.5% 9 1.0% 10 1.5% 11 2.0% 12 2.5%
ATU_758__0364,transit,HARD,"Threshold mismatch: annotation=3.0, GPT=180",Sick Board: An Operator on the sick board wishing to return to work must notify Dispatch before 3:00 p.m. of the day bef
ATU_758__0398,transit,HARD,"Threshold mismatch: annotation=4.0, GPT=240",A CSR on the sick board wishing to return to work must notify their supervisor before 4:00 p.m. of the day before desiri
ATU_758__0137,transit,HARD,"Threshold mismatch: annotation=2024.0, GPT=6.0",The wage schedule shall reflect an adjustment to base wages as follows: January 2024 6.0% January 2025 4.0% January 2026
CONTRACT_0356,transit,HARD,"Threshold mismatch: annotation=3.75, GPT=3750000",(6) percent. 2) The Authorities shall further make additional annual contributions of $3.75 million dollars payable in e
CONTRACT_0449,transit,HARD,"Threshold mismatch: annotation=2.0, GPT=150","While the aggregate number of WEP participants that may be utilized is not subject to limitations, the Authorities will "
CONTRACT_0935,transit,HARD,"Threshold mismatch: annotation=13.0, GPT=4",Only those Train Operators assigned to the particular unit at the time of the pick shall be permitted to take part there
CONTRACT_1460,transit,HARD,"Threshold mismatch: annotation=50.0, GPT=0.5",Shifters who perform the duties of Revenue Attendants shall be paid a differential of 50¢ per hour.
CONTRACT_1893,transit,HARD,Annotation has threshold '5' but GPT returned none,"(b) limiting or interfering in any way with the statutory powers, duties, and responsibilities of the Operating Authorit"
CONTRACT_1562,transit,HARD,"Threshold mismatch: annotation=1.0, GPT=12",Fraudulent sick line charges shall not be brought against an employee if more than one year has expired since the submis
CONTRACT_0014,transit,HARD,"Threshold mismatch: annotation=10.0, GPT=10000000",A prescription drug plan for pre-Medicare retirees shall be instituted at the level consistent with a first year cost of
CONTRACT_0771,transit,HARD,"Threshold mismatch: annotation=4.0, GPT=15",Employees with service from 4 years up to but not including 8 years at the beginning of the sick leave year:............
CONTRACT_1588_p2,transit,HARD,Annotation has threshold '500' but GPT returned none,0) years of service shall be entitled to receive the same benefits as a Transit Authority hourly-rated employee under th
CONTRACT_1588_p3,transit,HARD,"Threshold mismatch: annotation=0.0, GPT=55","0) dollars a year to each employee who was, on July 1, 1970, in the employ of the Operating Authority and who retires on"
