sentence_id,source_doc,page_num,raw_text,predicted_type,signals,confidence_score,is_constraint,constraint_type,entities,threshold,exception,notes
SEIU1199_0048,SEIU1199NW_MultiCare_GoodSamaritan_2022_2025,10,"For purposes of this Agreement and the method of computing EIT, PTO, and other conditions of employment, except as otherwise provided for herein, a ""month"" shall be defined as 173.3 hours of work, and a ""year"" shall be defined as 2,080 hours of work.",HARD,deontic:obligation|threshold|exception,4,,,,,,
SEIU1199_0259,SEIU1199NW_MultiCare_GoodSamaritan_2022_2025,29,"If the time off is requested less than 30 days prior to the beginning of the leave, the employee may be required to provide their own coverage. 10.9.2 Loss of PTO Leave.",SOFT,deontic:permission|threshold,3,,,,,,
SEIU1199_0258,SEIU1199NW_MultiCare_GoodSamaritan_2022_2025,29,If the scheduled PTO has been requested and approved at least 30 days in advance of the leave Employees shall not be required to provide their own coverage during a scheduled PTO that was previously approved.,HARD,deontic:prohibition|deontic:obligation|threshold,3,,,,,,
SEIU1199_0239,SEIU1199NW_MultiCare_GoodSamaritan_2022_2025,27,"When a employee attempts to return to work and, within 48 hours of that return to work, is unable to continue to work due to the same illness or injury (of themselves or of the family member pursuant to State and Federal law) which had precipitated their absence, if EIT had been accessed previously, EIT may be accessed again despite the break in consecutive scheduled hours off.",SOFT,deontic:permission|threshold,3,,,,,,
SEIU1199_0232,SEIU1199NW_MultiCare_GoodSamaritan_2022_2025,26,All accruals must be exhausted prior to taking unpaid time off (unless eligible for EIT access). 10.3.5 PTOWS-Sick Year-End Cap.,HARD,deontic:obligation|exception,3,,,,,,
SEIU1199_0207,SEIU1199NW_MultiCare_GoodSamaritan_2022_2025,24,Any employee who works on a weekend shall receive one dollar and seventy five cents ($1.75) per hour for each hour worked on the weekend in addition to the employee's regular rate of pay The weekend premium will not be considered a part of the regular rate of pay for overtime premium pay calculations unless required by the Fair Labor Standards Act.,HARD,deontic:obligation|exception,3,,,,,,
SEIU1199_0194,SEIU1199NW_MultiCare_GoodSamaritan_2022_2025,23,"To the extent possible, weekend and holiday standby assignments shall be equitably shared unless other arrangements are made by mutual consent.",HARD,deontic:obligation|exception,3,,,,,,
SEIU1199_0175,SEIU1199NW_MultiCare_GoodSamaritan_2022_2025,22,"Should an employee who is receiving the fifteen percent (15%) wage premium want to revert back to receiving pro rata benefits status that election shall occur only between October 1 and October 10 of each year, unless the employee demonstrates a loss of alternate health care insurance coverage and no availability of COBRA rights.",HARD,deontic:obligation|deontic:preference|exception,3,,,,,,
SEIU1199_0159,SEIU1199NW_MultiCare_GoodSamaritan_2022_2025,19,"Except for emergency situations where it may be necessary to provide safe patient care, shift rotation will not be utilized without mutual consent.",SOFT,deontic:permission|exception,3,,,,,,
SEIU1199_0150,SEIU1199NW_MultiCare_GoodSamaritan_2022_2025,19,"Subject to advance approval, employees may request the trading of weekends, providing the schedule change does not place the Employer into an overtime pay condition or premium pay condition pursuant to this section.",SOFT,deontic:permission|exception,3,,,,,,
SEIU1199_0001,SEIU1199NW_MultiCare_GoodSamaritan_2022_2025,5,"New bargaining unit job classifications established during the term of this Agreement shall be covered by this Agreement unless they are bona fide confidential, supervisory, or management positions.",HARD,deontic:obligation|exception,3,,,,,,
SEIU1199_0132,SEIU1199NW_MultiCare_GoodSamaritan_2022_2025,18,"Except for emergency conditions involving patient care and low census conditions, individual scheduled hours of work set forth on the posted work schedules may be changed only by mutual consent. 7.5 Overtime.",SOFT,deontic:permission|exception,3,,,,,,
SEIU1199_0122,SEIU1199NW_MultiCare_GoodSamaritan_2022_2025,16,"If the employee takes none of these options, the employee shall be subject to immediate layoff and placement on the reinstatement roster (6.3).",HARD,deontic:obligation|exception,3,,,,,,
SEIU1199_0104,SEIU1199NW_MultiCare_GoodSamaritan_2022_2025,15,"Upon completion of the probationary period, any full time or part time employee subject to lay off may elect to voluntarily terminate employment with the Employer and receive severance pay as set forth below.",SOFT,deontic:permission|exception,3,,,,,,
SEIU1199_0100,SEIU1199NW_MultiCare_GoodSamaritan_2022_2025,14,An employee who is subject to layoff may apply for a vacant position in accordance with Section 5.8.,SOFT,deontic:permission|exception,3,,,,,,
SEIU1199_0094,SEIU1199NW_MultiCare_GoodSamaritan_2022_2025,14,"In the event of a layoff, the employee(s) with the least amount of seniority shall be laid off first providing skill, competence and ability are considered substantially equal in the opinion of the Employer.",HARD,deontic:obligation|exception,3,,,,,,
SEIU1199_0083,SEIU1199NW_MultiCare_GoodSamaritan_2022_2025,13,"If at the end of the trial period the employee is unable to perform satisfactorily in the opinion of the Employer, the employee shall be returned to his/her former job provided that the former job still exists and is vacant.",HARD,deontic:obligation|exception,3,,,,,,
SEIU1199_0079,SEIU1199NW_MultiCare_GoodSamaritan_2022_2025,13,"If the FTE meets the requirements set out above the FTE must be posted within 14 days of the determination and the provisions of Article 5.8, Job Openings, will apply. 5.8.2 Trial Period.",HARD,deontic:obligation|threshold,3,,,,,,
SEIU1199_0058,SEIU1199NW_MultiCare_GoodSamaritan_2022_2025,11,"No full-time, part-time or on call employee shall be disciplined or discharged except for just cause. ""Just cause"" shall be defined to include the concept of progressive discipline (such as verbal and written reprimands and the possibility of suspension without pay).",HARD,deontic:obligation|exception,3,,,,,,
SEIU1199_0144,SEIU1199NW_MultiCare_GoodSamaritan_2022_2025,18,Full-time and part-time employees who report for work as scheduled (unless otherwise notified in advance) and are released from duty by the Employer because of low need shall receive a minimum of four,HARD,deontic:obligation|exception,3,,,,,,
SEIU1199_0261,SEIU1199NW_MultiCare_GoodSamaritan_2022_2025,29,The employee must notify the Employer each day of absence if the employee is unable to work unless prior arrangements have been made with supervision.,HARD,deontic:obligation|exception,3,,,,,,
SEIU1199_0263,SEIU1199NW_MultiCare_GoodSamaritan_2022_2025,29,"Employees who receive Washington State Paid Family and Medical Leave benefits for the employee’s own disability (including any period of disability associated with pregnancy, childbirth and the recovery therefrom) or the illness or injury of a family member may supplement their Washington State benefits by accessing accrued PTO and/or EIT, up to the amount of regular pay at the employee’s assigned FTE, provided that the employee has been approved for a leave of absence by the Hospital.",SOFT,deontic:permission|exception,3,,,,,,
SEIU1199_0272,SEIU1199NW_MultiCare_GoodSamaritan_2022_2025,30,"Participation in medical, dental and any other benefits set forth in this Article 11 shall be subject to the plan's specific eligibility requirements.",HARD,deontic:obligation|exception,3,,,,,,
SEIU1199_0402,SEIU1199NW_MultiCare_GoodSamaritan_2022_2025,42,"In the event negotiations do not result in a new Agreement on or before the expiration date, this Agreement shall terminate unless both parties mutually agree to extend the Contract.",HARD,deontic:obligation|exception,3,,,,,,
SEIU1199_0399,SEIU1199NW_MultiCare_GoodSamaritan_2022_2025,42,"ARTICLE 19 – DURATION This Agreement shall become effective date of ratification and shall remain in full force and effect to and including September 30, 2025 unless changed by mutual consent.",HARD,deontic:obligation|exception,3,,,,,,
SEIU1199_0396,SEIU1199NW_MultiCare_GoodSamaritan_2022_2025,41,"Unless specifically provided herein to the contrary, past practices shall not be binding on the Employer.",HARD,deontic:prohibition|deontic:obligation|exception,3,,,,,,
SEIU1199_0391,SEIU1199NW_MultiCare_GoodSamaritan_2022_2025,41,"This Agreement shall be subject to all present and future applicable federal and state laws, executive orders of the President of the United States or the Governor of the State of Washington, and rules and regulations of governmental authority.",HARD,deontic:obligation|exception,3,,,,,,
SEIU1199_0383,SEIU1199NW_MultiCare_GoodSamaritan_2022_2025,40,"The Union further recognizes the right of the Employer to operate and manage the hospital including but not limited to the right to require standards of performance and to maintain order and efficiency; to direct employees and to determine job assignments and working schedules; to determine the materials and equipment to be used; to implement improved operational methods and procedures; to determine staffing requirements; to determine the kind and location of facilities; to determine whether the whole or any part of the operation shall continue to operate; to select and hire employees; to promote and transfer employees; to discipline, demote or discharge employees for just cause, provided however, the Employer reserves the right to discharge any employee deemed to be incompetent based upon reasonably related established job criteria and exercised in good faith; to lay off employees for lack of work; to recall employees; to require reasonable overtime work of employees; and to promulgate rules, regulations and personnel policies, provided that such rights shall not be exercised so as to violate any of the specific provisions of this Agreement.",HARD,deontic:prohibition|deontic:obligation|exception,3,,,,,,
SEIU1199_0382,SEIU1199NW_MultiCare_GoodSamaritan_2022_2025,40,Grievances arising after the expiration date of this Contract may be pursued through Step 3 only and shall not be subject to arbitration.,HARD,deontic:prohibition|deontic:obligation|deontic:permission|exception,3,,,,,,
SEIU1199_0380,SEIU1199NW_MultiCare_GoodSamaritan_2022_2025,40,Step 4 of this grievance procedure shall terminate on the expiration date of this Contract unless the Contract is extended by the mutual written consent of the parties.,HARD,deontic:obligation|exception,3,,,,,,
