sentence_id,source_doc,page_num,raw_text,predicted_type,signals,confidence_score,is_constraint,constraint_type,entities,threshold,exception,notes
32BJ_BOS_0013,32BJ_BostonU_2018_2022,4,"Seniority shall determine, on a departmental basis, order of layoff and recall and vacation preference, except that the existing second (2nd), third (3rd), and weekend shifts shall be staffed by a maximum of 8 electricians for the Electric Shop and a combination of plumbers and HVAC mechanics (not to exceed eight (8)) will be used to staff these shifts in the Plumbing and HVAC Shop in a manner to be determined by the University.",HARD,deontic:obligation|threshold|exception,4,,,,,,
32BJ_BOS_0190,32BJ_BostonU_2018_2022,16,(2) years shall not be used for future discipline except when the alleged offense is of the same nature as that cited in the letter. 5.,HARD,deontic:prohibition|deontic:obligation|exception,3,,,,,,
32BJ_BOS_0170,32BJ_BostonU_2018_2022,15,"There shall be no discrimination by either the University or the Union, except as permitted by federal or state law, in connection with the employment or union membership of any person on account of their race, color, religious creed, sex, national or ethnic origin, genetic information, ancestry, marital status, parental status, veteran status, disability, gender identity, sexual orientation or age. 2.",HARD,deontic:obligation|exception,3,,,,,,
32BJ_BOS_0211,32BJ_BostonU_2018_2022,18,The normal workweek for Custodians (excluding Limited Part-Time Custodians) shall be one of the following: Monday through Friday Tuesday through Saturday Wednesday through Sunday The University shall not change the above workweeks unless it determines that conditions so require.,HARD,deontic:prohibition|deontic:obligation|exception,3,,,,,,
32BJ_BOS_0149,32BJ_BostonU_2018_2022,13,"In order to be entitled to daily or weekly overtime in any week, the employee must work their basic workday or basic workweek (holidays excepted) unless their absence from work during such week was due to approved paid sick leave, or is due to layoff.",HARD,deontic:obligation|exception,3,,,,,,
32BJ_BOS_0238,32BJ_BostonU_2018_2022,23,(Any overtime payments for an operator of “heavy equipment” shall be calculated on their regular base rate and overtime shall not be pyramided or duplicated.) The provisions of this Note shall apply to all individuals except each individual who is classified as a Custodian-Zamboni Operator.,HARD,deontic:prohibition|deontic:obligation|exception,3,,,,,,
32BJ_BOS_0027,32BJ_BostonU_2018_2022,5,"Suspensions or administrative leaves necessitated by University investigations shall be with pay, but not subject to challenge.",HARD,deontic:obligation|exception,3,,,,,,
32BJ_BOS_0207,32BJ_BostonU_2018_2022,18,"Union stewards, the number not to exceed thirty-two (32), shall have paid release time of 1 hour quarterly. 4.",HARD,deontic:obligation|threshold,3,,,,,,
32BJ_BOS_0025,32BJ_BostonU_2018_2022,5,"In cases of terminations, the Union may initiate grievances at Step 3 of the grievance procedure with the Office of Human Resources.",SOFT,deontic:permission|exception,3,,,,,,
32BJ_BOS_0024,32BJ_BostonU_2018_2022,5,"In cases of suspensions, the Union may initiate grievances at Step 2 of the grievance procedure.",SOFT,deontic:permission|exception,3,,,,,,
32BJ_BOS_0097,32BJ_BostonU_2018_2022,8,"Such personal leave must be requested at least twenty-four (24) hours in advance, except in emergencies.",HARD,deontic:obligation|exception,3,,,,,,
32BJ_BOS_0145,32BJ_BostonU_2018_2022,12,"Trades employees and other bargaining unit members may also request such an examination on an emergency basis, in cases of injury on the job or in cases where harmful exposure to hazardous substances is suspected. 5.",SOFT,deontic:permission|exception,3,,,,,,
32BJ_BOS_0204,32BJ_BostonU_2018_2022,18,Such leave shall not be unreasonably denied; provided that no more than one,HARD,deontic:prohibition|deontic:obligation|exception,3,,,,,,
32BJ_BOS_0143,32BJ_BostonU_2018_2022,12,Disputes arising from the administration of this Article shall be the subject of the grievance procedure except as otherwise provided in the second paragraph. 4.,HARD,deontic:obligation|exception,3,,,,,,
32BJ_BOS_0177,32BJ_BostonU_2018_2022,15,Uniforms shall not be altered except for proper fit.,HARD,deontic:prohibition|deontic:obligation|exception,3,,,,,,
32BJ_BOS_0153,32BJ_BostonU_2018_2022,13,"However, if a “call-in” for emergency work occurs at such a time that, except for allowance for a breakfast, luncheon or dinner hour, it overlaps the employee’s basic workday or begins at the end of the employee’s basic workday or ends with the beginning of the employee’s basic workday, the employee shall not be entitled to the time-and-onehalf (1 1/2) rate of pay for any overlap of hours during that basic workday but shall receive only the employees regular rate of pay for those hours.",HARD,deontic:prohibition|deontic:obligation|exception,3,,,,,,
32BJ_BOS_0233,32BJ_BostonU_2018_2022,21,"ARTICLE 34 Effective Date and Termination This Agreement shall become effective as of November 1, 2018 and shall continue in full force and effect through October 31, 2022, and thereafter from year to year unless terminated by notice in writing given by either party hereto to the other not less than sixty (60) days prior to the expiration of the above-stated period or prior to the expiration of any subsequent contract year during the existence of this Agreement.",HARD,deontic:obligation|exception,3,,,,,,
32BJ_BOS_0039,32BJ_BostonU_2018_2022,5,"(5) days following such Step 3 meeting, then either party may submit the grievance to arbitration under the rules of the American Arbitration Association; provided that no grievance may be submitted to arbitration after twenty-one (21) days have elapsed since the date of such Step 3 meeting or the date of a Step 3 decision which is not a settlement, whichever is later.",SOFT,deontic:permission|exception,3,,,,,,
32BJ_BOS_0249,32BJ_BostonU_2018_2022,23,"(1) year of continuous service, a Limited Part-Time Custodian who has worked at least 94 percent of their scheduled hours during the preceding twelve (12) month period shall receive the following paid holidays: New Year’s Day, Martin Luther King’s Birthday, Washington’s Birthday, Patriots’ Day, Memorial Day, Independence Day, 21",HARD,deontic:obligation|threshold,3,,,,,,
32BJ_BOS_0250,32BJ_BostonU_2018_2022,24,"(b) After one year of continuous service, a Limited Part-Time Custodian who has worked at least 94 percent of their scheduled hours during the preceding twelve (12) month period shall receive paid vacation, as follows:",HARD,deontic:obligation|threshold,3,,,,,,
32BJ_BOS_0040,32BJ_BostonU_2018_2022,5,"The decision of the arbitrator shall be final and binding except that they shall have no authority to add to, subtract from, change or disregard any of the terms or provisions of this Agreement.",HARD,deontic:obligation|exception,3,,,,,,
32BJ_BOS_0252,32BJ_BostonU_2018_2022,24,"The University may, at its discretion hire a retired employee to work in any of the non-custodial classifications as a limited part time employee, subject to the same scheduling and benefit restrictions applicable to the LPT custodians described above.",SOFT,deontic:permission|exception,3,,,,,,
32BJ_BOS_0042,32BJ_BostonU_2018_2022,5,"The University shall not be bound to pay for any time spent in attending Step 4 of the grievance procedure, except for time lost by the grievant when the arbitrator rules in favor of the grievant. 7.",HARD,deontic:prohibition|deontic:obligation|exception,3,,,,,,
32BJ_BOS_0184,32BJ_BostonU_2018_2022,16,"The University, in accordance with the Massachusetts Personnel Records Law (M.G.L., chapter 149, Section 52 C), shall notify an employee within ten (10) days of the University placing in the employee's personnel record any information to the extent that the information is, has been used, or may be used, to negatively affect the employee's qualification for employment, promotion, transfer, additional compensation or the possibility that the employee will be subject to disciplinary action. 3.",HARD,deontic:obligation|deontic:permission|exception,3,,,,,,
32BJ_BOS_0258,32BJ_BostonU_2018_2022,26,"These positions shall start at one hundred percent (100%) of the current rate in effect for Limited P/T Custodians at the time of hire. *** Effective November 1, 2018, newly hired employees in positions requiring an Electric, Plumbing or HVAC licenses will not be subject to the seventy five percent (75%) starting rate.",HARD,deontic:obligation|exception,3,,,,,,
32BJ_BOS_0128,32BJ_BostonU_2018_2022,10,The number of employees who may be on these long vacations at any one time will be subject to the operational requirements of the University. 8,SOFT,deontic:permission|exception,3,,,,,,
32BJ_BOS_0171,32BJ_BostonU_2018_2022,15,Nothing contained herein shall prevent the employer from complying with the requirements of the Americans with Disabilities Act.,HARD,deontic:obligation,2,,,,,,
