sentence_id,source_doc,page_num,raw_text,predicted_type,signals,confidence_score,is_constraint,constraint_type,entities,threshold,exception,notes
IBEW_124_0088,IBEW_1245_CA_Outside_2022_2027,17,"The lo2cal parties recognize that the implementation of a drug and alcohol policy and program, must be subject to all applicable federal, state, and local 1 laws and regulations.",HARD,deontic:obligation|exception,3,,,,,,
IBEW_124_0049,IBEW_1245_CA_Outside_2022_2027,11,"An applicant 0shall be eligible for u i 2 examination if he has three nand one-half (r3½) years' ex perience in the trade. r s t n t , o 1 n e 2.13 The Union shall mainftain an “Out of Work List” which s3hall list the applicants within i o m each Group in chlronologicaCl order of the dates theyy register their availability for a e employment.C a e e M n r g 2.14 An applicant whoL has i registereAd on the “Out o f Work List” must renew his application every 30 days or his name will be remove2d from the list. 2 0 2.15 An applicant who is hired and who receives, through no fault of his own, work of forty 2 hours or less shall, upon re-reg istration, be restored to his appropriate place within his , Group. 1 e n 2.16 Employers shall advise the Business Manager of the Local Union of the number of u applicants neededJ.",HARD,deontic:obligation|deontic:obligation|threshold,3,,,,,,
IBEW_124_0031,IBEW_1245_CA_Outside_2022_2027,6,"In the event that these two are unable to adjust any matter within 48 hours, they shall refer the same to the LaborManagement Committee. 1.7 All matters coming before the Labor-Management Committee shall be decided by a majority vote.",HARD,deontic:obligation|threshold,3,,,,,,
IBEW_124_0197,IBEW_1245_CA_Outside_2022_2027,26,"(3) days 1 prior to being referred, Saturdays and Sundays excluded. e n Except as purovided in Section 3.2, when the employer desires to employ a J particular applicant as Foreman, he shall notify the dispatcher of the name of the applicant requested.",HARD,deontic:obligation|exception,3,,,,,,
IBEW_124_0034,IBEW_1245_CA_Outside_2022_2027,7,"ARTICLE II EMPLOYEES SHALL NOT CONTRACT 2.1 Employees covered by this Agreement, except those meeting the requirements of ""Employer"", as defined herein, shall not contract for any electrical work.",HARD,deontic:prohibition|deontic:obligation|exception,3,,,,,,
IBEW_124_0309,IBEW_1245_CA_Outside_2022_2027,38,"The first 2000 hours of OJT and satisfactory performances in related classroom training during such time shall constitute the probationary period. 35 California Outside Line Construction Agreement, June 1, 2022 - May 31, 2027",HARD,deontic:obligation|deontic:permission|threshold,3,,,,,,
IBEW_124_0308,IBEW_1245_CA_Outside_2022_2027,38,"The Apprentice shall participate in a minimum of 144 hours of related classroom training per year, outside the normal work hours.",HARD,deontic:obligation|threshold,3,,,,,,
IBEW_124_0152,IBEW_1245_CA_Outside_2022_2027,22,"TRAVEL TO JOB 4.9 The Employer shall pay for traveling time and furnish transportation for all employees from the place where they report for work each day and return to the same place at the end of each work day on all work within the jurisdiction of the Union. e HOLIDAYS AND OVdERTIME i s 4.10 All work performed outside of the regulatr scheduledn working hours and on Saturdays, u o Sundays, and the following holidOays: New Year's Day, Martin Luth7er King Day i (California only), Presidents Day (Nevada onclyt), Memorial Day, Fourt2h of July, Labor a 0 Day, Veteran's Day (California only), Nevauda Day (Nevada only), Thanksgiving Day and i 2 the Friday following, and r C n hristmas D s ayt, r shall be n patid for at dou , b le the regular straighttime rate of pay.",HARD,deontic:obligation|threshold,3,,,,,,
IBEW_124_0040,IBEW_1245_CA_Outside_2022_2027,8,An applicant who qualifies for Group I in a local union shall be so registered electronically and remain on Group I in that local union unless and until the applicant designates another local union as his or her Group I local union.,HARD,deontic:obligation|exception,3,,,,,,
IBEW_124_0150,IBEW_1245_CA_Outside_2022_2027,22,"An individual Employer who fails to remit as provided above shall be additionally subject to having his agreement terminated upon seventy-two (72) hours’ notice in writing being served by the Union, provided the individual Employer fails to show satisfactory proof that the required payments have been paid to the appropriate local collection agent.",HARD,deontic:obligation|exception,3,,,,,,
IBEW_124_0043,IBEW_1245_CA_Outside_2022_2027,9,"(3) years in the geographical area covered by the collective bargaining agreement. 2.8 If the registration list is exhausted and the Local Union is unable to refer applicants for employment to the Employer within 48 hours from the time of receiving the Employer's request, Saturdays, Sundays, and holidays excepted, the Employer shall be free to secure 6 California Outside Line Construction Agreement, June 1, 2022 - May 31, 2027",HARD,deontic:obligation|deontic:permission|threshold,3,,,,,,
IBEW_124_0203,IBEW_1245_CA_Outside_2022_2027,26,"(5) employees including himself, except that he may be the sixth (6th) employee when an Apprentice is on the crew. 23 California Outside Line Construction Agreement, June 1, 2022 - May 31, 2027",SOFT,deontic:permission|exception,3,,,,,,
IBEW_124_0206,IBEW_1245_CA_Outside_2022_2027,27,No Foreman of one job shall be transferred to another job for the purpose of working as a Journeyman on overtime unless previous connection with the overtime job requires special consideration.,HARD,deontic:obligation|exception,3,,,,,,
IBEW_124_0294,IBEW_1245_CA_Outside_2022_2027,35,"(c) Each employer shall contribut e one cent (c1¢t) per hour worked, up t2o a maximum of a 0 150,000 hours per year, for work performued under the terms of IBEW Local Union i 2 agreements with the West r er n n Line Con s sttru r ctors Ch n aptte r, Inc., NE , C A, Inc.",HARD,deontic:obligation|threshold,3,,,,,,
IBEW_124_0313,IBEW_1245_CA_Outside_2022_2027,39,"During the time an employee is doing work on a ny such energized parts of the line, e another qualified employee in a position to drender immediate assistance in case of accident or to assist in prevention of an accideint, shall act only as an observer. s t n u o 3.",HARD,deontic:obligation|exception,3,,,,,,
IBEW_124_0208,IBEW_1245_CA_Outside_2022_2027,27,"(3) or more gang Foreman are employed, a General Foreman shall be designated by the Employer. e All Foreman and General Foreman must pdossess the qualifications of Journeyman Lineman, except for crews working on eleictrical foundations, underground electrical s substructure work and roads.",HARD,deontic:obligation|deontic:obligation|exception,3,,,,,,
IBEW_124_0141,IBEW_1245_CA_Outside_2022_2027,21,"MEAL PERIODS 4.7 When an employee works overtime after the regular day or shift, or when he is called out to work at night, Sundays, or on holidays, the Employer shall provide all meals unless the employees complete the job on or before meal time .",HARD,deontic:obligation|exception,3,,,,,,
