sentence_id,source_doc,page_num,raw_text,predicted_type,signals,confidence_score,is_constraint,constraint_type,entities,threshold,exception,notes
BOSTON_I_0079,Boston_IBEW_Local103_2023_2026,10,(4) day workweek shall not be entitled to overtime unless they exceed 8.75 hours in a day or 35 hours in a week.,HARD,deontic:prohibition|deontic:obligation|threshold|exception,4,,,,,,
BOSTON_I_0078,Boston_IBEW_Local103_2023_2026,10,"(4) day workweek shall not be eligible for overtime until and unless all prerequisites regarding overtime eligibility apply as per Article X, except that an employee working a four (4 ) day workweek shall have a regular workday of8.75 hours.",HARD,deontic:prohibition|deontic:obligation|threshold|exception,4,,,,,,
BOSTON_I_0262,Boston_IBEW_Local103_2023_2026,25,Any employee who fails to notify their department head of their ability to return to work after being medically cleared to do so through the Worker's Compensation process shall be subject to disciplinary action.,HARD,deontic:obligation|exception,3,,,,,,
BOSTON_I_0129,Boston_IBEW_Local103_2023_2026,14,"Subject to the preceding sentence, vacation leave selection shall be determined by seniority. 2 The effective date of this modification to the Agreement is July I, 2003, which is the effective date of the July I, 2003 through June 30, 2006 Memorandum of Agreement that was executed on September 29, 2004. 12",HARD,deontic:obligation|exception,3,,,,,,
BOSTON_I_0130,Boston_IBEW_Local103_2023_2026,15,"Every employee covered by this Agreement shall, subject to Section 2 of this Article, be granted sick leave, without loss of pay.",HARD,deontic:obligation|exception,3,,,,,,
BOSTON_I_0271,Boston_IBEW_Local103_2023_2026,26,"Employees who are involved in an accident, while operating a City owned vehicle, shall be subject to an alcohol and drug test following the accident whenever: I.",HARD,deontic:obligation|exception,3,,,,,,
BOSTON_I_0053,Boston_IBEW_Local103_2023_2026,8,"However, in the event of unauthorized absence in the week in which overtime service is performed, or in the event of absence without pay by reason of disciplinary action, such employee shall be compensated for such overtime service in a straight-time basis only.",HARD,deontic:obligation|exception,3,,,,,,
BOSTON_I_0051,Boston_IBEW_Local103_2023_2026,8,"All authorized overtime service in excess of the regular work day or the regular workweek, or on the sixth and seventh consecutive days of service, shall be compensated on a time-and-one-half basis, except that a seventh consecutive day of actual service on a continuous operation only shall be compensated at double time.",HARD,deontic:obligation|exception,3,,,,,,
BOSTON_I_0275,Boston_IBEW_Local103_2023_2026,27,Employee's Responsibility: An employee is obligated to follow the post-accident instructions supplied by the City and to see that the alcohol and/or drug tests are conducted. • An employee who is subject to a post-accident test must remain available for testing.,HARD,deontic:obligation|exception,3,,,,,,
BOSTON_I_0135,Boston_IBEW_Local103_2023_2026,15,No employee shall be entitled to sick leave without loss of pay as provided in Section I of this Article unless,HARD,deontic:obligation|deontic:prohibition|exception,3,,,,,,
BOSTON_I_0206,Boston_IBEW_Local103_2023_2026,21,"(a) No material originating from the City derogatory to an employee's conduct, service, character, or personality shall be placed in the personnel files unless the employee has had an opportunity to read the material.",HARD,deontic:obligation|exception,3,,,,,,
BOSTON_I_0045,Boston_IBEW_Local103_2023_2026,7,"No agreement, understanding, alteration or variation of the agreements, terms or provisions herein contained shall bind the parties hereto unless made and executed in writing by the City's Office of Labor Relations and the Union.",HARD,deontic:obligation|exception,3,,,,,,
BOSTON_I_0139,Boston_IBEW_Local103_2023_2026,15,"(5) days sick leave credit will be restored to an employee's accumulated sick leave when such employee has used sick leave allowance between the date of injury on the job and date disability (Worker's compensation) is awarded, except that such sick leave shall be offset proportionately by a disability benefit that is awarded retroactively to date disability was incurred.",HARD,deontic:obligation|exception,3,,,,,,
BOSTON_I_0283,Boston_IBEW_Local103_2023_2026,28,"The employee may also apply to the Department for unpaid medical leave pursuant to the Medical Leave policy, which leave shall be subject to the operational needs oft he Department in accordance with the provisions oft he Medical Leave policy.",HARD,deontic:obligation|deontic:permission|exception,3,,,,,,
BOSTON_I_0202,Boston_IBEW_Local103_2023_2026,21,"Representatives of the Union shall be permitted to enter the premises of any department at any reasonable time for the purpose of discussing or processing grievances, provided that they do to interfere with the performance of duties and provided they give notice of their presence immediately upon arrival to the person in charge of such department.",HARD,deontic:obligation|exception,3,,,,,,
BOSTON_I_0213,Boston_IBEW_Local103_2023_2026,22,"Members of the bargaining unit must be residents of the City of Boston in accordance with the City of Boston's Residency Ordinance (Ord. 1976, c. 9 as amended), except that after ten (IO) years of consecutive full-time service with the City of Boston, bargaining unit members will be exempted from the Residency Ordinance.",HARD,deontic:obligation|exception,3,,,,,,
BOSTON_I_0215,Boston_IBEW_Local103_2023_2026,22,Any employee who fails to file such disclosure form by the required date shall be subject to disciplinary action up to and including termination.,HARD,deontic:obligation|exception,3,,,,,,
BOSTON_I_0037,Boston_IBEW_Local103_2023_2026,6,"The arbitrator shall submit in writing their decision within thirty (30) days after the conclusion of testimony and argument, or as soon as practicable thereafter, unless extended by mutual consent.",HARD,deontic:obligation|exception,3,,,,,,
BOSTON_I_0122,Boston_IBEW_Local103_2023_2026,14,"An employee may secure the benefits of Section 2, 3, 4 and 6 of this Article only during active service; and no rights under said Sections shall accrue to an employee in the event of the termination of their employment. 2 Before the vacation leave therein authorized has been actually taken, except as specifically provided in Sections 8 and 9 of this Article.",HARD,deontic:obligation|deontic:permission|exception,3,,,,,,
BOSTON_I_0070,Boston_IBEW_Local103_2023_2026,9,"In the event of failure to agree on this proposed change, the City shall have the right to institute the change and the Union shall have the right to take the matter up as a grievance under the grievance procedure.",HARD,deontic:obligation|exception,3,,,,,,
BOSTON_I_0074,Boston_IBEW_Local103_2023_2026,9,"At the discretion of the Department Head on a case-by-case basis and subject to the operational needs of the Department, employees may request the option ofa four",SOFT,deontic:permission|exception,3,,,,,,
BOSTON_I_0075,Boston_IBEW_Local103_2023_2026,9,"A four ( 4) day workweek shall consist of thirty-five (35) hours per week, and eight hours and forty-five minutes (8.75 hours) per day.",HARD,deontic:obligation|threshold,3,,,,,,
BOSTON_I_0076,Boston_IBEW_Local103_2023_2026,9,"Seniority shall be defined as the total continuous service of an employee with the City of Boston, provided that service prior to an authorized leave of absence or prior to a lay off shall be counted toward total continuous service. 7",HARD,deontic:obligation|exception,3,,,,,,
