sentence_id,source_doc,page_num,raw_text,predicted_type,signals,confidence_score,is_constraint,constraint_type,entities,threshold,exception,notes
2025-SEI_0001,2025-seiu-interns-and-residents,4,"All Residents designated as UMass Chan Medical School House Staff, irrespective of the source of funding for their positions, and all Residents and Fellows paid by the Employer shall be guaranteed the full rights and privileges under this Agreement except as provided herein. 3.",HARD,deontic:obligation|exception,3,Yes,HARD,"Employer, Residents, Fellows",,except as provided herein,"auto-openai:The sentence establishes guaranteed rights and privileges under the Agreement, which is a legally mandatory obligation."
2025-SEI_0222,2025-seiu-interns-and-residents,26,"Decisions or judgments by the Medical School related to all academic matters, including determinations that a Resident/Fellow has failed to satisfy any requirements of his/her training program, such as clinical competence and professional standards of conduct, shall not be subject to review under the grievance and arbitration procedure set forth herein, but shall be exclusively subject to the procedures set out in Article XV herein. 2.",HARD,deontic:prohibition|deontic:obligation|exception,3,Yes,HARD,"Medical School, Resident/Fellow",,,"auto-openai:The sentence establishes a mandatory procedure for addressing academic matters related to the Resident/Fellow's training program, indicating that these decisions are not subject to the grievance and arbitration procedure, thus creating a hard constraint."
2025-SEI_0246,2025-seiu-interns-and-residents,27,"Only one grievance may be referred to and decided during a particular arbitration, unless otherwise agreed by the parties, in writing.",SOFT,deontic:permission|exception,3,Yes,SOFT,parties,,"unless otherwise agreed by the parties, in writing","auto-openai:The sentence allows for the possibility of referring more than one grievance if the parties agree, indicating it is a discretionary constraint."
2025-SEI_0245,2025-seiu-interns-and-residents,27,"The Arbitrator shall have no power to engage in any form of interest arbitration, unless both parties agree in writing.",HARD,deontic:obligation|exception,3,Yes,HARD,"Arbitrator, parties",,unless both parties agree in writing,"auto-openai:The sentence establishes a mandatory limitation on the Arbitrator's powers, making it a hard constraint with a specific exception."
2025-SEI_0028,2025-seiu-interns-and-residents,6,"(3) days, the Resident shall switch with a colleague, subject to approval of the program.",HARD,deontic:obligation|exception,3,Yes,SOFT,"Resident, colleague, program",,subject to approval of the program,"auto-openai:The sentence indicates a discretionary action that requires approval, classifying it as a soft constraint."
2025-SEI_0241,2025-seiu-interns-and-residents,27,The arbitration process shall be administered by the Medical School’s Office of Labor Relations and the parties agree to follow the rules of the Labor Relations Connection unless otherwise mutually agreed. c.,HARD,deontic:obligation|exception,3,Yes,HARD,"Medical School’s Office of Labor Relations, parties",,unless otherwise mutually agreed,"auto-openai:The sentence establishes a mandatory arbitration process that must be followed, indicating a hard constraint."
2025-SEI_0239,2025-seiu-interns-and-residents,27,"Such submission must be made within thirty (30) calendar days after the date that the Step 3 answer was received, or, if not received, the date it would have been due (i.e., 42 days after timely submission at Step 3).",HARD,deontic:obligation|threshold,3,Yes,HARD,"operator, union",max_days=30,"if not received, the date it would have been due","auto-openai:The sentence specifies a mandatory time frame for submission, indicating a hard constraint with a clear numeric threshold."
2025-SEI_0037,2025-seiu-interns-and-residents,7,The foregoing management rights are expressly reserved to be decided by the Employer and shall not be subject to the provisions of Article XV:- Grievance Procedure.,HARD,deontic:prohibition|deontic:obligation|exception,3,Yes,HARD,Employer,,,"auto-openai:The sentence establishes a management right that is reserved exclusively for the Employer, indicating a mandatory condition without discretion."
2025-SEI_0039,2025-seiu-interns-and-residents,8,"The Employer and the Union recognize that no employee shall be subject to sexual harassment, and both parties agree to remain committed to this principle.",HARD,deontic:obligation|deontic:prohibition|exception,3,Yes,HARD,"Employer, Union, employee",,,"auto-openai:The sentence establishes a mandatory principle against sexual harassment, indicating that no employee shall be subject to it, which qualifies as a hard constraint."
2025-SEI_0232,2025-seiu-interns-and-residents,27,"In the event no hearing is held, or no response is received, or if the parties have waived the hearing, the grievance must be submitted to the Employer’s Director of Labor Relations or their designee within fourteen (14) calendar days after the date that a response would have been due (i.e., 28 days after timely submission to the Dean for GME or their designee). 4.",HARD,deontic:obligation|threshold,3,Yes,HARD,"Employer, Director of Labor Relations, union",14,,"auto-openai:The sentence mandates a specific action within a defined timeframe, indicating a legally binding requirement."
2025-SEI_0055,2025-seiu-interns-and-residents,10,This section shall not be subject to the parties’ arbitration procedures.,HARD,deontic:prohibition|deontic:obligation|exception,3,Yes,HARD,parties,,,"auto-openai:The sentence explicitly states that the section is not subject to arbitration procedures, indicating a mandatory exclusion without discretion."
