sentence_id,source_doc,page_num,raw_text,predicted_type,signals,confidence_score,is_constraint,constraint_type,entities,threshold,exception,notes
UNITE_HE_0166,UNITE_HERE_Local362_SSP_Airport,25,"The Principals Committee shall consist of equal numbers of representatives from each party, not to exceed a total of ten people, unless the parties agree otherwise.",HARD,deontic:obligation|exception,3,Yes,HARD,"Principals Committee, representatives, parties",max_members=10,unless the parties agree otherwise,"auto-openai:The sentence establishes a mandatory structure for the Principals Committee with a specific limit on the number of members, making it a hard constraint."
UNITE_HE_0054,UNITE_HERE_Local362_SSP_Airport,14,"Re-Verification of Status: The Employer shall not require or demand proof of immigration status, except as may be required by 8 USC § 1324a (1)(8) and listed on the back of the 1-9 form or as otherwise required by law.",HARD,deontic:prohibition|deontic:obligation|deontic:permission|exception,3,Yes,HARD,"Employer, law",,except as may be required by 8 USC § 1324a (1)(8) and listed on the back of the 1-9 form or as otherwise required by law,"auto-openai:The sentence imposes a mandatory requirement on the Employer regarding proof of immigration status, with specific legal exceptions."
UNITE_HE_0214,UNITE_HERE_Local362_SSP_Airport,30,"(5) years of continuous employment shall accrue seventeen (17) days of PTO per year, at the rate of 1.42 days per month. d.",HARD,deontic:obligation|threshold,3,Yes,HARD,"operator, union",PTO=17days/year,,"auto-openai:The sentence specifies a mandatory accrual of PTO based on years of continuous employment, indicating a hard constraint."
UNITE_HE_0062,UNITE_HERE_Local362_SSP_Airport,14,"In no event shall the Employer be required to act contrary to its Affirmative Action Plan, nor shall its Affirmative Action Plan or actions taken pursuant to that plan be subject to the grievance and arbitration provision of the Agreement.",HARD,deontic:obligation|exception,3,Yes,HARD,"Employer, Affirmative Action Plan",,,"auto-openai:The sentence imposes a mandatory requirement on the Employer not to act contrary to its Affirmative Action Plan, indicating a hard constraint."
UNITE_HE_0213,UNITE_HERE_Local362_SSP_Airport,30,"(2) years of continuous employment shall accrue fifteen (15) days of PTO per year, at the rate of 1.25 days per month. c.",HARD,deontic:obligation|threshold,3,Yes,HARD,"operator, union","PTO=15 days per year, accrual_rate=1.25 days per month",,"auto-openai:The sentence specifies a mandatory accrual of PTO based on continuous employment, indicating a hard constraint."
UNITE_HE_0277,UNITE_HERE_Local362_SSP_Airport,37,"This Agreement shall continue from year to year thereafter unless either party gives written notice with proof of receipt to the other party, to be received no more than ninety (90) days nor less than sixty (60) days prior to initial expiration or any yearly anniversary date thereafter, of intention to reopen or modify this Agreement.",HARD,deontic:obligation|exception,3,Yes,HARD,"party, union, operator","max_notice_period=90days, min_notice_period=60days",,"auto-openai:The sentence establishes a mandatory requirement for written notice regarding the intention to reopen or modify the Agreement, with specific timeframes that must be adhered to."
UNITE_HE_0280,UNITE_HERE_Local362_SSP_Airport,39,APPENDIX “A” WAGES PAY SCALE JOB 4/3/2019 10/2/19 4/1/2020 9/30/2020 3/31/2021 9/29/21 FOOD SERVICE $12.55 $13.05 $13.35 $13.55 $13.85 $14.05 WORKER BAKER $17.55 $18.05 $18.35 $18.55 $18.85 $19.05 UTILITY $14.55 $15.05 $15.35 $15.55 $15.85 $16.05 CASHIER $12.05 $12.55 $12.85 $13.05 $13.35 $13.55 PREP COOK $12.55 $13.05 $13.55 $13.75 $14.05 $14.25 LINE COOK $13.00 $13.50 $13.80 $14.00 $14.30 $14.50 SPECIALTY $13.50 $14.00 $14.30 $14.50 $14.80 $15.00 COOK PORTER $12.55 $13.05 $13.35 $13.55 $13.85 $14.05 DISHWASHER $12.05 $12.55 $12.85 $13.05 $13.35 $13.55 BARTENDER $6.48 $6.48 $6.73 $6.73 $6.98 $6.98 SERVER $5.98 $5.98 $6.23 $6.23 $6.48 $6.48 HOURLY RAISES Job Category 4/3/2019 10/2/19 4/1/2020 9/30/2020 3/31/2021 9/29/21 Non-Tipped $0.50 $0.50 $0.30 $0.20 $0.30 $0.20 Tipped $0.50 -- $0.25 -- $0.25 -NEW HIRE EMPLOYEES Employees hired after ratification shall progress through the wage scale as follows: Hire: 90% of wage rate 90 days: 95% of wage rate 1 year: 100% of wage rate There shall be a reopener that either party may elect prior to the opening of any new permanent outlets at which the parties will negotiate wage rates for any new classifications to be added and any wage increases for tipped employees.,HARD,deontic:obligation|deontic:permission|threshold,3,Yes,HARD,"union, employer","new_hire_progression=90%, 90_days_progression=95%, 1_year_progression=100%",reopener for new classifications and wage increases for tipped employees,"auto-openai:The sentence outlines mandatory wage progression for new hires and includes a reopener clause for negotiations, indicating a hard constraint with specific thresholds."
UNITE_HE_0055,UNITE_HERE_Local362_SSP_Airport,14,"In the event of a sale of the business or its assets, the Employer shall offer to transfer the 1-9 forms of its employees to the new employer or, at the Employer's option, to jointly maintain the 19 forms of its employees with the successor employer for the period of three",HARD,deontic:obligation|exception,3,Yes,HARD,"Employer, employees, successor employer",,,"auto-openai:The sentence imposes a mandatory obligation on the Employer to offer to transfer employee forms in the event of a sale, indicating a legally binding requirement."
UNITE_HE_0051,UNITE_HERE_Local362_SSP_Airport,13,"Workplace Immigration Enforcement: The Employer shall, unless objected to by the affected employee, notify a representative of the Union as soon as practical if the Employer receives a nomatch letter from the Social Security Administration, or is contacted by the Department of Homeland Security (OHS) (formerly the INS) related to the immigration status of an employee covered by this Agreement or if a search and/or arrest warrant, administrative warrant, subpoena, or other request for documents is presented in order that the Union can take steps to protect the rights of its members.",HARD,deontic:obligation|exception,3,Yes,HARD,"Employer, Union, Department of Homeland Security, Social Security Administration",,unless objected to by the affected employee,"auto-openai:The sentence imposes a mandatory obligation on the Employer to notify the Union under specific circumstances, indicating a hard constraint."
UNITE_HE_0035,UNITE_HERE_Local362_SSP_Airport,11,"classification, department, or operation; to determine the amount of supervision necessary; to control and regulate or discontinue the use of supplies, equipment, machinery and process and any other property owned, used, leased or possessed by the Company; to establish, modify and enforce reasonable rules or regulations, policies and practices; to introduce new, different or improved methods, means and processes of transportation, production, maintenance, service and operation; and, otherwise, generally manage the operation and direct the work force; the Employer’s failure to exercise any function or right in any particular way shall not be deemed a waiver of its rights to exercise such function or right, nor to preclude the Employer from exercising the same, in some other way not in conflict with the express provisions of this Agreement. 3.2 Rights Retained: Except as specifically abridged, delegated, granted or modified by this Agreement, all of the rights, powers and authority of the Employer existing prior to the signing of this Agreement are retained by the Employer and remain exclusively and without limitation within the rights of management. 3.3 Excess of Minimums: Nothing shall preclude the Employer from initiating or discontinuing programs intended as incentives or positive reinforcement for employees, such as sales incentives. 3.4 Electronic Surveillance: It is understood that the Employer can conduct only those forms of electronic surveillance of its premises that are permitted by law.",HARD,deontic:prohibition|deontic:obligation|exception,3,Yes,SOFT,"Employer, employees",,"Except as specifically abridged, delegated, granted or modified by this Agreement","auto-openai:The sentence outlines the rights retained by the Employer and the discretionary nature of management rights, indicating that while the Employer has authority, it is subject to the provisions of the Agreement."
